Bolide Detection Notification: 2012-255

At 22:07:30 UT on 11 Sep 2012, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 18.9 °S, Lon 105.2 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.20e+10 watts/steradian, and total radiated flash
energy 1.03e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.500, -6.71e+08),
           (-0.496, -9.33e+08),
           (-0.493, -9.21e+07),
           (-0.489,  1.47e+08),
           (-0.486, -1.03e+09),
           (-0.483,  5.28e+08),
           (-0.479, -7.87e+08),
           (-0.476, -5.91e+08),
           (-0.473, -6.79e+08),
           (-0.469,  1.89e+08),
           (-0.466,  2.38e+08),
           (-0.456, -8.95e+08),
           (-0.452, -1.83e+08),
           (-0.449, -1.22e+08),
           (-0.446, -1.76e+09),
           (-0.442,  9.36e+08),
           (-0.439, -2.60e+08),
           (-0.435,  6.51e+08),
           (-0.432,  4.21e+08),
           (-0.429, -1.16e+09),
           (-0.425, -7.53e+08),
           (-0.422,  4.47e+08),
           (-0.419,  6.12e+08),
           (-0.415,  5.01e+08),
           (-0.412,  1.73e+09),
           (-0.408,  1.15e+09),
           (-0.405,  1.58e+09),
           (-0.402,  1.59e+09),
           (-0.398,  1.26e+07),
           (-0.395,  1.18e+09),
           (-0.392,  3.10e+09),
           (-0.388,  2.59e+09),
           (-0.385,  2.39e+09),
           (-0.381,  1.83e+09),
           (-0.378,  1.37e+09),
           (-0.375,  2.08e+09),
           (-0.371,  1.22e+09),
           (-0.368, -1.62e+08),
           (-0.365,  9.26e+08),
           (-0.361,  4.07e+09),
           (-0.358,  3.59e+09),
           (-0.354,  3.37e+09),
           (-0.351,  3.07e+09),
           (-0.348,  3.37e+09),
           (-0.344,  4.34e+09),
           (-0.341,  1.94e+09),
           (-0.338,  3.40e+09),
           (-0.331,  1.30e+09),
           (-0.327,  1.81e+09),
           (-0.324,  2.93e+09),
           (-0.321,  2.15e+09),
           (-0.317,  3.02e+09),
           (-0.314,  2.69e+09),
           (-0.310,  1.77e+09),
           (-0.304,  4.51e+09),
           (-0.300,  1.44e+09),
           (-0.297,  3.22e+09),
           (-0.294,  2.30e+09),
           (-0.290,  1.76e+09),
           (-0.287,  2.45e+09),
           (-0.283,  2.78e+09),
           (-0.280,  2.71e+09),
           (-0.277,  4.63e+09),
           (-0.273,  4.02e+09),
           (-0.270,  3.05e+09),
           (-0.267,  3.13e+09),
           (-0.263,  5.55e+09),
           (-0.260,  4.50e+09),
           (-0.257,  7.80e+09),
           (-0.253,  7.56e+09),
           (-0.250,  5.06e+09),
           (-0.246,  5.57e+09),
           (-0.243,  4.57e+09),
           (-0.240,  5.63e+09),
           (-0.236,  5.42e+09),
           (-0.233,  6.35e+09),
           (-0.230,  5.16e+09),
           (-0.226,  6.68e+09),
           (-0.223,  6.39e+09),
           (-0.219,  6.25e+09),
