Bolide Detection Notification: 2012-277

At 22:50:12 UT on 03 Oct 2012, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 41.5S, Lon 21.9W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 7.31e+10 watts/steradian, and total radiated flash
energy 2.80e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.800,  1.18e+07),
           (-0.797,  7.89e+08),
           (-0.793, -3.03e+08),
           (-0.790,  5.17e+08),
           (-0.786,  6.71e+08),
           (-0.783, -7.87e+08),
           (-0.780,  1.65e+09),
           (-0.776,  6.31e+07),
           (-0.773,  2.92e+08),
           (-0.770, -2.95e+08),
           (-0.766, -4.66e+07),
           (-0.763, -1.41e+08),
           (-0.759,  9.24e+08),
           (-0.756, -3.35e+08),
           (-0.753, -5.90e+06),
           (-0.749, -4.43e+08),
           (-0.746,  2.31e+08),
           (-0.743,  1.63e+09),
           (-0.739,  2.25e+08),
           (-0.736,  4.30e+08),
           (-0.732, -2.11e+08),
           (-0.729,  1.16e+09),
           (-0.726,  1.76e+06),
           (-0.722, -2.40e+08),
           (-0.719,  8.41e+08),
           (-0.716,  6.57e+08),
           (-0.712, -6.78e+08),
           (-0.709, -1.65e+08),
           (-0.705,  1.30e+09),
           (-0.702,  6.86e+08),
           (-0.699, -4.93e+08),
           (-0.695,  1.01e+09),
           (-0.692,  1.07e+09),
           (-0.689, -1.88e+09),
           (-0.685, -5.83e+08),
           (-0.682, -7.01e+06),
           (-0.678,  2.93e+08),
           (-0.675, -6.29e+08),
           (-0.672, -3.63e+08),
           (-0.668,  7.52e+08),
           (-0.665,  3.82e+08),
           (-0.662, -1.28e+08),
           (-0.658, -3.34e+08),
           (-0.655, -6.21e+08),
           (-0.651,  1.60e+09),
           (-0.648, -3.07e+08),
           (-0.645,  1.10e+08),
           (-0.638, -4.03e+08),
           (-0.635,  1.15e+09),
           (-0.631, -9.95e+08),
           (-0.628,  9.07e+06),
           (-0.624,  4.37e+08),
