Bolide Detection Notification: 2013-025

At 07:40:18 on 25 January 2013, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was 60.3N, 64.6W.

Based on the visible-light intensity-time signature, peak brightness of the flash was
determined to be approximately 2.50e11 watts/steradian, and total radiated flash
energy 3.40e12 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -3.01e+08),
           (-0.992,  6.51e+08),
           (-0.985,  9.87e+08),
           (-0.982, -1.55e+08),
           (-0.979,  2.15e+08),
           (-0.975, -2.81e+08),
           (-0.972,  6.77e+08),
           (-0.969,  5.79e+08),
           (-0.962, -4.01e+08),
           (-0.958,  4.30e+08),
           (-0.955,  6.00e+08),
           (-0.952, -1.21e+08),
           (-0.948, -2.14e+08),
           (-0.945,  1.46e+09),
           (-0.935, -2.50e+08),
           (-0.931,  7.11e+08),
           (-0.928,  1.57e+08),
           (-0.925,  6.68e+08),
           (-0.921,  1.93e+09),
           (-0.918,  1.03e+09),
           (-0.915,  1.06e+09),
           (-0.911,  5.30e+08),
           (-0.908,  1.61e+09),
           (-0.904,  7.26e+08),
           (-0.901,  1.24e+09),
           (-0.898,  2.59e+09),
           (-0.891,  6.21e+06),
           (-0.884, -4.19e+08),
           (-0.881,  9.20e+08),
           (-0.877,  1.26e+09),
           (-0.871, -4.41e+08),
           (-0.867,  9.96e+08),
           (-0.864, -3.96e+08),
           (-0.861,  1.89e+09),
           (-0.857,  1.22e+09),
           (-0.854,  1.25e+09),
           (-0.850,  6.23e+08),
           (-0.847,  1.77e+09),
           (-0.844,  1.35e+09),
           (-0.840,  1.51e+09),
           (-0.834,  1.17e+09),
           (-0.827,  9.60e+07),
           (-0.823,  1.55e+09),
           (-0.820,  9.33e+08),
           (-0.817,  8.70e+08),
           (-0.813,  1.73e+09),
           (-0.810,  1.47e+09),
           (-0.807,  7.56e+08),
           (-0.803,  4.60e+08),
           (-0.800,  1.54e+09),
           (-0.796,  9.82e+08),
           (-0.793, -4.57e+07),
           (-0.790,  2.22e+09),
           (-0.786,  5.72e+08),
           (-0.783, -2.45e+08),
           (-0.780,  5.29e+08),
           (-0.776, -8.98e+08),
           (-0.773,  1.66e+09),
           (-0.769,  9.42e+08),
           (-0.766,  8.64e+08),
           (-0.763,  2.45e+09),
           (-0.759,  3.80e+08),
           (-0.756,  1.58e+09),
           (-0.753,  6.13e+08),
           (-0.749,  1.42e+09),
           (-0.742,  1.54e+09),
           (-0.739,  2.25e+09),
           (-0.736, -5.40e+08),
           (-0.732,  2.53e+09),
           (-0.729,  8.93e+08),
           (-0.726,  2.03e+09),
           (-0.722,  9.22e+08),
           (-0.719,  1.96e+09),
           (-0.715,  2.09e+09),
           (-0.712,  6.06e+08),
           (-0.709,  1.92e+09),
           (-0.702,  1.10e+09),
           (-0.699,  1.51e+09),
           (-0.695,  6.98e+08),
           (-0.688,  4.14e+08),
           (-0.685, -2.97e+08),
           (-0.678,  1.78e+09),
           (-0.675,  8.03e+08),
           (-0.672,  5.31e+08),
           (-0.668,  1.10e+09),
           (-0.665,  1.34e+09),
           (-0.658,  1.48e+08),
           (-0.655,  2.04e+09),
           (-0.651,  1.46e+09),
           (-0.648, -4.10e+07),
           (-0.645,  1.76e+09),
           (-0.641,  9.78e+08),
           (-0.638,  2.27e+09),
           (-0.634, -2.92e+08),
           (-0.631,  1.44e+09),
           (-0.628,  5.75e+08),
           (-0.624,  9.13e+08),
           (-0.621,  2.06e+09),
           (-0.618,  3.55e+08),
           (-0.614,  1.15e+09),
           (-0.611,  2.33e+09),
           (-0.607,  1.44e+09),
           (-0.604,  1.45e+09),
           (-0.601,  2.30e+09),
           (-0.597,  1.23e+09),
           (-0.594,  1.04e+09),
           (-0.591,  2.49e+09),
           (-0.587,  1.27e+09),
           (-0.584,  2.45e+09),
           (-0.577,  2.20e+09),
           (-0.574,  2.87e+09),
           (-0.570,  1.38e+09),
           (-0.567,  2.30e+09),
           (-0.560,  1.43e+09),
           (-0.557,  1.57e+09),
           (-0.553, -1.41e+08),
           (-0.550,  2.42e+09),
           (-0.547,  2.29e+09),
           (-0.543,  1.82e+09),
           (-0.540,  1.79e+09),
           (-0.537,  2.25e+09),
           (-0.530,  2.26e+09),
           (-0.516,  3.15e+09),
           (-0.513,  4.37e+09),
           (-0.510,  2.85e+09),
           (-0.506,  2.19e+09),
           (-0.503,  2.65e+09),
           (-0.499,  1.76e+09),
           (-0.496,  4.52e+09),
           (-0.493,  4.59e+09),
           (-0.489,  3.55e+09),
           (-0.486,  3.67e+09),
           (-0.483,  3.33e+09),
           (-0.479,  1.60e+09),
           (-0.466,  3.11e+09),
           (-0.462,  4.66e+09),
           (-0.459,  2.48e+09),
           (-0.456,  3.25e+09),
           (-0.452,  3.49e+09),
           (-0.449,  3.15e+09),
           (-0.445,  3.59e+09),
           (-0.442,  2.53e+09),
           (-0.439,  2.46e+09),
           (-0.435,  2.75e+09),
           (-0.432,  1.84e+09),
           (-0.429,  3.24e+09),
           (-0.425,  3.98e+09),
           (-0.422,  1.72e+09),
           (-0.412,  2.82e+09),
           (-0.408,  1.11e+09),
           (-0.405,  1.79e+09),
           (-0.402,  3.73e+09),
           (-0.391,  2.73e+09),
           (-0.388,  2.85e+09),
           (-0.385,  3.62e+09),
           (-0.381,  2.51e+09),
           (-0.378,  3.63e+09),
           (-0.375,  1.81e+09),
           (-0.364,  2.50e+09),
           (-0.361,  1.38e+09),
           (-0.358,  3.22e+09),
           (-0.354,  3.33e+09),
           (-0.351,  2.48e+09),
           (-0.344,  2.70e+09),
           (-0.341,  2.26e+09),
           (-0.337,  2.70e+09),
           (-0.331,  4.08e+09),
           (-0.327,  3.53e+09),
           (-0.324,  1.02e+09),
           (-0.321,  3.82e+09),
           (-0.317,  4.62e+09),
           (-0.307,  2.01e+09),
           (-0.304,  3.43e+09),
           (-0.300,  3.82e+09),
           (-0.297,  5.34e+09),
           (-0.294,  2.88e+09),
           (-0.290,  4.68e+09),
           (-0.287,  3.85e+09),
           (-0.283,  3.80e+09),
           (-0.280,  4.67e+09),
           (-0.277,  3.92e+09),
           (-0.273,  3.80e+09),
           (-0.270,  3.30e+09),
           (-0.267,  3.60e+09),
           (-0.263,  4.17e+09),
           (-0.260,  3.92e+09),
           (-0.256,  4.07e+09),
           (-0.250,  2.44e+09),
           (-0.246,  4.81e+09),
           (-0.243,  5.19e+09),
           (-0.240,  4.70e+09),
           (-0.236,  5.48e+09),
           (-0.233,  5.57e+09),
           (-0.229,  5.12e+09),
           (-0.226,  4.07e+09),
           (-0.223,  4.55e+09),
           (-0.219,  6.12e+09),
           (-0.216,  3.93e+09),
           (-0.213,  4.85e+09),
           (-0.209,  4.72e+09),
           (-0.206,  2.81e+09),
           (-0.202,  3.79e+09),
           (-0.196,  4.67e+09),
           (-0.192,  4.36e+09),
           (-0.189,  3.44e+09),
           (-0.186,  6.02e+09),
           (-0.182,  6.50e+09),
           (-0.179,  5.71e+09),
           (-0.175,  6.94e+09),
           (-0.172,  5.43e+09),
           (-0.165,  8.05e+09),
           (-0.162,  6.82e+09),
           (-0.159,  6.10e+09),
           (-0.155,  5.83e+09),
           (-0.152,  6.13e+09),
           (-0.148,  5.29e+09),
           (-0.145,  4.82e+09),
           (-0.138,  6.65e+09),
           (-0.125,  7.26e+09),
           (-0.121,  6.95e+09),
           (-0.118,  7.76e+09),
           (-0.115,  7.46e+09),
           (-0.111,  6.13e+09),
           (-0.108,  5.89e+09),
           (-0.105,  7.20e+09),
           (-0.101,  6.82e+09),
           (-0.098,  8.53e+09),
           (-0.094,  7.30e+09),
           (-0.091,  8.24e+09),
           (-0.088,  6.49e+09),
           (-0.084,  7.72e+09),
           (-0.081,  8.45e+09),
           (-0.078,  7.26e+09),
           (-0.074,  7.01e+09),
           (-0.071,  9.26e+09),
           (-0.067,  8.32e+09),
           (-0.064,  6.33e+09),
           (-0.057,  6.96e+09),
           (-0.054,  7.80e+09),
           (-0.051,  9.52e+09),
           (-0.047,  8.70e+09),
           (-0.044,  8.96e+09),
           (-0.040,  6.82e+09),
           (-0.037,  8.35e+09),
           (-0.034,  8.99e+09),
           (-0.027,  8.30e+09),
           (-0.024,  8.24e+09),
           (-0.020,  8.43e+09),
           (-0.017,  9.76e+09),
           (-0.013,  7.96e+09),
           (-0.010,  9.02e+09),
           (-0.007,  8.97e+09),
           (-0.003,  8.01e+09),
           ( 0.000,  1.03e+10),
           ( 0.003,  8.67e+09),
           ( 0.007,  8.09e+09),
           ( 0.010,  9.97e+09),
           ( 0.017,  8.28e+09),
           ( 0.020,  1.02e+10),
           ( 0.024,  9.61e+09),
           ( 0.027,  1.14e+10),
           ( 0.030,  9.12e+09),
           ( 0.034,  1.01e+10),
           ( 0.037,  1.20e+10),
           ( 0.041,  1.05e+10),
           ( 0.047,  1.03e+10),
           ( 0.051,  9.47e+09),
           ( 0.054,  1.03e+10),
           ( 0.057,  1.03e+10),
           ( 0.064,  1.12e+10),
           ( 0.068,  9.56e+09),
           ( 0.071,  9.68e+09),
           ( 0.074,  1.13e+10),
           ( 0.081,  9.58e+09),
           ( 0.084,  9.65e+09),
           ( 0.088,  1.22e+10),
           ( 0.095,  1.08e+10),
           ( 0.098,  1.19e+10),
           ( 0.101,  1.10e+10),
           ( 0.105,  1.18e+10),
           ( 0.108,  1.12e+10),
           ( 0.111,  1.27e+10),
           ( 0.115,  1.13e+10),
           ( 0.118,  1.12e+10),
           ( 0.122,  1.32e+10),
           ( 0.125,  1.10e+10),
           ( 0.128,  1.14e+10),
           ( 0.132,  1.08e+10),
           ( 0.135,  1.14e+10),
           ( 0.142,  1.29e+10),
           ( 0.145,  1.27e+10),
           ( 0.149,  1.31e+10),
           ( 0.152,  1.38e+10),
           ( 0.155,  1.26e+10),
           ( 0.159,  1.21e+10),
           ( 0.162,  1.28e+10),
           ( 0.165,  1.27e+10),
           ( 0.169,  1.22e+10),
           ( 0.172,  1.22e+10),
           ( 0.176,  1.26e+10),
           ( 0.179,  1.14e+10),
           ( 0.182,  1.34e+10),
           ( 0.186,  1.33e+10),
           ( 0.189,  1.27e+10),
           ( 0.192,  1.34e+10),
           ( 0.196,  1.36e+10),
           ( 0.199,  1.43e+10),
           ( 0.203,  1.38e+10),
           ( 0.206,  1.43e+10),
           ( 0.213,  1.21e+10),
           ( 0.216,  1.24e+10),
           ( 0.219,  1.38e+10),
           ( 0.223,  1.44e+10),
           ( 0.226,  1.26e+10),
           ( 0.230,  1.46e+10),
           ( 0.233,  1.50e+10),
           ( 0.236,  1.48e+10),
           ( 0.240,  1.39e+10),
           ( 0.246,  1.51e+10),
           ( 0.250,  1.46e+10),
           ( 0.253,  1.31e+10),
           ( 0.257,  1.41e+10),
           ( 0.260,  1.41e+10),
           ( 0.263,  1.35e+10),
           ( 0.267,  1.64e+10),
           ( 0.273,  1.39e+10),
           ( 0.277,  1.46e+10),
           ( 0.280,  1.48e+10),
           ( 0.287,  1.48e+10),
           ( 0.290,  1.55e+10),
           ( 0.294,  1.49e+10),
           ( 0.297,  1.48e+10),
           ( 0.300,  1.60e+10),
           ( 0.304,  1.45e+10),
           ( 0.307,  1.56e+10),
           ( 0.311,  1.56e+10),
           ( 0.314,  1.47e+10),
           ( 0.317,  1.61e+10),
           ( 0.321,  1.56e+10),
           ( 0.324,  1.57e+10),
           ( 0.327,  1.65e+10),
           ( 0.331,  1.49e+10),
           ( 0.334,  1.52e+10),
           ( 0.338,  1.68e+10),
           ( 0.341,  1.65e+10),
