Bolide Detection Notification: 2013-071

At 10:32:59 on 12 March 2013, sensors aboard U. S. Government satellites recorded the
flash signature of a large meteoroid entry into the atmosphere. Location of the flash
was 32.8S, 17.1E.

Based on the visible-light intensity-time signature, peak brightness of the flash was
determined to be approximately 1.70e10 watts/steradian, and total radiated flash
energy 3.03e10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.297,  1.43e+09),
           (-0.294,  2.94e+08),
           (-0.290,  2.25e+09),
           (-0.287,  1.52e+09),
           (-0.283,  1.82e+09),
           (-0.280,  1.21e+09),
           (-0.277,  2.91e+09),
           (-0.273,  1.52e+09),
           (-0.270,  2.90e+09),
           (-0.267,  2.40e+09),
           (-0.263,  2.92e+09),
           (-0.260,  2.80e+09),
           (-0.257,  3.20e+09),
           (-0.253,  1.36e+09),
           (-0.246,  2.60e+09),
           (-0.243, -6.16e+07),
           (-0.240,  2.43e+09),
           (-0.236,  8.41e+08),
           (-0.233,  1.26e+09),
           (-0.230,  2.43e+09),
           (-0.226,  1.66e+09),
           (-0.223,  1.62e+08),
           (-0.219, -2.21e+08),
           (-0.216,  6.85e+08),
           (-0.213,  5.82e+08),
           (-0.209,  1.98e+08),
           (-0.206,  1.94e+09),
           (-0.203,  1.10e+09),
           (-0.199,  5.98e+08),
           (-0.196,  3.30e+09),
           (-0.192,  2.87e+09),
           (-0.189,  2.29e+09),
           (-0.186,  2.53e+09),
           (-0.182,  4.72e+08),
           (-0.179,  2.00e+09),
           (-0.175,  1.79e+09),
           (-0.172,  2.66e+09),
           (-0.169,  4.34e+08),
           (-0.165,  2.84e+08),
           (-0.162,  2.17e+09),
           (-0.159,  8.45e+08),
           (-0.155,  1.50e+08),
           (-0.152,  9.90e+08),
           (-0.149,  2.02e+09),
           (-0.145,  5.02e+08),
           (-0.142,  1.70e+09),
           (-0.138,  1.84e+09),
           (-0.135,  2.73e+08),
           (-0.132,  1.50e+09),
           (-0.128,  2.14e+09),
           (-0.125,  7.76e+06),
           (-0.121,  1.45e+09),
           (-0.118, -2.63e+08),
           (-0.115, -1.68e+08),
           (-0.111,  1.78e+09),
           (-0.108,  1.04e+09),
           (-0.105,  9.76e+07),
           (-0.101,  9.74e+08),
           (-0.098,  1.01e+08),
           (-0.095,  9.34e+08),
           (-0.091,  5.92e+08),
           (-0.088,  1.61e+09),
           (-0.084,  8.83e+08),
           (-0.081, -4.16e+08),
           (-0.078,  2.25e+09),
           (-0.074,  2.45e+09),
           (-0.071,  4.80e+09),
           (-0.068,  3.45e+09),
           (-0.064,  3.83e+09),
           (-0.061,  1.88e+09),
           (-0.057,  1.12e+09),
           (-0.054,  2.20e+09),
           (-0.051,  1.48e+09),
           (-0.047,  1.88e+09),
           (-0.044,  1.59e+09),
           (-0.040,  3.08e+09),
           (-0.037, -8.19e+08),
           (-0.034,  9.14e+08),
           (-0.030,  9.21e+08),
           (-0.027,  8.54e+08),
           (-0.024,  8.41e+08),
           (-0.020,  1.04e+09),
           (-0.017,  1.97e+09),
           (-0.013,  3.88e+09),
           (-0.010,  6.17e+09),
           (-0.007,  7.99e+09),
           (-0.003,  5.68e+09),
           ( 0.000,  7.55e+09),
           ( 0.003,  8.01e+09),
           ( 0.007,  8.73e+09),
           ( 0.010,  8.70e+09),
           ( 0.013,  9.42e+09),
           ( 0.017,  1.15e+10),
           ( 0.020,  1.16e+10),
           ( 0.024,  1.46e+10),
           ( 0.027,  1.48e+10),
           ( 0.030,  1.59e+10),
           ( 0.034,  1.71e+10),
           ( 0.037,  1.69e+10),
           ( 0.040,  1.87e+10),
           ( 0.044,  1.73e+10),
           ( 0.047,  1.92e+10),
           ( 0.051,  1.72e+10),
           ( 0.054,  1.58e+10),
           ( 0.057,  1.71e+10),
           ( 0.061,  1.55e+10),
           ( 0.064,  1.60e+10),
           ( 0.068,  1.67e+10),
           ( 0.071,  1.56e+10),
           ( 0.074,  1.26e+10),
           ( 0.078,  1.28e+10),
           ( 0.081,  8.44e+09),
           ( 0.084,  6.97e+09),
           ( 0.088,  8.17e+09),
           ( 0.091,  5.47e+09),
           ( 0.095,  7.19e+09),
           ( 0.098,  7.95e+09),
           ( 0.101,  6.00e+09),
           ( 0.105,  6.43e+09),
           ( 0.108,  6.81e+09),
           ( 0.111,  7.62e+09),
           ( 0.115,  5.34e+09),
           ( 0.118,  8.29e+09),
           ( 0.121,  7.15e+09),
           ( 0.125,  5.01e+09),
           ( 0.128,  7.72e+09),
           ( 0.132,  6.58e+09),
           ( 0.135,  3.37e+09),
           ( 0.138,  4.77e+09),
           ( 0.142,  6.43e+09),
           ( 0.145,  4.94e+09),
           ( 0.148,  5.53e+09),
           ( 0.152,  2.80e+09),
           ( 0.155,  4.95e+09),
           ( 0.159,  3.92e+09),
           ( 0.162,  6.09e+09),
           ( 0.165,  5.46e+09),
           ( 0.169,  4.18e+09),
           ( 0.172,  3.65e+09),
           ( 0.175,  3.58e+09),
           ( 0.179,  3.41e+09),
           ( 0.182,  4.05e+09),
           ( 0.186,  3.27e+09),
           ( 0.189,  3.19e+09),
           ( 0.192,  5.08e+09),
           ( 0.196,  6.54e+09),
           ( 0.199,  3.96e+09),
           ( 0.203,  3.04e+09),
           ( 0.206,  3.89e+09),
           ( 0.209,  5.68e+09),
           ( 0.213,  2.45e+09),
           ( 0.216,  2.22e+09),
           ( 0.219,  1.51e+09),
           ( 0.223,  1.58e+09),
           ( 0.226, -1.58e+08),
           ( 0.230,  3.03e+08),
           ( 0.233,  3.02e+09),
           ( 0.236,  3.37e+09),
           ( 0.240,  9.68e+08),
           ( 0.243, -3.70e+08),
           ( 0.246, -1.00e+09),
           ( 0.250,  2.01e+09),
           ( 0.253, -1.45e+08),
           ( 0.256,  9.02e+08),
           ( 0.260, -1.05e+09),
           ( 0.263, -6.93e+08),
           ( 0.267, -1.41e+09),
           ( 0.270, -1.49e+09),
           ( 0.273, -2.59e+08),
