Bolide Detection Notification: 2013-208

At 08:30:36 on 27 July 2013, sensors aboard U. S. Government satellites recorded the
flash signature of a large meteoroid entry into the atmosphere. Location of the flash
was 0.3N, 156.2E.

Based on the visible-light intensity-time signature, peak brightness of the flash was
determined to be approximately 4.90e10 watts/steradian, and total radiated flash
energy 1.20e11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.199,  2.31e+08),
           (-0.196,  1.50e+09),
           (-0.192,  1.38e+09),
           (-0.189,  8.08e+08),
           (-0.186, -2.36e+09),
           (-0.182, -7.32e+08),
           (-0.179,  5.82e+07),
           (-0.176,  4.07e+08),
           (-0.172,  5.19e+08),
           (-0.169,  2.38e+09),
           (-0.165,  2.01e+09),
           (-0.162,  1.53e+09),
           (-0.159, -4.34e+08),
           (-0.155,  1.36e+09),
           (-0.152,  2.53e+08),
           (-0.149,  2.47e+09),
           (-0.145, -1.92e+08),
           (-0.142, -6.30e+05),
           (-0.138,  1.88e+09),
           (-0.135,  9.88e+08),
           (-0.132,  7.84e+08),
           (-0.128,  4.53e+08),
           (-0.121,  9.09e+08),
           (-0.118,  5.75e+08),
           (-0.115,  3.29e+09),
           (-0.111,  3.54e+09),
           (-0.108,  2.72e+09),
           (-0.105,  1.72e+09),
           (-0.101,  1.32e+09),
           (-0.098, -1.02e+08),
           (-0.095,  8.96e+08),
           (-0.091, -3.65e+08),
           (-0.088,  5.36e+07),
           (-0.084,  1.32e+09),
           (-0.081,  1.61e+09),
           (-0.078,  9.16e+08),
           (-0.074,  5.81e+07),
           (-0.071, -1.22e+09),
           (-0.068,  1.99e+09),
           (-0.064, -1.13e+07),
           (-0.061, -1.10e+09),
           (-0.057,  9.25e+08),
           (-0.054,  2.58e+09),
           (-0.051,  7.51e+08),
           (-0.047,  1.52e+09),
           (-0.044,  1.59e+09),
           (-0.040,  5.93e+07),
           (-0.037, -2.42e+08),
           (-0.034,  2.82e+09),
           (-0.030,  2.67e+09),
           (-0.027,  3.73e+09),
           (-0.024,  3.47e+09),
           (-0.020,  4.39e+09),
           (-0.017,  3.56e+09),
           (-0.014,  2.49e+09),
           (-0.010,  2.88e+09),
           (-0.007,  2.56e+09),
           (-0.003,  3.95e+09),
           ( 0.000,  5.95e+09),
           ( 0.003,  5.04e+09),
           ( 0.007,  6.00e+09),
           ( 0.010,  4.96e+09),
           ( 0.014,  6.44e+09),
           ( 0.017,  5.81e+09),
           ( 0.020,  7.28e+09),
           ( 0.024,  7.69e+09),
           ( 0.027,  1.03e+10),
           ( 0.030,  8.16e+09),
           ( 0.034,  8.83e+09),
           ( 0.037,  1.27e+10),
           ( 0.040,  1.36e+10),
           ( 0.044,  1.29e+10),
           ( 0.047,  1.57e+10),
           ( 0.051,  1.59e+10),
           ( 0.054,  1.70e+10),
