Bolide Detection Notification: 2013-211

At 02:36:58 on 30 July 2013, sensors aboard U. S. Government satellites recorded the
flash signature of a large meteoroid entry into the atmosphere. Location of the flash
was 50.2S, 90.2E.

Based on the visible-light intensity-time signature, peak brightness of the flash was
determined to be approximately 4.90e10 watts/steradian, and total radiated flash
energy 3.90e11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.199, -9.07e+07),
           (-0.196, -1.21e+09),
           (-0.192, -1.20e+09),
           (-0.189,  2.40e+09),
           (-0.186,  4.95e+08),
           (-0.182, -7.12e+08),
           (-0.179,  7.56e+08),
           (-0.175, -1.60e+09),
           (-0.172, -8.81e+08),
           (-0.169,  2.28e+09),
           (-0.165,  8.06e+08),
           (-0.162,  1.37e+09),
           (-0.159,  2.72e+08),
           (-0.155,  3.73e+08),
           (-0.152,  2.60e+09),
           (-0.145, -1.20e+09),
           (-0.142, -1.48e+09),
           (-0.138, -4.05e+08),
           (-0.135,  1.09e+09),
           (-0.132,  1.93e+09),
           (-0.128,  3.31e+08),
           (-0.122, -7.96e+08),
           (-0.115,  1.68e+09),
           (-0.111,  6.07e+08),
           (-0.108, -1.31e+09),
           (-0.105, -1.06e+09),
           (-0.098,  8.39e+08),
           (-0.095,  8.36e+08),
           (-0.091, -5.48e+08),
           (-0.088,  5.49e+08),
           (-0.084,  2.03e+09),
           (-0.081,  7.38e+08),
           (-0.074,  4.06e+09),
           (-0.071,  1.25e+09),
           (-0.068,  1.51e+09),
           (-0.064,  1.31e+09),
           (-0.061,  3.43e+09),
           (-0.057,  1.21e+09),
           (-0.054,  2.60e+09),
           (-0.051,  1.53e+09),
           (-0.047,  1.68e+09),
           (-0.044,  9.76e+08),
           (-0.040,  2.93e+09),
           (-0.034,  9.93e+08),
           (-0.030,  2.38e+09),
           (-0.027,  9.65e+08),
           (-0.024,  1.49e+08),
           (-0.020,  2.68e+09),
           (-0.017,  7.36e+08),
           (-0.007,  5.91e+09),
           (-0.003,  3.97e+09),
           ( 0.000,  3.16e+09),
           ( 0.003,  2.69e+09),
           ( 0.007,  2.78e+09),
           ( 0.010,  2.96e+09),
           ( 0.013,  2.83e+09),
           ( 0.017,  3.65e+09),
           ( 0.020,  1.86e+09),
           ( 0.024,  1.08e+09),
           ( 0.027,  3.76e+09),
           ( 0.030,  5.17e+09),
           ( 0.037,  2.14e+09),
           ( 0.041,  2.73e+09),
           ( 0.044,  3.78e+09),
           ( 0.047,  2.30e+09),
           ( 0.051,  1.61e+09),
           ( 0.054,  2.71e+09),
           ( 0.057,  4.19e+09),
           ( 0.061,  2.81e+09),
           ( 0.064,  3.64e+09),
