Bolide Detection Notification: 2013-282

At 17:27:36 UT on 09 Oct 2013, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.75e+10 watts/steradian, and total radiated flash
energy 6.01e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.199,  1.55e+09),
           (-0.196, -8.33e+08),
           (-0.192,  2.63e+08),
           (-0.189,  2.41e+09),
           (-0.186,  3.56e+08),
           (-0.182,  4.67e+08),
           (-0.179,  1.35e+09),
           (-0.176, -7.78e+08),
           (-0.172, -2.60e+09),
           (-0.169,  2.14e+09),
           (-0.165, -1.87e+07),
           (-0.162,  3.99e+07),
           (-0.159,  1.52e+08),
           (-0.155,  6.77e+08),
           (-0.152, -1.38e+09),
           (-0.149,  3.12e+08),
           (-0.145,  9.94e+08),
           (-0.142,  1.48e+09),
           (-0.138, -2.00e+09),
           (-0.135, -1.54e+08),
           (-0.132,  1.24e+09),
           (-0.128,  1.39e+09),
           (-0.121, -6.42e+08),
           (-0.118, -1.89e+08),
           (-0.115,  1.37e+09),
           (-0.111, -3.46e+08),
           (-0.108,  9.30e+08),
           (-0.105,  1.80e+09),
           (-0.101,  1.21e+09),
           (-0.098,  1.97e+09),
           (-0.095, -4.10e+08),
           (-0.091,  9.94e+08),
           (-0.088,  1.88e+09),
           (-0.084,  1.41e+09),
           (-0.081,  2.06e+09),
           (-0.078,  1.65e+09),
           (-0.074,  1.36e+09),
           (-0.071,  7.87e+08),
           (-0.064,  2.16e+09),
           (-0.061,  1.93e+09),
           (-0.057,  1.07e+09),
           (-0.054, -4.87e+08),
           (-0.051,  1.96e+09),
           (-0.047,  8.95e+08),
           (-0.044,  2.59e+09),
           (-0.040,  1.79e+09),
           (-0.037,  7.03e+08),
           (-0.034,  1.20e+09),
           (-0.030,  1.79e+09),
           (-0.027,  2.11e+09),
           (-0.024,  5.04e+09),
           (-0.020,  5.50e+09),
           (-0.017,  2.17e+09),
           (-0.014,  3.45e+09),
           (-0.010,  2.91e+09),
           (-0.007,  4.35e+09),
           (-0.003,  2.53e+09),
           ( 0.000,  7.91e+09),
           ( 0.003,  1.09e+10),
           ( 0.007,  1.24e+10),
           ( 0.014,  6.74e+09),
           ( 0.017,  6.84e+09),
           ( 0.020,  5.94e+09),
           ( 0.024,  5.53e+09),
           ( 0.027,  4.70e+09),
           ( 0.030,  5.77e+09),
           ( 0.034,  4.26e+09),
           ( 0.037,  5.03e+09),
           ( 0.040,  2.79e+09),
           ( 0.044,  4.90e+09),
           ( 0.047,  5.04e+09),
           ( 0.051,  3.56e+09),
           ( 0.054,  4.63e+09),
           ( 0.057,  4.76e+09),
           ( 0.061,  4.71e+09),
           ( 0.064,  3.45e+09),
           ( 0.067,  5.08e+09),
           ( 0.071,  5.67e+09),
           ( 0.074,  8.85e+09),
           ( 0.078,  8.49e+09),
           ( 0.081,  6.24e+09),
           ( 0.084,  4.80e+09),
           ( 0.088,  6.71e+09),
           ( 0.091,  6.50e+09),
           ( 0.094,  4.50e+09),
           ( 0.098,  4.52e+09),
           ( 0.101,  6.14e+09),
           ( 0.108,  1.17e+10),
           ( 0.111,  1.39e+10),
           ( 0.115,  1.54e+10),
           ( 0.118,  1.75e+10),
           ( 0.121,  1.69e+10),
           ( 0.125,  1.34e+10),
           ( 0.128,  1.19e+10),
           ( 0.132,  1.02e+10),
           ( 0.135,  8.21e+09),
           ( 0.138,  7.81e+09),
           ( 0.142,  6.10e+09),
           ( 0.145,  6.74e+09),
           ( 0.149,  9.16e+09),
           ( 0.152,  6.73e+09),
           ( 0.155,  4.84e+09),
           ( 0.159,  6.81e+09),
           ( 0.162,  3.14e+09),
           ( 0.165,  6.07e+09),
           ( 0.169,  6.71e+09),
           ( 0.172,  5.86e+09),
           ( 0.175,  3.22e+09),
           ( 0.179,  4.77e+09),
           ( 0.182,  4.46e+09),
           ( 0.186,  3.11e+09),
           ( 0.189,  3.42e+09),
           ( 0.192,  2.24e+09),
           ( 0.196,  1.94e+09),
           ( 0.199,  2.20e+09),
           ( 0.202,  3.05e+09),
           ( 0.206,  5.07e+09),
           ( 0.209,  1.69e+09),
           ( 0.213,  6.34e+09),
           ( 0.216,  3.27e+09),
           ( 0.219,  5.58e+09),
           ( 0.223,  1.33e+09),
           ( 0.226,  3.05e+09),
           ( 0.229,  3.85e+09),
           ( 0.233,  2.57e+09),
           ( 0.236,  4.18e+09),
