Bolide Detection Notification: 2013-342

At 03:10:09 UT on 08 Dec 2013, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 32.8 °N, Lon 165.1 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 3.32e+10 watts/steradian, and total radiated flash
energy 1.23e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.998,  2.74e+08),
           (-1.995,  3.42e+07),
           (-1.991, -3.63e+08),
           (-1.988,  4.33e+08),
           (-1.985,  6.20e+08),
           (-1.981,  5.44e+08),
           (-1.978, -4.34e+08),
           (-1.974,  3.17e+09),
           (-1.971,  2.83e+09),
           (-1.968,  3.43e+08),
           (-1.964,  1.39e+08),
           (-1.961,  1.48e+09),
           (-1.958,  1.26e+09),
           (-1.954,  1.38e+09),
           (-1.951,  9.36e+07),
           (-1.944, -9.08e+08),
           (-1.941,  1.32e+09),
           (-1.937,  7.30e+08),
           (-1.934, -1.06e+09),
           (-1.931,  9.47e+07),
           (-1.927,  1.77e+09),
           (-1.924, -1.16e+09),
           (-1.920, -1.09e+09),
           (-1.917,  1.46e+09),
           (-1.914,  1.24e+09),
           (-1.910, -1.48e+09),
           (-1.907,  7.22e+08),
           (-1.903,  8.99e+08),
           (-1.900,  3.68e+08),
           (-1.897, -1.29e+09),
           (-1.890,  1.53e+09),
           (-1.887,  4.24e+08),
           (-1.883,  7.90e+08),
           (-1.880,  6.35e+07),
           (-1.877, -1.29e+09),
           (-1.873, -7.26e+08),
           (-1.870, -5.30e+08),
           (-1.866, -1.30e+09),
           (-1.863, -6.64e+08),
           (-1.860,  8.68e+08),
           (-1.856,  9.74e+08),
           (-1.853, -5.49e+08),
           (-1.850, -1.24e+09),
           (-1.846, -2.36e+08),
           (-1.843, -5.25e+07),
           (-1.839,  2.65e+08),
           (-1.836,  2.19e+08),
           (-1.833,  5.69e+08),
           (-1.829, -2.34e+09),
           (-1.826, -1.82e+09),
           (-1.823, -9.66e+08),
           (-1.819, -1.74e+09),
           (-1.816, -1.35e+08),
           (-1.812, -1.31e+09),
           (-1.809, -2.54e+08),
           (-1.806,  2.44e+09),
           (-1.802, -1.35e+09),
           (-1.799, -1.16e+09),
           (-1.796, -7.21e+08),
           (-1.792,  1.65e+09),
           (-1.789,  7.28e+08),
           (-1.785,  9.54e+08),
           (-1.782, -1.01e+09),
           (-1.779, -2.65e+08),
           (-1.775,  2.00e+09),
           (-1.772,  2.47e+09),
           (-1.768, -5.62e+08),
           (-1.765,  9.52e+08),
           (-1.762, -1.50e+09),
           (-1.758, -4.20e+08),
           (-1.755,  1.96e+08),
           (-1.752, -2.05e+09),
           (-1.748,  1.26e+09),
           (-1.745, -2.99e+07),
           (-1.742,  2.22e+09),
           (-1.738,  7.73e+08),
           (-1.735,  1.81e+09),
           (-1.728,  3.23e+06),
           (-1.725, -2.51e+09),
           (-1.721, -2.45e+08),
           (-1.718,  1.26e+09),
           (-1.714,  8.30e+08),
           (-1.711,  6.53e+08),
           (-1.708,  5.29e+07),
           (-1.704, -2.25e+08),
           (-1.701, -2.54e+09),
           (-1.698,  2.14e+09),
           (-1.694,  4.35e+08),
           (-1.691, -5.96e+07),
           (-1.688,  1.58e+09),
           (-1.684, -1.72e+09),
           (-1.681, -3.59e+08),
           (-1.677, -5.69e+08),
           (-1.674,  8.41e+08),
           (-1.671, -3.56e+08),
           (-1.667,  4.86e+08),
           (-1.664,  7.88e+08),
           (-1.661, -1.10e+08),
           (-1.657,  1.18e+08),
           (-1.654,  1.31e+09),
           (-1.650,  2.04e+08),
           (-1.647, -1.41e+09),
           (-1.644,  9.23e+08),
           (-1.640,  1.89e+08),
           (-1.637,  7.47e+08),
           (-1.633,  9.95e+08),
           (-1.630, -3.02e+08),
           (-1.627, -6.65e+08),
           (-1.623, -3.45e+08),
           (-1.620,  1.44e+08),
           (-1.617, -2.91e+09),
           (-1.613,  1.95e+09),
           (-1.610,  5.21e+08),
           (-1.607,  1.48e+09),
           (-1.603, -2.77e+08),
           (-1.600,  1.65e+09),
           (-1.593, -8.55e+08),
           (-1.586,  9.05e+08),
           (-1.583, -1.89e+08),
           (-1.579,  9.80e+08),
           (-1.576,  2.16e+08),
           (-1.573,  8.10e+08),
           (-1.569,  8.31e+08),
           (-1.566,  3.86e+08),
           (-1.563,  1.75e+08),
           (-1.559,  7.16e+08),
           (-1.556,  1.77e+09),
           (-1.552,  2.26e+09),
           (-1.549,  1.93e+09),
           (-1.546,  5.56e+08),
           (-1.542,  6.98e+08),
           (-1.539,  1.66e+09),
           (-1.536,  1.13e+09),
           (-1.532,  1.93e+08),
           (-1.529,  1.54e+09),
           (-1.526,  1.98e+09),
           (-1.522,  7.92e+08),
           (-1.519,  1.92e+09),
           (-1.515,  5.60e+08),
           (-1.512,  1.22e+09),
           (-1.509,  2.14e+09),
           (-1.505,  4.57e+09),
           (-1.502,  2.07e+09),
           (-1.498,  2.26e+09),
           (-1.495,  1.55e+09),
           (-1.492,  1.86e+09),
           (-1.488,  1.42e+09),
           (-1.485, -3.86e+07),
           (-1.482,  1.11e+09),
           (-1.478,  2.92e+09),
           (-1.475,  2.48e+09),
           (-1.472,  1.76e+08),
           (-1.468,  5.53e+08),
           (-1.465,  1.32e+09),
           (-1.461,  1.94e+08),
           (-1.458,  2.89e+09),
           (-1.455,  7.68e+07),
           (-1.451,  1.66e+09),
           (-1.448,  8.82e+08),
           (-1.444,  5.59e+08),
           (-1.441,  2.24e+09),
           (-1.438, -3.69e+08),
           (-1.434,  8.56e+08),
           (-1.431,  1.62e+09),
           (-1.428,  1.62e+09),
           (-1.424,  9.96e+08),
           (-1.421,  1.18e+09),
           (-1.417,  2.09e+09),
           (-1.414,  1.57e+09),
           (-1.411,  1.51e+09),
           (-1.407, -1.59e+08),
           (-1.404, -8.29e+08),
           (-1.401,  1.14e+09),
           (-1.397,  1.03e+08),
           (-1.394,  4.73e+08),
           (-1.391,  2.47e+09),
           (-1.387, -1.58e+08),
           (-1.384,  2.44e+09),
           (-1.380,  3.47e+09),
           (-1.377,  2.72e+09),
           (-1.374, -1.23e+09),
           (-1.370, -8.89e+08),
           (-1.367,  2.76e+08),
           (-1.363,  1.99e+09),
           (-1.360,  1.08e+09),
           (-1.357,  5.44e+08),
           (-1.353, -3.57e+08),
           (-1.350,  1.71e+09),
           (-1.347,  1.86e+09),
           (-1.343, -5.50e+08),
           (-1.340,  1.99e+09),
           (-1.337,  1.24e+09),
           (-1.333,  1.24e+09),
           (-1.330, -3.62e+08),
           (-1.326, -2.11e+08),
           (-1.323,  7.63e+08),
           (-1.320,  2.99e+09),
           (-1.316,  5.10e+08),
           (-1.313,  1.33e+09),
           (-1.309,  1.11e+08),
           (-1.306, -1.41e+08),
           (-1.303,  1.14e+09),
           (-1.299,  1.47e+09),
           (-1.296, -2.98e+08),
           (-1.293,  8.66e+07),
           (-1.289,  6.78e+08),
