Bolide Detection Notification: 2013-357

At 08:30:58 UT on 23 Dec 2013, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 39.5N, Lon 2.0E.

 Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 1.61e10 watts/steradian, and total radiated flash
energy  24.5e10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.498, -5.09e+09),
           (-1.495, -3.21e+09),
           (-1.492,  7.94e+08),
           (-1.488,  2.83e+09),
           (-1.485,  1.37e+09),
           (-1.482,  4.09e+08),
           (-1.478,  1.37e+09),
           (-1.475,  1.65e+09),
           (-1.471,  1.59e+09),
           (-1.468, -3.27e+09),
           (-1.465, -3.70e+09),
           (-1.461, -3.72e+09),
           (-1.458, -3.35e+09),
           (-1.455, -1.63e+09),
           (-1.451, -2.10e+08),
           (-1.448, -3.31e+09),
           (-1.445, -1.62e+09),
           (-1.441, -2.13e+09),
           (-1.438, -7.06e+09),
           (-1.434, -4.10e+09),
           (-1.431, -9.43e+08),
           (-1.428, -2.27e+08),
           (-1.424,  3.66e+09),
           (-1.421,  6.26e+08),
           (-1.417,  4.28e+08),
           (-1.414, -3.69e+09),
           (-1.411,  1.48e+09),
           (-1.407, -2.95e+09),
           (-1.404,  2.66e+08),
           (-1.401, -4.85e+09),
           (-1.397, -6.81e+09),
           (-1.394, -2.06e+09),
           (-1.391, -1.77e+09),
           (-1.387, -3.66e+09),
           (-1.384,  6.94e+08),
           (-1.380, -3.88e+08),
           (-1.377,  2.33e+08),
           (-1.374, -2.08e+09),
           (-1.370, -3.89e+09),
           (-1.367,  8.16e+08),
           (-1.363,  1.15e+09),
           (-1.360, -6.83e+08),
           (-1.357, -4.57e+09),
           (-1.353, -5.26e+09),
           (-1.350, -1.61e+09),
           (-1.347, -8.49e+08),
           (-1.343,  7.71e+08),
           (-1.340, -3.36e+09),
           (-1.336, -1.82e+09),
           (-1.333, -4.81e+08),
           (-1.330, -5.24e+09),
           (-1.326, -7.20e+09),
           (-1.323, -2.76e+09),
           (-1.320, -9.32e+08),
           (-1.316, -8.72e+07),
           (-1.313, -2.59e+09),
           (-1.310, -3.34e+08),
           (-1.306, -3.86e+09),
           (-1.303, -2.78e+09),
           (-1.299, -4.34e+09),
           (-1.296, -4.52e+09),
           (-1.293, -5.58e+09),
           (-1.289, -3.84e+09),
           (-1.286, -7.12e+08),
           (-1.282, -2.27e+09),
           (-1.279, -7.42e+08),
           (-1.276, -2.12e+09),
           (-1.272, -7.85e+08),
           (-1.269, -2.24e+09),
           (-1.266,  2.80e+08),
           (-1.262, -2.94e+09),
           (-1.259, -5.36e+08),
           (-1.256, -5.34e+09),
           (-1.252, -5.34e+09),
           (-1.249,  4.35e+09),
           (-1.245, -1.63e+09),
           (-1.242,  9.22e+07),
           (-1.239, -7.19e+08),
           (-1.235,  9.92e+08),
           (-1.232, -3.75e+09),
           (-1.228, -3.15e+09),
           (-1.225, -7.34e+08),
           (-1.222, -1.85e+09),
           (-1.218, -6.12e+09),
           (-1.215, -2.22e+09),
           (-1.212,  2.14e+09),
           (-1.208, -2.31e+09),
           (-1.205, -3.64e+09),
           (-1.201, -4.48e+09),
           (-1.198, -1.43e+09),
           (-1.195, -4.58e+09),
           (-1.191, -1.52e+09),
           (-1.188, -4.15e+09),
           (-1.185, -2.69e+09),
           (-1.181, -4.65e+09),
           (-1.178,  4.50e+08),
           (-1.175, -1.18e+09),
           (-1.171, -1.71e+09),
           (-1.168, -1.03e+09),
           (-1.164, -2.29e+09),
           (-1.161, -3.15e+09),
           (-1.158, -1.11e+09),
           (-1.154,  9.30e+08),
           (-1.151,  2.96e+09),
           (-1.147,  3.41e+08),
           (-1.144, -4.95e+09),
           (-1.141, -3.45e+09),
           (-1.137, -3.68e+09),
           (-1.134, -2.78e+09),
           (-1.131, -4.35e+09),
           (-1.127, -2.76e+09),
           (-1.124, -1.15e+09),
           (-1.121, -5.93e+09),
           (-1.117, -2.12e+09),
           (-1.114, -4.70e+09),
           (-1.110,  7.23e+07),
           (-1.107, -2.15e+09),
           (-1.104, -6.56e+09),
           (-1.100, -2.10e+09),
           (-1.097,  2.04e+09),
           (-1.093, -2.68e+09),
           (-1.090, -4.24e+09),
           (-1.087,  2.82e+09),
           (-1.083, -2.40e+09),
           (-1.080,  3.16e+09),
           (-1.077,  4.77e+09),
           (-1.073,  1.80e+09),
           (-1.070, -5.42e+09),
           (-1.066, -1.83e+09),
           (-1.063, -1.54e+09),
           (-1.060, -6.76e+09),
           (-1.056, -4.90e+09),
           (-1.053, -1.19e+09),
           (-1.050,  2.71e+09),
           (-1.046, -2.46e+09),
           (-1.043, -4.34e+08),
           (-1.040,  1.27e+09),
           (-1.036, -3.16e+09),
           (-1.033, -7.13e+09),
           (-1.029, -2.69e+08),
           (-1.026, -1.48e+08),
           (-1.023, -1.62e+09),
           (-1.019, -8.66e+08),
           (-1.016, -8.50e+06),
           (-1.012, -2.43e+09),
           (-1.009, -2.55e+09),
           (-1.006, -1.19e+09),
           (-1.002, -1.16e+09),
           (-0.999,  4.40e+08),
           (-0.996, -1.81e+09),
           (-0.992, -8.38e+08),
           (-0.989, -2.18e+09),
           (-0.986, -5.32e+09),
           (-0.982, -4.88e+09),
           (-0.979,  1.67e+07),
           (-0.975, -4.77e+09),
           (-0.972, -3.41e+09),
           (-0.969, -3.43e+09),
           (-0.965, -1.40e+09),
           (-0.962,  8.24e+08),
           (-0.958, -1.98e+09),
           (-0.955, -1.75e+09),
           (-0.952, -3.61e+08),
           (-0.948, -5.99e+08),
           (-0.945, -3.29e+09),
           (-0.942, -1.47e+09),
           (-0.938, -5.28e+09),
           (-0.935, -9.58e+08),
           (-0.931, -2.03e+09),
           (-0.928, -1.02e+09),
           (-0.925, -1.10e+09),
           (-0.921, -3.37e+09),
           (-0.918,  6.31e+08),
           (-0.915, -2.34e+09),
           (-0.911, -3.61e+08),
           (-0.908, -2.60e+09),
           (-0.905, -2.10e+08),
           (-0.901, -2.97e+09),
           (-0.898, -2.38e+09),
           (-0.894, -8.42e+08),
           (-0.891, -2.37e+09),
           (-0.888, -2.05e+09),
           (-0.884,  2.50e+08),
           (-0.881,  2.04e+08),
           (-0.877, -2.60e+09),
           (-0.874, -4.64e+09),
           (-0.871, -3.55e+09),
           (-0.867, -1.39e+09),
           (-0.864, -3.21e+09),
           (-0.861,  7.00e+08),
           (-0.857,  1.87e+09),
           (-0.854, -1.75e+09),
           (-0.851,  5.93e+07),
           (-0.847, -4.23e+09),
           (-0.844, -3.99e+09),
           (-0.840,  1.60e+08),
           (-0.837,  2.68e+09),
           (-0.834, -1.24e+09),
           (-0.830, -1.78e+09),
           (-0.827, -5.82e+08),
           (-0.823, -1.45e+09),
           (-0.820,  1.23e+08),
           (-0.817, -3.22e+09),
           (-0.813, -2.96e+09),
           (-0.810, -1.26e+09),
           (-0.807, -1.66e+09),
           (-0.803, -5.51e+09),
           (-0.800, -1.58e+09),
           (-0.796, -1.60e+09),
           (-0.793, -7.10e+09),
           (-0.790,  3.97e+08),
           (-0.786, -1.22e+09),
           (-0.783, -8.04e+05),
           (-0.780,  8.92e+08),
           (-0.776, -3.62e+09),
           (-0.773, -1.63e+09),
           (-0.770, -1.34e+09),
           (-0.766, -5.50e+09),
           (-0.763, -2.31e+09),
           (-0.759, -1.57e+09),
           (-0.756, -1.95e+09),
           (-0.753, -7.04e+07),
           (-0.749, -3.37e+09),
           (-0.746,  8.94e+08),
           (-0.742,  1.91e+09),
           (-0.739, -5.49e+09),
           (-0.736, -4.97e+09),
           (-0.732, -2.32e+09),
           (-0.729, -2.66e+09),
           (-0.726, -1.38e+09),
           (-0.722,  2.73e+09),
           (-0.719, -4.06e+09),
           (-0.716, -1.22e+09),
           (-0.712, -1.24e+09),
           (-0.709,  3.18e+08),
           (-0.705,  1.21e+08),
           (-0.702, -7.33e+08),
           (-0.699, -3.22e+09),
           (-0.695,  1.10e+09),
           (-0.692, -7.49e+08),
           (-0.688, -2.09e+09),
           (-0.685, -2.54e+09),
           (-0.682, -5.49e+09),
           (-0.678, -1.18e+09),
           (-0.675,  9.56e+08),
           (-0.672, -5.83e+08),
           (-0.668, -5.26e+09),
           (-0.665, -4.85e+09),
           (-0.661, -4.90e+09),
           (-0.658, -8.72e+08),
           (-0.655, -2.82e+09),
           (-0.651, -4.82e+09),
           (-0.648, -4.52e+09),
           (-0.645,  5.26e+08),
           (-0.641, -1.70e+09),
           (-0.638, -6.67e+08),
           (-0.635, -5.09e+08),
           (-0.631,  5.15e+08),
           (-0.628, -2.55e+09),
           (-0.624, -1.67e+09),
           (-0.621, -2.66e+09),
           (-0.618, -1.58e+09),
           (-0.614,  2.40e+09),
           (-0.611, -4.94e+09),
           (-0.607, -4.23e+09),
           (-0.604, -1.43e+09),
           (-0.601, -1.99e+09),
           (-0.597, -2.51e+09),
           (-0.594, -2.50e+09),
           (-0.591, -3.35e+09),
           (-0.587, -3.72e+09),
           (-0.584, -3.67e+09),
           (-0.581, -1.09e+09),
           (-0.577, -3.99e+09),
           (-0.574, -6.08e+09),
           (-0.570, -1.08e+09),
           (-0.567, -1.83e+09),
           (-0.564, -4.62e+09),
           (-0.560, -2.35e+09),
           (-0.557, -2.28e+09),
           (-0.553, -3.81e+09),
           (-0.550, -2.70e+09),
           (-0.547,  3.17e+09),
           (-0.543,  8.49e+08),
           (-0.540,  3.50e+08),
           (-0.537, -1.55e+09),
           (-0.533, -1.47e+08),
           (-0.530,  7.05e+08),
           (-0.526,  1.11e+08),
           (-0.523,  9.66e+08),
           (-0.520,  1.98e+09),
           (-0.516,  1.02e+09),
           (-0.513, -4.70e+09),
           (-0.510, -1.06e+09),
           (-0.506, -2.88e+09),
           (-0.503, -1.89e+09),
           (-0.500, -1.55e+09),
           (-0.496,  3.45e+09),
           (-0.493,  4.95e+09),
           (-0.489,  2.32e+09),
           (-0.486,  2.09e+09),
           (-0.483,  2.05e+09),
           (-0.479, -1.54e+09),
           (-0.476, -2.35e+09),
           (-0.472,  2.94e+09),
           (-0.469,  5.71e+09),
           (-0.466,  2.86e+09),
           (-0.462,  3.96e+09),
           (-0.459,  1.69e+09),
           (-0.456,  4.62e+08),
           (-0.452,  7.21e+09),
           (-0.449,  4.40e+09),
           (-0.446, -4.29e+08),
           (-0.442,  2.12e+09),
           (-0.439,  8.76e+08),
           (-0.435,  6.57e+09),
           (-0.432,  6.74e+09),
           (-0.429,  7.24e+09),
           (-0.425,  1.82e+09),
           (-0.422,  3.33e+09),
           (-0.418, -6.46e+08),
           (-0.415,  5.28e+09),
           (-0.412,  2.32e+09),
           (-0.408,  3.61e+09),
           (-0.405,  2.76e+09),
           (-0.402,  5.71e+09),
           (-0.398,  5.16e+09),
           (-0.395,  2.27e+09),
           (-0.391,  5.14e+09),
           (-0.388,  7.94e+09),
           (-0.385,  6.86e+09),
           (-0.381,  3.83e+09),
           (-0.378,  8.16e+09),
           (-0.375,  8.36e+09),
           (-0.371,  7.35e+09),
           (-0.368,  8.08e+09),
           (-0.365,  5.07e+09),
           (-0.361,  5.13e+09),
           (-0.358,  5.48e+09),
           (-0.354,  7.89e+09),
           (-0.351,  8.08e+09),
           (-0.348,  1.04e+10),
           (-0.344,  7.01e+09),
           (-0.341,  8.29e+09),
           (-0.337,  3.01e+09),
           (-0.334,  5.64e+09),
           (-0.331,  9.01e+09),
           (-0.327,  9.25e+09),
           (-0.324,  1.08e+10),
           (-0.321,  1.35e+10),
           (-0.317,  8.40e+09),
           (-0.314,  6.27e+09),
           (-0.311,  6.06e+09),
           (-0.307,  1.26e+10),
           (-0.304,  7.32e+09),
           (-0.300,  1.03e+10),
           (-0.297,  1.07e+10),
           (-0.294,  1.18e+10),
           (-0.290,  1.24e+10),
           (-0.287,  1.40e+10),
           (-0.284,  1.30e+10),
           (-0.280,  1.07e+10),
           (-0.277,  1.13e+10),
           (-0.273,  1.16e+10),
           (-0.270,  1.31e+10),
           (-0.267,  1.74e+10),
           (-0.263,  1.37e+10),
           (-0.260,  1.46e+10),
           (-0.256,  1.62e+10),
           (-0.253,  1.67e+10),
           (-0.250,  1.23e+10),
           (-0.246,  1.51e+10),
           (-0.243,  1.26e+10),
           (-0.240,  1.60e+10),
           (-0.236,  1.62e+10),
           (-0.233,  1.26e+10),
           (-0.230,  1.69e+10),
           (-0.226,  1.42e+10),
           (-0.223,  1.65e+10),
           (-0.219,  1.41e+10),
           (-0.216,  1.66e+10),
           (-0.213,  1.02e+10),
           (-0.209,  1.31e+10),
           (-0.206,  1.52e+10),
           (-0.202,  1.75e+10),
           (-0.199,  1.32e+10),
           (-0.196,  1.64e+10),
           (-0.192,  1.74e+10),
           (-0.189,  1.72e+10),
           (-0.186,  1.51e+10),
           (-0.182,  1.79e+10),
           (-0.179,  1.69e+10),
           (-0.176,  1.34e+10),
           (-0.172,  1.40e+10),
           (-0.169,  1.45e+10),
           (-0.165,  1.53e+10),
           (-0.162,  1.60e+10),
           (-0.159,  1.19e+10),
           (-0.155,  1.46e+10),
           (-0.152,  1.41e+10),
           (-0.148,  1.89e+10),
           (-0.145,  1.42e+10),
           (-0.142,  1.20e+10),
           (-0.138,  1.56e+10),
           (-0.135,  1.57e+10),
           (-0.132,  1.32e+10),
           (-0.128,  1.51e+10),
           (-0.125,  1.57e+10),
           (-0.121,  1.07e+10),
           (-0.118,  1.74e+10),
           (-0.115,  1.30e+10),
           (-0.111,  1.17e+10),
           (-0.108,  1.17e+10),
           (-0.105,  1.22e+10),
           (-0.101,  1.02e+10),
           (-0.098,  1.33e+10),
           (-0.095,  1.03e+10),
           (-0.091,  9.72e+09),
           (-0.088,  8.18e+09),
           (-0.084,  1.04e+10),
           (-0.081,  6.03e+09),
           (-0.078,  1.53e+10),
           (-0.074,  1.49e+10),
           (-0.071,  8.80e+09),
           (-0.067,  7.96e+09),
           (-0.064,  1.69e+10),
           (-0.061,  6.42e+09),
           (-0.057,  9.08e+09),
           (-0.054,  7.22e+09),
           (-0.051,  7.07e+09),
           (-0.047,  7.22e+09),
           (-0.044,  1.07e+10),
           (-0.041,  5.68e+09),
           (-0.037,  3.42e+09),
           (-0.034,  7.63e+09),
           (-0.030,  4.95e+09),
           (-0.027,  8.98e+09),
           (-0.024,  1.04e+10),
           (-0.020,  9.67e+09),
           (-0.017,  7.46e+09),
           (-0.014,  7.01e+09),
           (-0.010,  6.98e+09),
           (-0.007,  8.99e+09),
           (-0.003,  7.49e+09),
           (-0.000,  3.23e+09),
           ( 0.003,  1.68e+09),
           ( 0.007,  4.82e+09),
           ( 0.010,  6.74e+09),
           ( 0.014,  5.04e+09),
           ( 0.017,  7.24e+09),
           ( 0.020,  3.59e+09),
           ( 0.024,  1.70e+09),
           ( 0.027,  8.98e+08),
           ( 0.030,  4.97e+09),
           ( 0.034,  3.39e+09),
           ( 0.037,  4.00e+09),
           ( 0.040,  2.93e+09),
           ( 0.044,  7.16e+09),
           ( 0.047,  5.84e+09),
           ( 0.051,  3.51e+09),
           ( 0.054,  3.44e+09),
           ( 0.057,  6.49e+09),
           ( 0.061,  4.63e+09),
           ( 0.064,  3.05e+09),
           ( 0.068,  6.57e+09),
           ( 0.071,  3.42e+09),
           ( 0.074,  7.71e+09),
           ( 0.078,  8.27e+08),
           ( 0.081,  3.15e+09),
           ( 0.084,  8.01e+09),
           ( 0.088,  4.78e+09),
           ( 0.091,  3.78e+09),
           ( 0.094,  4.77e+09),
           ( 0.098,  7.98e+09),
           ( 0.101,  3.28e+09),
           ( 0.105,  4.53e+09),
           ( 0.108,  1.06e+09),
           ( 0.111,  3.88e+09),
           ( 0.115,  1.82e+09),
           ( 0.118,  3.64e+09),
           ( 0.122,  5.90e+09),
           ( 0.125,  7.25e+09),
           ( 0.128,  3.18e+09),
           ( 0.132,  9.31e+09),
           ( 0.135,  2.08e+09),
           ( 0.138,  2.63e+09),
           ( 0.142,  4.96e+09),
           ( 0.145,  3.26e+09),
           ( 0.149,  4.72e+09),
           ( 0.152,  6.31e+09),
           ( 0.155,  4.60e+09),
           ( 0.159,  4.57e+09),
           ( 0.162,  5.17e+09),
           ( 0.165,  7.05e+09),
           ( 0.169,  3.88e+09),
           ( 0.172,  1.43e+09),
           ( 0.175,  7.30e+09),
           ( 0.179,  5.24e+09),
           ( 0.182,  4.99e+09),
           ( 0.186,  5.28e+09),
           ( 0.189,  3.18e+09),
           ( 0.192,  5.66e+09),
           ( 0.196,  5.61e+09),
           ( 0.199,  3.39e+09),
           ( 0.203,  5.71e+09),
           ( 0.206,  4.58e+09),
           ( 0.209,  5.17e+09),
           ( 0.213,  6.09e+09),
           ( 0.216,  4.99e+09),
           ( 0.219,  7.04e+09),
           ( 0.223,  4.25e+09),
           ( 0.226,  5.08e+09),
           ( 0.229,  8.12e+09),
           ( 0.233,  2.45e+09),
           ( 0.236,  7.55e+09),
           ( 0.240,  5.36e+09),
           ( 0.243,  1.06e+10),
           ( 0.246,  5.97e+09),
           ( 0.250,  7.80e+09),
           ( 0.253,  5.69e+09),
           ( 0.257,  6.99e+09),
           ( 0.260,  2.82e+09),
           ( 0.263,  8.62e+09),
           ( 0.267,  5.26e+09),
           ( 0.270,  8.32e+09),
           ( 0.273,  7.90e+09),
           ( 0.277,  7.88e+09),
           ( 0.280,  9.58e+09),
           ( 0.284,  5.71e+09),
           ( 0.287,  1.19e+10),
           ( 0.290,  1.35e+10),
           ( 0.294,  8.03e+09),
           ( 0.297,  1.09e+10),
           ( 0.300,  8.46e+09),
           ( 0.304,  6.91e+09),
           ( 0.307,  8.83e+09),
           ( 0.310,  9.89e+09),
           ( 0.314,  6.91e+09),
           ( 0.317,  5.85e+09),
           ( 0.321,  6.17e+09),
           ( 0.324,  9.30e+09),
           ( 0.327,  6.52e+09),
           ( 0.331,  9.41e+09),
           ( 0.334,  9.80e+09),
           ( 0.338,  8.01e+09),
           ( 0.341,  3.79e+09),
           ( 0.344,  5.47e+09),
           ( 0.348,  5.58e+09),
           ( 0.351,  7.52e+09),
           ( 0.354,  6.56e+09),
           ( 0.358,  7.75e+09),
           ( 0.361,  9.63e+09),
           ( 0.364,  5.98e+09),
           ( 0.368,  3.99e+09),
           ( 0.371,  9.65e+09),
           ( 0.375,  4.92e+09),
           ( 0.378,  4.84e+09),
           ( 0.381,  6.30e+09),
           ( 0.385,  7.72e+09),
           ( 0.388,  2.32e+09),
           ( 0.392,  4.33e+09),
           ( 0.395,  3.54e+09),
           ( 0.398,  8.83e+09),
           ( 0.402,  8.26e+09),
           ( 0.405,  2.98e+08),
           ( 0.408,  6.53e+09),
           ( 0.412,  2.76e+09),
           ( 0.415,  4.93e+09),
           ( 0.419,  6.62e+08),
           ( 0.422,  4.10e+09),
           ( 0.425,  2.46e+09),
           ( 0.429,  8.82e+09),
           ( 0.432,  4.28e+09),
           ( 0.435,  3.36e+09),
           ( 0.439,  6.56e+09),
           ( 0.442,  5.63e+09),
           ( 0.445,  3.50e+09),
           ( 0.449,  3.85e+09),
           ( 0.452,  4.10e+09),
           ( 0.456,  5.02e+09),
           ( 0.459,  4.72e+09),
           ( 0.462,  2.43e+09),
           ( 0.466,  2.77e+09),
           ( 0.469,  6.25e+09),
           ( 0.473,  7.18e+09),
           ( 0.476,  5.14e+09),
           ( 0.479,  7.34e+09),
           ( 0.483,  5.55e+09),
           ( 0.486,  4.27e+09),
           ( 0.489,  1.67e+09),
           ( 0.493,  7.11e+09),
           ( 0.496,  4.01e+09),
           ( 0.499,  1.09e+09),
           ( 0.503,  5.15e+09),
           ( 0.506,  4.88e+09),
           ( 0.510,  4.88e+09),
           ( 0.513, -4.60e+08),
           ( 0.516, -3.46e+09),
           ( 0.520,  2.56e+09),
           ( 0.523,  3.76e+09),
           ( 0.527,  4.53e+09),
           ( 0.530,  2.58e+08),
           ( 0.533,  1.71e+09),
           ( 0.537, -1.99e+09),
           ( 0.540,  7.79e+08),
           ( 0.543,  3.50e+09),
           ( 0.547,  1.60e+09),
           ( 0.550,  3.93e+09),
           ( 0.554,  2.69e+09),
           ( 0.557,  2.55e+09),
           ( 0.560,  5.10e+09),
           ( 0.564,  3.41e+09),
           ( 0.567, -9.98e+07),
           ( 0.570,  3.88e+09),
           ( 0.574,  3.60e+09),
           ( 0.577,  3.05e+09),
           ( 0.580,  2.58e+09),
