Bolide Detection Notification: 2014-177

At 05:54:41 on 26 June 2014, sensors aboard U. S. Government satellites recorded the
flash signature of a large meteoroid entry into the atmosphere. Location of the flash
was 71.5S, 93.4E.

Based on the visible-light intensity-time signature, peak brightness of the flash was
determined to be approximately 1.20e10 watts/steradian, and total radiated flash
energy 6.10e10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.800, -1.28e+09),
           (-0.797,  1.60e+09),
           (-0.793,  2.18e+09),
           (-0.790,  3.23e+09),
           (-0.786, -1.88e+09),
           (-0.783,  1.75e+09),
           (-0.780,  1.93e+09),
           (-0.776,  9.54e+08),
           (-0.773,  5.93e+08),
           (-0.770,  1.45e+09),
           (-0.766,  4.44e+08),
           (-0.763,  9.51e+08),
           (-0.759,  1.63e+09),
           (-0.756,  7.49e+08),
           (-0.753, -2.06e+09),
           (-0.749,  3.12e+08),
           (-0.746, -4.93e+08),
           (-0.743, -1.84e+08),
           (-0.739, -2.12e+09),
           (-0.736, -4.41e+08),
           (-0.732,  9.27e+08),
           (-0.729, -3.61e+09),
           (-0.726, -6.30e+08),
           (-0.722, -1.21e+09),
           (-0.719, -1.57e+09),
           (-0.716,  1.62e+09),
           (-0.712, -1.77e+09),
           (-0.705,  1.06e+09),
           (-0.702,  1.66e+09),
           (-0.699,  5.96e+08),
           (-0.695,  1.71e+09),
           (-0.692,  9.97e+08),
           (-0.689, -9.67e+08),
           (-0.685, -1.35e+09),
           (-0.682, -4.32e+08),
           (-0.678, -7.48e+08),
           (-0.675,  9.50e+08),
           (-0.672, -1.39e+09),
           (-0.668,  9.95e+08),
           (-0.665,  6.78e+08),
           (-0.662,  5.65e+08),
           (-0.658, -4.62e+08),
           (-0.655,  4.71e+08),
           (-0.651,  9.55e+08),
           (-0.648, -1.66e+09),
           (-0.645, -1.02e+09),
           (-0.641, -9.12e+08),
           (-0.638, -5.24e+08),
           (-0.635,  1.62e+08),
           (-0.631, -4.58e+08),
           (-0.628,  1.27e+09),
           (-0.624,  5.10e+08),
           (-0.621, -2.47e+09),
           (-0.618,  1.23e+09),
           (-0.614, -1.27e+09),
           (-0.611, -1.37e+09),
           (-0.608,  6.32e+07),
           (-0.604,  3.72e+08),
           (-0.601,  5.31e+08),
           (-0.597,  3.36e+07),
           (-0.594,  5.13e+08),
           (-0.591, -2.37e+09),
           (-0.587, -1.55e+09),
           (-0.584, -3.56e+08),
           (-0.581, -1.44e+09),
           (-0.577,  1.21e+09),
           (-0.574,  1.32e+08),
           (-0.570,  6.74e+08),
           (-0.567, -1.57e+09),
           (-0.564,  4.81e+08),
           (-0.560, -1.89e+09),
           (-0.557,  2.35e+09),
           (-0.553,  1.45e+09),
           (-0.550, -5.68e+08),
           (-0.547,  3.52e+09),
           (-0.543, -1.51e+08),
           (-0.540, -9.23e+08),
           (-0.537, -2.56e+09),
           (-0.533, -1.46e+09),
           (-0.530, -1.00e+09),
           (-0.527, -1.51e+08),
           (-0.523,  1.41e+09),
           (-0.520, -2.86e+08),
           (-0.516, -1.45e+09),
           (-0.513, -8.77e+08),
           (-0.510, -2.60e+07),
           (-0.506, -1.34e+09),
           (-0.503, -1.08e+08),
           (-0.500,  3.15e+09),
           (-0.496, -1.49e+09),
           (-0.493, -3.00e+08),
           (-0.489, -1.19e+09),
           (-0.486, -3.13e+09),
           (-0.483,  5.90e+08),
           (-0.479,  1.76e+09),
           (-0.476, -1.20e+09),
           (-0.473,  6.39e+08),
           (-0.469, -8.58e+07),
           (-0.466,  4.53e+08),
           (-0.462, -2.40e+08),
           (-0.459,  8.55e+08),
           (-0.456, -1.81e+04),
           (-0.452,  1.03e+09),
           (-0.449,  1.15e+09),
           (-0.446, -1.24e+09),
           (-0.442, -1.74e+09),
           (-0.439, -4.58e+09),
           (-0.435, -1.99e+09),
           (-0.432, -1.38e+09),
           (-0.429, -4.02e+09),
           (-0.425, -3.47e+08),
           (-0.422, -3.39e+09),
           (-0.418, -1.93e+09),
           (-0.415, -1.81e+09),
