Bolide Detection Notification: 2014-179

At 02:40:05 on 28 June 2014, sensors aboard U. S. Government satellites recorded the
flash signature of a large meteoroid entry into the atmosphere. Location of the flash
was 18.9N, 141.2E.

Based on the visible-light intensity-time signature, peak brightness of the flash was
determined to be approximately 2.70e10 watts/steradian, and total radiated flash
energy 2.45e11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  7.42e+08),
           (-0.992,  1.25e+09),
           (-0.989,  2.03e+09),
           (-0.986, -2.52e+08),
           (-0.982,  1.76e+09),
           (-0.979, -1.07e+09),
           (-0.972,  1.84e+09),
           (-0.969,  9.13e+08),
           (-0.965, -1.72e+09),
           (-0.962,  4.49e+08),
           (-0.955, -9.40e+08),
           (-0.952, -8.81e+08),
           (-0.948,  2.29e+09),
           (-0.945, -7.86e+08),
           (-0.942,  8.10e+08),
           (-0.938,  1.59e+08),
           (-0.935,  4.33e+08),
           (-0.928,  1.22e+09),
           (-0.925, -1.81e+09),
           (-0.921, -2.85e+09),
           (-0.918,  1.04e+08),
           (-0.915,  1.39e+09),
           (-0.911,  3.66e+07),
           (-0.908,  7.31e+07),
           (-0.905,  1.75e+09),
           (-0.901,  2.45e+09),
           (-0.898, -3.32e+07),
           (-0.894, -6.63e+08),
           (-0.888,  4.17e+09),
           (-0.884,  1.63e+09),
           (-0.881, -1.85e+09),
           (-0.878, -1.13e+08),
           (-0.871,  1.47e+09),
           (-0.867, -9.41e+08),
           (-0.864,  1.77e+09),
           (-0.861, -5.34e+08),
           (-0.857,  7.06e+08),
           (-0.854, -5.22e+07),
           (-0.851, -2.00e+08),
           (-0.847,  9.30e+08),
           (-0.844,  1.26e+09),
           (-0.840,  1.42e+08),
           (-0.837, -1.50e+09),
           (-0.834,  2.50e+09),
           (-0.830,  2.54e+07),
           (-0.827,  5.02e+08),
           (-0.823,  4.44e+08),
           (-0.820,  1.36e+09),
           (-0.817, -2.15e+08),
           (-0.813, -4.31e+08),
           (-0.810, -5.41e+08),
           (-0.807,  1.91e+09),
           (-0.803,  1.89e+09),
           (-0.800,  1.09e+09),
           (-0.797,  2.48e+09),
           (-0.793,  4.60e+09),
           (-0.790,  9.15e+08),
           (-0.786,  1.69e+08),
           (-0.783,  2.76e+09),
           (-0.780,  2.01e+09),
           (-0.776,  8.04e+08),
           (-0.773, -9.58e+08),
           (-0.769,  1.13e+08),
           (-0.766,  2.11e+08),
           (-0.763, -1.26e+09),
           (-0.756,  2.33e+09),
           (-0.753,  2.04e+09),
           (-0.749,  9.74e+08),
           (-0.746,  1.02e+09),
           (-0.743,  1.47e+09),
           (-0.739,  1.26e+09),
           (-0.736,  4.32e+08),
           (-0.732,  2.93e+09),
           (-0.729,  1.71e+08),
           (-0.726,  2.14e+09),
           (-0.722, -7.26e+08),
           (-0.719,  1.54e+09),
           (-0.716,  2.92e+09),
           (-0.712,  3.85e+08),
           (-0.709,  1.58e+09),
           (-0.705,  3.60e+08),
           (-0.702,  7.98e+08),
           (-0.699, -1.95e+07),
           (-0.695,  7.98e+08),
