Bolide Detection Notification: 2014-241

At 23:15:39 UT on 29 Aug 2014, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 6.2S, Lon 49.9W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 4.66e+09 watts/steradian, and total radiated flash
energy 2.61e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.749,  5.72e+08),
           (-0.746, -5.78e+06),
           (-0.742, -2.56e+07),
           (-0.739, -1.60e+08),
           (-0.736,  6.30e+08),
           (-0.732,  1.20e+09),
           (-0.729,  9.29e+08),
           (-0.726,  8.69e+07),
           (-0.719,  8.33e+08),
           (-0.716, -1.51e+07),
           (-0.712, -1.18e+09),
           (-0.709, -3.94e+08),
           (-0.702,  5.43e+08),
           (-0.699,  5.83e+08),
           (-0.695,  1.52e+08),
           (-0.692,  8.54e+08),
           (-0.688, -4.46e+08),
           (-0.685, -7.49e+07),
           (-0.682,  6.29e+08),
           (-0.678,  5.01e+08),
           (-0.675, -1.86e+08),
           (-0.672,  1.15e+09),
           (-0.668,  5.09e+08),
           (-0.665,  2.86e+08),
           (-0.661, -5.42e+08),
           (-0.658,  1.06e+09),
           (-0.655, -3.11e+08),
           (-0.651,  3.63e+08),
           (-0.648, -3.60e+08),
           (-0.645, -2.74e+08),
           (-0.641, -4.00e+07),
           (-0.638, -5.56e+07),
           (-0.635, -6.27e+08),
           (-0.631,  5.43e+08),
           (-0.628,  2.83e+08),
           (-0.624,  9.71e+07),
           (-0.621,  3.87e+08),
           (-0.618,  3.43e+08),
           (-0.614,  2.55e+08),
           (-0.611, -3.61e+08),
           (-0.607, -5.30e+07),
           (-0.604,  4.42e+08),
           (-0.601,  3.62e+08),
           (-0.597, -2.68e+07),
           (-0.594, -6.78e+08),
           (-0.591, -1.20e+08),
           (-0.587, -5.45e+06),
           (-0.584,  8.22e+07),
           (-0.580, -7.54e+08),
           (-0.577, -1.59e+08),
           (-0.574,  6.89e+08),
           (-0.570, -4.80e+08),
           (-0.567,  4.38e+07),
           (-0.564,  5.98e+07),
           (-0.560, -4.48e+08),
           (-0.557,  6.61e+08),
           (-0.553,  6.67e+07),
           (-0.550, -7.40e+08),
           (-0.547,  1.17e+09),
           (-0.543,  2.44e+08),
           (-0.540, -9.74e+08),
           (-0.537, -1.51e+08),
           (-0.533,  1.47e+08),
           (-0.530, -3.90e+08),
           (-0.526,  3.05e+08),
           (-0.523, -3.13e+08),
           (-0.520,  2.75e+08),
           (-0.516, -2.41e+07),
           (-0.513,  1.07e+09),
           (-0.510, -1.18e+08),
           (-0.506,  2.54e+07),
           (-0.503,  3.05e+08),
           (-0.499,  8.21e+08),
           (-0.493, -3.55e+08),
           (-0.489,  4.34e+07),
           (-0.486,  1.77e+08),
           (-0.483, -4.81e+08),
           (-0.479, -2.11e+08),
           (-0.476,  9.18e+08),
           (-0.472,  1.00e+07),
           (-0.469,  1.69e+08),
           (-0.466,  3.61e+08),
           (-0.462,  1.59e+09),
           (-0.459,  2.96e+08),
           (-0.456,  1.26e+09),
           (-0.452,  2.17e+08),
           (-0.449,  1.73e+08),
           (-0.446,  8.93e+08),
           (-0.442,  2.73e+08),
           (-0.439,  1.11e+09),
           (-0.435,  2.99e+08),
           (-0.432,  3.46e+08),
           (-0.429,  6.79e+08),
           (-0.425,  1.24e+09),
           (-0.422,  1.25e+09),
           (-0.419,  6.16e+08),
           (-0.415,  8.76e+08),
           (-0.412,  1.23e+09),
           (-0.408,  7.21e+08),
           (-0.405,  4.67e+08),
           (-0.402,  4.60e+08),
           (-0.398,  6.37e+08),
           (-0.395,  1.37e+09),
           (-0.391,  4.83e+08),
           (-0.388,  1.36e+08),
