Bolide Detection Notification: 2014-294

At 18:55:37 UT on 21 Oct 2014, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 22.2N, Lon 132.9W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 8.13e+09 watts/steradian, and total radiated flash
energy 3.45e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.500,  1.19e+09),
           (-0.496, -2.29e+09),
           (-0.493,  1.63e+09),
           (-0.489, -3.82e+08),
           (-0.486, -4.69e+08),
           (-0.483, -1.71e+08),
           (-0.479,  1.15e+09),
           (-0.476, -1.86e+08),
           (-0.473,  6.34e+08),
           (-0.469, -4.71e+08),
           (-0.466, -1.06e+08),
           (-0.462,  1.64e+09),
           (-0.459, -1.27e+09),
           (-0.456, -1.31e+08),
           (-0.452, -5.24e+08),
           (-0.449, -1.24e+09),
           (-0.446,  1.74e+09),
           (-0.442, -2.23e+09),
           (-0.439, -4.97e+08),
           (-0.435, -1.05e+08),
           (-0.432,  9.10e+08),
           (-0.429,  6.31e+08),
           (-0.425, -7.33e+08),
           (-0.422,  8.60e+07),
           (-0.419,  1.53e+08),
           (-0.415,  1.21e+09),
           (-0.412, -1.61e+09),
           (-0.408, -9.01e+08),
           (-0.405,  1.13e+09),
           (-0.402,  1.14e+09),
           (-0.398,  1.05e+09),
           (-0.395, -1.76e+09),
           (-0.392,  1.31e+09),
           (-0.388,  4.40e+08),
           (-0.385,  9.88e+08),
           (-0.381,  5.70e+08),
           (-0.378, -3.05e+08),
           (-0.375, -2.61e+08),
           (-0.371, -1.19e+09),
           (-0.368,  5.34e+08),
           (-0.365,  1.59e+08),
           (-0.361,  2.41e+07),
           (-0.358, -2.08e+09),
           (-0.354,  3.83e+09),
           (-0.351, -3.76e+08),
           (-0.348,  6.27e+08),
           (-0.344, -2.30e+09),
           (-0.341, -1.42e+09),
           (-0.338,  2.35e+09),
           (-0.334,  1.34e+09),
           (-0.331, -1.49e+09),
           (-0.327,  4.69e+08),
           (-0.324,  1.64e+09),
           (-0.317, -1.40e+09),
           (-0.314, -8.39e+08),
           (-0.311,  2.44e+08),
           (-0.307,  5.99e+08),
           (-0.304, -9.58e+08),
           (-0.300,  2.17e+08),
           (-0.297,  2.84e+09),
           (-0.294, -1.32e+09),
           (-0.290, -1.14e+09),
           (-0.287,  1.41e+09),
           (-0.280, -5.68e+08),
           (-0.277, -5.65e+08),
           (-0.273,  3.45e+08),
           (-0.270, -6.71e+07),
           (-0.267,  6.60e+08),
           (-0.263,  5.93e+08),
           (-0.260, -1.63e+09),
           (-0.257,  1.89e+09),
           (-0.253,  1.16e+09),
           (-0.250,  3.02e+09),
           (-0.243, -1.25e+09),
           (-0.240, -2.13e+09),
           (-0.236,  1.79e+09),
           (-0.233, -1.72e+09),
           (-0.230,  1.37e+09),
           (-0.226,  1.02e+09),
           (-0.223, -7.49e+08),
           (-0.219, -2.15e+08),
           (-0.216,  1.26e+09),
           (-0.213,  1.25e+09),
           (-0.209,  4.08e+08),
           (-0.206,  1.19e+09),
           (-0.203, -1.51e+09),
           (-0.199, -1.02e+08),
           (-0.196, -1.41e+08),
           (-0.192,  2.31e+09),
           (-0.189, -7.96e+07),
           (-0.186,  9.48e+08),
           (-0.182,  3.16e+08),
           (-0.179,  6.49e+08),
           (-0.176,  3.42e+08),
           (-0.172, -5.02e+08),
           (-0.169,  5.93e+08),
           (-0.165, -3.92e+09),
           (-0.162,  2.48e+09),
           (-0.159,  2.01e+09),
           (-0.155, -1.19e+09),
           (-0.152,  7.30e+08),
           (-0.149, -1.31e+09),
           (-0.145,  8.44e+08),
           (-0.142,  4.18e+08),
           (-0.138,  2.54e+09),
           (-0.132, -1.09e+09),
           (-0.128, -6.99e+07),
           (-0.125,  7.04e+07),
           (-0.122,  3.48e+09),
           (-0.118, -3.59e+09),
           (-0.111,  2.57e+09),
           (-0.108, -1.07e+09),
           (-0.105,  1.03e+09),
