Bolide Detection Notification: 2015-063

At 04:30:05 UT on 04 Mar 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 15.8S, Lon 88.3E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.52e+10 watts/steradian, and total radiated flash
energy 5.94e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.500,  6.37e+08),
           (-0.496,  1.15e+09),
           (-0.493,  8.45e+08),
           (-0.489,  1.46e+09),
           (-0.486,  5.24e+08),
           (-0.483,  1.17e+09),
           (-0.479,  4.04e+08),
           (-0.476, -5.05e+08),
           (-0.473,  1.56e+08),
           (-0.469,  6.27e+08),
           (-0.466,  4.71e+08),
           (-0.462, -1.13e+09),
           (-0.459,  1.44e+09),
           (-0.456,  2.00e+08),
           (-0.452,  1.45e+09),
           (-0.449,  1.42e+09),
           (-0.446,  4.91e+08),
           (-0.442,  2.25e+08),
           (-0.439, -4.95e+08),
           (-0.435,  1.52e+09),
           (-0.432, -7.06e+08),
           (-0.429, -3.82e+08),
           (-0.425,  8.67e+08),
           (-0.422, -4.60e+08),
           (-0.419,  8.85e+08),
           (-0.415,  6.45e+08),
           (-0.412,  8.44e+08),
           (-0.408,  1.96e+09),
           (-0.405,  1.26e+09),
           (-0.402,  1.83e+07),
           (-0.398,  7.36e+07),
           (-0.395,  3.40e+08),
           (-0.392,  1.12e+09),
           (-0.388,  1.67e+09),
           (-0.385,  1.42e+09),
           (-0.381, -1.06e+09),
           (-0.378,  5.71e+08),
           (-0.375,  2.31e+08),
           (-0.371, -1.65e+09),
           (-0.368,  1.06e+09),
           (-0.365,  2.01e+09),
           (-0.361, -4.02e+08),
           (-0.358,  1.19e+09),
           (-0.354,  1.63e+09),
           (-0.351,  1.44e+09),
           (-0.348,  1.03e+09),
           (-0.344,  7.82e+08),
           (-0.341, -1.82e+07),
           (-0.338,  3.09e+08),
           (-0.334,  2.01e+09),
           (-0.331, -1.12e+09),
           (-0.327,  9.94e+08),
           (-0.324,  1.05e+09),
           (-0.321,  7.75e+07),
           (-0.317,  1.58e+09),
           (-0.314, -4.58e+08),
           (-0.311,  7.44e+08),
           (-0.307, -2.65e+08),
           (-0.304,  1.41e+09),
           (-0.300,  1.13e+09),
           (-0.297,  1.38e+09),
           (-0.294,  2.03e+09),
           (-0.290,  1.39e+08),
           (-0.287,  1.34e+09),
           (-0.284,  4.61e+08),
           (-0.280,  1.55e+09),
           (-0.277,  1.28e+09),
           (-0.273,  4.68e+08),
           (-0.270,  7.55e+08),
           (-0.267,  1.26e+09),
           (-0.263,  9.03e+08),
           (-0.260,  2.11e+09),
           (-0.257, -2.01e+09),
           (-0.253,  1.60e+09),
           (-0.250,  4.13e+08),
           (-0.246, -2.82e+08),
           (-0.243, -1.60e+08),
           (-0.240, -2.22e+06),
           (-0.236,  3.32e+08),
           (-0.233, -2.29e+08),
           (-0.230,  1.48e+09),
           (-0.226,  9.40e+07),
           (-0.223,  7.97e+08),
           (-0.219,  1.64e+09),
           (-0.216, -5.66e+08),
           (-0.213,  1.78e+09),
           (-0.209, -2.15e+09),
           (-0.206,  3.81e+08),
           (-0.203,  2.45e+09),
           (-0.199,  3.33e+08),
           (-0.196, -4.35e+08),
           (-0.192,  2.54e+09),
           (-0.189,  2.19e+09),
           (-0.186,  1.28e+09),
           (-0.182,  4.93e+08),
           (-0.179,  1.42e+09),
           (-0.176,  1.03e+09),
           (-0.172,  5.38e+08),
           (-0.169, -3.10e+08),
           (-0.165,  6.16e+08),
           (-0.162,  1.10e+09),
           (-0.159,  1.35e+09),
           (-0.155,  1.48e+09),
           (-0.152,  2.03e+09),
           (-0.145,  5.30e+08),
           (-0.142,  2.02e+08),
           (-0.138,  2.17e+09),
           (-0.135,  1.20e+09),
           (-0.132,  1.11e+09),
           (-0.128,  2.10e+09),
           (-0.125,  8.49e+08),
           (-0.118,  2.17e+09),
           (-0.115, -1.59e+08),
           (-0.111,  1.16e+09),
           (-0.108,  1.89e+09),
           (-0.105,  3.22e+08),
           (-0.101,  1.27e+09),
           (-0.098,  1.47e+09),
           (-0.091,  2.84e+09),
           (-0.088,  1.26e+09),
           (-0.084,  1.84e+09),
           (-0.081,  9.03e+08),
           (-0.078,  2.00e+09),
           (-0.074,  1.53e+09),
           (-0.071,  1.43e+09),
           (-0.068,  1.67e+09),
           (-0.064,  1.80e+08),
           (-0.061,  2.38e+09),
           (-0.057,  1.00e+09),
           (-0.054,  9.88e+08),
           (-0.051,  3.12e+09),
           (-0.047,  1.79e+09),
           (-0.044,  1.50e+09),
           (-0.041,  1.71e+09),
           (-0.037,  2.56e+09),
           (-0.034,  1.34e+09),
           (-0.030,  2.41e+09),
           (-0.027,  1.49e+09),
           (-0.024,  1.02e+09),
