Bolide Detection Notification: 2015-098

At 04:06:31 UT on 08 Apr 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 20.4 °S, Lon 51.8 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.05e+10 watts/steradian, and total radiated flash
energy 2.06e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.799, -5.09e+08),
           (-1.796,  3.53e+08),
           (-1.792,  6.41e+08),
           (-1.789,  1.11e+09),
           (-1.782,  2.65e+08),
           (-1.775,  4.10e+07),
           (-1.772, -3.05e+08),
           (-1.769,  3.09e+09),
           (-1.765,  1.41e+09),
           (-1.758,  7.83e+08),
           (-1.755,  4.25e+07),
           (-1.752, -1.82e+08),
           (-1.748, -3.26e+07),
           (-1.745,  4.95e+08),
           (-1.742,  3.43e+08),
           (-1.738, -3.06e+08),
           (-1.735,  4.64e+08),
           (-1.731,  4.81e+08),
           (-1.728, -4.21e+08),
           (-1.725,  1.29e+08),
           (-1.721,  1.58e+09),
           (-1.718,  3.18e+07),
           (-1.711,  1.22e+09),
           (-1.708, -7.16e+07),
           (-1.704,  5.77e+08),
           (-1.701,  5.77e+08),
           (-1.698,  2.95e+08),
           (-1.694,  1.93e+09),
           (-1.688,  1.47e+08),
           (-1.684,  1.98e+09),
           (-1.681,  9.19e+08),
           (-1.677, -1.11e+09),
           (-1.674,  5.25e+07),
           (-1.671, -2.78e+08),
           (-1.667,  1.23e+09),
           (-1.664,  1.35e+09),
           (-1.661,  1.22e+08),
           (-1.657,  4.88e+07),
           (-1.654,  7.75e+07),
           (-1.650,  9.99e+08),
           (-1.647, -5.50e+08),
           (-1.644,  8.08e+08),
           (-1.640,  6.17e+08),
           (-1.637, -2.32e+08),
           (-1.630,  1.19e+09),
           (-1.627, -2.46e+08),
           (-1.623,  7.36e+08),
           (-1.620,  2.69e+08),
           (-1.617,  1.09e+09),
           (-1.610, -1.20e+08),
           (-1.607,  8.84e+08),
           (-1.603,  3.09e+08),
           (-1.600,  1.10e+09),
           (-1.596, -1.94e+08),
           (-1.593,  3.63e+08),
           (-1.590,  1.27e+09),
           (-1.586,  1.24e+08),
           (-1.583,  5.94e+08),
           (-1.580,  2.68e+08),
           (-1.576, -3.96e+08),
           (-1.569,  1.55e+09),
           (-1.566, -5.71e+08),
           (-1.563,  1.10e+09),
           (-1.559,  2.15e+08),
           (-1.556,  6.39e+08),
           (-1.553, -2.32e+08),
           (-1.549,  9.02e+08),
           (-1.546,  2.83e+07),
           (-1.542,  4.64e+08),
