Bolide Detection Notification: 2015-138

At 17:13:51 UT on 18 May 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 32.1N, Lon 139.1E.

 Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 4.6e9 watts/steradian, and total radiated flash
energy  4.3e10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.998, -2.90e+07),
           (-1.995,  1.34e+09),
           (-1.991,  3.59e+08),
           (-1.988,  2.31e+09),
           (-1.985,  1.39e+09),
           (-1.981,  5.59e+08),
           (-1.978,  6.05e+08),
           (-1.974,  3.64e+09),
           (-1.971,  3.97e+09),
           (-1.968,  3.60e+09),
           (-1.964,  4.23e+09),
           (-1.961,  3.10e+09),
           (-1.957,  3.99e+08),
           (-1.954,  2.17e+09),
           (-1.951,  2.98e+09),
           (-1.947,  1.53e+08),
           (-1.944,  2.84e+09),
           (-1.941,  3.64e+09),
           (-1.937,  4.61e+09),
           (-1.934,  4.60e+09),
           (-1.931,  3.96e+09),
           (-1.927,  3.79e+09),
           (-1.924,  9.19e+08),
           (-1.920,  4.92e+08),
           (-1.917,  5.11e+08),
           (-1.914, -5.24e+07),
           (-1.910, -1.63e+09),
           (-1.907, -3.28e+09),
           (-1.904, -5.11e+09),
           (-1.900, -5.66e+09),
           (-1.897, -3.64e+09),
           (-1.893, -2.45e+09),
           (-1.890, -2.03e+09),
           (-1.887, -2.23e+09),
           (-1.883, -4.38e+08),
           (-1.880, -1.62e+08),
           (-1.876, -2.60e+09),
           (-1.873, -5.28e+09),
           (-1.870, -5.03e+09),
           (-1.866, -8.67e+08),
           (-1.863, -2.17e+08),
           (-1.860,  6.56e+08),
           (-1.856,  9.34e+07),
           (-1.853, -1.77e+09),
           (-1.850, -1.34e+09),
           (-1.846, -1.74e+09),
           (-1.843, -3.45e+09),
           (-1.839, -4.13e+09),
           (-1.836, -4.34e+09),
           (-1.833, -2.88e+09),
           (-1.829, -7.31e+08),
           (-1.826, -3.30e+08),
           (-1.822, -1.13e+09),
           (-1.819, -9.50e+08),
           (-1.816,  6.68e+07),
           (-1.812,  3.46e+08),
           (-1.809,  1.96e+09),
           (-1.806,  1.78e+09),
           (-1.802,  1.39e+09),
           (-1.799,  9.96e+08),
           (-1.796,  2.45e+09),
           (-1.792,  4.42e+09),
           (-1.789,  2.74e+09),
           (-1.785,  4.01e+09),
           (-1.782,  2.07e+09),
           (-1.779,  1.00e+09),
           (-1.775,  1.87e+09),
           (-1.772,  4.59e+09),
           (-1.769,  2.42e+09),
           (-1.765,  1.55e+09),
           (-1.762,  1.51e+09),
           (-1.758, -1.14e+09),
           (-1.755,  7.07e+07),
           (-1.752, -1.22e+08),
           (-1.748, -2.61e+08),
           (-1.745, -2.49e+09),
           (-1.741, -1.90e+09),
           (-1.738, -1.28e+09),
           (-1.735, -2.83e+09),
           (-1.731,  1.24e+08),
           (-1.728, -9.68e+07),
           (-1.725, -1.24e+09),
           (-1.721, -1.71e+09),
           (-1.718,  1.16e+09),
           (-1.715, -7.30e+07),
           (-1.711, -1.85e+09),
           (-1.708, -1.13e+09),
           (-1.704, -2.66e+09),
           (-1.701, -2.34e+09),
           (-1.698, -5.12e+08),
           (-1.694, -6.80e+08),
           (-1.691, -7.26e+08),
           (-1.687, -1.08e+09),
           (-1.684,  7.62e+08),
           (-1.681,  5.32e+08),
           (-1.677,  1.80e+08),
           (-1.674, -1.38e+09),
           (-1.671, -4.00e+08),
           (-1.667, -1.08e+09),
           (-1.664,  1.59e+09),
           (-1.661,  3.02e+09),
           (-1.657,  3.83e+09),
           (-1.654,  2.06e+09),
           (-1.650, -4.80e+08),
           (-1.647,  2.17e+07),
           (-1.644,  1.22e+09),
           (-1.640, -4.58e+08),
           (-1.637, -1.67e+09),
           (-1.634, -1.89e+09),
           (-1.630, -1.25e+09),
           (-1.627, -1.39e+09),
           (-1.623, -9.65e+08),
           (-1.620,  5.35e+08),
           (-1.617, -3.81e+08),
           (-1.613,  1.67e+09),
           (-1.610,  2.31e+09),
           (-1.606,  3.65e+09),
           (-1.603,  6.05e+08),
           (-1.600, -1.41e+09),
           (-1.596, -1.42e+09),
           (-1.593, -1.97e+09),
           (-1.590, -8.18e+08),
           (-1.586, -1.30e+09),
           (-1.583, -5.21e+08),
           (-1.580,  1.16e+08),
           (-1.576, -1.06e+09),
           (-1.573,  1.42e+09),
           (-1.569,  5.28e+07),
           (-1.566, -4.33e+08),
           (-1.563, -6.01e+08),
           (-1.559, -1.81e+09),
           (-1.556, -1.16e+09),
           (-1.552, -1.71e+07),
           (-1.549,  5.00e+08),
           (-1.546, -2.39e+08),
           (-1.542,  1.55e+09),
           (-1.539,  1.30e+09),
           (-1.536,  7.55e+08),
           (-1.532,  2.07e+07),
           (-1.529, -4.36e+08),
           (-1.526, -2.86e+09),
           (-1.522, -3.42e+09),
           (-1.519, -2.10e+09),
           (-1.515, -1.28e+09),
           (-1.512,  8.01e+07),
           (-1.509,  3.99e+08),
           (-1.505,  1.43e+09),
           (-1.502,  1.83e+09),
           (-1.499,  7.22e+08),
           (-1.495, -1.52e+08),
           (-1.492, -1.03e+09),
           (-1.488, -5.90e+08),
           (-1.485,  9.76e+08),
           (-1.482, -2.40e+09),
           (-1.478, -9.12e+08),
           (-1.475, -2.05e+09),
           (-1.471, -2.59e+09),
           (-1.468,  1.20e+09),
           (-1.465,  2.16e+09),
           (-1.461,  1.35e+09),
           (-1.458,  1.68e+09),
           (-1.455,  1.40e+08),
           (-1.451,  2.62e+08),
           (-1.448, -7.11e+08),
           (-1.445, -3.44e+09),
           (-1.441, -3.52e+09),
           (-1.438, -1.54e+09),
           (-1.434, -1.27e+09),
           (-1.431,  1.21e+09),
           (-1.428, -3.65e+08),
           (-1.424, -1.12e+09),
           (-1.421, -3.77e+08),
           (-1.417,  1.91e+09),
           (-1.414,  1.00e+09),
           (-1.411,  8.45e+08),
           (-1.407,  6.40e+08),
           (-1.404, -1.89e+09),
           (-1.401, -1.47e+09),
           (-1.397, -6.87e+08),
           (-1.394, -2.14e+09),
           (-1.390, -1.54e+09),
           (-1.387, -5.95e+08),
           (-1.384, -2.25e+09),
           (-1.380, -4.26e+09),
           (-1.377, -1.03e+09),
           (-1.374,  3.27e+09),
           (-1.370,  3.00e+09),
           (-1.367,  2.14e+09),
           (-1.364,  2.74e+09),
           (-1.360,  3.13e+09),
           (-1.357, -4.02e+08),
           (-1.353, -6.42e+08),
           (-1.350,  2.11e+09),
           (-1.347,  4.04e+09),
           (-1.343,  2.41e+09),
           (-1.340,  2.15e+09),
           (-1.336, -2.04e+09),
           (-1.333, -2.00e+09),
           (-1.330,  2.06e+09),
           (-1.326,  3.07e+09),
           (-1.323,  2.68e+09),
           (-1.320,  3.38e+09),
           (-1.316,  4.04e+09),
           (-1.313,  2.54e+09),
           (-1.310,  1.07e+09),
           (-1.306,  2.04e+09),
           (-1.303,  2.45e+09),
           (-1.299,  2.49e+09),
           (-1.296, -1.80e+08),
           (-1.293,  7.64e+08),
           (-1.289,  1.89e+09),
           (-1.286, -9.53e+08),
           (-1.282, -1.67e+09),
           (-1.279,  1.82e+09),
           (-1.276,  4.66e+09),
           (-1.272,  3.03e+09),
           (-1.269,  4.85e+08),
           (-1.266, -1.10e+09),
           (-1.262,  1.23e+09),
           (-1.259,  1.56e+09),
           (-1.255,  1.13e+09),
           (-1.252,  6.94e+08),
           (-1.249,  2.11e+09),
           (-1.245,  5.92e+08),
           (-1.242,  1.08e+08),
           (-1.239,  3.47e+08),
           (-1.235,  1.91e+09),
           (-1.232,  3.51e+09),
           (-1.229,  5.22e+09),
           (-1.225,  2.02e+09),
           (-1.222,  8.65e+08),
           (-1.218,  2.02e+09),
           (-1.215, -4.03e+08),
           (-1.212, -2.37e+07),
           (-1.208,  2.14e+08),
           (-1.205,  5.49e+08),
           (-1.201, -1.37e+08),
           (-1.198, -7.86e+07),
           (-1.195, -4.66e+08),
           (-1.191, -1.30e+09),
           (-1.188, -1.89e+09),
           (-1.185, -1.23e+09),
           (-1.181,  2.23e+09),
           (-1.178,  4.33e+09),
           (-1.175,  5.28e+09),
           (-1.171,  5.87e+09),
           (-1.168,  5.25e+09),
           (-1.164,  2.05e+09),
           (-1.161,  2.71e+09),
           (-1.158,  6.61e+09),
           (-1.154,  5.49e+09),
           (-1.151,  4.53e+09),
           (-1.147,  2.05e+09),
           (-1.144,  2.98e+08),
           (-1.141,  2.19e+09),
           (-1.137,  2.86e+09),
           (-1.134,  3.09e+09),
           (-1.131,  1.83e+09),
           (-1.127,  9.99e+08),
           (-1.124,  8.28e+08),
           (-1.120,  1.57e+09),
           (-1.117, -1.55e+08),
           (-1.114,  1.09e+09),
           (-1.110,  1.12e+09),
           (-1.107,  4.68e+08),
           (-1.104,  1.67e+09),
           (-1.100,  1.01e+09),
           (-1.097,  3.41e+09),
           (-1.094,  4.62e+09),
           (-1.090,  3.52e+09),
           (-1.087,  2.43e+09),
           (-1.083,  9.12e+08),
           (-1.080,  2.68e+09),
           (-1.077,  1.84e+09),
           (-1.073,  1.28e+09),
           (-1.070,  2.50e+09),
           (-1.066,  6.66e+08),
           (-1.063, -9.40e+07),
           (-1.060,  1.38e+09),
           (-1.056, -5.72e+08),
           (-1.053, -4.43e+08),
           (-1.050, -1.10e+09),
           (-1.046, -3.16e+09),
           (-1.043, -3.11e+09),
           (-1.040, -6.50e+08),
           (-1.036, -7.07e+08),
           (-1.033, -8.47e+08),
           (-1.029,  1.69e+09),
           (-1.026, -8.98e+08),
           (-1.023, -2.77e+09),
           (-1.019, -2.70e+09),
           (-1.016, -1.52e+09),
           (-1.012, -1.98e+09),
           (-1.009, -3.47e+09),
           (-1.006, -2.62e+09),
           (-1.002, -2.67e+09),
           (-0.999, -1.89e+09),
           (-0.996, -1.36e+09),
           (-0.992, -1.16e+09),
           (-0.989, -2.57e+08),
           (-0.986, -3.76e+08),
           (-0.982,  1.02e+09),
           (-0.979,  4.20e+09),
           (-0.975,  5.11e+09),
           (-0.972,  4.33e+09),
           (-0.969,  3.59e+09),
           (-0.965,  3.71e+09),
           (-0.962, -6.85e+08),
           (-0.959, -5.06e+08),
           (-0.955,  1.63e+09),
           (-0.952,  1.23e+09),
           (-0.948,  1.77e+09),
           (-0.945,  3.69e+09),
           (-0.942,  3.78e+09),
           (-0.938,  3.42e+09),
           (-0.935,  2.86e+09),
           (-0.931,  1.19e+09),
           (-0.928,  1.63e+09),
           (-0.925,  1.58e+09),
           (-0.921,  2.88e+08),
           (-0.918, -9.75e+07),
