Bolide Detection Notification: 2015-140

At 10:20:41 UT on 20 May 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 1.0N, Lon 172.6E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.15e+10 watts/steradian, and total radiated flash
energy 3.71e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.297, -5.01e+08),
           (-0.294,  3.12e+08),
           (-0.290,  3.82e+08),
           (-0.287,  4.94e+08),
           (-0.283,  1.07e+09),
           (-0.280,  7.36e+08),
           (-0.277, -6.88e+08),
           (-0.273,  6.70e+08),
           (-0.270,  9.09e+08),
           (-0.267,  1.03e+09),
           (-0.263, -7.73e+08),
           (-0.260, -3.14e+08),
           (-0.256,  2.31e+08),
           (-0.253, -6.67e+08),
           (-0.250, -1.97e+08),
           (-0.246,  5.47e+08),
           (-0.243, -9.71e+06),
           (-0.240,  2.13e+08),
           (-0.236,  2.83e+08),
           (-0.233,  2.59e+08),
           (-0.229,  6.30e+08),
           (-0.226,  3.03e+08),
           (-0.223, -2.10e+09),
           (-0.219, -6.39e+08),
           (-0.216, -4.53e+07),
           (-0.213,  1.58e+08),
           (-0.209, -1.61e+06),
           (-0.206, -1.58e+09),
           (-0.203, -2.54e+09),
           (-0.199, -2.57e+09),
           (-0.196, -2.03e+08),
           (-0.192, -1.41e+09),
           (-0.189, -5.50e+07),
           (-0.186, -1.65e+09),
           (-0.182, -2.54e+08),
           (-0.179,  6.37e+08),
           (-0.175, -1.21e+09),
           (-0.172,  2.60e+08),
           (-0.169, -3.79e+08),
           (-0.165, -1.79e+09),
           (-0.162,  2.82e+08),
           (-0.159, -1.03e+08),
           (-0.155, -3.02e+08),
           (-0.152, -4.00e+08),
           (-0.148, -1.81e+09),
           (-0.145, -9.81e+07),
           (-0.142, -7.86e+08),
           (-0.138, -1.16e+09),
           (-0.135, -4.47e+08),
           (-0.132,  5.26e+08),
           (-0.128,  2.07e+08),
           (-0.125, -7.31e+08),
           (-0.121,  1.86e+09),
           (-0.118, -1.01e+09),
           (-0.115,  2.68e+08),
           (-0.111,  8.43e+08),
           (-0.108,  7.83e+08),
           (-0.105,  1.44e+09),
           (-0.101,  2.48e+09),
           (-0.098,  1.52e+09),
           (-0.094,  2.14e+09),
           (-0.091,  1.89e+09),
           (-0.088,  8.94e+08),
           (-0.084, -2.49e+08),
           (-0.081,  1.58e+09),
           (-0.078, -3.01e+08),
           (-0.074,  5.48e+08),
           (-0.071,  5.45e+08),
           (-0.067,  1.47e+09),
           (-0.064,  6.54e+08),
           (-0.061,  9.90e+07),
           (-0.057,  2.98e+08),
           (-0.054, -1.80e+07),
           (-0.047,  1.07e+09),
           (-0.044,  7.57e+07),
           (-0.041,  1.08e+09),
           (-0.037,  1.18e+09),
           (-0.034,  2.35e+09),
           (-0.030,  1.08e+09),
           (-0.027,  2.56e+09),
           (-0.024,  1.46e+09),
           (-0.020,  2.82e+09),
           (-0.017,  1.23e+09),
           (-0.013,  2.96e+09),
           (-0.010,  3.52e+09),
           (-0.007,  2.78e+09),
           (-0.003,  3.14e+09),
           ( 0.000,  3.13e+09),
           ( 0.003,  1.91e+09),
