Bolide Detection Notification: 2015-153

At 08:44:50 UT on 02 Jun 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 6.4S, Lon 142.7W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.91e+11 watts/steradian, and total radiated flash
energy 3.85e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.500,  8.55e+08),
           (-0.496,  6.24e+08),
           (-0.493, -9.03e+08),
           (-0.489,  4.66e+08),
           (-0.486,  1.36e+09),
           (-0.483, -4.69e+08),
           (-0.476,  7.95e+08),
           (-0.473, -3.99e+08),
           (-0.469,  3.19e+08),
           (-0.466,  3.51e+08),
           (-0.462,  8.70e+08),
           (-0.459, -3.97e+07),
           (-0.456,  8.51e+08),
           (-0.452, -2.19e+08),
           (-0.449,  4.44e+08),
           (-0.446,  3.84e+08),
           (-0.439, -3.21e+08),
           (-0.435,  3.56e+08),
           (-0.432, -1.31e+08),
           (-0.429,  2.24e+09),
           (-0.425,  4.33e+08),
           (-0.422, -3.66e+08),
           (-0.419,  4.79e+08),
           (-0.415,  1.61e+09),
           (-0.412,  1.74e+09),
           (-0.408,  1.75e+08),
           (-0.405,  1.06e+08),
           (-0.402, -2.67e+08),
           (-0.398,  5.92e+08),
           (-0.395,  6.20e+08),
           (-0.392, -1.43e+09),
           (-0.388, -2.69e+08),
           (-0.385,  5.13e+08),
           (-0.381, -1.61e+08),
           (-0.378, -2.64e+06),
           (-0.375, -4.40e+07),
           (-0.371, -3.12e+08),
           (-0.368,  5.10e+08),
           (-0.365,  2.62e+08),
           (-0.361, -6.80e+08),
           (-0.358, -5.64e+08),
           (-0.354, -8.45e+08),
           (-0.351,  5.78e+08),
           (-0.348,  2.47e+08),
           (-0.344, -6.43e+08),
           (-0.341,  1.36e+09),
           (-0.338, -9.18e+07),
           (-0.331,  9.60e+08),
           (-0.327,  2.23e+08),
           (-0.324,  9.65e+08),
           (-0.321, -4.62e+08),
           (-0.317,  4.07e+08),
           (-0.314, -2.03e+08),
           (-0.307, -7.26e+07),
           (-0.304,  2.20e+08),
           (-0.300,  2.55e+07),
           (-0.297,  7.27e+08),
           (-0.294,  4.83e+08),
           (-0.290,  9.28e+08),
           (-0.287,  1.58e+09),
           (-0.283,  5.46e+08),
           (-0.280,  3.46e+08),
           (-0.277,  1.24e+09),
           (-0.273,  3.68e+08),
           (-0.270, -7.80e+08),
           (-0.267,  4.69e+08),
           (-0.263,  6.99e+08),
           (-0.260, -5.67e+08),
           (-0.257,  5.88e+08),
           (-0.253, -3.54e+08),
           (-0.250,  5.37e+08),
           (-0.246,  1.54e+08),
           (-0.243,  9.63e+08),
           (-0.240,  5.23e+08),
           (-0.236,  1.76e+09),
           (-0.233,  8.30e+07),
           (-0.230,  3.29e+08),
           (-0.226,  1.87e+08),
           (-0.223,  3.10e+08),
           (-0.219, -8.24e+08),
           (-0.209,  1.33e+09),
           (-0.206,  2.61e+08),
           (-0.203,  9.05e+08),
           (-0.199, -6.39e+08),
           (-0.196, -2.86e+08),
           (-0.192,  1.21e+09),
           (-0.189,  2.20e+07),
           (-0.186, -7.63e+08),
           (-0.182,  1.01e+08),
           (-0.179, -3.07e+08),
           (-0.175,  7.81e+08),
           (-0.172, -7.13e+08),
           (-0.169,  2.55e+08),
           (-0.165, -1.49e+07),
           (-0.162,  1.17e+09),
           (-0.159,  5.36e+08),
           (-0.155, -3.49e+08),
           (-0.152,  5.06e+08),
           (-0.145, -1.85e+08),
