Bolide Detection Notification: 2015-163

At 17:03:35 UT on 12 Jun 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 1.3S, Lon 32.1W.

 Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 3.7e10 watts/steradian, and total radiated flash
energy  17.6e10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.998,  5.01e+09),
           (-1.995,  1.68e+08),
           (-1.991,  1.48e+09),
           (-1.988,  8.41e+07),
           (-1.985, -1.41e+09),
           (-1.981, -5.74e+09),
           (-1.978, -1.29e+08),
           (-1.974, -5.84e+09),
           (-1.971, -5.57e+09),
           (-1.968,  6.08e+09),
           (-1.964,  3.42e+09),
           (-1.961,  2.82e+08),
           (-1.957,  5.81e+09),
           (-1.954, -3.41e+08),
           (-1.951, -4.63e+09),
           (-1.947,  1.83e+09),
           (-1.944,  6.77e+08),
           (-1.941,  1.01e+10),
           (-1.937, -1.98e+09),
           (-1.934, -6.41e+09),
           (-1.931,  2.94e+09),
           (-1.927,  3.89e+09),
           (-1.924, -5.01e+09),
           (-1.920,  2.42e+09),
           (-1.917,  4.97e+08),
           (-1.914, -1.65e+09),
           (-1.910, -6.00e+09),
           (-1.907,  4.48e+09),
           (-1.904,  1.30e+09),
           (-1.900, -1.25e+09),
           (-1.897, -1.21e+09),
           (-1.893,  7.92e+08),
           (-1.890,  6.19e+09),
           (-1.887,  2.28e+09),
           (-1.883,  4.91e+07),
           (-1.880, -1.99e+09),
           (-1.876,  2.35e+09),
           (-1.873,  2.11e+09),
           (-1.870,  1.31e+09),
           (-1.866,  2.49e+09),
           (-1.863, -2.40e+09),
           (-1.860, -1.94e+09),
           (-1.856, -9.07e+08),
           (-1.853, -1.11e+09),
           (-1.850, -1.32e+09),
           (-1.846,  6.85e+08),
           (-1.843, -5.29e+09),
           (-1.839, -2.01e+09),
           (-1.836,  2.36e+09),
           (-1.833, -1.66e+09),
           (-1.829, -2.01e+09),
           (-1.826, -6.34e+09),
           (-1.822,  2.75e+08),
           (-1.819,  1.86e+09),
           (-1.816, -1.74e+09),
           (-1.812,  1.90e+09),
           (-1.809,  1.40e+09),
           (-1.806,  3.07e+09),
           (-1.802,  4.57e+09),
           (-1.799,  1.75e+09),
           (-1.796, -6.70e+09),
           (-1.792, -2.44e+09),
           (-1.789,  7.90e+08),
           (-1.785, -6.01e+08),
           (-1.782, -3.95e+09),
           (-1.779, -3.34e+09),
           (-1.775,  3.55e+09),
           (-1.772, -8.60e+09),
           (-1.769, -3.13e+09),
           (-1.765,  3.64e+09),
           (-1.762,  5.33e+09),
           (-1.758, -4.38e+09),
           (-1.755, -3.70e+09),
           (-1.752, -6.91e+09),
           (-1.748,  2.98e+09),
           (-1.745,  2.03e+09),
           (-1.741, -2.04e+08),
           (-1.738, -1.73e+09),
           (-1.735, -3.32e+08),
           (-1.731, -2.78e+08),
           (-1.728,  8.78e+08),
           (-1.725, -4.43e+09),
           (-1.721, -2.88e+09),
           (-1.718,  2.97e+09),
           (-1.715, -2.37e+09),
           (-1.711,  7.71e+08),
           (-1.708, -2.44e+09),
           (-1.704,  1.91e+09),
           (-1.701,  2.83e+09),
           (-1.698,  7.92e+08),
           (-1.694,  5.61e+08),
           (-1.691, -1.87e+09),
           (-1.687,  1.19e+09),
           (-1.684,  1.16e+09),
           (-1.681, -7.71e+08),
           (-1.677,  5.29e+09),
           (-1.674,  2.30e+09),
           (-1.671,  8.39e+08),
           (-1.667, -1.80e+08),
           (-1.664, -4.32e+09),
           (-1.661, -1.02e+09),
           (-1.657,  2.62e+09),
           (-1.654, -1.23e+09),
           (-1.650,  6.05e+08),
           (-1.647, -1.06e+09),
           (-1.644,  9.51e+08),
           (-1.640,  1.46e+09),
           (-1.637, -6.66e+08),
           (-1.634, -1.62e+09),
           (-1.630,  1.36e+09),
           (-1.627,  1.84e+09),
           (-1.623,  2.85e+09),
           (-1.620, -1.73e+09),
           (-1.617,  4.45e+09),
           (-1.613,  3.94e+09),
           (-1.610,  6.49e+08),
           (-1.606,  4.02e+08),
           (-1.603,  3.17e+08),
           (-1.600,  4.64e+09),
           (-1.596, -5.68e+09),
           (-1.593,  3.67e+08),
           (-1.590, -1.23e+09),
           (-1.586, -3.42e+09),
           (-1.583,  8.94e+09),
           (-1.580, -1.78e+09),
           (-1.576,  1.70e+09),
           (-1.573,  2.66e+08),
           (-1.569,  6.49e+08),
           (-1.566,  4.21e+09),
           (-1.563,  2.27e+09),
           (-1.559, -4.81e+09),
           (-1.556, -3.59e+09),
           (-1.552, -6.03e+09),
           (-1.549,  5.75e+09),
           (-1.546, -2.64e+09),
           (-1.542, -5.51e+09),
           (-1.539,  3.11e+09),
           (-1.536, -5.75e+09),
           (-1.532, -4.05e+09),
           (-1.529,  4.92e+09),
