Bolide Detection Notification: 2015-185

At 01:40:11 UT on 04 Jul 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 38.6 °N, Lon 103.1 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 6.90e+09 watts/steradian, and total radiated flash
energy 7.25e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  1.26e+09),
           (-0.996, -3.12e+08),
           (-0.992,  5.96e+08),
           (-0.989,  1.89e+08),
           (-0.986,  1.45e+09),
           (-0.982, -1.91e+09),
           (-0.975,  3.58e+09),
           (-0.972,  1.14e+09),
           (-0.969,  5.21e+07),
           (-0.965, -6.78e+07),
           (-0.962, -1.04e+09),
           (-0.958,  8.86e+08),
           (-0.952, -5.16e+07),
           (-0.948,  3.49e+08),
           (-0.945,  1.97e+08),
           (-0.942,  6.41e+08),
           (-0.938, -1.58e+09),
           (-0.935, -4.12e+08),
           (-0.931, -1.43e+09),
           (-0.925,  1.44e+09),
           (-0.921,  1.10e+09),
           (-0.915,  5.98e+09),
           (-0.908, -1.36e+09),
           (-0.904,  2.10e+09),
           (-0.901,  1.62e+09),
           (-0.898,  2.63e+09),
           (-0.894,  9.63e+08),
           (-0.891,  2.80e+08),
           (-0.888,  6.86e+08),
           (-0.884,  6.50e+08),
           (-0.881,  1.69e+08),
           (-0.877, -2.13e+09),
           (-0.874, -1.83e+09),
           (-0.871,  1.02e+09),
           (-0.867,  1.43e+09),
           (-0.864,  1.15e+08),
           (-0.861, -2.26e+09),
           (-0.857,  3.02e+09),
           (-0.854,  2.77e+09),
           (-0.847, -3.03e+08),
           (-0.844, -7.38e+08),
           (-0.840, -1.56e+08),
           (-0.837,  1.50e+09),
           (-0.830, -7.73e+08),
           (-0.827,  2.76e+09),
           (-0.823, -3.96e+08),
           (-0.820,  1.83e+09),
           (-0.817,  2.58e+09),
           (-0.813,  1.53e+09),
           (-0.810,  2.12e+09),
           (-0.807, -8.29e+08),
           (-0.803,  9.53e+08),
           (-0.800,  6.77e+08),
           (-0.796, -6.86e+08),
           (-0.793,  2.75e+09),
           (-0.786, -8.85e+08),
           (-0.780,  2.40e+09),
           (-0.776,  1.95e+09),
           (-0.773,  1.18e+08),
           (-0.769,  2.33e+09),
           (-0.766,  4.82e+07),
           (-0.763,  2.80e+09),
           (-0.759,  3.09e+09),
           (-0.756,  2.23e+09),
           (-0.753, -3.22e+08),
           (-0.749,  3.37e+09),
           (-0.742,  8.28e+08),
           (-0.739, -9.77e+08),
           (-0.736,  2.84e+09),
           (-0.729, -1.33e+08),
           (-0.726, -5.48e+08),
           (-0.722, -4.74e+08),
           (-0.719, -2.06e+09),
           (-0.716,  1.82e+09),
           (-0.712,  1.24e+09),
           (-0.709,  1.55e+09),
           (-0.705,  4.06e+09),
           (-0.702,  5.32e+07),
           (-0.699,  3.67e+08),
           (-0.695, -2.89e+08),
           (-0.692,  8.75e+08),
           (-0.689,  1.42e+09),
           (-0.685, -3.63e+08),
           (-0.682, -7.37e+08),
           (-0.678,  2.97e+09),
           (-0.675,  8.13e+08),
           (-0.672,  9.82e+08),
           (-0.668,  2.22e+09),
           (-0.665, -1.21e+09),
           (-0.661,  1.17e+09),
           (-0.658,  1.57e+09),
           (-0.655, -2.01e+07),
           (-0.651,  1.90e+09),
           (-0.648,  2.17e+09),
           (-0.645,  2.03e+09),
           (-0.641,  5.22e+08),
           (-0.638,  1.60e+09),
           (-0.634, -3.51e+08),
           (-0.631,  1.01e+09),
           (-0.628,  1.29e+09),
           (-0.624,  1.72e+09),
           (-0.621,  4.77e+08),
           (-0.618,  6.64e+08),
           (-0.614,  2.88e+09),
           (-0.611,  2.41e+09),
           (-0.607,  6.70e+08),
           (-0.604,  2.85e+09),
           (-0.601,  1.28e+09),
