Bolide Detection Notification: 2015-251

At 13:46:42 UT on 08 Sep 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 6.3N, Lon 29.9E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 5.15e+09 watts/steradian, and total radiated flash
energy 2.02e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.699, -9.52e+08),
           (-0.695,  1.57e+09),
           (-0.692,  2.34e+08),
           (-0.689, -1.73e+09),
           (-0.685,  1.73e+09),
           (-0.682,  1.78e+09),
           (-0.678, -6.18e+08),
           (-0.675,  6.12e+08),
           (-0.672,  2.75e+09),
           (-0.668,  1.62e+09),
           (-0.665, -1.84e+09),
           (-0.661, -1.67e+08),
           (-0.658,  3.59e+09),
           (-0.655, -1.44e+09),
           (-0.651, -1.20e+09),
           (-0.648,  5.47e+08),
           (-0.645, -4.05e+08),
           (-0.641,  2.57e+09),
           (-0.638,  1.63e+09),
           (-0.635, -3.22e+08),
           (-0.631, -1.79e+09),
           (-0.628,  6.33e+08),
           (-0.624, -1.64e+09),
           (-0.621,  5.96e+07),
           (-0.618,  2.07e+09),
           (-0.614,  1.13e+09),
           (-0.611,  1.07e+09),
           (-0.608, -1.62e+09),
           (-0.604,  7.68e+08),
           (-0.601,  8.85e+07),
           (-0.597,  1.26e+09),
           (-0.594,  1.78e+09),
           (-0.591, -8.13e+08),
           (-0.587, -3.83e+08),
           (-0.584,  5.09e+08),
           (-0.580, -1.47e+08),
           (-0.577,  6.85e+08),
           (-0.574,  1.37e+09),
           (-0.570,  2.36e+08),
           (-0.567,  2.43e+09),
           (-0.564,  2.60e+08),
           (-0.560, -1.04e+09),
           (-0.557,  1.14e+09),
           (-0.553,  1.42e+09),
           (-0.550,  4.98e+08),
           (-0.547,  2.81e+08),
           (-0.543, -5.62e+08),
           (-0.540, -7.14e+08),
           (-0.537, -3.53e+08),
           (-0.533,  5.79e+08),
           (-0.530, -5.61e+08),
           (-0.527, -1.15e+08),
           (-0.523,  7.62e+08),
           (-0.520, -6.81e+08),
           (-0.516,  9.13e+08),
           (-0.513,  2.82e+08),
           (-0.510, -1.42e+08),
           (-0.506,  1.67e+08),
           (-0.500, -9.85e+08),
           (-0.496,  1.81e+09),
           (-0.493, -1.73e+09),
           (-0.489,  8.12e+08),
           (-0.486,  1.22e+09),
           (-0.483, -2.03e+07),
           (-0.479,  1.10e+09),
           (-0.476,  2.45e+09),
           (-0.473, -3.05e+08),
           (-0.469,  9.31e+08),
           (-0.466,  3.66e+09),
           (-0.462, -1.08e+09),
           (-0.459,  1.35e+08),
           (-0.456,  9.18e+08),
           (-0.452,  1.10e+09),
           (-0.449, -1.61e+09),
           (-0.446, -5.20e+08),
           (-0.442,  2.37e+09),
           (-0.439, -8.19e+08),
           (-0.435,  9.56e+08),
           (-0.432,  1.93e+07),
           (-0.429,  7.96e+08),
           (-0.425,  2.02e+09),
           (-0.422,  2.35e+09),
           (-0.418,  3.43e+09),
           (-0.415,  2.96e+09),
           (-0.412,  1.77e+09),
           (-0.408, -6.38e+08),
           (-0.402,  2.31e+09),
           (-0.398,  1.94e+09),
           (-0.395, -1.20e+07),
           (-0.392, -1.38e+09),
           (-0.388,  1.56e+09),
           (-0.385,  2.32e+09),
           (-0.381,  8.12e+08),
           (-0.378, -1.21e+09),
           (-0.375,  1.77e+09),
           (-0.371,  6.70e+08),
           (-0.368, -1.29e+07),
           (-0.365, -9.66e+08),
           (-0.361, -1.21e+08),
           (-0.358,  1.77e+09),
           (-0.354,  2.61e+09),
           (-0.351, -4.52e+07),
           (-0.348,  8.86e+08),
           (-0.344, -3.54e+08),
           (-0.341,  1.89e+09),
           (-0.338,  2.13e+09),
           (-0.334,  1.01e+09),
           (-0.331,  6.22e+08),
           (-0.327,  1.19e+09),
           (-0.324,  1.70e+07),
           (-0.321,  6.06e+08),
           (-0.317, -2.79e+08),
           (-0.314, -7.82e+08),
           (-0.310, -1.07e+07),
           (-0.307,  5.84e+07),
