Bolide Detection Notification: 2015-286

At 12:23:08 UT on 13 Oct 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 8.0S, Lon 52.5W.

 Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 3.3e9 watts/steradian, and total radiated flash
energy  2.3e10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -1.05e+09),
           (-0.996, -2.04e+09),
           (-0.992, -2.61e+09),
           (-0.989, -2.61e+09),
           (-0.986, -1.56e+09),
           (-0.982,  7.18e+08),
           (-0.979,  4.24e+08),
           (-0.975, -3.13e+09),
           (-0.972, -3.84e+09),
           (-0.969, -2.40e+09),
           (-0.965, -1.64e+09),
           (-0.962, -3.22e+09),
           (-0.958, -2.82e+09),
           (-0.955, -3.17e+09),
           (-0.952, -1.21e+09),
           (-0.948, -9.98e+08),
           (-0.945, -1.55e+09),
           (-0.942, -8.40e+08),
           (-0.938, -9.65e+08),
           (-0.935, -3.61e+08),
           (-0.932,  1.28e+08),
           (-0.928,  2.06e+09),
           (-0.925,  2.85e+09),
           (-0.921,  2.13e+09),
           (-0.918, -1.19e+09),
           (-0.915, -2.95e+08),
           (-0.911, -6.58e+07),
           (-0.908, -5.01e+08),
           (-0.905, -1.82e+09),
           (-0.901, -3.43e+09),
           (-0.898, -3.02e+09),
           (-0.894, -9.21e+08),
           (-0.891, -1.23e+09),
           (-0.888,  4.81e+08),
           (-0.884,  1.57e+09),
           (-0.881,  1.31e+08),
           (-0.878, -1.81e+09),
           (-0.874, -3.87e+08),
           (-0.871, -2.13e+09),
           (-0.867, -6.68e+08),
           (-0.864,  1.43e+09),
           (-0.861,  3.34e+09),
           (-0.857,  2.81e+09),
           (-0.854,  7.65e+08),
           (-0.851, -7.95e+08),
           (-0.847,  2.65e+08),
           (-0.844,  2.71e+08),
           (-0.840, -2.99e+08),
           (-0.837,  9.58e+08),
           (-0.834,  1.21e+09),
           (-0.830,  4.47e+08),
           (-0.827,  4.48e+08),
           (-0.824,  1.63e+09),
           (-0.820,  2.59e+09),
           (-0.817,  4.07e+09),
           (-0.813,  4.05e+09),
           (-0.810,  3.49e+09),
           (-0.807,  2.23e+09),
           (-0.803,  1.68e+09),
           (-0.800,  3.48e+09),
           (-0.797,  9.16e+08),
           (-0.793,  1.94e+09),
           (-0.790,  4.49e+09),
           (-0.786,  1.28e+09),
           (-0.783,  4.45e+08),
           (-0.780,  1.00e+09),
           (-0.776,  1.60e+08),
           (-0.773, -2.37e+09),
           (-0.770, -9.92e+08),
           (-0.766,  1.56e+09),
           (-0.763, -5.76e+08),
           (-0.759, -7.62e+08),
           (-0.756, -3.08e+08),
           (-0.753,  7.30e+08),
           (-0.749,  8.23e+08),
           (-0.746, -9.84e+08),
           (-0.743,  1.26e+08),
           (-0.739,  2.28e+08),
           (-0.736,  1.98e+09),
           (-0.732,  3.90e+09),
           (-0.729,  3.11e+09),
           (-0.726,  3.02e+09),
           (-0.722,  8.65e+08),
           (-0.719,  9.01e+08),
           (-0.716, -1.89e+08),
           (-0.712, -7.51e+08),
           (-0.709, -1.04e+09),
           (-0.705,  8.52e+08),
           (-0.702,  1.74e+09),
           (-0.699,  9.02e+08),
           (-0.695,  9.99e+08),
           (-0.692,  8.15e+08),
           (-0.689,  2.42e+09),
           (-0.685,  2.27e+09),
           (-0.682,  2.81e+09),
           (-0.678,  4.07e+09),
           (-0.675,  2.00e+09),
           (-0.672,  7.25e+08),
           (-0.668,  9.54e+08),
           (-0.665, -1.19e+08),
           (-0.662,  1.54e+09),
           (-0.658,  2.67e+08),
           (-0.655,  1.45e+09),
           (-0.651,  1.88e+09),
           (-0.648, -3.37e+07),
           (-0.645,  9.04e+08),
           (-0.641,  3.75e+09),
           (-0.638,  3.34e+09),
           (-0.635,  9.86e+08),
           (-0.631,  4.47e+09),
           (-0.628,  1.92e+09),
           (-0.624, -1.58e+08),
           (-0.621,  1.65e+09),
           (-0.618,  2.14e+09),
           (-0.614,  3.23e+09),
           (-0.611,  3.88e+09),
           (-0.608,  3.07e+09),
           (-0.604,  2.20e+09),
           (-0.601,  2.04e+09),
           (-0.597,  1.42e+09),
           (-0.594,  1.42e+09),
           (-0.591,  2.56e+09),
           (-0.587,  2.03e+09),
           (-0.584,  1.92e+09),
           (-0.581,  4.08e+09),
           (-0.577,  2.40e+09),
           (-0.574,  1.99e+09),
           (-0.570,  1.31e+09),
           (-0.567,  1.41e+09),
           (-0.564,  2.54e+09),
           (-0.560,  1.51e+09),
           (-0.557,  3.25e+09),
           (-0.554,  3.34e+09),
           (-0.550,  1.72e+09),
           (-0.547,  1.42e+09),
           (-0.543,  1.94e+09),
           (-0.540,  1.34e+09),
           (-0.537,  1.51e+09),
           (-0.533,  1.44e+09),
           (-0.530,  3.64e+09),
           (-0.527,  3.50e+09),
           (-0.523,  1.70e+09),
           (-0.520, -1.01e+09),
           (-0.516, -1.52e+09),
           (-0.513, -8.53e+08),
           (-0.510,  1.41e+09),
           (-0.506, -6.86e+08),
           (-0.503, -3.95e+06),
           (-0.500,  1.07e+09),
           (-0.496,  1.91e+09),
           (-0.493,  1.61e+08),
           (-0.489, -2.78e+08),
           (-0.486, -8.05e+07),
           (-0.483,  5.18e+08),
           (-0.479,  2.29e+09),
           (-0.476,  4.09e+08),
           (-0.473, -7.70e+08),
           (-0.469, -1.08e+09),
           (-0.466, -5.92e+07),
           (-0.462,  1.01e+09),
           (-0.459,  3.28e+08),
           (-0.456, -1.24e+09),
           (-0.452,  7.94e+08),
           (-0.449,  2.87e+08),
           (-0.446, -9.49e+07),
           (-0.442,  7.79e+08),
           (-0.439,  2.88e+09),
           (-0.435,  3.06e+09),
           (-0.432, -8.92e+08),
           (-0.429, -1.47e+09),
           (-0.425, -3.39e+09),
           (-0.422, -3.13e+09),
           (-0.419, -1.73e+09),
           (-0.415, -7.32e+08),
           (-0.412,  1.13e+09),
           (-0.408,  1.99e+06),
           (-0.405, -8.75e+07),
           (-0.402,  5.67e+08),
           (-0.398,  2.55e+09),
           (-0.395, -4.59e+07),
           (-0.392, -6.39e+08),
           (-0.388,  6.25e+08),
           (-0.385,  9.23e+08),
           (-0.381,  4.01e+07),
           (-0.378, -1.53e+08),
           (-0.375,  1.14e+09),
           (-0.371,  2.44e+09),
           (-0.368,  1.82e+09),
           (-0.365,  3.28e+09),
           (-0.361,  2.73e+09),
           (-0.358,  2.84e+09),
           (-0.354,  7.28e+08),
           (-0.351,  2.38e+09),
           (-0.348,  2.35e+09),
           (-0.344,  2.19e+09),
           (-0.341,  2.18e+09),
           (-0.338,  2.79e+09),
           (-0.334,  1.33e+09),
           (-0.331, -2.92e+08),
           (-0.327,  1.72e+09),
           (-0.324,  2.98e+09),
           (-0.321,  3.19e+09),
           (-0.317,  3.88e+09),
           (-0.314,  3.86e+09),
           (-0.311,  3.70e+09),
           (-0.307,  1.40e+09),
           (-0.304,  1.07e+09),
           (-0.300,  4.60e+08),
           (-0.297,  1.03e+09),
           (-0.294,  9.38e+08),
           (-0.290,  3.19e+09),
           (-0.287,  1.44e+09),
           (-0.284, -1.14e+09),
           (-0.280, -1.29e+09),
           (-0.277,  1.03e+09),
           (-0.273, -8.09e+07),
           (-0.270,  2.97e+09),
           (-0.267,  1.72e+09),
           (-0.263, -2.32e+09),
           (-0.260,  2.84e+08),
           (-0.257,  1.72e+09),
           (-0.253,  2.08e+09),
           (-0.250,  2.04e+09),
           (-0.246,  1.63e+09),
           (-0.243,  1.85e+09),
           (-0.240,  1.00e+09),
           (-0.236,  1.45e+09),
           (-0.233,  1.18e+09),
           (-0.230, -3.94e+08),
           (-0.226, -1.43e+09),
           (-0.223,  1.47e+09),
           (-0.219,  2.50e+09),
           (-0.216,  2.76e+09),
           (-0.213,  1.38e+09),
           (-0.209,  1.81e+09),
           (-0.206, -2.97e+08),
           (-0.203, -7.35e+08),
           (-0.199, -7.20e+08),
           (-0.196, -6.34e+08),
           (-0.192, -6.85e+08),
           (-0.189, -1.17e+09),
           (-0.186, -8.34e+08),
           (-0.182,  3.28e+07),
           (-0.179, -3.73e+08),
           (-0.176, -2.79e+08),
           (-0.172, -1.55e+08),
           (-0.169,  8.89e+08),
           (-0.165,  1.15e+09),
           (-0.162,  8.31e+07),
           (-0.159,  4.01e+08),
           (-0.155, -1.12e+09),
           (-0.152, -1.77e+09),
           (-0.149, -2.26e+09),
           (-0.145, -2.05e+09),
           (-0.142, -9.56e+08),
           (-0.138, -3.19e+08),
           (-0.135,  2.16e+08),
           (-0.132,  1.09e+09),
           (-0.128,  1.97e+09),
           (-0.125,  1.50e+09),
           (-0.122,  5.60e+08),
           (-0.118,  4.72e+09),
           (-0.115,  5.61e+09),
           (-0.111,  5.54e+09),
           (-0.108,  5.28e+09),
           (-0.105,  4.88e+09),
           (-0.101,  5.82e+09),
           (-0.098,  4.63e+09),
           (-0.095,  4.73e+09),
           (-0.091,  5.55e+09),
           (-0.088,  7.69e+09),
           (-0.084,  5.68e+09),
           (-0.081,  4.60e+09),
           (-0.078,  5.09e+09),
           (-0.074,  3.83e+09),
           (-0.071,  2.91e+09),
           (-0.068,  4.19e+09),
           (-0.064,  5.20e+09),
           (-0.061,  3.72e+09),
           (-0.057,  1.96e+09),
           (-0.054,  1.69e+09),
           (-0.051,  1.56e+09),
           (-0.047,  2.83e+09),
           (-0.044, -2.26e+08),
           (-0.041,  6.77e+08),
           (-0.037,  3.10e+09),
           (-0.034,  3.05e+09),
           (-0.030,  2.88e+09),
           (-0.027,  3.80e+09),
           (-0.024,  2.72e+09),
           (-0.020,  1.49e+09),
           (-0.017,  4.19e+09),
           (-0.014,  5.23e+09),
           (-0.010,  1.96e+09),
           (-0.007,  2.71e+09),
           (-0.003,  3.29e+09),
           (-0.000,  4.38e+08),
           ( 0.003,  1.35e+09),
           ( 0.007,  1.91e+09),
           ( 0.010,  2.47e+09),
