Bolide Detection Notification: 2016-027

At 09:59:16 UT on 27 Jan 2016, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 45.8S, Lon 53.6E.

 Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately3.7e10 watts/steradian, and total radiated flash
energy  5.0e10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  5.36e+08),
           (-0.996, -6.48e+07),
           (-0.992, -7.75e+08),
           (-0.989, -1.80e+09),
           (-0.986,  1.95e+08),
           (-0.982, -6.10e+08),
           (-0.979,  3.36e+08),
           (-0.975,  8.62e+08),
           (-0.972, -2.81e+08),
           (-0.969,  8.83e+07),
           (-0.965,  6.52e+07),
           (-0.962,  2.97e+08),
           (-0.958, -2.07e+09),
           (-0.955,  4.47e+08),
           (-0.952, -2.56e+09),
           (-0.948, -5.09e+08),
           (-0.945,  1.37e+09),
           (-0.942,  4.80e+08),
           (-0.938, -2.50e+09),
           (-0.935,  8.65e+08),
           (-0.932,  1.10e+09),
           (-0.928,  1.72e+09),
           (-0.925,  1.02e+09),
           (-0.921, -5.89e+08),
           (-0.918,  1.80e+09),
           (-0.915,  7.05e+08),
           (-0.911,  5.39e+08),
           (-0.908,  2.08e+08),
           (-0.904, -7.39e+07),
           (-0.901, -1.03e+09),
           (-0.898, -7.60e+08),
           (-0.894,  2.51e+08),
           (-0.891, -1.19e+08),
           (-0.888, -1.24e+09),
           (-0.884, -1.31e+09),
           (-0.881,  1.79e+08),
           (-0.878,  7.25e+08),
           (-0.874, -1.20e+09),
           (-0.871, -4.68e+08),
           (-0.867, -9.09e+08),
           (-0.864, -2.34e+09),
           (-0.861,  8.27e+08),
           (-0.857, -3.73e+08),
           (-0.854, -9.54e+08),
           (-0.850, -4.05e+08),
           (-0.847,  9.32e+07),
           (-0.844,  4.06e+08),
           (-0.840,  7.34e+08),
           (-0.837, -6.66e+08),
           (-0.834,  1.24e+09),
           (-0.830,  1.35e+07),
           (-0.827, -2.02e+08),
           (-0.824, -3.83e+08),
           (-0.820,  1.91e+07),
           (-0.817,  1.93e+09),
           (-0.813, -4.01e+08),
           (-0.810,  5.80e+08),
           (-0.807, -3.05e+08),
           (-0.803, -9.35e+08),
           (-0.800,  1.80e+09),
           (-0.796,  2.55e+08),
           (-0.793, -7.25e+08),
           (-0.790, -2.12e+08),
           (-0.786,  9.68e+08),
           (-0.783,  1.08e+09),
           (-0.780,  8.76e+08),
           (-0.776, -2.00e+09),
           (-0.773,  1.32e+09),
           (-0.770,  2.06e+09),
           (-0.766, -8.30e+07),
           (-0.763, -1.15e+09),
