Bolide Detection Notification: 2016-076

At 23:54:20 UT on 16 Mar 2016, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 49.2S, Lon 6.3W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.54e+10 watts/steradian, and total radiated flash
energy 3.17e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.199, -1.54e+09),
           (-0.196, -1.21e+09),
           (-0.192,  7.39e+08),
           (-0.189,  8.16e+08),
           (-0.186,  8.36e+08),
           (-0.182, -9.31e+08),
           (-0.179, -7.88e+08),
           (-0.176,  1.13e+09),
           (-0.172,  1.08e+09),
           (-0.169,  9.75e+08),
           (-0.165, -3.58e+08),
           (-0.162,  1.39e+09),
           (-0.159,  6.80e+08),
           (-0.155,  1.59e+08),
           (-0.152, -5.98e+08),
           (-0.149,  9.25e+08),
           (-0.145,  1.46e+09),
           (-0.142,  2.02e+08),
           (-0.138, -3.77e+08),
           (-0.135,  2.99e+08),
           (-0.132,  6.17e+08),
           (-0.128, -8.88e+08),
           (-0.125,  1.69e+09),
           (-0.121,  3.50e+08),
           (-0.118,  5.71e+08),
           (-0.115,  5.29e+08),
           (-0.111,  2.04e+08),
           (-0.108, -4.46e+08),
           (-0.105,  9.61e+08),
           (-0.101, -6.51e+08),
           (-0.098,  8.49e+08),
           (-0.095, -8.78e+08),
           (-0.091, -1.29e+08),
           (-0.088, -1.66e+09),
           (-0.084,  6.88e+08),
           (-0.081,  6.32e+08),
           (-0.078,  1.33e+09),
           (-0.074, -6.48e+08),
           (-0.071, -4.68e+07),
           (-0.068,  6.21e+08),
           (-0.064,  1.19e+09),
           (-0.061, -1.19e+09),
           (-0.057,  1.95e+08),
           (-0.054,  9.69e+08),
           (-0.051, -1.69e+09),
           (-0.047, -3.56e+08),
           (-0.044,  7.97e+08),
           (-0.040,  1.57e+09),
           (-0.037,  1.05e+09),
           (-0.034,  1.15e+09),
           (-0.030,  2.68e+08),
           (-0.027,  5.45e+08),
           (-0.024,  5.25e+08),
           (-0.020,  1.22e+09),
           (-0.017,  4.95e+08),
           (-0.014,  2.03e+09),
           (-0.010,  4.21e+09),
           (-0.007,  3.70e+09),
           (-0.003,  2.91e+09),
           ( 0.000,  3.05e+09),
           ( 0.003,  3.61e+09),
           ( 0.007,  4.42e+09),
           ( 0.010,  4.95e+09),
           ( 0.014,  6.01e+09),
           ( 0.017,  6.73e+09),
           ( 0.020,  9.53e+09),
           ( 0.024,  1.08e+10),
           ( 0.027,  1.09e+10),
           ( 0.030,  9.88e+09),
           ( 0.034,  9.18e+09),
           ( 0.037,  8.99e+09),
           ( 0.044,  1.09e+10),
           ( 0.047,  9.31e+09),
           ( 0.051,  8.76e+09),
           ( 0.054,  9.74e+09),
           ( 0.057,  9.55e+09),
           ( 0.061,  8.65e+09),
           ( 0.064,  7.68e+09),
           ( 0.067,  7.86e+09),
           ( 0.071,  6.51e+09),
           ( 0.081,  4.65e+09),
           ( 0.084,  4.69e+09),
           ( 0.088,  6.03e+09),
           ( 0.091,  6.99e+09),
           ( 0.094,  4.10e+09),
           ( 0.098,  4.25e+09),
           ( 0.105,  2.91e+09),
           ( 0.111,  2.19e+09),
           ( 0.115,  2.83e+09),
           ( 0.118,  2.82e+09),
           ( 0.121,  4.27e+09),
           ( 0.125,  3.34e+09),
           ( 0.128,  3.11e+09),
           ( 0.132,  3.60e+09),
           ( 0.135,  3.53e+09),
           ( 0.138,  2.10e+09),
           ( 0.145,  2.72e+09),
           ( 0.149,  2.68e+09),
           ( 0.152,  2.68e+09),
           ( 0.155,  1.86e+09),
           ( 0.159,  2.23e+09),
           ( 0.162,  1.13e+09),
           ( 0.165,  1.84e+09),
           ( 0.169,  2.00e+09),
           ( 0.172,  1.54e+09),
           ( 0.175,  3.51e+09),
           ( 0.179,  3.57e+09),
           ( 0.186,  1.20e+09),
           ( 0.189,  2.17e+09),
           ( 0.192,  2.18e+09),
           ( 0.196,  1.05e+09),
           ( 0.199,  1.50e+09),
           ( 0.202,  1.87e+09),
           ( 0.206,  1.44e+09),
           ( 0.209,  6.33e+08),
           ( 0.213,  2.29e+09),
           ( 0.216,  5.36e+08),
           ( 0.219,  6.11e+08),
           ( 0.223,  1.04e+09),
           ( 0.226,  1.08e+09),
           ( 0.229,  1.21e+05),
           ( 0.233,  1.50e+09),
           ( 0.236,  3.85e+08),
           ( 0.240,  7.20e+08),
           ( 0.243,  3.25e+08),
           ( 0.246,  1.48e+09),
           ( 0.250,  2.34e+09),
           ( 0.253,  2.74e+09),
           ( 0.257,  1.48e+09),
           ( 0.260,  9.53e+08),
           ( 0.263,  1.36e+09),
           ( 0.267,  2.02e+09),
           ( 0.270,  1.81e+09),
           ( 0.273,  1.41e+09),
           ( 0.277,  9.79e+08),
           ( 0.280,  5.89e+08),
           ( 0.283,  5.13e+08),
           ( 0.287,  5.41e+08),
           ( 0.294,  1.84e+09),
           ( 0.297,  2.01e+09),
           ( 0.300,  1.54e+09),
           ( 0.304,  1.03e+09),
           ( 0.307,  3.47e+08),
           ( 0.310, -9.86e+07),
           ( 0.314,  8.26e+08),
           ( 0.317,  2.17e+09),
           ( 0.321,  2.08e+08),
           ( 0.324, -8.02e+08),
           ( 0.327,  1.28e+09),
           ( 0.331,  3.47e+08),
           ( 0.334,  9.58e+07),
           ( 0.337, -2.92e+08),
           ( 0.341,  7.02e+08),
           ( 0.344,  3.30e+08),
           ( 0.348, -1.38e+09),
           ( 0.351,  9.54e+08),
           ( 0.354, -1.57e+08),
           ( 0.358,  1.10e+08),
           ( 0.361,  9.14e+08),
           ( 0.364, -2.89e+08),
           ( 0.368, -2.55e+08),
           ( 0.371, -9.19e+08),
           ( 0.378,  9.12e+08),
           ( 0.381,  3.29e+08),
           ( 0.385,  2.04e+08),
           ( 0.388, -8.12e+07),
           ( 0.392, -2.45e+09),
           ( 0.395, -1.75e+08),
           ( 0.398, -9.27e+08),
           ( 0.402, -3.10e+08),
           ( 0.405,  4.86e+08),
           ( 0.408,  2.45e+08),
           ( 0.412,  9.51e+08),
