Bolide Detection Notification: 2016-203

At 00:48:53 UT on 21 Jul 2016, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 7.8N, Lon 1.6W.

 Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 1.0e10 watts/steradian, and total radiated flash
energy  4.5e10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.699, -6.81e+08),
           (-0.695,  1.77e+09),
           (-0.692, -2.43e+09),
           (-0.688, -1.67e+09),
           (-0.685,  2.89e+08),
           (-0.682,  2.06e+09),
           (-0.678, -2.42e+09),
           (-0.675, -1.16e+09),
           (-0.672,  1.88e+09),
           (-0.668, -1.15e+09),
           (-0.665, -3.43e+09),
           (-0.662,  6.94e+08),
           (-0.658,  9.96e+08),
           (-0.655,  3.03e+08),
           (-0.651, -5.83e+08),
           (-0.648,  2.09e+09),
           (-0.645,  1.94e+08),
           (-0.641, -1.86e+08),
           (-0.638, -1.49e+09),
           (-0.634, -1.48e+09),
           (-0.631, -1.55e+09),
           (-0.628, -5.27e+08),
           (-0.624, -8.83e+08),
           (-0.621, -1.77e+09),
           (-0.618, -2.73e+09),
           (-0.614,  3.46e+08),
           (-0.611, -9.64e+08),
           (-0.608, -1.52e+09),
           (-0.604, -5.88e+08),
           (-0.601,  1.35e+09),
           (-0.597, -4.71e+09),
           (-0.594, -2.45e+09),
           (-0.591,  8.59e+08),
           (-0.587,  5.59e+05),
           (-0.584, -5.33e+07),
           (-0.580, -1.29e+09),
           (-0.577,  1.09e+09),
           (-0.574,  6.60e+08),
           (-0.570,  1.40e+08),
           (-0.567, -2.60e+09),
           (-0.564, -8.53e+06),
           (-0.560,  4.77e+08),
           (-0.557, -1.97e+09),
           (-0.554,  4.38e+09),
           (-0.550,  4.68e+08),
           (-0.547, -1.54e+09),
           (-0.543,  1.84e+09),
           (-0.540,  8.96e+08),
           (-0.537,  1.41e+09),
           (-0.533,  1.10e+08),
           (-0.530, -1.00e+09),
           (-0.526, -1.02e+08),
           (-0.523, -3.53e+09),
           (-0.520,  2.42e+08),
           (-0.516, -1.49e+08),
           (-0.513, -7.09e+08),
           (-0.510, -6.55e+08),
           (-0.506, -1.33e+09),
           (-0.503, -3.19e+09),
           (-0.500, -3.25e+09),
           (-0.496,  3.29e+08),
           (-0.493,  4.35e+09),
           (-0.489, -6.52e+07),
           (-0.486,  7.66e+08),
           (-0.483, -2.30e+09),
           (-0.479,  8.07e+08),
           (-0.476, -1.69e+09),
           (-0.472, -1.44e+09),
           (-0.469,  5.77e+08),
           (-0.466,  2.83e+08),
           (-0.462, -2.23e+09),
           (-0.459, -3.68e+09),
           (-0.456, -2.94e+09),
           (-0.452,  1.97e+08),
           (-0.449, -4.07e+09),
           (-0.446, -1.86e+09),
           (-0.442, -1.51e+09),
           (-0.439, -4.56e+09),
           (-0.435, -1.66e+09),
           (-0.432, -5.73e+06),
           (-0.429,  8.77e+08),
           (-0.425, -2.33e+08),
           (-0.422, -1.13e+09),
           (-0.418, -3.45e+09),
           (-0.415, -3.02e+09),
           (-0.412,  7.65e+08),
           (-0.408, -6.90e+08),
           (-0.405, -2.39e+09),
           (-0.402, -6.20e+08),
           (-0.398,  1.29e+09),
           (-0.395, -2.79e+09),
           (-0.392,  6.58e+08),
           (-0.388,  1.28e+08),
           (-0.385, -6.55e+08),
           (-0.381, -1.40e+09),
           (-0.378, -1.92e+09),
           (-0.375, -2.41e+09),
           (-0.371, -9.83e+08),
           (-0.368, -1.72e+09),
           (-0.364, -1.14e+09),
           (-0.361,  1.86e+09),
           (-0.358, -1.45e+09),
           (-0.354, -2.72e+09),
           (-0.351, -3.11e+09),
           (-0.348, -5.15e+08),
           (-0.344, -7.77e+08),
           (-0.341, -2.46e+09),
           (-0.338, -3.08e+09),
           (-0.334, -1.42e+09),
           (-0.331,  3.22e+08),
           (-0.327,  1.16e+09),
           (-0.324, -2.96e+09),
           (-0.321, -2.17e+09),
           (-0.317, -2.55e+09),
           (-0.314,  1.82e+08),
           (-0.310, -8.06e+08),
           (-0.307, -1.50e+09),
           (-0.304, -4.05e+09),
           (-0.300, -5.24e+09),
           (-0.297, -5.72e+08),
           (-0.294, -2.34e+09),
           (-0.290,  5.04e+08),
           (-0.287, -3.37e+09),
           (-0.284, -2.34e+09),
           (-0.280, -3.21e+09),
           (-0.277, -1.88e+09),
           (-0.273, -1.97e+09),
           (-0.270, -1.03e+09),
           (-0.267, -5.01e+09),
           (-0.263, -3.70e+09),
           (-0.260, -1.41e+09),
           (-0.256,  6.57e+08),
           (-0.253, -5.81e+09),
           (-0.250, -1.30e+09),
           (-0.246, -5.31e+09),
           (-0.243, -1.13e+09),
           (-0.240, -1.13e+07),
           (-0.236, -5.61e+07),
           (-0.233, -3.10e+09),
           (-0.230, -2.40e+09),
