Bolide Detection Notification: 2016-240

At 21:45:13 UT on 27 Aug 2016, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 58.3S, Lon 160.4E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.65e+10 watts/steradian, and total radiated flash
energy 1.61e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.699,  1.63e+09),
           (-0.695,  4.56e+09),
           (-0.692,  2.59e+09),
           (-0.689,  3.95e+09),
           (-0.685,  1.98e+09),
           (-0.682,  1.93e+09),
           (-0.678,  3.72e+09),
           (-0.675,  8.18e+08),
           (-0.672, -2.69e+07),
           (-0.668,  1.14e+08),
           (-0.665, -1.14e+09),
           (-0.662, -4.06e+08),
           (-0.658,  1.65e+09),
           (-0.655, -1.76e+09),
           (-0.651, -1.50e+09),
           (-0.648, -3.87e+08),
           (-0.645, -7.29e+08),
           (-0.641,  4.07e+08),
           (-0.638,  5.48e+07),
           (-0.635, -3.22e+09),
           (-0.631, -3.06e+08),
           (-0.628, -3.69e+08),
           (-0.624, -7.54e+07),
           (-0.621,  6.30e+09),
           (-0.618,  2.60e+08),
           (-0.614, -2.49e+06),
           (-0.611,  3.29e+09),
           (-0.608,  1.94e+09),
           (-0.604,  1.74e+09),
           (-0.601,  1.14e+09),
           (-0.597, -4.58e+08),
           (-0.594,  2.44e+09),
           (-0.591,  1.39e+09),
           (-0.587, -3.54e+09),
           (-0.584, -1.76e+09),
           (-0.581,  2.60e+09),
           (-0.577, -1.41e+08),
           (-0.574, -2.33e+08),
           (-0.570, -2.20e+09),
           (-0.567, -1.02e+09),
           (-0.564, -1.43e+09),
           (-0.560,  1.63e+09),
           (-0.557,  1.02e+09),
           (-0.554, -9.25e+08),
           (-0.550,  1.08e+09),
           (-0.547,  7.90e+08),
           (-0.543, -1.66e+09),
           (-0.540, -6.14e+08),
           (-0.537,  2.10e+09),
           (-0.533, -8.48e+08),
           (-0.530,  4.30e+08),
           (-0.527, -2.01e+09),
           (-0.523, -1.47e+09),
           (-0.520, -3.87e+08),
           (-0.516, -1.23e+09),
           (-0.513, -2.74e+09),
           (-0.510,  1.44e+09),
           (-0.506,  1.87e+09),
           (-0.503, -1.01e+09),
           (-0.500, -8.73e+08),
           (-0.496, -2.63e+09),
           (-0.493, -7.89e+07),
           (-0.489, -1.83e+09),
           (-0.486, -1.07e+09),
           (-0.483, -8.63e+08),
           (-0.479, -3.45e+09),
           (-0.476,  1.56e+09),
           (-0.469, -2.97e+09),
           (-0.466, -5.08e+08),
           (-0.459,  2.87e+09),
           (-0.456,  2.10e+08),
           (-0.452,  2.24e+08),
           (-0.449,  1.43e+09),
           (-0.442, -2.61e+09),
           (-0.439, -3.03e+08),
           (-0.435, -2.27e+09),
           (-0.432, -1.81e+09),
           (-0.429,  2.77e+08),
           (-0.425,  1.45e+09),
           (-0.422, -3.35e+09),
           (-0.419, -1.22e+09),
           (-0.415,  9.59e+07),
           (-0.412, -3.67e+09),
           (-0.408, -3.79e+09),
           (-0.405, -1.20e+09),
           (-0.402, -1.20e+09),
           (-0.398, -3.01e+09),
           (-0.395,  6.68e+08),
           (-0.392,  3.00e+09),
           (-0.388, -9.16e+08),
           (-0.385, -9.29e+08),
           (-0.381, -2.43e+09),
           (-0.378, -1.11e+09),
           (-0.375, -1.48e+09),
           (-0.371, -1.29e+09),
           (-0.368, -1.51e+09),
           (-0.365,  5.91e+07),
           (-0.361,  2.34e+09),
           (-0.358, -3.51e+09),
           (-0.354, -7.37e+08),
           (-0.351, -5.23e+08),
           (-0.348, -8.65e+08),
