Bolide Detection Notification: 2016-258

At 15:01:51 UT on 14 Sep 2016, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 3.5S, Lon 44.6E.

 Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 4.7e9 watts/steradian, and total radiated flash
energy  7.6e10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-2.497,  3.21e+09),
           (-2.494,  1.69e+09),
           (-2.491,  5.87e+08),
           (-2.487,  6.55e+08),
           (-2.484, -1.69e+08),
           (-2.481, -9.83e+08),
           (-2.477,  3.25e+09),
           (-2.474,  9.48e+08),
           (-2.470, -1.88e+09),
           (-2.467,  1.34e+09),
           (-2.464,  2.49e+09),
           (-2.460, -1.57e+09),
           (-2.457, -2.99e+09),
           (-2.454,  3.23e+09),
           (-2.450,  6.01e+09),
           (-2.447,  1.37e+09),
           (-2.444,  2.72e+09),
           (-2.440,  3.63e+07),
           (-2.437, -1.82e+09),
           (-2.433, -1.68e+09),
           (-2.430,  1.70e+08),
           (-2.427, -1.19e+09),
           (-2.423, -1.28e+09),
           (-2.420,  1.59e+09),
           (-2.416,  2.43e+09),
           (-2.413,  2.61e+09),
           (-2.410, -1.26e+08),
           (-2.406, -8.62e+08),
           (-2.403,  6.26e+07),
           (-2.400,  1.51e+09),
           (-2.396, -4.70e+08),
           (-2.393,  3.85e+08),
           (-2.390,  4.66e+09),
           (-2.386,  4.47e+09),
           (-2.383,  3.95e+09),
           (-2.379,  5.18e+09),
           (-2.376,  6.26e+09),
           (-2.373,  3.11e+09),
           (-2.369,  7.53e+08),
           (-2.366, -8.45e+08),
           (-2.362, -5.87e+08),
           (-2.359,  3.86e+09),
           (-2.356,  8.93e+08),
           (-2.352,  8.32e+08),
           (-2.349,  2.20e+09),
           (-2.346,  2.53e+09),
           (-2.342,  4.75e+09),
           (-2.339,  2.55e+09),
           (-2.335, -6.09e+08),
           (-2.332,  3.22e+09),
           (-2.329,  2.61e+09),
           (-2.325,  3.32e+09),
           (-2.322,  1.72e+08),
           (-2.319, -5.09e+08),
           (-2.315,  1.59e+08),
           (-2.312, -1.21e+09),
           (-2.309, -1.51e+09),
           (-2.305, -8.56e+08),
           (-2.302,  3.82e+09),
           (-2.298,  2.25e+09),
           (-2.295,  1.81e+08),
           (-2.292, -3.25e+09),
           (-2.288, -3.94e+09),
           (-2.285, -1.96e+09),
           (-2.281,  8.59e+08),
           (-2.278,  7.95e+08),
           (-2.275,  4.09e+09),
           (-2.271,  7.07e+09),
           (-2.268,  8.27e+09),
           (-2.265,  5.02e+09),
           (-2.261, -1.29e+09),
           (-2.258, -2.63e+08),
           (-2.255, -1.65e+09),
           (-2.251,  2.81e+08),
           (-2.248,  1.52e+09),
           (-2.244, -9.29e+08),
           (-2.241,  1.54e+09),
           (-2.238,  5.86e+08),
           (-2.234,  1.43e+09),
           (-2.231, -1.79e+08),
           (-2.228, -3.21e+09),
           (-2.224, -1.55e+09),
           (-2.221,  3.53e+09),
           (-2.217,  3.84e+09),
           (-2.214,  3.82e+09),
           (-2.211,  4.90e+09),
           (-2.207,  5.52e+09),
           (-2.204,  3.63e+09),
           (-2.200, -4.75e+08),
           (-2.197,  8.61e+09),
           (-2.194,  5.10e+09),
           (-2.190, -2.68e+09),
           (-2.187,  1.48e+09),
           (-2.184,  5.71e+08),
           (-2.180,  4.21e+09),
           (-2.177,  4.53e+09),
           (-2.174,  8.01e+08),
           (-2.170,  2.17e+09),
           (-2.167,  1.73e+09),
           (-2.163,  3.27e+09),
           (-2.160,  7.20e+09),
           (-2.157,  7.61e+09),
           (-2.153,  5.16e+09),
           (-2.150,  5.68e+09),
           (-2.146,  3.81e+09),
           (-2.143,  3.26e+09),
           (-2.140,  8.88e+09),
           (-2.136,  6.35e+09),
           (-2.133,  2.40e+09),
           (-2.130,  2.79e+09),
           (-2.126, -2.10e+09),
           (-2.123,  1.07e+08),
           (-2.120,  2.08e+09),
           (-2.116,  1.55e+09),
           (-2.113, -8.43e+06),
           (-2.109,  2.88e+09),
           (-2.106,  5.06e+09),
           (-2.103,  6.91e+09),
           (-2.099,  1.60e+07),
           (-2.096,  1.70e+09),
           (-2.092,  2.05e+09),
           (-2.089,  9.00e+08),
           (-2.086,  1.97e+09),
           (-2.082,  3.26e+09),
           (-2.079,  9.37e+08),
           (-2.076,  2.31e+09),
           (-2.072, -5.78e+09),
           (-2.069, -3.44e+09),
           (-2.065, -1.06e+09),
           (-2.062,  1.03e+09),
           (-2.059,  1.74e+07),
           (-2.055,  2.74e+09),
           (-2.052,  9.60e+08),
           (-2.049,  4.24e+09),
           (-2.045, -1.12e+09),
           (-2.042, -4.25e+09),
           (-2.039, -2.24e+08),
           (-2.035,  3.58e+09),
           (-2.032,  8.34e+08),
           (-2.028,  1.06e+09),
           (-2.025,  4.15e+09),
           (-2.022, -5.51e+08),
           (-2.018,  3.02e+08),
           (-2.015, -5.29e+08),
           (-2.011,  3.32e+09),
           (-2.008, -2.73e+09),
           (-2.005, -2.62e+09),
           (-2.001,  8.01e+08),
           (-1.998,  3.66e+09),
           (-1.995,  2.37e+09),
           (-1.991,  5.44e+08),
           (-1.988, -6.75e+08),
           (-1.985,  4.65e+08),
           (-1.981,  4.99e+09),
           (-1.978, -4.51e+08),
           (-1.974, -3.64e+09),
           (-1.971, -1.23e+09),
           (-1.968,  1.84e+09),
           (-1.964,  2.57e+09),
           (-1.961,  3.15e+08),
           (-1.957,  3.67e+07),
           (-1.954,  6.91e+08),
           (-1.951, -1.65e+09),
           (-1.947,  1.97e+09),
           (-1.944, -2.49e+09),
           (-1.941,  4.89e+08),
           (-1.937,  4.80e+09),
           (-1.934,  3.41e+09),
           (-1.930, -2.00e+09),
           (-1.927, -7.36e+08),
           (-1.924,  2.79e+09),
           (-1.920, -2.24e+09),
           (-1.917,  2.19e+09),
           (-1.914,  8.48e+09),
           (-1.910,  4.04e+09),
           (-1.907,  1.92e+08),
           (-1.904,  7.78e+08),
           (-1.900,  2.46e+09),
           (-1.897,  3.43e+09),
           (-1.893,  1.21e+09),
           (-1.890, -2.91e+09),
           (-1.887,  4.37e+08),
           (-1.883,  4.77e+09),
           (-1.880, -3.44e+08),
           (-1.876, -1.86e+09),
           (-1.873, -2.00e+09),
           (-1.870, -1.87e+09),
           (-1.866, -2.25e+09),
           (-1.863, -1.10e+09),
           (-1.860,  2.42e+09),
           (-1.856,  5.59e+08),
           (-1.853,  3.09e+09),
           (-1.850, -4.51e+07),
           (-1.846,  8.48e+08),
           (-1.843, -4.73e+08),
           (-1.839,  1.32e+09),
           (-1.836,  7.55e+08),
           (-1.833,  2.51e+09),
           (-1.829,  4.82e+09),
           (-1.826,  3.39e+09),
           (-1.822,  1.68e+09),
           (-1.819, -3.29e+08),
           (-1.816,  3.50e+09),
           (-1.812,  4.91e+09),
           (-1.809,  1.98e+09),
           (-1.806,  2.61e+09),
           (-1.802,  5.90e+08),
           (-1.799,  5.93e+08),
           (-1.795,  2.83e+08),
           (-1.792,  2.55e+09),
           (-1.789,  4.59e+09),
           (-1.785,  3.53e+09),
           (-1.782,  1.06e+09),
           (-1.779,  3.83e+09),
           (-1.775,  3.46e+09),
           (-1.772,  1.74e+09),
           (-1.769,  2.09e+09),
           (-1.765,  4.29e+08),
           (-1.762,  1.83e+09),
           (-1.758,  2.88e+09),
           (-1.755,  4.93e+09),
           (-1.752,  3.81e+09),
           (-1.748,  5.50e+09),
           (-1.745,  1.03e+09),
           (-1.741,  2.72e+09),
           (-1.738, -3.03e+08),
           (-1.735,  2.50e+09),
           (-1.731,  2.85e+09),
           (-1.728,  6.06e+09),
           (-1.725,  2.66e+09),
           (-1.721,  4.15e+09),
           (-1.718,  4.15e+09),
           (-1.715,  2.82e+09),
           (-1.711,  3.08e+09),
           (-1.708,  3.59e+09),
           (-1.704,  2.59e+09),
           (-1.701,  4.66e+09),
           (-1.698,  4.90e+09),
           (-1.694,  3.65e+09),
           (-1.691,  4.38e+09),
           (-1.687,  7.41e+09),
           (-1.684,  4.58e+09),
           (-1.681,  3.15e+09),
           (-1.677,  2.16e+09),
           (-1.674,  2.51e+09),
           (-1.671,  3.50e+08),
           (-1.667, -5.38e+09),
           (-1.664, -9.34e+08),
           (-1.660,  4.59e+09),
           (-1.657,  5.23e+09),
           (-1.654,  1.23e+09),
           (-1.650,  6.52e+09),
           (-1.647,  5.07e+09),
           (-1.644,  6.65e+09),
           (-1.640,  7.01e+09),
           (-1.637,  7.58e+09),
           (-1.634,  5.03e+09),
           (-1.630,  3.97e+09),
           (-1.627,  6.30e+09),
           (-1.623,  6.79e+08),
           (-1.620,  5.13e+09),
           (-1.617,  3.31e+09),
           (-1.613,  1.08e+09),
           (-1.610,  4.10e+09),
           (-1.606, -3.95e+08),
           (-1.603, -6.10e+08),
           (-1.600,  9.91e+08),
           (-1.596, -9.82e+08),
           (-1.593,  4.51e+06),
           (-1.590, -8.64e+07),
           (-1.586,  5.66e+09),
           (-1.583,  2.68e+09),
           (-1.580, -3.33e+09),
           (-1.576,  2.96e+08),
           (-1.573,  6.39e+09),
           (-1.569,  3.30e+09),
           (-1.566,  3.53e+09),
           (-1.563,  4.05e+09),
           (-1.559,  3.75e+09),
           (-1.556,  4.05e+09),
           (-1.552,  4.89e+08),
           (-1.549,  2.15e+09),
           (-1.546,  3.27e+09),
           (-1.542,  1.80e+09),
           (-1.539,  7.41e+09),
           (-1.536,  3.16e+09),
           (-1.532,  3.81e+09),
           (-1.529,  7.17e+09),
           (-1.525,  6.89e+09),
           (-1.522,  1.50e+09),
           (-1.519,  9.75e+08),
           (-1.515,  6.08e+08),
           (-1.512,  5.33e+09),
           (-1.509,  4.67e+09),
           (-1.505,  2.63e+09),
           (-1.502,  1.86e+09),
           (-1.499,  6.61e+09),
           (-1.495,  4.62e+09),
           (-1.492,  5.51e+09),
           (-1.488,  4.56e+09),
           (-1.485,  5.40e+09),
           (-1.482,  6.65e+09),
           (-1.478,  1.15e+09),
           (-1.475,  2.41e+09),
           (-1.471,  2.96e+09),
           (-1.468,  3.72e+09),
           (-1.465,  2.80e+09),
           (-1.461, -9.77e+08),
           (-1.458,  1.64e+09),
           (-1.455, -2.06e+09),
           (-1.451,  1.32e+09),
           (-1.448,  2.10e+09),
           (-1.445,  1.70e+09),
           (-1.441,  1.67e+09),
           (-1.438,  1.12e+09),
           (-1.434, -2.70e+09),
           (-1.431, -5.87e+08),
           (-1.428,  3.04e+09),
           (-1.424,  2.45e+09),
           (-1.421,  8.99e+09),
           (-1.417,  7.44e+09),
           (-1.414,  2.51e+09),
           (-1.411,  2.76e+07),
           (-1.407,  1.65e+09),
           (-1.404,  5.55e+09),
           (-1.401,  4.11e+08),
           (-1.397,  1.10e+09),
           (-1.394,  2.57e+09),
           (-1.390,  5.09e+09),
           (-1.387,  5.47e+09),
           (-1.384,  3.73e+09),
           (-1.380,  1.50e+09),
           (-1.377,  2.62e+09),
           (-1.374,  6.62e+09),
           (-1.370,  4.43e+09),
           (-1.367,  1.61e+09),
           (-1.364,  3.84e+09),
           (-1.360,  4.58e+09),
           (-1.357,  1.42e+09),
           (-1.353,  3.53e+09),
           (-1.350,  1.33e+08),
           (-1.347, -1.20e+09),
           (-1.343, -5.32e+07),
           (-1.340,  3.27e+09),
           (-1.336,  4.30e+09),
           (-1.333,  2.08e+09),
           (-1.330,  5.64e+09),
           (-1.326,  3.72e+09),
           (-1.323,  6.01e+09),
           (-1.320,  6.52e+09),
           (-1.316,  2.55e+09),
           (-1.313,  1.29e+09),
           (-1.310, -6.25e+09),
           (-1.306, -1.20e+09),
           (-1.303,  2.07e+09),
           (-1.299,  1.27e+09),
           (-1.296,  2.77e+09),
           (-1.293,  7.26e+09),
           (-1.289,  3.14e+09),
           (-1.286,  2.51e+09),
           (-1.282,  3.78e+09),
           (-1.279,  2.76e+09),
           (-1.276,  3.86e+09),
           (-1.272,  3.24e+09),
           (-1.269,  3.32e+09),
           (-1.266,  2.75e+09),
           (-1.262,  1.60e+09),
           (-1.259,  9.72e+09),
           (-1.255,  6.50e+09),
           (-1.252,  1.05e+09),
           (-1.249,  2.55e+09),
           (-1.245, -2.01e+09),
           (-1.242,  9.94e+08),
           (-1.239,  3.39e+09),
           (-1.235,  4.71e+09),
           (-1.232,  2.41e+09),
           (-1.229,  1.52e+09),
           (-1.225,  4.47e+09),
           (-1.222,  1.12e+10),
           (-1.218,  7.74e+09),
           (-1.215,  6.45e+09),
           (-1.212,  5.74e+09),
           (-1.208,  2.03e+09),
           (-1.205,  2.00e+09),
           (-1.201,  6.51e+09),
           (-1.198,  3.02e+09),
           (-1.195,  7.05e+09),
           (-1.191,  4.12e+09),
           (-1.188, -5.12e+08),
           (-1.185,  1.98e+09),
           (-1.181,  2.35e+09),
           (-1.178,  1.65e+09),
           (-1.175,  1.84e+09),
           (-1.171, -2.23e+09),
           (-1.168,  2.09e+09),
           (-1.164,  8.32e+08),
           (-1.161,  2.57e+09),
           (-1.158,  7.10e+08),
           (-1.154,  2.38e+08),
           (-1.151,  1.69e+09),
           (-1.147,  1.24e+08),
           (-1.144, -9.73e+08),
           (-1.141,  2.27e+09),
           (-1.137,  3.72e+09),
           (-1.134,  4.91e+09),
           (-1.131,  2.69e+09),
           (-1.127,  1.87e+09),
           (-1.124,  3.16e+09),
           (-1.120,  9.49e+09),
           (-1.117,  8.16e+09),
           (-1.114,  8.37e+09),
           (-1.110,  6.35e+09),
           (-1.107,  4.86e+09),
           (-1.104,  6.10e+09),
           (-1.100,  6.16e+09),
           (-1.097,  5.12e+09),
           (-1.094,  3.75e+09),
           (-1.090,  4.36e+09),
           (-1.087,  3.03e+09),
           (-1.083,  2.70e+09),
           (-1.080,  6.11e+09),
           (-1.077,  7.03e+09),
           (-1.073,  5.50e+09),
           (-1.070,  9.25e+08),
           (-1.066,  2.04e+09),
           (-1.063,  5.32e+08),
           (-1.060,  2.55e+09),
           (-1.056,  7.55e+09),
           (-1.053,  3.27e+09),
           (-1.050,  4.02e+09),
           (-1.046,  8.29e+09),
           (-1.043,  2.90e+09),
           (-1.040,  5.87e+09),
           (-1.036,  9.78e+08),
           (-1.033,  3.08e+09),
           (-1.029,  1.98e+09),
           (-1.026,  1.35e+08),
           (-1.023,  4.06e+09),
           (-1.019,  6.16e+09),
           (-1.016,  5.12e+09),
           (-1.012,  6.93e+09),
           (-1.009,  4.70e+09),
           (-1.006,  8.10e+09),
           (-1.002,  8.45e+09),
           (-0.999,  2.31e+09),
           (-0.996,  3.65e+09),
           (-0.992,  4.09e+09),
           (-0.989,  2.49e+09),
           (-0.985,  2.03e+09),
           (-0.982,  4.03e+09),
           (-0.979,  6.61e+09),
           (-0.975,  6.95e+09),
           (-0.972,  1.40e+10),
           (-0.969,  1.41e+10),
           (-0.965,  1.65e+10),
           (-0.962,  1.71e+10),
           (-0.959,  1.18e+10),
           (-0.955,  6.81e+09),
           (-0.952,  7.22e+09),
           (-0.948,  4.95e+09),
           (-0.945,  6.44e+09),
           (-0.942,  8.16e+09),
           (-0.938,  6.21e+09),
           (-0.935,  8.73e+09),
           (-0.931,  7.19e+09),
           (-0.928,  6.20e+09),
           (-0.925,  8.02e+09),
           (-0.921,  8.83e+09),
           (-0.918,  7.75e+09),
           (-0.915,  7.73e+09),
           (-0.911,  8.45e+09),
           (-0.908,  1.03e+10),
           (-0.905,  6.28e+09),
           (-0.901,  3.01e+09),
           (-0.898,  9.45e+09),
           (-0.894,  6.98e+09),
           (-0.891,  6.22e+09),
           (-0.888,  7.43e+09),
           (-0.884,  1.04e+10),
           (-0.881,  8.01e+09),
           (-0.877,  7.57e+09),
           (-0.874,  1.16e+10),
           (-0.871,  1.37e+10),
           (-0.867,  1.17e+10),
           (-0.864,  9.33e+09),
           (-0.861,  1.06e+10),
           (-0.857,  1.17e+10),
           (-0.854,  6.03e+09),
           (-0.850,  7.20e+09),
           (-0.847,  9.07e+09),
           (-0.844,  1.06e+10),
           (-0.840,  6.11e+09),
           (-0.837,  7.21e+09),
           (-0.834,  1.07e+10),
           (-0.830,  8.87e+09),
           (-0.827,  8.73e+09),
           (-0.824,  9.79e+09),
           (-0.820,  6.57e+09),
           (-0.817,  6.80e+09),
           (-0.813,  6.45e+09),
           (-0.810,  6.17e+09),
           (-0.807,  5.74e+09),
           (-0.803,  7.42e+09),
           (-0.800,  1.37e+10),
           (-0.796,  1.20e+10),
           (-0.793,  7.48e+09),
           (-0.790,  6.10e+09),
           (-0.786,  8.38e+09),
           (-0.783,  8.95e+09),
           (-0.780,  7.30e+09),
           (-0.776,  1.11e+10),
           (-0.773,  1.39e+10),
           (-0.770,  9.31e+09),
           (-0.766,  8.23e+09),
           (-0.763,  8.96e+09),
           (-0.759,  1.06e+10),
           (-0.756,  1.07e+10),
           (-0.753,  1.19e+10),
           (-0.749,  1.38e+10),
           (-0.746,  8.01e+09),
           (-0.742,  5.48e+09),
           (-0.739,  5.12e+09),
           (-0.736,  7.48e+09),
           (-0.732,  3.43e+09),
           (-0.729,  5.84e+09),
           (-0.726,  7.92e+09),
           (-0.722,  1.05e+10),
           (-0.719,  9.94e+09),
           (-0.715,  1.12e+10),
           (-0.712,  1.09e+10),
           (-0.709,  7.70e+09),
           (-0.705,  1.02e+10),
           (-0.702,  1.08e+10),
           (-0.699,  6.59e+09),
           (-0.695,  4.64e+09),
           (-0.692,  6.61e+09),
           (-0.689,  8.96e+09),
           (-0.685,  1.22e+10),
           (-0.682,  9.48e+09),
           (-0.678,  3.99e+09),
           (-0.675,  9.87e+09),
           (-0.672,  1.29e+10),
           (-0.668,  1.29e+10),
           (-0.665,  1.06e+10),
           (-0.661,  9.70e+09),
           (-0.658,  9.31e+09),
           (-0.655,  8.63e+09),
           (-0.651,  5.72e+09),
           (-0.648,  8.03e+09),
           (-0.645,  5.06e+09),
           (-0.641,  9.29e+09),
           (-0.638,  9.20e+09),
           (-0.635,  1.07e+10),
           (-0.631,  9.11e+09),
           (-0.628,  6.05e+09),
           (-0.624,  6.05e+09),
           (-0.621,  1.09e+10),
           (-0.618,  1.03e+10),
           (-0.614,  7.30e+09),
           (-0.611,  1.01e+10),
           (-0.607,  1.16e+10),
           (-0.604,  8.84e+09),
           (-0.601,  7.59e+09),
           (-0.597,  7.21e+09),
           (-0.594,  1.30e+10),
           (-0.591,  8.72e+09),
           (-0.587,  9.20e+09),
           (-0.584,  7.91e+09),
           (-0.580,  5.54e+09),
           (-0.577,  9.25e+09),
           (-0.574,  1.20e+10),
           (-0.570,  5.01e+09),
           (-0.567,  8.22e+09),
           (-0.564,  9.46e+09),
           (-0.560,  1.40e+10),
           (-0.557,  1.92e+10),
           (-0.554,  1.52e+10),
           (-0.550,  1.22e+10),
           (-0.547,  1.11e+10),
           (-0.543,  1.11e+10),
           (-0.540,  9.86e+09),
           (-0.537,  9.86e+09),
           (-0.533,  1.23e+10),
           (-0.530,  7.80e+09),
           (-0.526,  8.68e+09),
           (-0.523,  1.01e+10),
