Bolide Detection Notification: 2017-037

At 06:09:59 UT on 06 Feb 2017, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 10.4N, Lon 131.6E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.11e+10 watts/steradian, and total radiated flash
energy 7.08e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.500, -1.36e+09),
           (-0.496,  2.18e+09),
           (-0.493,  1.55e+09),
           (-0.489,  1.66e+09),
           (-0.486,  3.99e+08),
           (-0.483,  1.88e+08),
           (-0.479, -3.84e+08),
           (-0.476,  3.98e+09),
           (-0.473, -1.17e+09),
           (-0.469,  1.17e+09),
           (-0.466,  2.06e+09),
           (-0.462, -2.83e+09),
           (-0.459,  2.39e+08),
           (-0.456,  7.27e+08),
           (-0.452,  1.63e+09),
           (-0.449,  9.83e+07),
           (-0.446, -8.50e+08),
           (-0.442, -2.14e+08),
           (-0.439,  2.00e+09),
           (-0.435,  1.46e+09),
           (-0.432, -7.75e+08),
           (-0.429, -2.14e+09),
           (-0.425,  1.97e+09),
           (-0.422, -2.62e+08),
           (-0.419,  1.74e+09),
           (-0.415, -7.93e+08),
           (-0.412,  2.24e+08),
           (-0.408,  4.08e+08),
           (-0.405,  1.53e+08),
           (-0.402,  4.03e+09),
           (-0.398,  1.01e+09),
           (-0.395,  4.82e+08),
           (-0.392,  5.79e+08),
           (-0.388, -6.57e+07),
           (-0.385, -4.60e+08),
           (-0.381,  3.95e+09),
           (-0.378,  3.06e+09),
           (-0.375,  1.84e+09),
           (-0.371,  3.09e+09),
           (-0.368,  5.03e+08),
           (-0.361,  3.27e+09),
           (-0.358,  2.13e+09),
           (-0.354, -1.05e+09),
           (-0.351,  1.29e+09),
           (-0.348,  1.40e+09),
           (-0.344, -7.66e+08),
           (-0.341,  2.28e+08),
           (-0.338,  8.80e+08),
           (-0.334, -7.52e+08),
           (-0.331,  7.09e+08),
           (-0.327, -2.74e+09),
           (-0.324,  2.15e+09),
           (-0.321,  1.35e+08),
           (-0.317,  5.86e+07),
           (-0.314,  1.22e+09),
           (-0.310, -5.98e+07),
           (-0.307,  4.07e+08),
           (-0.304,  1.56e+09),
           (-0.300,  8.49e+08),
           (-0.297,  1.70e+09),
           (-0.294,  7.11e+08),
           (-0.290,  5.45e+08),
           (-0.287,  2.95e+09),
           (-0.283, -3.35e+08),
           (-0.280,  9.43e+08),
           (-0.277,  3.54e+09),
           (-0.273, -1.78e+08),
           (-0.270,  2.24e+09),
           (-0.267,  1.14e+09),
           (-0.263,  9.59e+08),
