Bolide Detection Notification: 2017-142

At 17:44:39 UT on 22 May 2017, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 49.6 °S, Lon 157.6 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.37e+10 watts/steradian, and total radiated flash
energy 3.86e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.199,  1.55e+09),
           (-0.196, -4.45e+08),
           (-0.192,  2.00e+09),
           (-0.189,  9.44e+07),
           (-0.186, -4.03e+08),
           (-0.182,  4.10e+08),
           (-0.179,  1.88e+09),
           (-0.175,  3.00e+09),
           (-0.172,  4.86e+08),
           (-0.169,  2.17e+08),
           (-0.165,  8.58e+08),
           (-0.162, -5.11e+08),
           (-0.159,  1.29e+09),
           (-0.155, -7.05e+06),
           (-0.152,  7.09e+08),
           (-0.148,  2.49e+09),
           (-0.145,  2.05e+09),
           (-0.142,  2.34e+09),
           (-0.138,  1.96e+09),
           (-0.135,  3.07e+09),
           (-0.132,  2.06e+09),
           (-0.128,  1.57e+09),
           (-0.125, -1.54e+08),
           (-0.122, -3.97e+08),
           (-0.115,  1.35e+09),
           (-0.111,  6.66e+08),
           (-0.108, -1.75e+09),
           (-0.105,  1.06e+09),
           (-0.101,  1.04e+09),
           (-0.098, -1.62e+08),
           (-0.095,  5.23e+08),
           (-0.091,  9.51e+08),
           (-0.088,  1.72e+09),
           (-0.084,  6.51e+08),
           (-0.081, -1.46e+09),
           (-0.078, -5.24e+07),
           (-0.074,  1.02e+09),
           (-0.071,  9.34e+07),
           (-0.067,  8.53e+08),
           (-0.064, -3.89e+08),
           (-0.061, -4.27e+08),
           (-0.057, -4.40e+07),
           (-0.054,  4.51e+07),
           (-0.051,  1.97e+09),
           (-0.047,  1.61e+09),
           (-0.044,  1.36e+09),
           (-0.040, -1.55e+09),
           (-0.037,  5.01e+08),
           (-0.030,  2.40e+08),
           (-0.027,  6.40e+08),
           (-0.024,  1.21e+09),
           (-0.020,  2.37e+09),
           (-0.017,  1.89e+09),
           (-0.014,  2.35e+09),
           (-0.010,  4.39e+09),
           (-0.007,  4.38e+09),
           (-0.003,  4.27e+09),
           (-0.000,  4.39e+09),
           ( 0.003,  2.61e+09),
           ( 0.007,  3.01e+09),
           ( 0.010,  4.81e+09),
           ( 0.013,  2.01e+09),
           ( 0.017,  9.39e+08),
           ( 0.020,  1.56e+09),
           ( 0.024,  2.59e+09),
           ( 0.027,  1.54e+09),
           ( 0.030,  9.55e+08),
           ( 0.034,  1.33e+09),
           ( 0.037,  1.47e+09),
           ( 0.041,  7.29e+08),
           ( 0.044,  1.60e+09),
           ( 0.047,  1.71e+09),
           ( 0.051,  1.68e+09),
           ( 0.054,  3.23e+09),
           ( 0.057,  5.50e+09),
           ( 0.061,  4.71e+09),
           ( 0.064,  6.27e+09),
           ( 0.067,  7.27e+09),
           ( 0.071,  6.20e+09),
           ( 0.074,  8.42e+09),
           ( 0.078,  1.16e+10),
           ( 0.081,  1.31e+10),
           ( 0.084,  1.29e+10),
           ( 0.088,  1.30e+10),
           ( 0.091,  1.20e+10),
           ( 0.094,  1.25e+10),
           ( 0.098,  9.28e+09),
           ( 0.101,  8.10e+09),
           ( 0.105,  8.68e+09),
           ( 0.108,  6.99e+09),
           ( 0.111,  6.47e+09),
           ( 0.115,  5.01e+09),
           ( 0.122,  4.24e+09),
           ( 0.128,  6.01e+09),
           ( 0.132,  6.21e+09),
           ( 0.135,  4.81e+09),
           ( 0.138,  3.17e+09),
           ( 0.142,  5.50e+09),
           ( 0.145,  5.20e+09),
           ( 0.149,  4.64e+09),
           ( 0.152,  3.42e+09),
           ( 0.155,  2.72e+09),
           ( 0.159,  3.23e+09),
           ( 0.162,  4.77e+09),
           ( 0.165,  3.57e+09),
           ( 0.169,  3.85e+09),
           ( 0.172,  3.41e+09),
           ( 0.175,  4.49e+09),
           ( 0.179,  4.80e+09),
           ( 0.182,  4.13e+09),
           ( 0.186,  2.75e+09),
           ( 0.189,  2.53e+09),
           ( 0.192,  1.70e+09),
           ( 0.196,  2.79e+09),
           ( 0.199,  2.44e+09),
           ( 0.202,  3.87e+09),
           ( 0.206,  2.92e+09),
           ( 0.209,  1.54e+09),
           ( 0.213,  4.53e+08),
           ( 0.216,  1.16e+09),
           ( 0.219,  2.92e+09),
           ( 0.223,  2.39e+09),
           ( 0.226,  1.61e+09),
           ( 0.230,  2.48e+09),
           ( 0.233,  3.55e+09),
           ( 0.236,  3.47e+09),
           ( 0.240,  4.17e+09),
           ( 0.243,  3.59e+09),
           ( 0.246,  2.89e+09),
           ( 0.250,  2.86e+09),
           ( 0.253,  2.70e+09),
           ( 0.256,  1.90e+09),
           ( 0.260,  2.37e+09),
           ( 0.263,  2.50e+09),
           ( 0.267,  2.23e+09),
           ( 0.270,  3.34e+09),
           ( 0.273,  2.45e+09),
           ( 0.277,  7.63e+08),
           ( 0.280,  1.76e+09),
           ( 0.283,  1.80e+09),
           ( 0.287,  1.07e+09),
           ( 0.290,  7.54e+08),
           ( 0.294,  1.07e+09),
           ( 0.297,  1.85e+09),
           ( 0.300,  1.15e+09),
           ( 0.304,  1.54e+08),
           ( 0.307,  1.07e+09),
           ( 0.311, -2.71e+08),
           ( 0.314,  1.45e+09),
           ( 0.317,  2.18e+09),
           ( 0.321,  2.49e+09),
           ( 0.324,  2.59e+09),
           ( 0.327,  4.75e+09),
           ( 0.331,  5.47e+09),
           ( 0.334,  6.00e+09),
           ( 0.338,  7.26e+09),
           ( 0.341,  8.96e+09),
           ( 0.344,  9.02e+09),
           ( 0.348,  5.90e+09),
           ( 0.351,  5.18e+09),
           ( 0.354,  5.03e+09),
           ( 0.358,  5.09e+09),
           ( 0.361,  5.11e+09),
           ( 0.364,  5.90e+09),
           ( 0.368,  5.38e+09),
           ( 0.371,  3.16e+09),
           ( 0.375,  4.42e+09),
           ( 0.378,  7.22e+09),
           ( 0.381,  6.45e+09),
           ( 0.385,  5.47e+09),
           ( 0.388,  8.39e+09),
           ( 0.391,  6.09e+09),
           ( 0.395,  8.37e+09),
           ( 0.398,  9.28e+09),
           ( 0.402,  1.16e+10),
           ( 0.405,  1.22e+10),
           ( 0.408,  1.30e+10),
           ( 0.412,  1.08e+10),
           ( 0.415,  8.06e+09),
           ( 0.419,  8.84e+09),
           ( 0.422,  8.70e+09),
           ( 0.425,  6.25e+09),
           ( 0.429,  7.61e+09),
           ( 0.432,  6.09e+09),
           ( 0.435,  6.67e+09),
           ( 0.439,  7.82e+09),
           ( 0.442,  7.82e+09),
           ( 0.445,  8.19e+09),
           ( 0.449,  6.17e+09),
           ( 0.452,  6.01e+09),
           ( 0.456,  6.55e+09),
           ( 0.459,  5.88e+09),
           ( 0.462,  6.45e+09),
           ( 0.466,  6.65e+09),
           ( 0.469,  4.05e+09),
           ( 0.472,  4.95e+09),
           ( 0.476,  5.32e+09),
           ( 0.479,  4.11e+09),
           ( 0.483,  3.68e+09),
           ( 0.486,  4.95e+09),
           ( 0.489,  4.82e+09),
           ( 0.493,  5.33e+09),
           ( 0.496,  4.88e+09),
           ( 0.500,  3.77e+09),
           ( 0.503,  6.15e+09),
           ( 0.506,  5.53e+09),
           ( 0.510,  3.55e+09),
           ( 0.513,  3.71e+09),
           ( 0.516,  2.67e+09),
           ( 0.520,  5.56e+09),
           ( 0.523,  3.87e+09),
           ( 0.527,  3.15e+09),
           ( 0.530,  4.02e+09),
           ( 0.537,  2.06e+09),
           ( 0.540,  3.78e+09),
           ( 0.543,  4.67e+09),
           ( 0.547,  3.98e+09),
           ( 0.550,  2.29e+09),
           ( 0.553,  1.90e+09),
           ( 0.557,  1.80e+08),
           ( 0.560,  1.73e+09),
           ( 0.564,  4.30e+09),
           ( 0.567,  4.15e+09),
           ( 0.570,  1.86e+09),
           ( 0.574,  2.69e+09),
           ( 0.577,  2.62e+09),
           ( 0.581,  3.07e+09),
           ( 0.584,  2.98e+09),
           ( 0.587,  2.54e+09),
           ( 0.591,  4.23e+09),
           ( 0.594,  3.35e+09),
           ( 0.597,  3.52e+09),
           ( 0.601,  3.81e+09),
           ( 0.604,  9.91e+08),
           ( 0.608,  3.80e+09),
           ( 0.611,  3.15e+09),
           ( 0.614,  4.76e+09),
           ( 0.618,  2.41e+09),
           ( 0.621,  2.06e+09),
           ( 0.624,  1.81e+09),
           ( 0.628,  9.92e+08),
           ( 0.631,  9.82e+08),
           ( 0.634,  1.98e+09),
           ( 0.638,  6.40e+08),
           ( 0.641,  1.67e+09),
           ( 0.645,  7.18e+08),
           ( 0.648,  2.11e+09),
           ( 0.651,  3.53e+08),
           ( 0.655,  2.71e+08),
           ( 0.658,  2.87e+09),
           ( 0.661, -6.10e+07),
           ( 0.665,  9.40e+08),
           ( 0.668,  1.50e+09),
           ( 0.672,  1.44e+09),
           ( 0.675,  2.13e+09),
           ( 0.678,  1.11e+08),
           ( 0.682,  2.17e+08),
           ( 0.685, -2.32e+08),
