Bolide Detection Notification: 2017-144

At 07:03:02 UT on 24 May 2017, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 9.1S, Lon 101.8E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.20e+10 watts/steradian, and total radiated flash
energy 9.73e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -1.87e+08),
           (-0.996, -1.28e+09),
           (-0.992,  2.33e+09),
           (-0.989, -7.45e+08),
           (-0.986,  9.48e+07),
           (-0.982,  5.41e+08),
           (-0.979,  1.32e+09),
           (-0.975,  1.67e+09),
           (-0.972,  1.41e+09),
           (-0.969,  1.71e+09),
           (-0.965,  1.31e+09),
           (-0.958,  7.86e+07),
           (-0.955, -1.22e+09),
           (-0.952,  2.49e+09),
           (-0.948, -1.19e+09),
           (-0.945, -1.01e+09),
           (-0.942, -1.31e+09),
           (-0.938,  6.04e+08),
           (-0.935, -4.41e+08),
           (-0.931, -8.76e+08),
           (-0.928,  4.30e+08),
           (-0.925,  1.27e+09),
           (-0.921, -2.63e+09),
           (-0.918,  1.01e+09),
           (-0.915,  7.66e+08),
           (-0.911,  1.13e+09),
           (-0.908,  2.07e+09),
           (-0.904, -6.53e+08),
           (-0.901, -1.45e+09),
           (-0.898,  1.26e+09),
           (-0.894,  3.24e+09),
           (-0.891, -3.17e+09),
           (-0.888, -1.06e+09),
           (-0.884,  5.35e+08),
           (-0.881,  1.68e+09),
           (-0.877,  7.42e+08),
           (-0.874, -1.18e+09),
           (-0.871, -1.58e+08),
           (-0.867, -5.93e+08),
           (-0.864,  1.54e+09),
           (-0.861,  3.67e+08),
           (-0.857, -1.60e+09),
           (-0.854, -4.76e+07),
           (-0.851, -4.44e+08),
           (-0.847,  1.85e+09),
           (-0.844, -2.60e+09),
           (-0.840, -2.59e+08),
           (-0.837,  4.31e+08),
           (-0.834, -6.93e+08),
           (-0.830, -1.75e+08),
           (-0.827, -4.13e+08),
           (-0.823,  1.45e+08),
           (-0.820, -1.25e+09),
           (-0.817,  1.39e+09),
           (-0.813, -9.59e+07),
           (-0.810, -9.19e+07),
           (-0.807,  1.01e+09),
           (-0.803,  4.74e+08),
           (-0.800,  2.05e+09),
           (-0.796,  4.07e+08),
           (-0.793,  7.96e+08),
           (-0.790,  1.29e+08),
           (-0.786, -3.23e+08),
           (-0.783,  7.52e+08),
           (-0.780,  2.24e+09),
           (-0.776,  2.57e+09),
           (-0.773,  1.41e+09),
           (-0.769, -2.32e+08),
           (-0.766,  1.63e+09),
           (-0.763,  2.68e+08),
           (-0.759,  2.33e+09),
           (-0.756,  2.67e+09),
           (-0.753,  1.11e+09),
           (-0.749,  4.11e+09),
           (-0.746,  1.82e+09),
           (-0.743,  2.18e+09),
           (-0.739,  4.85e+08),
           (-0.736,  7.48e+08),
           (-0.732,  5.68e+08),
           (-0.729, -1.28e+08),
           (-0.726,  2.39e+07),
           (-0.722,  5.42e+08),
           (-0.719,  2.80e+09),
           (-0.712,  1.77e+09),
           (-0.709,  7.43e+08),
           (-0.705, -1.35e+09),
           (-0.702,  1.32e+09),
           (-0.699,  2.19e+09),
           (-0.695,  1.37e+09),
           (-0.692,  8.33e+08),
           (-0.688, -9.64e+08),
           (-0.685, -7.60e+07),
           (-0.682,  4.79e+08),
           (-0.678,  2.81e+09),
           (-0.675,  5.67e+07),
           (-0.672, -8.29e+08),
           (-0.668,  1.63e+09),
           (-0.665,  2.61e+09),
           (-0.661,  1.84e+09),
