Bolide Detection Notification: 2017-171

At 13:41:31 UT on 20 Jun 2017, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 54.2S, Lon 133.0E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.25e+11 watts/steradian, and total radiated flash
energy 4.67e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.500,  2.74e+08),
           (-0.496, -1.05e+09),
           (-0.493,  9.77e+07),
           (-0.489, -1.04e+09),
           (-0.486, -1.07e+09),
           (-0.483, -2.07e+09),
           (-0.479, -4.08e+08),
           (-0.476, -1.89e+09),
           (-0.473, -7.66e+08),
           (-0.469, -9.30e+08),
           (-0.466, -9.25e+08),
           (-0.462, -1.15e+09),
           (-0.459, -8.25e+08),
           (-0.456, -1.21e+09),
           (-0.452, -8.11e+08),
           (-0.449, -7.13e+08),
           (-0.446,  9.15e+08),
           (-0.442, -3.64e+08),
           (-0.439, -9.32e+08),
           (-0.435, -8.81e+08),
           (-0.432,  2.87e+07),
           (-0.429, -5.42e+08),
           (-0.425, -6.32e+08),
           (-0.422, -2.50e+08),
           (-0.419,  5.37e+08),
           (-0.415,  6.06e+08),
           (-0.412, -1.31e+09),
           (-0.408, -6.52e+08),
           (-0.405,  4.75e+08),
           (-0.402, -7.93e+08),
           (-0.398, -1.62e+09),
           (-0.395, -1.50e+09),
           (-0.392, -1.96e+09),
           (-0.388, -1.86e+09),
           (-0.385, -2.20e+09),
           (-0.381,  1.44e+09),
           (-0.378,  1.58e+09),
           (-0.375, -9.03e+07),
           (-0.371,  5.20e+08),
           (-0.368, -7.90e+08),
           (-0.365,  2.18e+08),
           (-0.361,  1.14e+07),
           (-0.358, -1.78e+09),
           (-0.354,  1.19e+09),
           (-0.351,  1.12e+09),
           (-0.348,  1.36e+09),
           (-0.344, -8.53e+07),
           (-0.341,  1.80e+08),
           (-0.338,  8.37e+08),
           (-0.334,  3.43e+08),
           (-0.331, -5.74e+08),
           (-0.327,  3.57e+08),
           (-0.324,  5.57e+07),
           (-0.321,  4.53e+08),
           (-0.317,  1.08e+09),
           (-0.314, -1.96e+08),
           (-0.310, -5.56e+08),
           (-0.307,  1.04e+09),
           (-0.304, -2.18e+07),
           (-0.300, -4.92e+08),
           (-0.297,  6.55e+08),
           (-0.294,  1.39e+09),
           (-0.290,  3.84e+08),
           (-0.287,  8.04e+08),
           (-0.283,  1.87e+09),
           (-0.280,  9.57e+08),
           (-0.277,  2.46e+09),
           (-0.273,  5.68e+08),
           (-0.270,  1.65e+08),
           (-0.267, -1.11e+08),
           (-0.263, -2.00e+07),
           (-0.260,  4.75e+08),
           (-0.257,  1.17e+08),
