Bolide Detection Notification: 2017-174

At 20:21:55 UT on 23 Jun 2017, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 57.0N, Lon 143.7E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 6.66e+10 watts/steradian, and total radiated flash
energy 1.36e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.500, -9.15e+08),
           (-0.496,  2.49e+09),
           (-0.493,  4.25e+08),
           (-0.489, -6.13e+06),
           (-0.486, -8.50e+08),
           (-0.483,  9.39e+08),
           (-0.479, -1.70e+09),
           (-0.476, -3.74e+08),
           (-0.469,  1.59e+09),
           (-0.466, -6.51e+08),
           (-0.462, -3.85e+09),
           (-0.459,  1.03e+09),
           (-0.456,  5.66e+08),
           (-0.452, -3.70e+07),
           (-0.449,  1.82e+09),
           (-0.446, -1.84e+09),
           (-0.442, -1.30e+09),
           (-0.439, -1.35e+09),
           (-0.435,  1.36e+09),
           (-0.432,  8.73e+08),
           (-0.429, -1.84e+09),
           (-0.422,  2.59e+09),
           (-0.419,  1.27e+09),
           (-0.415, -4.98e+08),
           (-0.412, -4.78e+07),
           (-0.408,  1.43e+09),
           (-0.405,  6.15e+08),
           (-0.402, -9.83e+08),
           (-0.398,  3.11e+08),
           (-0.395, -1.18e+09),
           (-0.392, -1.95e+09),
           (-0.388, -1.13e+09),
           (-0.385, -1.48e+09),
           (-0.381, -1.31e+09),
           (-0.378, -3.74e+09),
           (-0.375, -1.93e+09),
           (-0.371, -1.34e+09),
           (-0.368, -3.01e+09),
           (-0.365, -3.01e+09),
           (-0.361, -8.46e+08),
           (-0.358, -3.00e+09),
           (-0.354, -9.16e+08),
           (-0.351, -5.94e+08),
           (-0.348, -1.36e+09),
           (-0.344, -1.71e+09),
           (-0.341, -4.04e+08),
           (-0.338, -2.63e+09),
           (-0.334,  3.77e+07),
           (-0.331, -6.27e+08),
           (-0.327, -1.55e+09),
           (-0.324,  1.58e+08),
           (-0.321,  1.37e+09),
           (-0.317, -6.79e+08),
           (-0.314, -4.48e+08),
           (-0.311, -5.85e+08),
           (-0.307, -1.95e+09),
           (-0.304, -1.18e+09),
           (-0.300,  1.44e+08),
           (-0.297,  2.13e+09),
           (-0.294, -2.10e+09),
           (-0.290, -9.69e+07),
           (-0.287, -1.00e+08),
           (-0.284,  2.36e+07),
           (-0.280, -1.93e+09),
           (-0.277, -1.79e+09),
           (-0.273, -4.28e+08),
           (-0.270,  1.69e+09),
           (-0.267,  4.84e+08),
           (-0.263, -3.04e+08),
           (-0.260, -2.53e+09),
           (-0.257,  1.20e+09),
           (-0.253,  6.05e+08),
           (-0.250, -7.67e+08),
           (-0.246, -2.68e+09),
           (-0.243,  1.73e+09),
           (-0.240,  1.38e+09),
           (-0.236, -4.36e+08),
           (-0.233, -1.49e+08),
           (-0.230,  7.63e+08),
           (-0.226,  2.73e+09),
           (-0.223,  1.88e+09),
           (-0.219,  2.54e+09),
           (-0.216, -1.47e+09),
           (-0.213, -2.13e+08),
           (-0.209,  5.18e+08),
           (-0.206, -1.69e+09),
           (-0.203,  1.42e+09),
           (-0.199, -1.10e+09),
           (-0.196, -1.95e+09),
           (-0.192, -8.17e+08),
           (-0.189, -1.78e+08),
           (-0.186, -2.50e+08),
           (-0.182, -1.03e+09),
           (-0.179, -3.18e+08),
           (-0.176,  1.87e+09),
           (-0.172,  3.16e+08),
           (-0.169,  1.27e+09),
           (-0.165,  3.33e+08),
           (-0.162, -2.19e+09),
           (-0.159, -5.48e+08),
           (-0.155, -1.56e+09),
           (-0.152, -1.45e+09),
           (-0.145,  1.63e+07),
           (-0.142, -3.43e+08),
           (-0.138, -2.23e+09),
           (-0.135, -2.04e+09),
           (-0.132, -6.35e+08),
           (-0.128,  1.50e+08),
           (-0.125, -2.90e+08),
           (-0.122, -3.98e+08),
           (-0.118, -2.65e+09),
           (-0.115,  1.14e+09),
           (-0.111,  2.96e+08),
           (-0.108, -2.75e+09),
           (-0.105, -1.20e+09),
           (-0.101, -8.43e+08),
           (-0.098, -7.51e+08),
           (-0.095,  9.39e+07),
           (-0.091, -7.49e+08),
           (-0.088, -1.06e+09),
           (-0.084, -2.08e+08),
           (-0.081, -6.06e+08),
           (-0.078, -2.16e+09),
           (-0.074, -4.02e+09),
           (-0.071, -3.29e+09),
