Bolide Detection Notification: 2017-194

At 09:30:36 UT on 13 Jul 2017, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 23.1N, Lon 60.7E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.72e+10 watts/steradian, and total radiated flash
energy 7.37e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.500,  9.55e+08),
           (-0.496,  3.26e+09),
           (-0.493,  8.12e+08),
           (-0.489,  1.17e+08),
           (-0.486,  2.68e+07),
           (-0.483,  3.69e+09),
           (-0.479, -1.95e+09),
           (-0.476,  2.24e+09),
           (-0.473, -1.22e+07),
           (-0.469,  1.35e+09),
           (-0.466,  8.95e+07),
           (-0.462, -9.71e+07),
           (-0.459,  1.82e+09),
           (-0.456,  1.34e+09),
           (-0.452, -1.65e+08),
           (-0.449,  1.74e+09),
           (-0.446,  8.34e+08),
           (-0.442,  1.61e+08),
           (-0.439, -7.51e+07),
           (-0.435,  1.19e+08),
           (-0.432,  1.60e+09),
           (-0.429,  1.23e+09),
           (-0.425, -1.67e+09),
           (-0.422, -3.27e+08),
           (-0.419,  1.93e+09),
           (-0.415,  3.01e+09),
           (-0.412, -1.32e+08),
           (-0.408,  2.05e+09),
           (-0.402, -1.61e+09),
           (-0.398,  1.56e+09),
           (-0.395,  1.26e+09),
           (-0.392,  2.11e+08),
           (-0.388,  4.22e+08),
           (-0.385,  6.78e+08),
           (-0.381,  1.99e+08),
           (-0.378,  6.59e+08),
           (-0.375,  8.88e+08),
           (-0.371,  1.04e+09),
           (-0.368, -2.11e+08),
           (-0.365,  1.86e+09),
           (-0.361, -1.04e+09),
           (-0.358,  2.79e+08),
           (-0.354, -2.03e+09),
           (-0.351, -5.83e+08),
           (-0.348,  1.07e+09),
           (-0.344,  5.91e+08),
           (-0.341, -1.06e+09),
           (-0.338,  4.34e+08),
           (-0.334, -1.25e+09),
           (-0.331,  1.36e+09),
           (-0.327, -1.07e+09),
           (-0.324, -1.21e+09),
           (-0.321,  1.57e+09),
           (-0.317,  5.59e+08),
           (-0.314,  5.22e+08),
           (-0.311,  2.51e+09),
           (-0.307,  1.89e+08),
           (-0.304, -2.37e+08),
           (-0.300,  1.54e+09),
           (-0.297, -1.66e+08),
           (-0.294, -5.98e+07),
           (-0.290,  8.11e+08),
           (-0.287, -4.10e+08),
           (-0.284, -2.06e+09),
           (-0.280,  8.17e+08),
           (-0.277,  9.64e+08),
           (-0.273,  1.70e+09),
           (-0.270, -2.12e+09),
           (-0.267,  3.17e+09),
           (-0.263, -1.64e+08),
           (-0.260, -3.32e+08),
           (-0.257,  5.33e+08),
           (-0.253, -9.66e+08),
           (-0.250, -1.17e+09),
           (-0.246,  1.21e+09),
           (-0.243, -6.01e+08),
           (-0.240,  2.06e+09),
           (-0.236, -1.14e+09),
           (-0.233,  1.30e+08),
           (-0.230, -8.67e+08),
           (-0.226, -3.07e+08),
           (-0.223, -2.46e+08),
           (-0.219, -1.06e+09),
           (-0.213, -5.01e+08),
           (-0.209, -8.96e+08),
           (-0.206,  1.67e+09),
           (-0.199, -2.03e+09),
           (-0.196, -9.26e+07),
           (-0.192, -9.02e+08),
           (-0.189,  8.57e+08),
           (-0.186, -1.34e+08),
           (-0.182, -7.18e+08),
           (-0.179, -3.54e+08),
           (-0.176, -1.04e+09),
           (-0.172, -2.60e+07),
           (-0.169, -1.63e+09),
           (-0.165, -1.95e+09),
           (-0.162, -2.41e+09),
           (-0.159, -1.40e+09),
           (-0.155,  8.94e+08),
           (-0.152,  6.80e+08),
           (-0.149, -2.68e+09),
           (-0.145, -3.16e+08),
           (-0.142, -1.08e+09),
           (-0.138,  3.22e+08),
           (-0.132,  2.33e+08),
           (-0.128, -4.06e+08),
           (-0.125, -6.52e+08),
           (-0.122, -7.20e+08),
           (-0.118, -1.94e+08),
           (-0.115,  1.33e+09),
           (-0.111, -4.42e+08),
           (-0.108,  5.16e+08),
           (-0.105,  8.49e+08),
           (-0.101, -1.64e+08),
           (-0.098,  1.26e+09),
           (-0.095,  1.46e+09),
           (-0.091, -1.24e+08),
           (-0.088,  5.09e+08),
           (-0.084,  2.46e+09),
           (-0.081,  3.67e+09),
           (-0.078,  1.58e+09),
           (-0.074,  1.09e+08),
           (-0.071,  3.04e+09),
           (-0.068,  2.05e+09),
           (-0.064,  1.51e+09),
           (-0.061,  1.83e+09),
           (-0.057,  6.26e+08),
           (-0.054,  1.46e+09),
           (-0.051,  3.45e+09),
           (-0.047,  4.17e+09),
           (-0.044,  3.96e+09),
           (-0.041,  6.31e+08),
           (-0.037,  7.05e+08),
           (-0.034, -4.85e+07),
