Bolide Detection Notification: 2017-288

At 04:33:16 UT on 15 Oct 2017, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 65.2S, Lon 128.2E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.69e+10 watts/steradian, and total radiated flash
energy 3.28e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.479, -1.21e+09),
           (-0.476, -2.48e+09),
           (-0.473, -8.01e+08),
           (-0.469, -9.60e+08),
           (-0.466, -1.50e+09),
           (-0.459, -1.83e+09),
           (-0.456,  4.79e+08),
           (-0.452, -2.68e+08),
           (-0.449, -3.83e+09),
           (-0.446, -2.73e+09),
           (-0.442, -2.90e+09),
           (-0.439, -1.39e+09),
           (-0.435, -3.51e+08),
           (-0.432, -1.75e+09),
           (-0.429, -1.70e+09),
           (-0.425, -2.93e+08),
           (-0.422, -2.32e+09),
           (-0.419, -5.16e+09),
           (-0.415, -3.00e+09),
           (-0.412, -3.12e+09),
           (-0.408, -1.15e+09),
           (-0.405, -4.99e+09),
           (-0.402, -3.56e+09),
           (-0.398, -9.28e+08),
           (-0.395, -3.52e+08),
           (-0.392, -7.80e+08),
           (-0.388, -4.01e+09),
           (-0.385, -4.72e+08),
           (-0.381, -9.93e+07),
           (-0.378, -1.51e+09),
           (-0.375, -2.35e+09),
           (-0.371, -1.01e+09),
           (-0.368, -3.51e+09),
           (-0.365, -1.86e+09),
           (-0.361,  1.18e+09),
           (-0.358, -3.11e+09),
           (-0.354, -2.12e+09),
           (-0.351, -1.53e+09),
           (-0.348, -2.14e+09),
           (-0.344, -1.85e+09),
           (-0.341, -4.31e+09),
           (-0.338, -5.84e+08),
           (-0.334, -1.81e+09),
           (-0.331,  2.59e+09),
           (-0.327,  1.03e+09),
           (-0.321, -1.58e+09),
           (-0.317, -1.77e+09),
           (-0.314, -2.52e+09),
           (-0.311,  7.02e+08),
           (-0.307, -1.45e+09),
           (-0.304, -6.32e+08),
           (-0.297, -3.57e+09),
           (-0.294,  8.27e+07),
           (-0.290,  1.78e+09),
           (-0.287, -2.54e+09),
           (-0.284, -3.23e+09),
           (-0.280, -5.65e+08),
