Bolide Detection Notification: 2017-296

At 15:31:22 UT on 23 Oct 2017, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 28.8 °N, Lon 44.6 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 7.64e+09 watts/steradian, and total radiated flash
energy 2.51e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.597, -5.00e+07),
           (-0.594, -1.17e+09),
           (-0.591, -1.92e+09),
           (-0.587,  1.87e+08),
           (-0.584, -7.36e+08),
           (-0.577,  1.45e+09),
           (-0.574, -1.53e+09),
           (-0.570,  9.23e+07),
           (-0.567,  1.14e+09),
           (-0.564,  1.21e+09),
           (-0.560, -3.35e+08),
           (-0.557, -4.08e+08),
           (-0.554,  7.56e+08),
           (-0.550, -9.46e+08),
           (-0.547,  1.61e+09),
           (-0.543,  2.85e+08),
           (-0.540, -5.48e+08),
           (-0.537,  3.56e+08),
           (-0.533, -2.32e+09),
           (-0.530, -6.83e+08),
           (-0.527,  1.32e+09),
           (-0.523, -2.59e+08),
           (-0.520,  5.78e+08),
           (-0.516,  4.36e+07),
           (-0.513, -1.14e+09),
           (-0.510,  1.64e+09),
           (-0.506,  1.51e+09),
           (-0.503, -1.19e+09),
           (-0.500, -1.82e+08),
           (-0.496, -1.53e+09),
           (-0.493, -8.08e+08),
           (-0.489,  3.27e+08),
           (-0.486,  4.47e+08),
           (-0.483,  1.28e+08),
           (-0.479,  1.79e+09),
           (-0.476, -7.18e+08),
           (-0.473,  3.22e+08),
           (-0.469, -3.73e+08),
           (-0.466, -3.13e+08),
           (-0.462, -4.44e+08),
           (-0.459,  1.24e+08),
           (-0.456, -2.44e+09),
           (-0.452, -7.22e+08),
           (-0.449, -2.93e+08),
           (-0.446, -2.46e+08),
           (-0.442, -7.05e+08),
           (-0.439, -8.21e+08),
           (-0.435,  1.57e+09),
           (-0.432,  3.16e+08),
           (-0.425, -5.46e+08),
           (-0.422, -3.74e+08),
           (-0.418,  2.34e+09),
           (-0.415, -5.51e+08),
           (-0.412,  4.07e+08),
           (-0.408,  2.21e+09),
           (-0.405,  1.66e+09),
           (-0.402, -4.62e+08),
           (-0.398,  2.28e+09),
           (-0.395, -3.88e+08),
           (-0.392,  9.63e+08),
           (-0.388,  2.71e+09),
           (-0.385,  2.97e+09),
