Bolide Detection Notification: 2017-362

At 17:45:44 UT on 28 Dec 2017, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 4.33e+10 watts/steradian, and total radiated flash
energy 7.95e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.253, -1.89e+08),
           (-0.250,  1.14e+07),
           (-0.246,  8.76e+08),
           (-0.243,  8.25e+08),
           (-0.240, -1.42e+09),
           (-0.236, -2.01e+08),
           (-0.233,  2.03e+08),
           (-0.229, -1.91e+09),
           (-0.226, -8.68e+08),
           (-0.223, -8.20e+08),
           (-0.219, -3.59e+08),
           (-0.216, -2.01e+09),
           (-0.213, -1.45e+09),
           (-0.209,  7.91e+08),
           (-0.206,  4.77e+08),
           (-0.203,  6.40e+08),
           (-0.199, -2.23e+08),
           (-0.196, -1.60e+09),
           (-0.192,  9.35e+07),
           (-0.189, -9.40e+08),
           (-0.186,  1.11e+09),
           (-0.182,  8.94e+08),
           (-0.179,  4.40e+08),
           (-0.175, -1.57e+09),
           (-0.172,  1.02e+09),
           (-0.169,  1.04e+08),
           (-0.165,  9.36e+08),
           (-0.162,  1.38e+09),
           (-0.159, -4.86e+08),
           (-0.155,  7.38e+08),
           (-0.152,  8.76e+08),
           (-0.148,  6.77e+08),
           (-0.145, -1.25e+09),
           (-0.142,  8.63e+07),
           (-0.138,  4.79e+08),
           (-0.135,  5.16e+08),
           (-0.132,  1.55e+09),
           (-0.128,  1.83e+08),
           (-0.125,  9.46e+08),
           (-0.121,  1.04e+08),
           (-0.118,  2.40e+08),
           (-0.115,  1.52e+08),
           (-0.111, -1.62e+08),
           (-0.108, -7.89e+08),
           (-0.101,  9.71e+08),
           (-0.098,  3.63e+08),
           (-0.094, -1.30e+09),
           (-0.091, -5.73e+08),
           (-0.088,  1.68e+09),
           (-0.084,  6.39e+08),
