Bolide Detection Notification: 2018-006

At 18:24:27 UT on 06 Jan 2018, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 39.5S, Lon 12.8E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.67e+10 watts/steradian, and total radiated flash
energy 3.30e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.219,  1.62e+09),
           (-0.216, -2.86e+08),
           (-0.213, -9.32e+07),
           (-0.209,  4.57e+08),
           (-0.206, -5.71e+08),
           (-0.202,  4.16e+08),
           (-0.199, -7.72e+08),
           (-0.196, -4.62e+08),
           (-0.192,  2.15e+08),
           (-0.189,  1.48e+09),
           (-0.186, -6.05e+08),
           (-0.182,  4.79e+08),
           (-0.179, -1.63e+08),
           (-0.175,  7.50e+08),
           (-0.169, -2.55e+08),
           (-0.165, -6.85e+07),
           (-0.162,  5.58e+08),
           (-0.159,  1.73e+08),
           (-0.155, -7.05e+08),
           (-0.152,  1.30e+07),
           (-0.148, -3.55e+08),
           (-0.145,  6.45e+08),
           (-0.142, -4.85e+08),
           (-0.138,  1.27e+08),
           (-0.135,  1.79e+08),
           (-0.132, -2.76e+07),
           (-0.128,  4.62e+08),
           (-0.125, -9.17e+08),
           (-0.121,  5.12e+08),
           (-0.118,  1.17e+09),
           (-0.115, -1.33e+09),
           (-0.111,  3.58e+08),
           (-0.108, -1.18e+09),
           (-0.105, -1.27e+09),
           (-0.101, -2.15e+07),
           (-0.098, -4.06e+08),
           (-0.091, -2.29e+08),
           (-0.088,  1.48e+09),
           (-0.084,  4.80e+08),
           (-0.078,  3.12e+08),
           (-0.074,  1.63e+08),
           (-0.071,  1.83e+09),
           (-0.067, -1.90e+08),
           (-0.064, -6.63e+07),
           (-0.061,  8.47e+08),
           (-0.057, -2.19e+08),
           (-0.054,  5.98e+08),
           (-0.051,  2.23e+09),
           (-0.047,  1.48e+09),
           (-0.044,  1.01e+09),
           (-0.040,  1.85e+09),
           (-0.037,  1.45e+09),
           (-0.034,  2.94e+09),
           (-0.030,  2.84e+09),
           (-0.027,  1.55e+09),
           (-0.024,  4.01e+09),
           (-0.020,  1.93e+09),
           (-0.017,  1.73e+09),
           (-0.013,  2.33e+09),
           (-0.010,  1.39e+09),
           (-0.007,  4.13e+09),
           (-0.003,  2.97e+09),
           ( 0.003,  5.92e+09),
           ( 0.007,  6.79e+09),
           ( 0.010,  7.99e+09),
           ( 0.014,  1.18e+10),
           ( 0.017,  1.45e+10),
           ( 0.020,  1.80e+10),
           ( 0.024,  2.05e+10),
           ( 0.027,  2.16e+10),
           ( 0.030,  2.45e+10),
           ( 0.034,  2.64e+10),
           ( 0.037,  2.67e+10),
           ( 0.041,  2.63e+10),
           ( 0.044,  2.57e+10),
           ( 0.047,  2.45e+10),
           ( 0.051,  2.26e+10),
           ( 0.054,  2.25e+10),
           ( 0.057,  2.14e+10),
           ( 0.061,  1.99e+10),
           ( 0.064,  2.10e+10),
           ( 0.068,  1.94e+10),
           ( 0.071,  1.93e+10),
           ( 0.074,  1.72e+10),
           ( 0.078,  1.56e+10),
           ( 0.081,  1.63e+10),
           ( 0.084,  1.40e+10),
           ( 0.088,  1.39e+10),
           ( 0.091,  1.31e+10),
           ( 0.095,  1.17e+10),
           ( 0.098,  1.13e+10),
           ( 0.101,  9.97e+09),
           ( 0.105,  1.06e+10),
           ( 0.108,  8.52e+09),
           ( 0.115,  8.50e+09),
           ( 0.118,  7.97e+09),
           ( 0.122,  7.81e+09),
           ( 0.125,  6.71e+09),
           ( 0.128,  7.12e+09),
           ( 0.132,  7.26e+09),
           ( 0.135,  6.76e+09),
           ( 0.138,  6.60e+09),
           ( 0.142,  5.65e+09),
           ( 0.145,  5.13e+09),
           ( 0.149,  5.66e+09),
           ( 0.152,  5.56e+09),
           ( 0.155,  5.14e+09),
           ( 0.159,  5.57e+09),
           ( 0.162,  3.68e+09),
           ( 0.165,  5.26e+09),
           ( 0.169,  7.01e+09),
           ( 0.172,  6.00e+09),
           ( 0.176,  6.66e+09),
           ( 0.179,  4.81e+09),
           ( 0.182,  4.42e+09),
           ( 0.186,  3.27e+09),
           ( 0.189,  4.46e+09),
           ( 0.192,  3.22e+09),
           ( 0.196,  4.21e+09),
           ( 0.203,  2.79e+09),
           ( 0.206,  2.99e+09),
           ( 0.209,  2.26e+09),
           ( 0.213,  1.12e+09),
           ( 0.216,  1.23e+09),
           ( 0.219,  9.23e+08),
           ( 0.223,  9.16e+08),
           ( 0.226,  1.96e+09),
           ( 0.230,  1.47e+09),
           ( 0.233,  2.29e+09),
           ( 0.236,  2.67e+09),
           ( 0.240,  1.71e+09),
           ( 0.243,  1.40e+09),
           ( 0.246,  4.34e+08),
