Bolide Detection Notification: 2018-006

At 21:24:21 UT on 06 Jan 2018, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 55.8N, Lon 52.5E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 7.41e+09 watts/steradian, and total radiated flash
energy 2.40e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.597,  4.38e+08),
           (-0.594,  1.28e+09),
           (-0.591,  5.46e+08),
           (-0.587, -8.82e+08),
           (-0.584,  6.33e+08),
           (-0.581,  4.39e+08),
           (-0.577, -2.24e+08),
           (-0.574,  1.32e+09),
           (-0.570, -2.04e+07),
           (-0.567,  2.67e+08),
           (-0.564,  1.85e+09),
           (-0.560,  6.66e+08),
           (-0.557, -3.61e+07),
           (-0.554, -1.24e+08),
           (-0.550,  1.39e+09),
           (-0.547,  2.45e+08),
           (-0.543,  1.59e+09),
           (-0.540,  1.17e+09),
           (-0.537,  1.66e+09),
           (-0.533,  1.07e+09),
           (-0.530,  2.03e+09),
           (-0.527,  3.07e+08),
           (-0.523,  4.87e+08),
           (-0.520,  9.36e+08),
           (-0.516,  4.32e+08),
           (-0.513,  1.99e+09),
           (-0.510,  8.64e+08),
           (-0.506,  6.69e+08),
           (-0.503,  1.38e+09),
           (-0.500,  9.18e+08),
           (-0.496,  1.22e+09),
           (-0.493,  1.26e+09),
           (-0.489,  1.22e+09),
           (-0.486,  1.20e+09),
           (-0.483, -3.63e+08),
           (-0.479,  1.66e+09),
           (-0.476,  4.55e+08),
           (-0.473,  1.11e+09),
           (-0.469,  9.36e+08),
           (-0.466,  1.16e+09),
           (-0.462,  1.54e+09),
           (-0.459,  8.79e+08),
           (-0.456,  1.17e+09),
           (-0.452,  1.32e+09),
           (-0.449,  1.75e+09),
           (-0.446,  9.14e+08),
           (-0.442,  1.77e+09),
           (-0.439,  2.09e+09),
           (-0.435,  1.67e+08),
           (-0.432,  1.20e+09),
           (-0.429,  7.00e+08),
           (-0.425,  1.38e+09),
           (-0.422,  4.28e+08),
           (-0.418, -2.62e+07),
           (-0.415,  1.06e+09),
           (-0.412,  1.51e+09),
           (-0.408,  8.86e+08),
           (-0.405,  1.31e+09),
           (-0.402,  6.49e+08),
           (-0.398,  6.10e+08),
           (-0.395,  1.93e+09),
           (-0.388,  5.03e+08),
           (-0.385,  1.38e+09),
           (-0.381,  1.67e+09),
           (-0.378,  2.12e+09),
           (-0.375,  9.33e+08),
           (-0.371,  5.82e+08),
           (-0.368,  1.28e+09),
           (-0.365,  1.49e+09),
           (-0.361,  1.09e+08),
           (-0.358,  6.59e+08),
           (-0.354,  3.83e+08),
           (-0.351,  8.17e+08),
