Bolide Detection Notification: 2018-109

At 13:39:39 UT on 19 Apr 2018, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 22.2S, Lon 72.6E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 4.61e+10 watts/steradian, and total radiated flash
energy 4.80e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.198,  2.55e+09),
           (-1.195,  1.10e+09),
           (-1.191,  1.50e+09),
           (-1.188, -2.33e+07),
           (-1.181,  1.79e+09),
           (-1.178,  1.25e+09),
           (-1.175,  1.33e+09),
           (-1.171,  7.77e+08),
           (-1.168,  8.73e+08),
           (-1.164,  6.77e+08),
           (-1.161,  2.62e+08),
           (-1.158,  3.15e+09),
           (-1.154,  2.01e+09),
           (-1.151,  1.03e+08),
           (-1.148,  1.29e+09),
           (-1.144,  1.67e+09),
           (-1.141,  1.51e+09),
           (-1.137,  2.90e+09),
           (-1.134,  1.50e+09),
           (-1.131,  7.73e+08),
           (-1.127,  2.21e+09),
           (-1.124,  2.01e+09),
           (-1.121,  1.65e+09),
           (-1.114,  2.21e+09),
           (-1.110,  2.12e+09),
           (-1.107,  2.73e+09),
           (-1.104,  2.11e+09),
           (-1.100,  1.71e+09),
           (-1.097,  1.64e+09),
           (-1.094,  1.66e+09),
           (-1.090,  2.18e+09),
           (-1.087,  3.17e+09),
           (-1.083,  1.69e+09),
           (-1.080,  2.46e+09),
           (-1.077,  6.22e+08),
           (-1.073,  1.67e+09),
           (-1.070,  2.08e+09),
           (-1.067,  2.25e+09),
           (-1.063,  2.01e+09),
           (-1.060,  2.81e+08),
           (-1.056,  1.73e+09),
           (-1.053,  3.82e+09),
           (-1.050,  1.91e+09),
           (-1.046,  2.30e+09),
           (-1.043,  2.08e+09),
           (-1.040,  3.07e+09),
           (-1.036,  2.73e+09),
           (-1.033,  2.49e+09),
           (-1.029,  3.00e+09),
           (-1.026,  1.78e+09),
           (-1.023,  2.00e+09),
           (-1.019,  1.84e+09),
           (-1.016,  8.18e+08),
           (-1.013,  2.00e+09),
           (-1.009,  1.49e+09),
           (-1.006,  2.76e+09),
           (-1.002,  2.90e+09),
           (-0.999,  3.30e+09),
           (-0.996,  2.14e+09),
           (-0.992,  2.48e+09),
           (-0.989,  3.41e+09),
           (-0.982,  1.75e+09),
           (-0.979,  2.38e+09),
           (-0.975,  3.60e+09),
           (-0.972,  1.08e+09),
           (-0.969,  3.12e+09),
