Bolide Detection Notification: 2018-128

At 02:27:13 UT on 08 May 2018, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 32.0 °N, Lon 60.7 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.76e+10 watts/steradian, and total radiated flash
energy 6.11e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -8.77e+08),
           (-0.996, -1.39e+09),
           (-0.992, -9.76e+08),
           (-0.989, -1.12e+09),
           (-0.986, -1.99e+09),
           (-0.982, -1.10e+09),
           (-0.979,  9.07e+08),
           (-0.975,  8.34e+07),
           (-0.972, -1.44e+09),
           (-0.969, -7.54e+08),
           (-0.965, -8.99e+08),
           (-0.962, -1.50e+09),
           (-0.959, -2.06e+08),
           (-0.955,  3.51e+08),
           (-0.952, -1.52e+09),
           (-0.948, -4.99e+08),
           (-0.945, -4.72e+08),
           (-0.942, -8.90e+08),
           (-0.938, -4.40e+08),
           (-0.935, -4.63e+08),
           (-0.931, -2.56e+08),
           (-0.928, -9.35e+08),
           (-0.925, -6.15e+08),
           (-0.921,  8.51e+08),
           (-0.918, -1.70e+09),
           (-0.915, -5.23e+08),
           (-0.911,  1.89e+08),
           (-0.908,  5.82e+08),
           (-0.905, -9.93e+08),
           (-0.901, -1.09e+09),
           (-0.898, -2.16e+09),
           (-0.894, -9.32e+08),
           (-0.891, -3.62e+08),
           (-0.884, -2.60e+09),
           (-0.881, -1.89e+09),
           (-0.874, -1.10e+09),
           (-0.871, -1.40e+09),
           (-0.867, -1.35e+09),
           (-0.864, -8.63e+08),
           (-0.861, -1.23e+09),
           (-0.857, -6.92e+08),
           (-0.851, -1.63e+09),
           (-0.847, -1.48e+09),
           (-0.844, -2.00e+08),
           (-0.840, -1.51e+09),
           (-0.837, -9.34e+08),
           (-0.834,  5.54e+07),
           (-0.830, -2.30e+08),
           (-0.827, -8.60e+08),
           (-0.824, -6.18e+08),
           (-0.820, -1.70e+09),
           (-0.817, -1.59e+09),
           (-0.813, -1.22e+09),
           (-0.810, -9.61e+08),
           (-0.807, -9.86e+08),
           (-0.803, -4.65e+08),
           (-0.800, -1.18e+09),
           (-0.797, -1.66e+09),
           (-0.793, -1.20e+09),
           (-0.790, -1.28e+09),
