Bolide Detection Notification: 2018-206

At 21:55:23 UT on 25 Jul 2018, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 76.9 °N, Lon 69.0 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 9.84e+10 watts/steradian, and total radiated flash
energy 5.44e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -1.65e+08),
           (-0.996, -4.36e+08),
           (-0.989,  2.19e+09),
           (-0.985,  2.09e+09),
           (-0.982,  2.12e+09),
           (-0.979,  1.50e+09),
           (-0.975,  4.14e+08),
           (-0.972,  4.01e+08),
           (-0.969,  3.05e+09),
           (-0.965, -6.56e+08),
           (-0.962,  1.57e+08),
           (-0.958, -7.98e+08),
           (-0.955,  1.45e+09),
           (-0.952,  8.14e+06),
           (-0.948,  2.00e+09),
           (-0.945,  5.61e+08),
           (-0.938, -1.44e+08),
           (-0.935,  6.87e+08),
           (-0.931,  2.19e+09),
           (-0.928,  9.41e+08),
           (-0.925,  7.44e+08),
           (-0.921,  1.57e+09),
           (-0.918,  1.72e+09),
           (-0.915,  4.29e+08),
           (-0.911,  2.31e+09),
           (-0.904, -7.75e+08),
           (-0.898,  1.38e+09),
           (-0.894, -7.52e+08),
           (-0.891,  2.22e+08),
           (-0.888, -3.68e+08),
           (-0.884, -1.36e+09),
           (-0.881,  8.04e+08),
           (-0.877,  1.83e+09),
           (-0.874, -5.26e+08),
           (-0.871,  1.72e+09),
           (-0.867,  1.92e+09),
           (-0.861, -6.76e+08),
           (-0.857,  1.87e+09),
           (-0.854,  2.49e+08),
           (-0.847,  3.16e+08),
           (-0.844,  7.17e+06),
           (-0.840,  2.55e+09),
           (-0.837,  8.94e+08),
           (-0.830, -4.61e+08),
           (-0.827,  8.72e+08),
           (-0.823,  1.49e+09),
           (-0.820,  4.28e+08),
           (-0.817,  1.66e+09),
           (-0.813,  1.61e+09),
           (-0.810, -5.03e+08),
           (-0.807, -1.05e+09),
           (-0.803,  2.72e+09),
           (-0.800, -3.31e+08),
           (-0.793,  2.77e+09),
           (-0.786, -4.95e+08),
           (-0.783,  1.54e+09),
           (-0.780,  2.19e+08),
           (-0.773,  7.44e+08),
           (-0.769,  7.10e+08),
           (-0.766,  1.51e+09),
           (-0.763,  2.34e+08),
           (-0.759,  6.61e+08),
           (-0.756, -4.15e+08),
           (-0.753,  1.10e+09),
           (-0.749, -3.22e+07),
           (-0.742,  2.30e+08),
           (-0.739,  2.06e+09),
           (-0.736, -3.24e+08),
           (-0.732, -8.22e+08),
           (-0.729,  2.21e+08),
           (-0.726,  1.85e+09),
           (-0.722, -5.27e+07),
           (-0.719,  1.53e+09),
           (-0.715, -9.52e+06),
           (-0.712,  1.64e+09),
           (-0.709,  1.60e+08),
           (-0.705,  1.79e+09),
           (-0.702,  1.23e+09),
           (-0.695, -7.45e+08),
           (-0.692, -1.56e+08),
           (-0.685,  2.90e+09),
           (-0.678, -2.35e+08),
           (-0.675,  1.24e+09),
           (-0.668,  2.87e+08),
           (-0.665, -6.95e+07),
           (-0.661, -2.15e+08),
           (-0.658,  4.72e+08),
           (-0.655, -2.22e+08),
           (-0.651,  3.42e+08),
           (-0.648, -3.37e+08),
           (-0.645,  1.38e+09),
           (-0.641,  1.54e+09),
           (-0.634, -7.94e+08),
           (-0.631,  2.04e+09),
           (-0.628, -6.21e+08),
           (-0.624, -2.23e+08),
           (-0.618,  1.50e+09),
           (-0.614,  1.11e+09),
           (-0.611, -3.99e+08),
           (-0.607,  1.55e+09),
           (-0.604, -7.98e+08),
           (-0.601,  7.38e+08),
           (-0.597, -1.64e+08),
           (-0.594,  8.49e+08),
           (-0.587, -1.66e+08),
           (-0.584,  9.14e+08),
           (-0.580,  3.30e+08),
           (-0.577,  4.62e+08),
           (-0.574,  1.33e+09),
           (-0.570, -2.78e+08),
           (-0.567,  8.74e+08),
           (-0.557, -6.96e+08),
           (-0.553, -8.05e+08),
           (-0.547,  2.75e+09),
           (-0.543,  1.01e+09),
           (-0.540,  1.36e+08),
           (-0.537, -5.20e+07),
           (-0.533,  9.96e+08),
           (-0.530, -1.34e+08),
           (-0.526, -2.43e+08),
           (-0.523, -7.98e+07),
           (-0.516, -1.32e+08),
           (-0.513,  6.47e+08),
           (-0.510,  1.88e+09),
           (-0.506,  1.17e+09),
           (-0.503, -2.26e+08),
           (-0.499,  1.26e+09),
           (-0.496,  1.54e+09),
           (-0.493, -1.08e+09),
           (-0.486,  1.09e+09),
           (-0.483,  3.65e+08),
           (-0.479,  8.14e+08),
           (-0.476,  6.78e+08),
           (-0.472, -8.63e+08),
           (-0.469,  5.88e+08),
           (-0.462,  9.94e+08),
           (-0.459, -6.11e+08),
           (-0.456,  9.25e+08),
           (-0.452, -5.73e+08),
           (-0.449,  5.27e+08),
           (-0.445,  4.87e+08),
           (-0.442, -5.27e+08),
           (-0.439,  2.01e+08),
           (-0.435,  2.61e+08),
           (-0.432,  1.92e+08),
           (-0.429,  1.53e+09),
           (-0.425, -1.22e+09),
           (-0.418,  1.96e+09),
           (-0.415,  5.68e+08),
           (-0.412,  8.85e+07),
           (-0.408,  2.62e+08),
           (-0.405,  1.44e+09),
           (-0.402,  1.01e+09),
           (-0.398,  2.51e+09),
           (-0.395,  4.76e+08),
           (-0.391, -3.03e+08),
           (-0.388,  2.37e+09),
           (-0.385, -7.43e+07),
