Bolide Detection Notification: 2018-260

At 01:08:01 UT on 17 Sep 2018, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 6.8S, Lon 27.8W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 4.58e+10 watts/steradian, and total radiated flash
energy 1.62e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.398, -1.96e+08),
           (-0.395,  5.67e+08),
           (-0.392,  6.50e+08),
           (-0.388, -6.24e+08),
           (-0.385,  1.39e+08),
           (-0.381,  5.82e+08),
           (-0.378, -3.05e+08),
           (-0.375,  9.28e+07),
           (-0.371,  2.90e+08),
           (-0.368,  2.06e+07),
           (-0.365, -6.54e+07),
           (-0.361,  6.80e+08),
           (-0.358, -1.11e+08),
           (-0.354, -1.58e+08),
           (-0.351, -1.43e+08),
           (-0.348, -5.52e+08),
           (-0.344, -1.28e+08),
           (-0.341, -1.89e+08),
           (-0.338, -1.97e+08),
           (-0.334, -2.46e+08),
           (-0.331, -1.25e+08),
           (-0.327,  3.12e+08),
           (-0.324,  1.65e+08),
           (-0.321, -1.14e+08),
           (-0.317,  6.48e+08),
           (-0.314,  9.25e+08),
           (-0.311, -9.98e+07),
           (-0.307, -4.02e+08),
           (-0.304,  4.17e+08),
           (-0.300, -2.01e+08),
           (-0.297,  4.76e+08),
           (-0.294,  7.13e+08),
           (-0.290,  4.30e+08),
           (-0.287,  6.05e+08),
           (-0.284,  4.66e+07),
           (-0.280,  9.50e+08),
           (-0.277,  7.24e+08),
           (-0.273,  1.95e+06),
           (-0.270,  5.99e+08),
           (-0.267, -1.03e+08),
           (-0.263, -6.63e+08),
           (-0.260,  1.36e+09),
           (-0.257,  5.01e+08),
           (-0.253, -7.37e+08),
           (-0.250,  1.61e+08),
           (-0.243,  1.01e+09),
           (-0.240, -3.95e+08),
           (-0.236, -2.34e+08),
           (-0.230,  5.06e+08),
           (-0.226,  7.04e+08),
           (-0.223, -5.76e+07),
           (-0.219, -5.63e+07),
           (-0.216, -3.02e+08),
           (-0.213,  4.26e+08),
           (-0.209,  1.28e+09),
           (-0.206,  8.50e+08),
           (-0.203,  3.03e+08),
           (-0.199,  4.87e+08),
           (-0.196,  2.09e+09),
           (-0.192,  9.28e+07),
           (-0.189,  5.94e+08),
           (-0.186,  6.97e+08),
           (-0.182,  4.91e+08),
           (-0.179,  2.05e+08),
           (-0.176,  1.52e+08),
           (-0.172,  6.38e+08),
           (-0.169,  5.92e+08),
           (-0.165,  1.37e+07),
           (-0.162,  2.33e+08),
           (-0.159,  9.78e+08),
           (-0.155,  6.73e+08),
           (-0.152,  1.32e+09),
           (-0.149,  6.63e+08),
           (-0.145,  5.81e+08),
           (-0.142, -5.22e+08),
           (-0.135,  8.42e+08),
           (-0.132,  4.97e+08),
           (-0.128,  4.27e+08),
           (-0.125,  4.27e+08),
           (-0.118,  8.68e+08),
           (-0.115,  1.02e+09),
