Bolide Detection Notification: 2018-319

At 08:02:44 UT on 15 Nov 2018, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 42.0 °N, Lon 5.0 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 8.15e+09 watts/steradian, and total radiated flash
energy 3.52e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -5.50e+08),
           (-0.996,  3.34e+08),
           (-0.992, -1.34e+09),
           (-0.989,  1.74e+09),
           (-0.986,  1.84e+09),
           (-0.982, -1.21e+09),
           (-0.979, -3.73e+08),
           (-0.975,  8.25e+08),
           (-0.972, -9.29e+08),
           (-0.969,  1.43e+09),
           (-0.965,  7.33e+08),
           (-0.962,  2.03e+09),
           (-0.959,  2.08e+09),
           (-0.955, -4.25e+08),
           (-0.952,  4.55e+08),
           (-0.948,  3.67e+09),
           (-0.945,  2.96e+09),
           (-0.942,  8.02e+08),
           (-0.938,  1.22e+09),
           (-0.935, -3.18e+08),
           (-0.931,  1.20e+09),
           (-0.928, -1.83e+09),
           (-0.925,  1.12e+09),
           (-0.921, -5.18e+08),
           (-0.918, -4.00e+08),
           (-0.915,  1.51e+09),
           (-0.911, -8.18e+07),
           (-0.908, -2.32e+08),
           (-0.905,  5.21e+08),
           (-0.901, -1.15e+09),
           (-0.898,  5.75e+08),
           (-0.894,  2.61e+08),
           (-0.891,  2.55e+09),
           (-0.888,  2.31e+09),
           (-0.884, -1.18e+08),
           (-0.881,  5.38e+07),
           (-0.878, -3.91e+08),
           (-0.874,  7.74e+08),
           (-0.871,  1.21e+09),
           (-0.867,  1.09e+09),
           (-0.864,  5.98e+08),
           (-0.861, -1.31e+09),
           (-0.857, -3.96e+08),
           (-0.854,  2.05e+09),
           (-0.851,  1.81e+09),
           (-0.847,  1.87e+08),
           (-0.844,  6.63e+08),
           (-0.840, -2.44e+08),
           (-0.837, -2.26e+08),
           (-0.834,  8.21e+08),
           (-0.830,  1.55e+08),
           (-0.827,  1.48e+09),
           (-0.824, -2.74e+08),
           (-0.820,  2.99e+09),
           (-0.817,  1.53e+09),
           (-0.810, -5.60e+08),
           (-0.807,  3.14e+08),
           (-0.803,  3.25e+09),
           (-0.800,  2.03e+09),
           (-0.797,  1.39e+09),
           (-0.793,  2.41e+09),
           (-0.786, -1.55e+09),
           (-0.783, -1.90e+08),
           (-0.780,  1.43e+09),
           (-0.776,  1.45e+08),
           (-0.773,  9.30e+08),
           (-0.770, -5.67e+07),
           (-0.766,  2.73e+09),
           (-0.763,  7.48e+08),
           (-0.759,  9.06e+07),
           (-0.756,  2.91e+09),
           (-0.753, -5.59e+08),
           (-0.749, -7.76e+08),
           (-0.746,  9.15e+08),
           (-0.743,  1.35e+09),
           (-0.739,  9.36e+08),
           (-0.736,  3.80e+08),
           (-0.732, -5.99e+08),
           (-0.729,  1.95e+09),
           (-0.726,  1.40e+09),
           (-0.722,  1.63e+09),
           (-0.719,  8.46e+08),
           (-0.716,  1.89e+09),
           (-0.712,  3.18e+08),
           (-0.709,  6.67e+08),
           (-0.705,  1.86e+09),
           (-0.702, -1.65e+08),
           (-0.699,  6.22e+08),
           (-0.695,  6.85e+08),
           (-0.692,  7.98e+08),
           (-0.689,  1.44e+09),
           (-0.685,  1.08e+09),
           (-0.682,  1.96e+09),
           (-0.678, -5.48e+07),
           (-0.675,  7.69e+08),
           (-0.672,  7.31e+08),
           (-0.668,  1.11e+09),
           (-0.665,  2.89e+08),
           (-0.662,  5.82e+08),
           (-0.658,  4.28e+08),
           (-0.655,  9.93e+08),
           (-0.651, -2.36e+08),
           (-0.648,  1.48e+09),
           (-0.645,  2.41e+09),
           (-0.641,  2.82e+09),
           (-0.638,  1.50e+08),
           (-0.635,  2.14e+09),
           (-0.631,  2.55e+09),
           (-0.624,  1.44e+09),
           (-0.621,  1.58e+09),
           (-0.618,  2.45e+09),
           (-0.614,  1.32e+09),
           (-0.611,  3.23e+09),
           (-0.608,  5.97e+08),
           (-0.604, -6.30e+08),
           (-0.601, -6.54e+08),
           (-0.597,  2.49e+09),
           (-0.594,  2.13e+09),
           (-0.591,  2.14e+09),
           (-0.587,  2.40e+09),
           (-0.584, -4.20e+07),
           (-0.581,  2.29e+09),
           (-0.577,  1.26e+09),
           (-0.574,  1.91e+09),
           (-0.570, -2.37e+08),
           (-0.567,  1.81e+09),
           (-0.564,  1.26e+09),
           (-0.560,  5.52e+08),
           (-0.557,  9.95e+08),
           (-0.553,  6.59e+08),
           (-0.550,  1.62e+09),
           (-0.547,  6.90e+08),
           (-0.543,  3.00e+08),
           (-0.540, -1.16e+09),
           (-0.537,  1.87e+09),
           (-0.533,  1.03e+09),
           (-0.530,  2.73e+09),
           (-0.527,  1.04e+09),
           (-0.523,  1.75e+09),
           (-0.520,  1.66e+09),
           (-0.516,  6.64e+08),
           (-0.513,  1.01e+09),
           (-0.510,  4.63e+08),
           (-0.506,  6.63e+08),
           (-0.503, -7.97e+08),
           (-0.500,  1.73e+09),
           (-0.496,  1.19e+09),
           (-0.493,  7.83e+08),
           (-0.489,  1.63e+09),
           (-0.486, -1.17e+09),
           (-0.483,  2.72e+08),
           (-0.479,  6.34e+08),
           (-0.476,  1.29e+09),
           (-0.472, -4.46e+08),
           (-0.469,  5.72e+08),
           (-0.466,  1.93e+09),
           (-0.462,  1.94e+09),
           (-0.459,  1.30e+09),
           (-0.456,  2.79e+09),
           (-0.452,  1.84e+09),
           (-0.449,  1.34e+09),
           (-0.446,  2.63e+09),
           (-0.439,  8.02e+08),
           (-0.435,  1.79e+09),
           (-0.432,  2.97e+09),
           (-0.429, -6.72e+07),
           (-0.425,  3.33e+09),
           (-0.422,  2.05e+09),
           (-0.418,  3.10e+09),
           (-0.415,  7.34e+08),
           (-0.412,  1.82e+09),
           (-0.408,  3.64e+09),
           (-0.405,  2.19e+09),
           (-0.402,  1.68e+09),
           (-0.398,  1.52e+09),
           (-0.395,  6.88e+08),
           (-0.392,  3.67e+08),
           (-0.388,  1.53e+08),
           (-0.385,  1.22e+09),
           (-0.381,  3.73e+09),
           (-0.378,  1.71e+09),
           (-0.375,  2.53e+09),
           (-0.371,  7.16e+08),
           (-0.368,  1.26e+09),
           (-0.365, -6.23e+06),
           (-0.361,  4.29e+08),
           (-0.358,  2.34e+09),
           (-0.354,  2.02e+09),
           (-0.351,  2.86e+09),
           (-0.348, -1.74e+08),
           (-0.344,  1.24e+09),
           (-0.341,  1.88e+09),
           (-0.337,  7.34e+08),
           (-0.334,  1.18e+09),
           (-0.331,  2.74e+09),
           (-0.327,  2.35e+09),
           (-0.324,  3.91e+07),
           (-0.321, -3.80e+08),
           (-0.317,  1.68e+09),
           (-0.310,  8.32e+08),
           (-0.307,  3.37e+09),
           (-0.304,  2.63e+09),
           (-0.300,  2.04e+09),
           (-0.297,  2.95e+09),
           (-0.294,  2.49e+09),
           (-0.290,  3.69e+09),
           (-0.287,  1.46e+09),
           (-0.283,  1.13e+09),
           (-0.280,  3.24e+09),
           (-0.277,  6.62e+08),
           (-0.273,  1.32e+09),
           (-0.270,  3.38e+09),
           (-0.267,  4.36e+08),
           (-0.263,  2.07e+09),
           (-0.260,  1.53e+09),
           (-0.257,  1.60e+09),
           (-0.253,  7.35e+08),
           (-0.250,  2.46e+08),
           (-0.246,  3.81e+09),
           (-0.243,  1.88e+09),
           (-0.240,  4.97e+09),
           (-0.236,  2.99e+09),
           (-0.233,  2.15e+09),
           (-0.229, -1.46e+08),
           (-0.226,  2.06e+09),
           (-0.223,  2.00e+09),
           (-0.219,  2.25e+09),
           (-0.216,  4.37e+07),
           (-0.213,  2.14e+09),
           (-0.209,  2.85e+09),
           (-0.206,  1.93e+09),
           (-0.203,  3.13e+09),
           (-0.199,  1.37e+09),
           (-0.196,  9.71e+08),
           (-0.192,  2.50e+09),
           (-0.189,  1.71e+09),
           (-0.186,  2.01e+09),
           (-0.182,  1.95e+09),
           (-0.179,  2.14e+08),
           (-0.176,  2.24e+09),
           (-0.172,  4.95e+08),
           (-0.169, -2.17e+08),
           (-0.165,  1.29e+09),
           (-0.162,  2.06e+09),
           (-0.159,  1.64e+08),
           (-0.155,  2.57e+09),
           (-0.152,  2.99e+09),
           (-0.148,  2.83e+09),
           (-0.145, -2.72e+08),
           (-0.142, -2.97e+08),
           (-0.138,  2.35e+09),
           (-0.135,  7.19e+08),
           (-0.132,  1.36e+08),
           (-0.128,  2.12e+09),
           (-0.125,  1.83e+09),
           (-0.122,  1.03e+09),
