Bolide Detection Notification: 2018-324

At 17:30:27 UT on 20 Nov 2018, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 25.3N, Lon 6.7W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.05e+11 watts/steradian, and total radiated flash
energy 4.22e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.500,  5.61e+08),
           (-0.496, -6.26e+07),
           (-0.493,  5.13e+08),
           (-0.489, -1.20e+09),
           (-0.486,  5.02e+07),
           (-0.483, -6.63e+08),
           (-0.479,  1.17e+09),
           (-0.476,  2.33e+09),
           (-0.473,  5.64e+08),
           (-0.469, -2.00e+08),
           (-0.466,  6.79e+08),
           (-0.462,  1.35e+09),
           (-0.459, -1.84e+08),
           (-0.456,  3.29e+08),
           (-0.452,  5.01e+08),
           (-0.449, -4.21e+08),
           (-0.446,  8.36e+08),
           (-0.442,  1.51e+09),
           (-0.439, -3.74e+07),
           (-0.435, -5.26e+08),
           (-0.432,  1.08e+09),
           (-0.429, -6.94e+08),
           (-0.425, -2.87e+07),
           (-0.422, -4.38e+08),
           (-0.419, -2.17e+08),
           (-0.415,  1.16e+08),
           (-0.412, -1.16e+09),
           (-0.408,  8.56e+08),
           (-0.405,  8.67e+08),
           (-0.402, -8.09e+08),
           (-0.398,  1.29e+09),
           (-0.392, -6.85e+08),
           (-0.388,  5.18e+08),
           (-0.385,  2.08e+09),
           (-0.381,  4.36e+08),
           (-0.378,  9.82e+07),
           (-0.375,  3.86e+08),
           (-0.371,  3.04e+07),
           (-0.368, -2.06e+08),
           (-0.365,  3.32e+08),
           (-0.358, -6.62e+08),
           (-0.354, -1.14e+08),
           (-0.351, -7.71e+08),
           (-0.344,  9.76e+08),
           (-0.341,  1.95e+08),
           (-0.338,  5.54e+08),
           (-0.334,  6.06e+08),
           (-0.331, -5.06e+08),
           (-0.327,  7.63e+08),
           (-0.324,  1.41e+09),
           (-0.321,  7.36e+08),
           (-0.317,  2.02e+08),
           (-0.314, -9.53e+08),
           (-0.310,  5.62e+08),
           (-0.304,  6.69e+07),
           (-0.300,  1.56e+09),
           (-0.297,  1.75e+09),
           (-0.294,  6.46e+08),
           (-0.290,  1.01e+09),
           (-0.287,  1.64e+09),
           (-0.283,  1.31e+09),
           (-0.280,  1.59e+09),
           (-0.277,  9.02e+08),
           (-0.273,  6.00e+08),
           (-0.270,  1.12e+09),
           (-0.267,  1.48e+09),
           (-0.263,  1.73e+09),
           (-0.260,  2.58e+09),
           (-0.257,  1.59e+09),
           (-0.253,  1.76e+09),
           (-0.250,  6.24e+08),
           (-0.246,  7.67e+08),
           (-0.243, -1.54e+08),
           (-0.240,  4.66e+08),
           (-0.236,  3.04e+08),
           (-0.233,  1.88e+09),
           (-0.230, -3.19e+07),
           (-0.226, -5.03e+08),
           (-0.223,  5.61e+08),
           (-0.219,  9.15e+08),
           (-0.216, -3.58e+07),
           (-0.213,  1.24e+09),
           (-0.206, -3.08e+08),
           (-0.203,  4.02e+08),
           (-0.199, -2.67e+08),
           (-0.196,  1.70e+09),
           (-0.192,  6.95e+08),
           (-0.189, -1.22e+09),
           (-0.186,  8.10e+08),
           (-0.182,  1.29e+09),
           (-0.179,  1.17e+09),
           (-0.175, -1.45e+08),
           (-0.172,  1.89e+08),
           (-0.169,  8.86e+08),
           (-0.165,  1.22e+09),
           (-0.162,  4.20e+08),
           (-0.159, -7.15e+08),
           (-0.155,  8.06e+08),
           (-0.152,  8.51e+08),
           (-0.148,  1.22e+09),
           (-0.145,  8.85e+08),
           (-0.142,  3.50e+08),
           (-0.138,  1.38e+09),
           (-0.135,  5.80e+08),
           (-0.132,  1.09e+09),
           (-0.128,  1.24e+09),
           (-0.125,  1.43e+08),
           (-0.122,  1.68e+09),
           (-0.118,  1.01e+09),
           (-0.115,  2.47e+09),
           (-0.111,  9.33e+08),
           (-0.108,  1.02e+08),
           (-0.105,  5.87e+08),
           (-0.101,  2.00e+09),
           (-0.098,  3.13e+08),
           (-0.095,  1.51e+09),
           (-0.091,  1.73e+09),
           (-0.088, -1.53e+09),
           (-0.084,  4.31e+07),
           (-0.081,  7.32e+08),
           (-0.078,  4.35e+08),
           (-0.074,  4.30e+08),
           (-0.071,  1.13e+09),
           (-0.068,  1.25e+09),
           (-0.064,  2.41e+09),
           (-0.061,  2.52e+09),
           (-0.057,  1.73e+09),
           (-0.054,  2.70e+09),
           (-0.051,  1.64e+09),
           (-0.047,  2.60e+09),
           (-0.044,  2.13e+09),
           (-0.040,  9.61e+08),
           (-0.037,  1.50e+09),
           (-0.034,  1.08e+09),
           (-0.030,  1.41e+09),
           (-0.027,  9.32e+08),
           (-0.024,  2.01e+09),
           (-0.020,  1.55e+09),
           (-0.017,  1.77e+09),
           (-0.014,  3.25e+09),
           (-0.010,  7.65e+08),
           (-0.007,  2.49e+09),
           ( 0.000,  4.83e+09),
           ( 0.003,  5.51e+09),
           ( 0.007,  5.61e+09),
           ( 0.010,  7.13e+09),
           ( 0.013,  9.09e+09),
           ( 0.017,  9.60e+09),
           ( 0.020,  1.09e+10),
