Bolide Detection Notification: 2019-086

At 12:50:34 UT on 27 Mar 2019, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 41.8 °S, Lon 7.4 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.38e+10 watts/steradian, and total radiated flash
energy 2.21e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.499, -1.92e+08),
           (-0.496,  1.21e+09),
           (-0.493,  1.87e+08),
           (-0.489,  1.10e+09),
           (-0.486,  2.13e+09),
           (-0.483, -6.45e+08),
           (-0.479,  1.84e+09),
           (-0.476,  3.82e+08),
           (-0.472,  8.54e+08),
           (-0.469,  5.16e+06),
           (-0.466, -2.97e+08),
           (-0.462,  9.64e+08),
           (-0.459, -3.68e+08),
           (-0.456,  1.90e+09),
           (-0.452, -2.91e+08),
           (-0.449,  8.50e+08),
           (-0.445, -3.82e+08),
           (-0.442,  7.64e+08),
           (-0.439, -1.13e+09),
           (-0.435,  1.61e+09),
           (-0.432, -1.53e+09),
           (-0.429, -1.63e+09),
           (-0.425,  2.96e+08),
           (-0.422, -1.16e+09),
           (-0.418, -3.61e+08),
           (-0.415,  6.15e+08),
           (-0.412, -6.30e+08),
           (-0.408,  1.53e+09),
           (-0.405,  1.13e+08),
           (-0.402,  8.08e+08),
           (-0.398,  1.63e+09),
           (-0.395,  1.76e+09),
           (-0.391,  2.37e+09),
           (-0.388,  7.56e+08),
           (-0.385,  1.30e+09),
           (-0.381,  1.75e+09),
           (-0.378,  1.71e+09),
           (-0.375,  1.27e+08),
           (-0.371,  1.52e+09),
           (-0.368,  4.54e+08),
           (-0.364,  1.73e+09),
           (-0.361,  3.59e+08),
           (-0.358,  3.89e+08),
           (-0.354,  6.35e+07),
           (-0.351,  1.36e+09),
           (-0.348, -8.41e+08),
           (-0.344,  2.05e+09),
           (-0.341,  1.80e+09),
           (-0.337,  1.27e+09),
           (-0.334, -1.40e+09),
           (-0.331,  5.94e+08),
           (-0.327,  1.61e+09),
           (-0.324,  2.52e+08),
           (-0.321,  9.22e+08),
           (-0.317, -1.44e+09),
           (-0.314,  1.12e+09),
           (-0.310,  1.07e+09),
           (-0.307,  4.15e+08),
           (-0.304,  6.88e+08),
           (-0.300,  5.55e+08),
           (-0.297,  1.70e+09),
           (-0.294,  1.39e+09),
           (-0.290,  9.91e+08),
           (-0.287,  2.87e+08),
           (-0.283, -1.13e+09),
           (-0.280,  1.95e+09),
           (-0.277,  1.99e+09),
           (-0.273, -1.85e+09),
           (-0.270,  6.52e+08),
           (-0.267, -3.38e+08),
           (-0.263,  1.30e+09),
           (-0.260,  8.05e+08),
           (-0.256, -1.75e+09),
           (-0.253,  1.02e+09),
           (-0.250,  3.59e+08),
           (-0.246, -7.63e+08),
           (-0.243,  5.58e+08),
           (-0.240,  1.25e+09),
           (-0.236, -1.75e+09),
           (-0.233,  2.24e+09),
           (-0.229,  3.33e+08),
           (-0.226,  7.69e+08),
           (-0.223, -5.78e+08),
           (-0.219,  1.62e+09),
           (-0.216,  1.36e+09),
           (-0.213, -1.87e+08),
           (-0.209,  1.85e+08),
           (-0.206,  1.69e+08),
           (-0.202, -4.03e+08),
           (-0.199, -2.88e+08),
           (-0.196,  5.28e+08),
           (-0.192,  7.38e+08),
           (-0.189, -1.01e+09),
           (-0.186,  2.74e+09),
           (-0.182,  3.33e+08),
           (-0.179, -1.08e+09),
           (-0.175,  2.88e+09),
           (-0.172, -1.13e+09),
           (-0.169, -6.80e+08),
