Bolide Detection Notification: 2019-255

At 02:34:58 UT on 12 Sep 2019, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 24.9N, Lon 47.8W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 3.58e+10 watts/steradian, and total radiated flash
energy 5.80e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.499, -1.48e+09),
           (-0.496,  3.60e+08),
           (-0.493,  1.73e+08),
           (-0.489, -3.55e+08),
           (-0.486,  3.23e+08),
           (-0.483, -3.70e+08),
           (-0.479, -5.50e+08),
           (-0.476, -1.91e+08),
           (-0.473, -1.51e+09),
           (-0.469, -5.51e+08),
           (-0.466,  1.43e+09),
           (-0.462, -7.63e+08),
           (-0.459, -7.90e+08),
           (-0.456, -5.52e+08),
           (-0.452,  3.47e+08),
           (-0.449, -9.33e+08),
           (-0.446,  7.22e+07),
           (-0.442,  3.28e+08),
           (-0.439,  1.94e+08),
           (-0.435, -4.59e+08),
           (-0.432, -1.03e+09),
           (-0.429,  6.64e+08),
           (-0.425,  1.41e+08),
           (-0.422, -7.09e+08),
           (-0.419, -1.41e+09),
           (-0.415, -1.25e+09),
           (-0.412, -4.85e+08),
           (-0.408, -8.86e+06),
           (-0.405, -1.24e+08),
           (-0.402, -1.51e+08),
           (-0.398,  1.28e+09),
           (-0.395,  4.73e+08),
           (-0.392,  1.02e+09),
           (-0.388, -6.61e+08),
           (-0.385, -1.26e+09),
           (-0.381,  4.09e+08),
           (-0.378, -1.63e+08),
           (-0.375, -8.99e+08),
           (-0.371, -1.47e+08),
           (-0.368,  7.21e+08),
           (-0.365,  5.10e+08),
           (-0.361,  7.81e+08),
           (-0.358,  9.41e+08),
           (-0.354,  8.46e+08),
           (-0.351,  3.51e+08),
           (-0.348, -2.03e+07),
           (-0.344, -4.59e+08),
           (-0.341, -8.24e+07),
           (-0.338,  1.26e+09),
           (-0.334, -5.88e+08),
           (-0.331,  5.48e+08),
           (-0.324, -1.25e+09),
           (-0.321, -3.38e+08),
           (-0.317,  3.96e+07),
