Bolide Detection Notification: 2019-255

At 12:49:47 UT on 12 Sep 2019, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 54.5 °N, Lon 9.2 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.48e+10 watts/steradian, and total radiated flash
energy 1.46e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -1.15e+09),
           (-0.996, -8.37e+08),
           (-0.992,  7.14e+08),
           (-0.986, -6.30e+08),
           (-0.982,  5.65e+08),
           (-0.979,  2.11e+08),
           (-0.975, -1.66e+09),
           (-0.972,  1.60e+09),
           (-0.969,  2.13e+09),
           (-0.965, -1.62e+09),
           (-0.962, -6.02e+06),
           (-0.958, -5.07e+08),
           (-0.955,  1.76e+09),
           (-0.952, -2.71e+09),
           (-0.945,  7.82e+08),
           (-0.942, -1.15e+09),
           (-0.938, -5.39e+08),
           (-0.935,  9.50e+08),
           (-0.931,  2.13e+08),
           (-0.928,  1.47e+09),
           (-0.925,  1.14e+09),
           (-0.921,  1.46e+09),
           (-0.918, -1.38e+09),
           (-0.915,  1.27e+09),
           (-0.911, -1.52e+09),
           (-0.908,  2.54e+09),
           (-0.904, -2.43e+09),
           (-0.901, -2.65e+08),
           (-0.898,  1.59e+08),
           (-0.894, -7.24e+08),
           (-0.891,  2.36e+08),
           (-0.888, -2.59e+09),
           (-0.884, -1.38e+09),
           (-0.881,  7.33e+08),
           (-0.877,  2.22e+08),
           (-0.874,  2.24e+08),
           (-0.871, -2.32e+09),
           (-0.867,  5.62e+08),
           (-0.864, -7.16e+08),
           (-0.861,  1.65e+09),
           (-0.854, -8.45e+08),
           (-0.851,  5.98e+08),
           (-0.847, -4.88e+08),
           (-0.844, -2.70e+08),
           (-0.840,  1.12e+09),
           (-0.837, -1.01e+09),
           (-0.834,  1.21e+08),
           (-0.830,  1.55e+08),
           (-0.827,  5.84e+08),
           (-0.823,  6.03e+08),
           (-0.820,  4.34e+08),
           (-0.817,  4.73e+08),
           (-0.813,  1.89e+09),
