Bolide Detection Notification: 2019-309

At 11:24:50 UT on 05 Nov 2019, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 10.4S, Lon 143.3W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 4.41e+10 watts/steradian, and total radiated flash
energy 1.52e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.641, -3.53e+07),
           (-0.638, -2.30e+08),
           (-0.634,  1.40e+09),
           (-0.631, -6.74e+08),
           (-0.628,  1.92e+09),
           (-0.624,  1.81e+08),
           (-0.621,  5.04e+08),
           (-0.618,  2.06e+09),
           (-0.614,  7.87e+08),
           (-0.611,  1.64e+09),
           (-0.608,  1.51e+09),
           (-0.604,  1.93e+09),
           (-0.601,  3.53e+09),
           (-0.597,  2.35e+09),
           (-0.594,  1.49e+09),
           (-0.591,  1.00e+09),
           (-0.587,  9.79e+08),
           (-0.584,  1.44e+08),
           (-0.581,  1.18e+09),
           (-0.577,  1.35e+09),
           (-0.574,  1.31e+09),
           (-0.570,  9.36e+08),
           (-0.567,  1.12e+09),
           (-0.564,  7.91e+08),
           (-0.560, -1.47e+08),
           (-0.557,  1.61e+09),
           (-0.553, -3.92e+07),
           (-0.547,  1.16e+09),
           (-0.543,  8.29e+08),
           (-0.540,  2.31e+09),
           (-0.537,  4.54e+08),
           (-0.533,  1.02e+09),
           (-0.530,  2.38e+09),
           (-0.526,  4.20e+08),
           (-0.523,  1.51e+09),
           (-0.520,  2.29e+09),
           (-0.516,  8.39e+08),
           (-0.513, -1.39e+09),
           (-0.510,  6.03e+08),
           (-0.506,  1.30e+09),
           (-0.503,  8.68e+08),
           (-0.499,  8.73e+08),
           (-0.496,  8.41e+08),
           (-0.493, -4.42e+07),
           (-0.489, -6.84e+08),
           (-0.486,  1.16e+09),
           (-0.483,  1.31e+09),
           (-0.476,  1.44e+09),
           (-0.472, -9.48e+07),
           (-0.469,  7.85e+08),
           (-0.462,  3.62e+07),
           (-0.459, -6.32e+07),
           (-0.456, -1.03e+09),
           (-0.452, -1.23e+09),
           (-0.449, -4.56e+08),
           (-0.445,  1.23e+09),
           (-0.442,  7.91e+08),
           (-0.439, -2.61e+08),
           (-0.435,  7.64e+08),
           (-0.432,  4.10e+08),
           (-0.429,  2.28e+08),
           (-0.425,  4.12e+08),
           (-0.422,  1.47e+09),
           (-0.419, -2.56e+07),
           (-0.415, -6.58e+08),
           (-0.412,  4.88e+08),
           (-0.408, -5.69e+08),
           (-0.405,  8.61e+08),
           (-0.402, -4.79e+08),
           (-0.398, -4.23e+08),
           (-0.395,  1.10e+09),
           (-0.392, -3.32e+08),
           (-0.388,  1.18e+08),
           (-0.385,  3.33e+08),
           (-0.381, -1.00e+09),
