Bolide Detection Notification: 2019-340

At 10:19:57 UT on 06 Dec 2019, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 3.3S, Lon 37.7W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.33e+10 watts/steradian, and total radiated flash
energy 4.08e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.543,  5.95e+08),
           (-0.540,  2.46e+08),
           (-0.537, -7.11e+08),
           (-0.533,  1.37e+08),
           (-0.530,  3.78e+08),
           (-0.526, -2.28e+08),
           (-0.523,  9.98e+08),
           (-0.520, -1.64e+08),
           (-0.516,  4.86e+08),
           (-0.513,  6.72e+08),
           (-0.510, -5.09e+08),
           (-0.506,  1.23e+08),
           (-0.503,  1.90e+09),
           (-0.499,  5.35e+08),
           (-0.496,  9.55e+08),
           (-0.493, -2.45e+08),
           (-0.486,  1.13e+09),
           (-0.483,  8.16e+08),
           (-0.479,  4.61e+08),
           (-0.476,  2.03e+08),
           (-0.473,  1.04e+09),
           (-0.469,  6.42e+08),
           (-0.466, -3.90e+08),
           (-0.462,  4.05e+08),
           (-0.459,  9.61e+08),
           (-0.456,  1.03e+09),
           (-0.452,  2.39e+08),
           (-0.449, -4.44e+08),
           (-0.446, -1.82e+09),
           (-0.442, -4.56e+08),
           (-0.439, -1.00e+09),
           (-0.435, -6.66e+07),
           (-0.432,  1.35e+09),
           (-0.425,  8.07e+08),
           (-0.422, -7.35e+08),
           (-0.418,  1.26e+09),
           (-0.415,  2.84e+08),
           (-0.412, -3.38e+08),
           (-0.408,  3.05e+08),
           (-0.405, -7.15e+08),
           (-0.402,  7.06e+08),
           (-0.398, -1.93e+08),
           (-0.395,  7.64e+08),
           (-0.392, -2.50e+08),
           (-0.385,  1.35e+09),
           (-0.381, -1.35e+09),
           (-0.375,  1.35e+09),
           (-0.371,  8.62e+08),
           (-0.368,  2.81e+08),
           (-0.365, -5.79e+08),
           (-0.361,  7.86e+08),
           (-0.354, -1.00e+09),
           (-0.351, -5.34e+08),
           (-0.348, -1.62e+08),
           (-0.344,  5.11e+08),
           (-0.341,  2.67e+08),
           (-0.337,  6.76e+07),
           (-0.334,  6.04e+08),
           (-0.331, -1.20e+09),
           (-0.327,  2.15e+08),
           (-0.324,  8.55e+07),
           (-0.321,  2.00e+06),
           (-0.317, -3.46e+08),
           (-0.314, -8.68e+08),
           (-0.310,  1.87e+08),
           (-0.307, -6.86e+08),
           (-0.304, -2.88e+08),
           (-0.300,  3.82e+08),
           (-0.297,  7.88e+08),
           (-0.294, -4.00e+07),
           (-0.290,  6.82e+08),
           (-0.287,  6.04e+08),
           (-0.284,  4.82e+08),
           (-0.280,  8.56e+08),
           (-0.277, -3.45e+08),
           (-0.273,  1.20e+09),
           (-0.270,  1.09e+09),
           (-0.267,  1.53e+08),
           (-0.263, -4.67e+08),
           (-0.256,  2.53e+08),
           (-0.253, -8.31e+08),
           (-0.250,  8.53e+08),
           (-0.246,  1.75e+08),
           (-0.243,  9.40e+08),
           (-0.240, -7.26e+08),
           (-0.236, -3.79e+08),
           (-0.233, -3.13e+08),
           (-0.229, -1.52e+08),
           (-0.226,  3.72e+08),
           (-0.223,  9.46e+06),
           (-0.219, -1.20e+09),
           (-0.216, -5.74e+08),
           (-0.213, -2.48e+08),
           (-0.209,  1.47e+08),
           (-0.206,  2.60e+08),
           (-0.203, -6.07e+08),
           (-0.199,  3.59e+08),
           (-0.196,  5.18e+08),
           (-0.192, -1.47e+08),
           (-0.189, -4.15e+07),
           (-0.186, -2.31e+08),
           (-0.182, -3.72e+07),
           (-0.179,  4.32e+07),
           (-0.175,  6.75e+08),
           (-0.172, -6.79e+07),
           (-0.169, -5.57e+08),
           (-0.165,  6.21e+08),
           (-0.162,  5.45e+08),
           (-0.159,  2.72e+07),
           (-0.155, -1.68e+09),
           (-0.152,  8.02e+08),
           (-0.148,  6.34e+08),
           (-0.145, -1.55e+08),
           (-0.142, -1.83e+08),
           (-0.138,  8.30e+08),
           (-0.135,  5.14e+08),
           (-0.132,  1.70e+09),
           (-0.128,  2.47e+08),
           (-0.125,  8.12e+08),
           (-0.122,  2.37e+09),
           (-0.118,  5.00e+08),
           (-0.115,  3.20e+08),
           (-0.111,  2.46e+08),
           (-0.108,  3.28e+08),
           (-0.105,  1.33e+09),
           (-0.101,  5.57e+08),
           (-0.098,  9.92e+08),
           (-0.095,  3.91e+08),
           (-0.091,  7.55e+08),
           (-0.088,  2.53e+09),
           (-0.084,  8.84e+08),
           (-0.081,  7.17e+08),
           (-0.078, -5.53e+07),
           (-0.074,  1.29e+09),
           (-0.071, -3.58e+07),
           (-0.067,  4.72e+08),
           (-0.064,  1.46e+09),
           (-0.061,  8.14e+08),
           (-0.057,  3.62e+08),
           (-0.054,  1.68e+08),
           (-0.051,  2.12e+09),
           (-0.047,  1.61e+09),
           (-0.044,  1.57e+08),
           (-0.041,  1.16e+09),
           (-0.037,  3.32e+08),
           (-0.030,  3.51e+09),
           (-0.027,  2.25e+09),
           (-0.024,  2.38e+09),
           (-0.017,  2.99e+09),
           (-0.014,  2.91e+09),
           (-0.010,  5.34e+09),
           (-0.007,  5.10e+09),
           (-0.003,  5.27e+09),
           ( 0.000,  5.83e+09),
           ( 0.003,  6.29e+09),
           ( 0.007,  4.84e+09),
           ( 0.010,  5.54e+09),
           ( 0.014,  5.88e+09),
           ( 0.017,  5.27e+09),
           ( 0.020,  6.08e+09),
           ( 0.024,  6.20e+09),
           ( 0.027,  5.46e+09),
           ( 0.030,  6.65e+09),
           ( 0.034,  7.37e+09),
           ( 0.037,  6.32e+09),
           ( 0.041,  8.30e+09),
           ( 0.044,  7.86e+09),
           ( 0.047,  7.63e+09),
           ( 0.051,  8.54e+09),
           ( 0.054,  7.89e+09),
           ( 0.057,  8.05e+09),
           ( 0.061,  7.76e+09),
           ( 0.064,  7.87e+09),
           ( 0.071,  8.76e+09),
           ( 0.074,  9.02e+09),
           ( 0.078,  8.83e+09),
           ( 0.081,  1.11e+10),
           ( 0.084,  1.08e+10),
           ( 0.088,  1.08e+10),
           ( 0.091,  1.06e+10),
           ( 0.095,  1.09e+10),
           ( 0.098,  1.16e+10),
           ( 0.101,  1.15e+10),
           ( 0.105,  1.18e+10),
           ( 0.108,  1.27e+10),
           ( 0.111,  1.12e+10),
           ( 0.115,  1.21e+10),
           ( 0.118,  1.18e+10),
           ( 0.122,  1.18e+10),
           ( 0.125,  9.76e+09),
           ( 0.128,  1.01e+10),
           ( 0.132,  1.01e+10),
           ( 0.135,  1.09e+10),
           ( 0.138,  9.75e+09),
           ( 0.142,  7.92e+09),
           ( 0.145,  7.84e+09),
           ( 0.148,  7.42e+09),
           ( 0.152,  6.80e+09),
           ( 0.155,  7.58e+09),
           ( 0.159,  7.78e+09),
           ( 0.162,  7.84e+09),
           ( 0.169,  6.24e+09),
           ( 0.172,  7.80e+09),
           ( 0.175,  6.24e+09),
           ( 0.179,  6.07e+09),
           ( 0.182,  5.66e+09),
           ( 0.186,  5.98e+09),
           ( 0.189,  6.47e+09),
           ( 0.192,  5.91e+09),
           ( 0.196,  6.47e+09),
           ( 0.199,  6.22e+09),
           ( 0.203,  4.77e+09),
           ( 0.206,  5.58e+09),
           ( 0.209,  5.38e+09),
           ( 0.213,  4.78e+09),
           ( 0.216,  3.62e+09),
           ( 0.219,  4.46e+09),
           ( 0.223,  5.02e+09),
           ( 0.226,  5.05e+09),
           ( 0.229,  4.29e+09),
           ( 0.233,  4.94e+09),
           ( 0.236,  4.82e+09),
           ( 0.240,  4.41e+09),
           ( 0.243,  3.31e+09),
           ( 0.246,  4.60e+09),
           ( 0.250,  3.59e+09),
           ( 0.253,  4.19e+09),
           ( 0.256,  4.05e+09),
           ( 0.260,  3.69e+09),
           ( 0.263,  4.63e+09),
           ( 0.267,  3.70e+09),
           ( 0.270,  3.91e+09),
           ( 0.273,  4.39e+09),
           ( 0.277,  4.19e+09),
           ( 0.280,  2.84e+09),
           ( 0.284,  3.06e+09),
           ( 0.287,  3.12e+09),
           ( 0.290,  3.01e+09),
           ( 0.294,  4.76e+09),
           ( 0.297,  4.71e+09),
           ( 0.300,  4.30e+09),
           ( 0.304,  3.51e+09),
           ( 0.307,  3.41e+09),
           ( 0.310,  3.80e+09),
           ( 0.314,  3.42e+09),
           ( 0.317,  3.45e+09),
           ( 0.321,  2.54e+09),
           ( 0.324,  3.02e+09),
           ( 0.327,  3.22e+09),
           ( 0.331,  3.26e+09),
           ( 0.334,  4.38e+09),
           ( 0.337,  2.78e+09),
           ( 0.341,  3.31e+09),
           ( 0.344,  2.78e+09),
           ( 0.348,  4.08e+09),
           ( 0.351,  4.57e+09),
           ( 0.354,  3.98e+09),
           ( 0.358,  4.30e+09),
           ( 0.361,  4.13e+09),
           ( 0.365,  3.75e+09),
           ( 0.368,  5.01e+09),
           ( 0.371,  3.54e+09),
           ( 0.375,  3.54e+09),
           ( 0.378,  3.93e+09),
           ( 0.381,  3.46e+09),
           ( 0.385,  2.04e+09),
           ( 0.388,  4.68e+09),
           ( 0.392,  3.72e+09),
           ( 0.395,  3.69e+09),
           ( 0.398,  3.62e+09),
           ( 0.402,  3.49e+09),
           ( 0.405,  3.97e+09),
           ( 0.408,  2.56e+09),
           ( 0.412,  3.05e+09),
           ( 0.415,  3.42e+09),
           ( 0.418,  2.32e+09),
           ( 0.422,  4.04e+09),
           ( 0.425,  1.89e+09),
           ( 0.429,  3.66e+09),
           ( 0.432,  4.53e+09),
           ( 0.435,  4.45e+09),
           ( 0.439,  4.67e+09),
           ( 0.442,  3.91e+09),
           ( 0.446,  5.59e+09),
           ( 0.449,  6.21e+09),
           ( 0.456,  3.77e+09),
           ( 0.459,  4.43e+09),
           ( 0.462,  2.97e+09),
           ( 0.466,  4.22e+09),
           ( 0.469,  4.71e+09),
           ( 0.473,  4.66e+09),
           ( 0.476,  2.78e+09),
           ( 0.479,  3.81e+09),
           ( 0.483,  2.75e+09),
           ( 0.486,  4.77e+09),
           ( 0.489,  3.79e+09),
           ( 0.493,  3.07e+09),
           ( 0.496,  3.44e+09),
           ( 0.499,  4.25e+09),
           ( 0.503,  4.32e+09),
           ( 0.506,  3.42e+09),
           ( 0.510,  3.41e+09),
           ( 0.513,  3.07e+09),
           ( 0.516,  3.10e+09),
           ( 0.523,  2.32e+09),
           ( 0.526,  3.68e+09),
           ( 0.530,  1.66e+09),
           ( 0.533,  2.79e+09),
           ( 0.537,  1.29e+09),
           ( 0.540,  2.02e+09),
           ( 0.543,  2.16e+09),
           ( 0.547,  1.33e+09),
           ( 0.550,  1.12e+09),
           ( 0.554,  2.19e+09),
           ( 0.557,  3.16e+08),
           ( 0.560,  1.99e+09),
           ( 0.564,  2.76e+09),
           ( 0.567,  5.17e+08),
           ( 0.570,  1.40e+09),
           ( 0.574,  1.35e+09),
           ( 0.577,  2.01e+09),
           ( 0.580,  1.49e+09),
           ( 0.584,  1.22e+09),
           ( 0.587,  1.17e+09),
           ( 0.591,  1.05e+09),
           ( 0.594,  6.07e+08),
           ( 0.597,  4.82e+08),
           ( 0.601,  1.71e+09),
           ( 0.604,  2.10e+09),
           ( 0.607, -8.94e+08),
           ( 0.611,  9.37e+08),
           ( 0.614,  9.67e+08),
           ( 0.618,  1.19e+09),
           ( 0.621,  9.58e+07),
           ( 0.624,  5.66e+08),
           ( 0.628,  9.50e+08),
           ( 0.631,  4.70e+08),
           ( 0.635,  1.27e+09),
           ( 0.638,  1.45e+09),
           ( 0.641,  8.51e+08),
           ( 0.645,  4.08e+08),
           ( 0.648,  1.88e+09),
           ( 0.651,  2.41e+09),
           ( 0.655,  1.40e+09),
           ( 0.658,  5.40e+08),
           ( 0.661,  4.87e+08),
           ( 0.665, -9.26e+07),
           ( 0.668,  1.96e+08),
           ( 0.672, -9.88e+08),
           ( 0.675, -6.99e+08),
           ( 0.678,  1.33e+09),
           ( 0.682, -1.37e+09),
           ( 0.688,  5.41e+08),
           ( 0.692,  5.12e+08),
           ( 0.695, -1.40e+09),
           ( 0.699, -1.35e+09),
           ( 0.702, -3.01e+08),
           ( 0.705, -1.37e+08),
           ( 0.709, -1.30e+09),
           ( 0.712,  1.56e+08),
           ( 0.716,  2.64e+08),
           ( 0.719,  8.90e+08),
           ( 0.722,  1.80e+09),
           ( 0.726,  2.10e+08),
           ( 0.729,  2.63e+07),
           ( 0.732,  8.00e+08),
           ( 0.736,  4.81e+08),
           ( 0.739,  5.00e+08),
           ( 0.743,  1.46e+09),
           ( 0.746, -2.33e+08),
           ( 0.749,  1.54e+07),
           ( 0.753, -2.19e+07),
           ( 0.756, -8.49e+08),
           ( 0.759,  2.31e+08),
           ( 0.763, -2.28e+08),
           ( 0.766, -1.12e+09),
           ( 0.769,  3.10e+08),
           ( 0.773,  1.49e+08),
           ( 0.776, -1.17e+09),
           ( 0.780, -2.88e+08),
           ( 0.783,  8.55e+08),
           ( 0.786, -2.05e+08),
           ( 0.790, -1.13e+09),
           ( 0.793, -1.48e+08),
           ( 0.796,  1.75e+09),
           ( 0.800, -1.41e+09),
           ( 0.803, -4.25e+08),
           ( 0.807, -1.35e+09),
           ( 0.810, -1.08e+08),
           ( 0.813, -2.57e+09),
           ( 0.817, -8.57e+08),
           ( 0.820, -9.00e+08),
           ( 0.824, -8.79e+08),
           ( 0.827, -9.67e+08),
           ( 0.830, -1.61e+09),
           ( 0.834,  1.69e+08),
           ( 0.837, -1.98e+09),
           ( 0.840, -1.77e+09),
           ( 0.844, -1.18e+09),
           ( 0.847, -1.41e+09),
           ( 0.850, -5.79e+08),
           ( 0.854, -2.13e+09),
           ( 0.857, -3.06e+09),
           ( 0.857, -3.06e+09)]
