Bolide Detection Notification: 2019-345

At 01:19:10 UT on 11 Dec 2019, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 47.7N, Lon 161.7E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 5.62e+09 watts/steradian, and total radiated flash
energy 2.51e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[( 0.003,  6.68e+07),
           ( 0.007,  2.74e+09),
           ( 0.013, -9.56e+08),
           ( 0.017, -1.11e+09),
           ( 0.020,  6.54e+08),
           ( 0.024,  4.60e+08),
           ( 0.027, -1.06e+09),
           ( 0.030,  1.16e+09),
           ( 0.034, -1.43e+09),
           ( 0.037, -4.20e+08),
           ( 0.040,  8.09e+08),
           ( 0.044,  3.18e+08),
           ( 0.047, -3.90e+08),
           ( 0.051,  1.08e+09),
           ( 0.054,  9.58e+08),
           ( 0.057, -1.00e+09),
           ( 0.061, -6.84e+08),
           ( 0.064,  3.66e+08),
           ( 0.068, -8.18e+08),
           ( 0.071,  4.56e+08),
           ( 0.074,  2.08e+09),
           ( 0.078,  1.64e+07),
           ( 0.081, -1.19e+09),
           ( 0.084, -9.35e+08),
           ( 0.088,  7.96e+08),
           ( 0.091,  3.91e+08),
           ( 0.095, -4.48e+08),
           ( 0.098, -4.64e+08),
           ( 0.101, -3.68e+08),
           ( 0.105,  1.26e+09),
           ( 0.108, -1.48e+09),
           ( 0.111, -6.91e+08),
           ( 0.115, -3.00e+08),
           ( 0.118, -3.26e+08),
           ( 0.122, -1.93e+09),
           ( 0.125,  9.88e+08),
           ( 0.128,  1.69e+09),
           ( 0.132,  2.04e+09),
           ( 0.135, -2.57e+09),
           ( 0.138, -9.79e+08),
           ( 0.142,  1.37e+09),
           ( 0.145, -2.35e+08),
           ( 0.148,  1.44e+09),
           ( 0.152,  1.50e+09),
           ( 0.155, -1.94e+09),
           ( 0.159, -8.86e+08),
           ( 0.162,  1.73e+09),
           ( 0.165,  1.51e+09),
           ( 0.169, -1.85e+08),
           ( 0.172,  3.47e+08),
           ( 0.179,  2.57e+09),
           ( 0.182,  7.27e+08),
           ( 0.186,  9.17e+08),
           ( 0.189, -2.00e+08),
           ( 0.192, -1.09e+09),
           ( 0.196,  4.35e+08),
           ( 0.199,  5.19e+08),
           ( 0.203,  2.42e+09),
           ( 0.206,  3.40e+09),
           ( 0.209,  1.52e+09),
           ( 0.213,  9.70e+08),
           ( 0.216,  1.87e+09),
           ( 0.219,  5.49e+08),
           ( 0.223, -1.18e+09),
           ( 0.226,  1.01e+09),
           ( 0.230,  9.02e+08),
           ( 0.233,  1.03e+09),
           ( 0.236,  2.25e+09),
           ( 0.240,  7.88e+08),
           ( 0.243,  3.02e+08),
           ( 0.246, -6.18e+08),
           ( 0.250,  3.84e+08),
           ( 0.253,  2.58e+09),
           ( 0.257,  3.56e+09),
           ( 0.260,  6.92e+08),
           ( 0.263, -8.27e+08),
           ( 0.267,  2.41e+09),
           ( 0.270, -5.70e+08),
           ( 0.273,  1.19e+09),
           ( 0.277,  2.23e+09),
           ( 0.280,  1.58e+09),
           ( 0.283,  5.55e+08),
           ( 0.287,  1.24e+09),
           ( 0.290, -2.19e+08),
           ( 0.294,  1.01e+09),
           ( 0.297,  3.31e+09),
           ( 0.300,  1.14e+09),
           ( 0.304,  9.95e+08),
           ( 0.307,  2.27e+09),
           ( 0.310,  1.87e+09),
           ( 0.314,  4.96e+08),
           ( 0.317, -1.06e+08),
           ( 0.321, -1.31e+09),
           ( 0.324,  7.62e+08),
           ( 0.327, -7.17e+08),
           ( 0.331,  3.97e+09),
           ( 0.334,  1.83e+08),
           ( 0.338,  5.78e+08),
           ( 0.341,  1.19e+09),
           ( 0.344,  3.56e+08),
           ( 0.348, -9.08e+08),
           ( 0.351, -1.65e+09),
           ( 0.354, -2.73e+09),
           ( 0.361,  1.49e+09),
           ( 0.365, -8.59e+08),
