Bolide Detection Notification: 2020-109

At 13:08:38 UT on 18 Apr 2020, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 12.5 °N, Lon 49.8 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 7.09e+09 watts/steradian, and total radiated flash
energy 2.27e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  1.35e+09),
           (-0.996,  2.54e+09),
           (-0.992, -5.94e+08),
           (-0.989,  9.67e+08),
           (-0.986,  1.64e+09),
           (-0.982, -1.36e+09),
           (-0.979,  1.86e+09),
           (-0.975, -1.73e+09),
           (-0.972, -3.84e+08),
           (-0.969, -9.97e+07),
           (-0.965,  1.45e+09),
           (-0.962,  1.26e+09),
           (-0.959, -3.68e+08),
           (-0.955,  7.15e+08),
           (-0.952,  2.57e+08),
           (-0.948, -1.33e+09),
           (-0.945,  1.11e+08),
           (-0.938,  1.36e+09),
           (-0.935,  8.64e+08),
           (-0.931, -3.46e+08),
           (-0.928, -1.14e+09),
           (-0.925,  6.71e+08),
           (-0.921,  8.72e+08),
           (-0.918,  1.59e+09),
           (-0.915,  3.64e+09),
           (-0.911, -2.37e+08),
           (-0.908, -2.39e+09),
           (-0.905,  1.27e+09),
           (-0.901,  9.34e+08),
           (-0.898, -3.26e+08),
           (-0.891, -1.86e+09),
           (-0.888, -1.13e+09),
           (-0.884,  1.31e+09),
           (-0.881, -6.64e+08),
           (-0.878, -1.59e+09),
           (-0.874,  1.44e+09),
           (-0.871,  3.92e+08),
           (-0.867, -3.50e+08),
           (-0.864,  4.26e+08),
           (-0.861, -1.09e+09),
           (-0.857,  2.09e+09),
           (-0.854,  4.27e+08),
           (-0.851, -1.82e+09),
           (-0.847, -1.70e+09),
           (-0.844,  1.60e+09),
           (-0.840,  2.27e+09),
           (-0.837, -1.40e+08),
           (-0.834,  1.52e+09),
           (-0.830,  7.91e+08),
           (-0.827,  1.21e+09),
           (-0.824,  1.86e+09),
           (-0.820,  1.01e+09),
           (-0.817, -1.70e+09),
           (-0.813,  6.38e+08),
           (-0.810, -4.35e+08),
           (-0.807, -1.56e+07),
           (-0.803,  2.86e+08),
           (-0.800,  1.09e+09),
           (-0.797, -7.13e+08),
           (-0.793, -5.01e+08),
           (-0.790,  1.94e+08),
           (-0.786,  1.80e+09),
           (-0.783, -2.23e+08),
           (-0.780, -5.39e+08),
           (-0.776,  1.75e+09),
           (-0.773,  2.14e+09),
           (-0.766,  6.54e+08),
           (-0.763,  8.33e+08),
           (-0.759,  2.47e+09),
           (-0.756,  1.72e+09),
           (-0.753, -1.05e+09),
           (-0.749, -8.10e+08),
           (-0.746,  1.23e+09),
           (-0.743,  1.57e+09),
           (-0.739, -1.67e+09),
           (-0.736,  2.15e+07),
           (-0.732, -1.40e+09),
           (-0.729,  1.32e+09),
           (-0.726, -1.00e+07),
           (-0.722, -8.05e+08),
           (-0.719, -3.43e+07),
           (-0.716, -1.13e+08),
           (-0.712, -1.11e+09),
           (-0.709, -1.14e+09),
           (-0.705, -3.36e+08),
           (-0.702,  1.59e+09),
           (-0.699, -3.25e+08),
           (-0.695,  2.57e+09),
           (-0.692, -2.36e+09),
           (-0.689,  8.53e+08),
           (-0.685, -4.36e+08),
           (-0.682,  1.30e+09),
           (-0.678,  1.95e+09),
           (-0.675,  1.67e+09),
           (-0.672,  1.95e+09),
           (-0.668,  8.26e+08),
           (-0.665,  2.64e+09),
           (-0.662,  2.40e+08),
           (-0.658,  3.92e+08),
           (-0.655,  5.08e+08),
           (-0.651,  1.43e+09),
           (-0.648,  9.29e+08),
           (-0.645,  1.13e+09),
           (-0.641,  3.36e+09),
           (-0.638, -1.36e+09),
           (-0.635, -1.31e+09),
           (-0.631,  2.21e+09),
           (-0.628,  3.41e+08),
           (-0.624, -4.43e+08),
           (-0.621,  2.09e+08),
           (-0.618, -9.33e+07),
           (-0.614,  2.84e+09),
           (-0.611,  2.82e+09),
           (-0.608, -1.79e+09),
           (-0.604,  1.14e+09),
           (-0.601,  2.26e+09),
           (-0.597, -4.34e+09),
           (-0.594, -6.23e+08),
           (-0.591,  2.34e+09),
           (-0.587, -1.21e+09),
           (-0.584,  3.55e+08),
           (-0.581,  1.32e+09),
           (-0.577,  2.46e+09),
           (-0.574,  1.99e+09),
           (-0.570,  8.44e+08),
           (-0.567,  2.24e+09),
           (-0.564,  3.15e+09),
           (-0.560, -2.05e+08),
           (-0.557, -1.21e+08),
           (-0.553,  2.98e+09),
           (-0.550,  3.68e+09),
           (-0.547,  1.26e+09),
           (-0.543,  1.31e+09),
           (-0.540,  1.38e+09),
           (-0.537,  8.01e+08),
           (-0.533,  2.83e+09),
           (-0.530,  5.54e+08),
           (-0.527,  1.55e+09),
           (-0.523,  5.82e+08),
           (-0.516,  1.79e+09),
           (-0.513,  3.25e+09),
           (-0.510,  2.92e+08),
           (-0.506, -1.46e+09),
           (-0.503,  1.25e+09),
           (-0.500,  3.79e+07),
           (-0.496,  2.52e+09),
           (-0.493, -1.76e+09),
           (-0.489,  6.58e+08),
           (-0.486,  1.72e+09),
           (-0.483, -5.19e+08),
           (-0.479, -6.25e+08),
           (-0.476,  3.96e+08),
           (-0.472,  3.34e+09),
           (-0.469,  5.65e+08),
           (-0.466,  4.35e+08),
           (-0.462, -1.65e+09),
           (-0.459, -9.22e+08),
           (-0.456,  5.26e+08),
           (-0.452, -7.50e+08),
           (-0.449,  1.85e+09),
           (-0.446,  3.56e+09),
           (-0.442,  3.69e+08),
           (-0.439,  2.83e+09),
           (-0.435,  4.09e+08),
           (-0.432, -5.24e+08),
           (-0.429,  2.61e+09),
           (-0.425, -6.54e+08),
           (-0.422, -7.52e+08),
           (-0.418,  3.00e+09),
           (-0.415,  4.69e+09),
           (-0.412,  5.85e+08),
           (-0.408,  1.79e+09),
           (-0.405,  1.37e+09),
           (-0.402,  7.45e+08),
           (-0.398, -1.96e+09),
           (-0.395,  3.19e+09),
