Bolide Detection Notification: 2020-194

At 07:50:31 UT on 12 Jul 2020, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 48.7S, Lon 74.0E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.88e+10 watts/steradian, and total radiated flash
energy 8.75e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.277, -4.81e+08),
           (-0.273, -8.98e+08),
           (-0.270,  2.50e+09),
           (-0.267, -2.36e+08),
           (-0.263, -6.26e+08),
           (-0.260,  3.10e+08),
           (-0.253,  4.10e+09),
           (-0.250,  2.87e+09),
           (-0.246,  3.34e+09),
           (-0.243,  1.72e+09),
           (-0.240,  5.06e+08),
           (-0.236,  6.81e+08),
           (-0.233,  9.97e+08),
           (-0.230,  1.87e+09),
           (-0.226,  2.55e+08),
           (-0.223, -7.17e+08),
           (-0.219,  1.63e+09),
           (-0.216,  1.01e+09),
           (-0.213,  3.96e+09),
           (-0.209,  2.13e+09),
           (-0.206,  4.00e+09),
           (-0.203,  6.62e+08),
           (-0.199,  6.68e+08),
           (-0.196,  1.35e+09),
           (-0.192,  4.20e+09),
           (-0.189,  1.63e+09),
           (-0.186, -2.80e+09),
           (-0.182,  1.11e+09),
           (-0.179,  1.43e+09),
           (-0.176, -1.17e+09),
           (-0.172,  1.16e+09),
           (-0.169, -1.93e+07),
           (-0.165, -1.36e+09),
           (-0.162,  1.14e+08),
           (-0.159,  1.21e+09),
           (-0.155, -1.04e+09),
           (-0.152,  6.74e+08),
           (-0.149, -3.30e+08),
           (-0.145,  2.91e+08),
           (-0.142,  2.03e+09),
           (-0.138, -5.44e+08),
           (-0.135,  3.20e+09),
           (-0.132, -1.83e+09),
           (-0.128, -3.35e+09),
           (-0.125,  1.71e+09),
           (-0.118,  5.97e+08),
           (-0.115, -4.81e+08),
           (-0.111, -1.12e+09),
           (-0.108,  1.23e+09),
           (-0.105,  1.44e+09),
           (-0.101, -6.67e+07),
           (-0.098,  2.45e+06),
           (-0.095,  5.88e+08),
           (-0.091,  2.21e+09),
           (-0.088,  7.68e+08),
           (-0.084, -1.69e+09),
           (-0.081, -1.72e+08),
           (-0.078, -2.02e+08),
           (-0.074, -4.70e+08),
           (-0.071,  4.55e+08),
           (-0.068,  7.49e+08),
           (-0.064,  1.46e+09),
           (-0.061, -7.18e+08),
           (-0.057,  1.46e+09),
           (-0.054,  2.46e+09),
           (-0.051, -8.11e+08),
           (-0.047,  1.16e+09),
           (-0.044,  1.03e+09),
           (-0.041,  1.36e+09),
           (-0.037,  1.50e+09),
           (-0.034,  2.54e+08),
           (-0.030,  4.62e+08),
           (-0.027,  6.20e+08),
           (-0.024,  7.36e+08),
           (-0.020,  1.45e+09),
           (-0.017,  6.73e+08),
           (-0.014,  6.06e+09),
           (-0.010,  6.67e+09),
           (-0.007,  4.56e+09),
           (-0.003,  3.92e+09),
           (-0.000,  6.45e+09),
           ( 0.003,  8.24e+09),
           ( 0.007,  7.75e+09),
           ( 0.010,  8.26e+09),
           ( 0.013,  4.57e+09),
           ( 0.017,  6.31e+09),
           ( 0.020,  8.80e+09),
           ( 0.024,  4.46e+09),
           ( 0.027,  5.24e+09),
           ( 0.034,  8.50e+09),
           ( 0.037,  8.43e+09),
           ( 0.040,  9.89e+09),
           ( 0.044,  8.50e+09),
           ( 0.047,  1.08e+10),
           ( 0.051,  1.05e+10),
           ( 0.054,  1.25e+10),
           ( 0.057,  9.72e+09),
           ( 0.061,  1.42e+10),
           ( 0.064,  1.56e+10),
           ( 0.067,  1.63e+10),
           ( 0.071,  1.87e+10),
           ( 0.074,  1.99e+10),
           ( 0.078,  2.35e+10),
           ( 0.081,  2.79e+10),
           ( 0.084,  2.71e+10),
           ( 0.088,  2.88e+10),
           ( 0.094,  2.80e+10),
           ( 0.098,  2.86e+10),
           ( 0.101,  2.52e+10),
           ( 0.105,  2.47e+10),
           ( 0.108,  2.45e+10),
           ( 0.111,  2.27e+10),
           ( 0.115,  2.32e+10),
           ( 0.118,  2.35e+10),
           ( 0.121,  2.16e+10),
           ( 0.125,  2.14e+10),
           ( 0.128,  2.24e+10),
           ( 0.132,  2.36e+10),
           ( 0.135,  2.22e+10),
           ( 0.138,  1.76e+10),
           ( 0.142,  2.00e+10),
           ( 0.145,  1.98e+10),
           ( 0.148,  1.76e+10),
           ( 0.152,  1.72e+10),
           ( 0.155,  1.65e+10),
           ( 0.159,  1.56e+10),
           ( 0.162,  1.52e+10),
           ( 0.165,  1.43e+10),
           ( 0.169,  1.53e+10),
           ( 0.172,  1.57e+10),
