Bolide Detection Notification: 2020-243

At 16:08:21 UT on 30 Aug 2020, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 26.0N, Lon 133.5E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 4.79e+10 watts/steradian, and total radiated flash
energy 6.24e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.297, -1.34e+09),
           (-0.294, -5.93e+08),
           (-0.290, -1.60e+09),
           (-0.287, -1.44e+09),
           (-0.283,  4.69e+08),
           (-0.280, -2.70e+08),
           (-0.277, -1.37e+09),
           (-0.273, -1.02e+09),
           (-0.270, -1.27e+09),
           (-0.267,  3.39e+08),
           (-0.263, -8.41e+08),
           (-0.260, -3.66e+08),
           (-0.256, -1.50e+09),
           (-0.253,  6.10e+08),
           (-0.250,  3.65e+08),
           (-0.246, -8.14e+08),
           (-0.243, -1.48e+09),
           (-0.240,  1.26e+09),
           (-0.236,  1.12e+09),
           (-0.233, -9.36e+07),
           (-0.229, -8.47e+08),
           (-0.226,  4.14e+08),
           (-0.223, -1.27e+09),
           (-0.216,  9.70e+08),
           (-0.213,  9.57e+07),
           (-0.209,  1.47e+09),
           (-0.206,  2.66e+09),
           (-0.202,  2.53e+09),
           (-0.199,  1.27e+09),
           (-0.196,  5.73e+08),
           (-0.192, -9.34e+08),
           (-0.189,  1.30e+09),
           (-0.186,  2.03e+08),
           (-0.182,  2.28e+08),
           (-0.179,  9.67e+08),
           (-0.175,  6.64e+08),
           (-0.172, -1.21e+09),
           (-0.169, -2.10e+09),
           (-0.165,  8.84e+08),
           (-0.162,  1.56e+09),
           (-0.159,  1.84e+09),
           (-0.155,  3.14e+09),
           (-0.152,  7.25e+08),
           (-0.148,  1.45e+09),
           (-0.145,  3.31e+09),
           (-0.142,  3.58e+09),
           (-0.138,  5.56e+09),
           (-0.132,  4.91e+09),
           (-0.128,  3.96e+09),
           (-0.125,  4.75e+09),
           (-0.121,  4.63e+09),
           (-0.118,  3.50e+09),
           (-0.115,  3.26e+09),
           (-0.111,  3.99e+09),
           (-0.108,  3.07e+09),
           (-0.105,  4.11e+09),
           (-0.101,  2.89e+09),
           (-0.098,  3.99e+09),
           (-0.091,  2.55e+09),
           (-0.088,  2.38e+09),
           (-0.084,  2.53e+09),
           (-0.081,  3.07e+09),
           (-0.078,  1.25e+09),
