Bolide Detection Notification: 2020-333

At 16:34:10 UT on 28 Nov 2020, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 33.3 °N, Lon 135.1 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.40e+10 watts/steradian, and total radiated flash
energy 2.00e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.597,  2.27e+09),
           (-0.594,  2.99e+09),
           (-0.591,  2.90e+09),
           (-0.587,  1.98e+09),
           (-0.584,  2.63e+09),
           (-0.581,  1.89e+09),
           (-0.577,  1.51e+09),
           (-0.574,  3.18e+09),
           (-0.570,  5.05e+08),
           (-0.567,  5.41e+08),
           (-0.564,  8.18e+08),
           (-0.560,  4.95e+08),
           (-0.557,  3.26e+09),
           (-0.553,  2.09e+09),
           (-0.550,  2.11e+09),
           (-0.547,  2.69e+09),
           (-0.543,  1.73e+09),
           (-0.540,  3.10e+09),
           (-0.537,  3.66e+09),
           (-0.533,  2.48e+09),
           (-0.530,  3.15e+09),
           (-0.526,  2.02e+09),
           (-0.523,  2.08e+09),
           (-0.520,  1.02e+09),
           (-0.516,  1.77e+09),
           (-0.513,  3.31e+09),
           (-0.510,  4.64e+09),
           (-0.506,  2.64e+09),
           (-0.503,  3.41e+09),
           (-0.496,  3.09e+09),
           (-0.493,  1.42e+09),
           (-0.489,  4.65e+09),
           (-0.486,  3.68e+09),
           (-0.483,  1.71e+09),
           (-0.479,  1.61e+09),
           (-0.476,  1.75e+09),
           (-0.472,  3.11e+09),
           (-0.469,  3.19e+09),
           (-0.466,  2.30e+09),
           (-0.462,  1.10e+08),
           (-0.459,  1.86e+09),
           (-0.456,  2.10e+09),
           (-0.452,  2.07e+09),
           (-0.449,  2.76e+09),
           (-0.445,  3.30e+09),
           (-0.442,  2.89e+09),
           (-0.439,  1.59e+09),
           (-0.435,  9.42e+08),
           (-0.432,  2.43e+09),
           (-0.429,  1.88e+09),
           (-0.425,  1.21e+09),
           (-0.422,  2.45e+09),
           (-0.418,  3.33e+09),
           (-0.415,  2.36e+09),
           (-0.412,  2.00e+08),
           (-0.408,  2.16e+09),
           (-0.405,  2.34e+09),
           (-0.402,  2.06e+09),
           (-0.398,  1.63e+09),
           (-0.395,  2.40e+09),
           (-0.391,  1.20e+09),
           (-0.388,  1.15e+09),
           (-0.385,  2.99e+09),
           (-0.381, -5.44e+08),
           (-0.378,  1.87e+09),
           (-0.375,  1.74e+09),
           (-0.371,  1.12e+09),
           (-0.368,  3.02e+09),
           (-0.365,  1.79e+09),
           (-0.361,  2.47e+09),
           (-0.358,  2.71e+08),
           (-0.354,  4.25e+08),
           (-0.351,  2.42e+09),
           (-0.348,  3.13e+09),
           (-0.344,  1.47e+09),
           (-0.341,  1.58e+08),
           (-0.338,  2.35e+09),
           (-0.334,  2.68e+09),
           (-0.331,  1.67e+09),
           (-0.327, -5.37e+08),
           (-0.324,  8.12e+08),
           (-0.321,  3.24e+09),
           (-0.317,  1.27e+09),
           (-0.314,  1.11e+09),
           (-0.310, -5.88e+08),
           (-0.307,  2.49e+09),
           (-0.304,  1.88e+09),
           (-0.300,  9.46e+08),
           (-0.297,  1.51e+09),
           (-0.294,  2.65e+09),
           (-0.290,  2.19e+09),
           (-0.287,  2.00e+09),
           (-0.283,  2.39e+09),
           (-0.280,  2.92e+09),
           (-0.277,  3.08e+09),
           (-0.270,  1.80e+09),
           (-0.267,  2.61e+09),
           (-0.263,  2.09e+09),
           (-0.260,  2.75e+09),
           (-0.256,  3.49e+09),
           (-0.253,  1.13e+09),
           (-0.250,  1.84e+09),
           (-0.246,  2.24e+09),
           (-0.243,  2.00e+09),
           (-0.240,  1.97e+09),
           (-0.236,  1.55e+09),
           (-0.233,  7.04e+08),
           (-0.230,  1.26e+09),
           (-0.226,  9.51e+05),
           (-0.223, -3.25e+08),
           (-0.219,  4.55e+07),
           (-0.216,  2.45e+09),
           (-0.213,  9.20e+08),
           (-0.209,  1.89e+09),
           (-0.206,  1.85e+09),
           (-0.203,  1.88e+09),
           (-0.199,  2.28e+09),
           (-0.196,  1.85e+09),
           (-0.192,  1.69e+09),
           (-0.189,  1.00e+09),
           (-0.182,  1.94e+09),
           (-0.179,  2.09e+09),
           (-0.175,  1.08e+09),
           (-0.172,  1.01e+09),
           (-0.169,  3.44e+08),
           (-0.165,  1.77e+09),
           (-0.162,  1.27e+09),
           (-0.159,  1.20e+09),
           (-0.155,  2.48e+09),
           (-0.152,  6.78e+08),
           (-0.148,  1.06e+09),
           (-0.145,  1.53e+09),
           (-0.142,  1.08e+09),
           (-0.138,  2.15e+09),
           (-0.135,  2.20e+09),
           (-0.132,  5.50e+08),
           (-0.128,  1.17e+09),
           (-0.125,  1.97e+09),
           (-0.122,  1.94e+09),
           (-0.118,  2.58e+09),
           (-0.115,  1.66e+09),
           (-0.111,  2.79e+09),
           (-0.105,  1.40e+09),
           (-0.101,  2.02e+09),
           (-0.098,  1.49e+09),
           (-0.095,  3.84e+08),
           (-0.091,  3.83e+09),
           (-0.088,  1.80e+09),
           (-0.084,  2.08e+09),
           (-0.081,  3.09e+09),
           (-0.078,  3.93e+09),
           (-0.074,  4.10e+09),
           (-0.071,  6.83e+09),
           (-0.068,  2.81e+09),
           (-0.064,  3.73e+09),
           (-0.061,  4.27e+09),
           (-0.057,  4.40e+09),
           (-0.054,  3.86e+09),
           (-0.051,  6.15e+09),
           (-0.047,  4.01e+09),
           (-0.044,  2.11e+09),
           (-0.040,  3.41e+09),
           (-0.037,  3.05e+09),
           (-0.034,  2.86e+09),
           (-0.030,  4.02e+09),
           (-0.027,  1.94e+09),
           (-0.024,  4.22e+09),
           (-0.020,  3.33e+09),
           (-0.017,  2.04e+09),
           (-0.013,  2.94e+09),
           (-0.010,  4.55e+09),
           (-0.007,  5.02e+09),
           (-0.003,  9.27e+09),
           ( 0.000,  1.12e+10),
           ( 0.003,  1.41e+10),
           ( 0.007,  1.18e+10),
           ( 0.010,  1.12e+10),
           ( 0.013,  8.53e+09),
           ( 0.017,  9.83e+09),
           ( 0.020,  9.48e+09),
           ( 0.024,  1.02e+10),
           ( 0.027,  8.32e+09),
           ( 0.030,  5.26e+09),
           ( 0.034,  6.44e+09),
           ( 0.037,  5.66e+09),
           ( 0.040,  5.82e+09),
           ( 0.044,  4.23e+09),
           ( 0.047,  3.66e+09),
           ( 0.051,  5.35e+09),
           ( 0.054,  4.82e+09),
           ( 0.057,  1.84e+09),
           ( 0.061,  3.87e+09),
           ( 0.064,  5.05e+09),
           ( 0.068,  3.84e+09),
           ( 0.071,  3.32e+09),
           ( 0.074,  3.06e+09),
           ( 0.078,  1.57e+09),
           ( 0.081, -5.45e+07),
           ( 0.084,  7.97e+08),
           ( 0.088, -3.56e+08),
           ( 0.091, -1.05e+09),
