Bolide Detection Notification: 2020-363

At 17:27:53 UT on 28 Dec 2020, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 36.8N, Lon 54.7W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 5.64e+09 watts/steradian, and total radiated flash
energy 2.90e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.998, -7.06e+08),
           (-1.995,  1.47e+09),
           (-1.991,  7.45e+08),
           (-1.988,  8.01e+08),
           (-1.984,  2.98e+09),
           (-1.981,  8.34e+08),
           (-1.978, -6.12e+08),
           (-1.974, -3.91e+08),
           (-1.971,  7.07e+08),
           (-1.968,  4.43e+08),
           (-1.964,  9.29e+08),
           (-1.961, -4.17e+08),
           (-1.957,  1.30e+09),
           (-1.954,  3.36e+08),
           (-1.951, -8.18e+07),
           (-1.947, -1.95e+08),
           (-1.944, -8.40e+08),
           (-1.941, -5.59e+08),
           (-1.937,  3.88e+08),
           (-1.934,  4.52e+08),
           (-1.930,  5.65e+08),
           (-1.927, -1.07e+09),
           (-1.924,  5.80e+08),
           (-1.920, -3.34e+08),
           (-1.917,  1.04e+09),
           (-1.914, -1.36e+09),
           (-1.907, -3.98e+08),
           (-1.903,  1.35e+09),
           (-1.900,  2.81e+08),
           (-1.897, -1.45e+09),
           (-1.893,  2.63e+09),
           (-1.890,  7.41e+08),
           (-1.887,  3.15e+08),
           (-1.883, -3.23e+08),
           (-1.880,  1.55e+09),
           (-1.876,  8.61e+08),
           (-1.873, -2.31e+08),
           (-1.870,  7.96e+08),
           (-1.866,  1.48e+09),
           (-1.863,  1.04e+07),
           (-1.860,  3.68e+07),
           (-1.856,  1.41e+09),
           (-1.853,  1.93e+09),
           (-1.849, -1.98e+08),
           (-1.846, -1.83e+08),
           (-1.843,  1.01e+09),
           (-1.839, -3.06e+08),
           (-1.836, -4.63e+08),
           (-1.833,  6.12e+08),
           (-1.829, -1.23e+09),
           (-1.826, -8.67e+08),
           (-1.822, -1.12e+08),
           (-1.819, -3.41e+08),
           (-1.816, -1.36e+09),
           (-1.812, -7.36e+08),
           (-1.809, -3.07e+08),
           (-1.806, -2.48e+08),
           (-1.802,  1.62e+07),
           (-1.799, -7.70e+08),
           (-1.795, -1.30e+09),
           (-1.792, -4.72e+08),
           (-1.789, -1.68e+09),
           (-1.785,  1.62e+09),
           (-1.782,  9.78e+08),
           (-1.779, -1.30e+08),
           (-1.775,  1.26e+09),
           (-1.772,  1.66e+08),
           (-1.768,  7.78e+08),
           (-1.765, -2.11e+09),
           (-1.762, -9.84e+08),
           (-1.758,  1.14e+09),
           (-1.755,  5.41e+08),
           (-1.752,  5.36e+08),
           (-1.748, -1.47e+09),
           (-1.745,  9.97e+08),
           (-1.741,  6.76e+08),
           (-1.738, -1.90e+08),
           (-1.735, -7.58e+08),
           (-1.731,  1.06e+09),
           (-1.725, -4.96e+08),
           (-1.721, -1.52e+09),
           (-1.718, -2.58e+08),
           (-1.714, -1.77e+09),
           (-1.711,  2.30e+08),
           (-1.708,  7.28e+08),
           (-1.704,  3.77e+08),
           (-1.701, -2.35e+08),
           (-1.698,  1.53e+09),
           (-1.694,  1.13e+09),
           (-1.691, -5.91e+07),
           (-1.687, -2.16e+08),
           (-1.684, -1.74e+08),
           (-1.681, -3.86e+08),
           (-1.677,  2.07e+08),
           (-1.674,  5.40e+08),
           (-1.671, -1.54e+08),
           (-1.667,  1.10e+09),
           (-1.664,  3.84e+08),
           (-1.660,  1.17e+09),
           (-1.657, -5.76e+08),
           (-1.654,  5.03e+08),
           (-1.650, -1.80e+07),
           (-1.647,  6.61e+08),
           (-1.644, -1.93e+08),
           (-1.640, -7.49e+08),
           (-1.637,  5.67e+08),
           (-1.633,  7.33e+08),
           (-1.630, -5.48e+07),
           (-1.627,  6.30e+08),
           (-1.623,  3.66e+08),
           (-1.620,  1.26e+09),
           (-1.617,  1.51e+09),
           (-1.613,  1.97e+09),
           (-1.610,  4.47e+08),
           (-1.606, -5.79e+08),
           (-1.603,  9.12e+07),
           (-1.600,  6.88e+07),
           (-1.596, -9.04e+08),
           (-1.593,  9.28e+08),
           (-1.590,  1.47e+09),
           (-1.586, -8.18e+08),
           (-1.583,  2.92e+09),
           (-1.579,  9.16e+08),
           (-1.576,  1.55e+07),
           (-1.573,  2.14e+07),
           (-1.566,  2.35e+09),
           (-1.563, -9.70e+08),
           (-1.559, -8.58e+08),
           (-1.556,  3.09e+08),
           (-1.552,  4.21e+08),
           (-1.549,  8.38e+08),
           (-1.546, -6.14e+08),
           (-1.542,  1.28e+09),
           (-1.536,  6.02e+08),
           (-1.532,  4.25e+08),
           (-1.529, -2.56e+08),
           (-1.525,  8.28e+08),
           (-1.522,  1.17e+09),
           (-1.519,  2.17e+08),
           (-1.515, -1.34e+08),
           (-1.512,  1.29e+09),
           (-1.509, -6.60e+08),
           (-1.505, -4.27e+08),
           (-1.502,  3.23e+08),
           (-1.495, -2.05e+08),
           (-1.492,  6.86e+08),
           (-1.488, -7.03e+08),
           (-1.485,  8.73e+08),
           (-1.482,  1.15e+09),
           (-1.478, -1.22e+07),
           (-1.475,  5.86e+08),
           (-1.471, -1.88e+08),
           (-1.468,  3.43e+08),
           (-1.465, -3.91e+08),
           (-1.461,  4.66e+08),
           (-1.458,  1.70e+09),
           (-1.455, -1.23e+09),
           (-1.451,  7.99e+08),
           (-1.448,  2.19e+08),
           (-1.444,  5.01e+08),
           (-1.441,  1.11e+09),
           (-1.438,  5.80e+08),
           (-1.434,  1.27e+09),
           (-1.431, -1.42e+09),
           (-1.424,  1.16e+09),
           (-1.421, -3.92e+08),
           (-1.417, -7.95e+07),
           (-1.414,  8.43e+08),
           (-1.411,  1.02e+09),
           (-1.407, -2.00e+07),
           (-1.404,  2.04e+09),
           (-1.401, -4.48e+08),
           (-1.397,  3.31e+08),
           (-1.394,  2.73e+08),
           (-1.390, -1.22e+09),
           (-1.387,  8.48e+08),
           (-1.384,  1.07e+09),
           (-1.377, -2.32e+08),
           (-1.374,  5.89e+07),
           (-1.370,  1.74e+09),
           (-1.367,  4.13e+08),
           (-1.363, -4.94e+08),
           (-1.360,  8.91e+08),
           (-1.357,  7.39e+08),
           (-1.353,  3.74e+08),
           (-1.350,  2.89e+08),
           (-1.347,  3.96e+08),
           (-1.343,  7.86e+08),
           (-1.340,  2.81e+08),
           (-1.336,  1.14e+09),
           (-1.333, -4.78e+08),
           (-1.330,  5.30e+08),
           (-1.326,  6.78e+08),
           (-1.323,  3.57e+08),
           (-1.320,  6.21e+08),
           (-1.316, -2.83e+08),
           (-1.313,  1.81e+08),
           (-1.309,  1.59e+09),
           (-1.306,  1.95e+09),
           (-1.303,  2.60e+09),
           (-1.299,  4.26e+08),
           (-1.296,  2.70e+09),
           (-1.293, -1.09e+09),
           (-1.289,  3.33e+08),
           (-1.286,  1.95e+08),
           (-1.279,  1.59e+09),
           (-1.276,  1.42e+09),
           (-1.272,  2.01e+09),
           (-1.262, -8.02e+07),
           (-1.259,  1.51e+07),
           (-1.255,  1.22e+09),
           (-1.252,  8.83e+08),
           (-1.249, -1.22e+08),
           (-1.245,  1.92e+09),
           (-1.242,  1.01e+09),
           (-1.239,  9.34e+08),
           (-1.235, -4.30e+08),
           (-1.232,  1.58e+09),
           (-1.228, -3.38e+08),
           (-1.225,  1.58e+09),
           (-1.222, -7.61e+08),
           (-1.218,  5.08e+08),
           (-1.215,  1.14e+09),
           (-1.212,  1.17e+09),
           (-1.205,  8.38e+07),
           (-1.201,  3.64e+09),
           (-1.198, -1.66e+08),
           (-1.195,  2.57e+08),
           (-1.191,  2.01e+09),
           (-1.188,  1.23e+09),
           (-1.185,  2.55e+09),
           (-1.181,  2.11e+09),
           (-1.178,  7.91e+08),
           (-1.174,  1.30e+09),
           (-1.171, -8.35e+08),
           (-1.168,  1.93e+09),
           (-1.164,  1.43e+09),
           (-1.158,  2.31e+09),
           (-1.154,  2.23e+09),
           (-1.151,  6.88e+08),
           (-1.147,  1.87e+09),
           (-1.141,  2.68e+09),
           (-1.137,  2.41e+09),
           (-1.134,  1.44e+09),
           (-1.131,  1.50e+09),
           (-1.127,  1.82e+09),
           (-1.124, -1.57e+08),
           (-1.120,  1.16e+09),
           (-1.117,  2.80e+09),
           (-1.114,  2.66e+09),
           (-1.110,  2.40e+09),
           (-1.107,  2.99e+09),
           (-1.104,  2.53e+09),
           (-1.100,  4.40e+08),
           (-1.097, -2.67e+08),
           (-1.093,  3.04e+09),
           (-1.090,  2.23e+09),
           (-1.087, -4.96e+08),
           (-1.083,  2.40e+09),
           (-1.080, -2.62e+08),
           (-1.077, -4.99e+07),
           (-1.073,  1.49e+09),
           (-1.070,  3.41e+09),
           (-1.066, -6.20e+08),
           (-1.063,  9.19e+08),
           (-1.060,  1.40e+09),
           (-1.056,  2.75e+09),
           (-1.053, -9.12e+08),
           (-1.050,  1.92e+09),
           (-1.046,  2.45e+09),
           (-1.043, -2.34e+09),
           (-1.039,  1.04e+09),
           (-1.036, -7.71e+08),
           (-1.033, -3.32e+08),
           (-1.029,  7.70e+08),
           (-1.026,  3.01e+09),
           (-1.023,  7.87e+08),
           (-1.019,  1.37e+09),
           (-1.016,  7.05e+08),
           (-1.012,  1.42e+09),
           (-1.006, -1.54e+09),
           (-1.002, -2.85e+08),
           (-0.999,  1.66e+09),
           (-0.996, -1.40e+09),
           (-0.992,  3.75e+08),
           (-0.985,  1.31e+09),
           (-0.982,  2.31e+09),
           (-0.979,  3.11e+07),
           (-0.972,  1.26e+09),
           (-0.969,  1.01e+09),
           (-0.965,  1.00e+09),
           (-0.962,  2.37e+09),
           (-0.958,  2.27e+09),
           (-0.955,  1.25e+09),
           (-0.952,  9.38e+08),
           (-0.948,  3.41e+09),
           (-0.945,  3.72e+09),
           (-0.942,  2.41e+09),
           (-0.938,  3.13e+09),
           (-0.935,  2.40e+09),
           (-0.928,  3.63e+09),
           (-0.925,  2.21e+09),
           (-0.921,  3.20e+09),
           (-0.918,  4.63e+09),
           (-0.915,  3.05e+09),
           (-0.911,  9.90e+08),
           (-0.908,  1.04e+09),
           (-0.904,  2.06e+09),
           (-0.901,  1.73e+09),
           (-0.898,  1.74e+09),
           (-0.894,  1.88e+09),
           (-0.891,  2.84e+09),
           (-0.888,  2.39e+09),
           (-0.884,  2.48e+09),
           (-0.877, -4.48e+08),
           (-0.874,  1.45e+09),
           (-0.867,  1.01e+09),
           (-0.864,  9.76e+08),
           (-0.861,  3.50e+08),
           (-0.857,  1.32e+09),
           (-0.854,  1.22e+09),
           (-0.850,  1.20e+09),
           (-0.847,  1.13e+09),
           (-0.844,  9.45e+08),
           (-0.840,  2.27e+09),
           (-0.837,  7.51e+08),
           (-0.834, -3.28e+07),
           (-0.827,  2.68e+09),
           (-0.823,  2.39e+08),
           (-0.820,  2.14e+09),
           (-0.817, -1.94e+08),
           (-0.813,  1.21e+09),
           (-0.810,  4.29e+08),
           (-0.807, -1.06e+09),
           (-0.803,  1.05e+08),
           (-0.800, -9.75e+08),
           (-0.796, -6.62e+07),
           (-0.793, -6.29e+08),
           (-0.790, -2.74e+08),
           (-0.786, -1.92e+09),
           (-0.783,  5.40e+08),
           (-0.780, -1.18e+09),
           (-0.776, -1.80e+09),
           (-0.773,  4.04e+08),
           (-0.769,  4.31e+08),
           (-0.766, -4.41e+07),
           (-0.763,  5.93e+08),
           (-0.759, -4.84e+07),
           (-0.756,  1.93e+09),
           (-0.753,  7.89e+08),
           (-0.749, -9.90e+08),
           (-0.746,  7.60e+07),
           (-0.742, -3.36e+08),
           (-0.739,  1.03e+09),
           (-0.736, -1.37e+08),
           (-0.732, -4.73e+08),
           (-0.729, -1.76e+09),
           (-0.726, -4.13e+08),
           (-0.722, -2.69e+08),
           (-0.719, -3.05e+08),
           (-0.715, -6.55e+08),
           (-0.712,  4.05e+08),
           (-0.709,  3.94e+08),
           (-0.705, -5.70e+07),
           (-0.702,  2.07e+08),
           (-0.699,  1.90e+09),
           (-0.695,  1.71e+09),
           (-0.692, -1.01e+09),
           (-0.688, -2.15e+09),
           (-0.685, -8.21e+08),
           (-0.682, -1.67e+09),
           (-0.678,  2.91e+08),
           (-0.675,  6.67e+08),
           (-0.672, -3.14e+08),
           (-0.668, -1.56e+08),
           (-0.665, -6.60e+08),
           (-0.661, -3.43e+08),
           (-0.658, -2.70e+08),
           (-0.655,  5.95e+08),
           (-0.651,  7.73e+06),
           (-0.648,  4.78e+08),
           (-0.645,  3.04e+08),
           (-0.641, -2.36e+08),
           (-0.638,  1.28e+08),
           (-0.634, -6.01e+08),
           (-0.631,  3.34e+08),
           (-0.628,  7.37e+08),
           (-0.624, -9.13e+08),
           (-0.621,  6.92e+08),
           (-0.618,  8.54e+08),
           (-0.614, -8.16e+07),
           (-0.611,  6.99e+08),
           (-0.607,  2.65e+09),
           (-0.604,  4.22e+08),
           (-0.601,  1.23e+09),
           (-0.597,  3.28e+08),
           (-0.594,  9.45e+08),
           (-0.591, -2.76e+07),
           (-0.587,  8.18e+08),
           (-0.584,  2.84e+07),
           (-0.580,  1.65e+09),
           (-0.577, -2.08e+08),
           (-0.574, -3.00e+08),
           (-0.570,  1.30e+09),
           (-0.567,  1.17e+09),
           (-0.564,  1.82e+09),
           (-0.560, -8.64e+08),
           (-0.557, -1.06e+09),
           (-0.553,  1.67e+09),
           (-0.550,  1.06e+09),
           (-0.547,  2.70e+07),
           (-0.543,  1.40e+09),
           (-0.540,  5.40e+08),
           (-0.537, -8.46e+08),
           (-0.533,  9.31e+08),
           (-0.530, -1.35e+09),
           (-0.526,  1.53e+09),
           (-0.523, -1.16e+09),
           (-0.516,  4.60e+08),
           (-0.513,  4.61e+08),
           (-0.510, -7.15e+08),
           (-0.506,  6.39e+08),
           (-0.503, -1.16e+08),
           (-0.499,  1.68e+09),
           (-0.486, -4.38e+06),
           (-0.483,  1.25e+09),
           (-0.479, -7.52e+08),
           (-0.476,  1.21e+09),
           (-0.472,  1.75e+09),
           (-0.469, -1.65e+09),
           (-0.466, -6.40e+08),
           (-0.462,  1.16e+09),
           (-0.459,  6.26e+08),
           (-0.456, -7.71e+08),
           (-0.452, -5.25e+06),
           (-0.449,  1.12e+08),
           (-0.445,  3.62e+08),
           (-0.442,  9.56e+08),
           (-0.439, -6.73e+07),
           (-0.435, -1.75e+09),
           (-0.432,  1.44e+09),
           (-0.429,  1.10e+09),
           (-0.425, -7.54e+08),
           (-0.422,  6.56e+08),
           (-0.418, -2.04e+09),
           (-0.415,  5.51e+08),
           (-0.412,  1.18e+09),
           (-0.408, -6.53e+08),
           (-0.405, -5.78e+08),
           (-0.402, -6.51e+08),
           (-0.398,  8.61e+08),
           (-0.395,  3.93e+08),
           (-0.391,  2.65e+08),
           (-0.388, -6.39e+08),
           (-0.385,  3.00e+08),
           (-0.381, -1.05e+09),
           (-0.378, -7.42e+06),
           (-0.375,  4.33e+08),
           (-0.371,  2.05e+08),
           (-0.368,  1.47e+09),
           (-0.361, -1.07e+09),
           (-0.358,  5.67e+08),
           (-0.354, -4.24e+07),
           (-0.351,  1.29e+09),
           (-0.348,  1.28e+09),
           (-0.344,  2.21e+08),
           (-0.341,  1.07e+09),
           (-0.337,  1.11e+08),
           (-0.334, -1.90e+07),
           (-0.331, -5.01e+08),
           (-0.327,  1.43e+09),
           (-0.324,  1.03e+09),
           (-0.321, -8.10e+08),
           (-0.317,  1.29e+08),
           (-0.314,  2.81e+08),
           (-0.310, -1.62e+07),
           (-0.307, -9.90e+08),
           (-0.304,  2.40e+08),
           (-0.300, -7.39e+08),
           (-0.297,  5.69e+08),
           (-0.294, -3.67e+08),
           (-0.290,  4.20e+08),
           (-0.287,  9.85e+08),
           (-0.283,  2.67e+09),
           (-0.280,  4.23e+08),
           (-0.277, -1.11e+09),
           (-0.273,  5.62e+08),
           (-0.270,  3.58e+08),
