Bolide Detection Notification: 2021-029

At 16:12:47 UT on 29 Jan 2021, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 38.8N, Lon 51.3W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.00e+10 watts/steradian, and total radiated flash
energy 7.23e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.500, -1.02e+09),
           (-0.496, -1.89e+09),
           (-0.493,  2.76e+09),
           (-0.489,  5.44e+08),
           (-0.486,  1.83e+09),
           (-0.483,  3.49e+08),
           (-0.479,  2.67e+08),
           (-0.476,  3.69e+09),
           (-0.472, -6.71e+07),
           (-0.469, -1.63e+09),
           (-0.466, -1.05e+09),
           (-0.462,  6.43e+08),
           (-0.459, -1.53e+09),
           (-0.452,  1.94e+08),
           (-0.449, -5.22e+08),
           (-0.446,  1.65e+09),
           (-0.442,  5.90e+08),
           (-0.439, -1.50e+09),
           (-0.432,  1.78e+09),
           (-0.429, -2.77e+09),
           (-0.425,  2.26e+09),
           (-0.422, -1.06e+09),
           (-0.418,  2.77e+09),
           (-0.415, -6.93e+08),
           (-0.412,  2.18e+09),
           (-0.408, -4.20e+09),
           (-0.405, -1.23e+09),
           (-0.402,  8.66e+08),
           (-0.398, -1.30e+09),
           (-0.395, -1.42e+09),
           (-0.392,  6.64e+08),
           (-0.388,  1.69e+09),
           (-0.385,  1.99e+09),
           (-0.381,  2.13e+09),
           (-0.378,  2.63e+09),
           (-0.375,  5.69e+08),
           (-0.371,  4.34e+08),
           (-0.368,  1.23e+09),
           (-0.364,  1.06e+09),
           (-0.361,  2.69e+08),
           (-0.358, -8.62e+08),
           (-0.354,  1.91e+09),
           (-0.351, -1.19e+09),
           (-0.348,  1.03e+09),
           (-0.344,  1.12e+09),
           (-0.341,  1.73e+09),
           (-0.338, -1.18e+09),
           (-0.334,  2.04e+09),
           (-0.331, -9.94e+08),
           (-0.327,  1.42e+09),
           (-0.324,  1.65e+09),
           (-0.321,  4.30e+07),
           (-0.317,  7.55e+08),
           (-0.314, -1.66e+09),
           (-0.307,  3.42e+09),
           (-0.304,  8.56e+08),
           (-0.300,  1.17e+08),
           (-0.297, -8.34e+08),
           (-0.294,  1.27e+09),
           (-0.290,  8.75e+08),
           (-0.287, -1.04e+08),
           (-0.283,  9.33e+08),
           (-0.280,  9.65e+08),
           (-0.277, -1.81e+08),
           (-0.273, -1.49e+09),
           (-0.267,  1.47e+09),
           (-0.263,  1.88e+09),
           (-0.260, -1.47e+09),
           (-0.257,  5.86e+08),
           (-0.253, -5.81e+08),
           (-0.250,  4.98e+08),
           (-0.246, -1.50e+08),
           (-0.243,  1.17e+09),
           (-0.240,  3.01e+08),
           (-0.236,  2.67e+08),
           (-0.233, -2.56e+09),
           (-0.229,  2.84e+08),
           (-0.226, -7.18e+08),
           (-0.223,  2.10e+09),
           (-0.219, -3.07e+08),
           (-0.216,  1.01e+09),
           (-0.213, -2.18e+09),
           (-0.209,  1.22e+09),
           (-0.206,  1.05e+09),
           (-0.203,  7.31e+07),
           (-0.199,  2.35e+09),
           (-0.196, -5.19e+08),
           (-0.192,  1.60e+09),
           (-0.189,  1.55e+09),
           (-0.186,  3.43e+09),
           (-0.182, -1.35e+08),
           (-0.179, -2.10e+09),
           (-0.175,  1.03e+09),
           (-0.172,  2.66e+08),
           (-0.169,  1.03e+09),
           (-0.165, -1.39e+08),
           (-0.162,  1.63e+09),
           (-0.159,  1.17e+09),
           (-0.155, -1.30e+08),
           (-0.152,  2.55e+09),
           (-0.149, -2.07e+09),
           (-0.145,  2.09e+08),
           (-0.142,  1.87e+09),
           (-0.138,  1.41e+08),
           (-0.135,  8.13e+08),
           (-0.132,  1.92e+09),
           (-0.128,  6.70e+08),
           (-0.125,  2.44e+08),
           (-0.121,  2.60e+09),
           (-0.115,  5.68e+08),
           (-0.111, -2.04e+07),
           (-0.108,  6.93e+07),
           (-0.105,  3.16e+09),
           (-0.101,  2.49e+09),
           (-0.098,  3.87e+07),
           (-0.095,  1.44e+09),
           (-0.091,  7.60e+08),
           (-0.088,  1.92e+09),
           (-0.084,  1.58e+09),
           (-0.081, -1.05e+09),
           (-0.078,  2.10e+09),
           (-0.074,  1.29e+09),
           (-0.071,  6.05e+08),
           (-0.068,  7.84e+08),
           (-0.064,  2.53e+09),
           (-0.061,  3.25e+09),
           (-0.057,  2.40e+09),
           (-0.054,  2.99e+09),
           (-0.051,  2.47e+09),
           (-0.047, -2.10e+08),
           (-0.044,  3.54e+09),
           (-0.040,  1.13e+09),
           (-0.037,  2.13e+08),
           (-0.034,  1.86e+09),
           (-0.030,  3.86e+09),
           (-0.027,  7.77e+08),
           (-0.024,  2.79e+09),
           (-0.020,  2.97e+09),
           (-0.017,  3.09e+09),
           (-0.014,  4.85e+09),
           (-0.010,  3.40e+09),
           (-0.007,  3.80e+09),
           (-0.003,  3.31e+09),
           ( 0.000,  9.11e+09),
           ( 0.003,  6.49e+09),
           ( 0.007,  9.26e+09),
           ( 0.010,  5.91e+09),
           ( 0.014,  6.36e+09),
           ( 0.017,  9.83e+09),
           ( 0.020,  7.65e+09),
           ( 0.024,  8.40e+09),
           ( 0.027,  8.91e+09),
           ( 0.030,  1.18e+10),
           ( 0.037,  1.05e+10),
           ( 0.040,  1.14e+10),
           ( 0.044,  1.09e+10),
           ( 0.047,  9.24e+09),
           ( 0.051,  9.08e+09),
           ( 0.054,  8.15e+09),
           ( 0.057,  9.05e+09),
           ( 0.061,  7.97e+09),
           ( 0.064,  9.79e+09),
           ( 0.068,  9.30e+09),
           ( 0.071,  7.08e+09),
           ( 0.074,  7.80e+09),
           ( 0.078,  9.32e+09),
           ( 0.081,  5.85e+09),
           ( 0.084,  7.91e+09),
           ( 0.088,  9.62e+09),
           ( 0.091,  9.57e+09),
           ( 0.094,  8.16e+09),
           ( 0.098,  9.57e+09),
           ( 0.101,  8.01e+09),
           ( 0.105,  4.47e+09),
           ( 0.108,  5.26e+09),
           ( 0.111,  5.93e+09),
           ( 0.115,  9.57e+09),
           ( 0.118,  5.18e+09),
           ( 0.121,  9.45e+09),
           ( 0.125,  8.41e+09),
           ( 0.128,  9.04e+09),
           ( 0.132,  7.24e+09),
           ( 0.135,  3.31e+09),
           ( 0.138,  8.03e+09),
           ( 0.142,  7.89e+09),
           ( 0.145,  7.10e+09),
           ( 0.148,  8.19e+09),
           ( 0.152,  6.96e+09),
           ( 0.155,  7.05e+09),
           ( 0.159,  8.37e+09),
           ( 0.162,  9.39e+09),
           ( 0.165,  1.10e+10),
           ( 0.169,  8.93e+09),
           ( 0.172,  8.89e+09),
           ( 0.175,  1.05e+10),
           ( 0.179,  1.06e+10),
           ( 0.182,  9.79e+09),
           ( 0.186,  1.20e+10),
           ( 0.189,  1.12e+10),
           ( 0.192,  1.12e+10),
           ( 0.196,  1.23e+10),
           ( 0.199,  1.44e+10),
           ( 0.203,  1.44e+10),
           ( 0.206,  1.31e+10),
           ( 0.209,  1.36e+10),
           ( 0.213,  1.35e+10),
           ( 0.216,  1.78e+10),
           ( 0.219,  1.64e+10),
           ( 0.223,  1.60e+10),
           ( 0.226,  1.82e+10),
           ( 0.229,  1.75e+10),
           ( 0.233,  1.54e+10),
           ( 0.236,  1.87e+10),
           ( 0.240,  1.78e+10),
           ( 0.243,  1.84e+10),
           ( 0.246,  2.00e+10),
           ( 0.250,  1.79e+10),
           ( 0.253,  1.66e+10),
           ( 0.257,  1.64e+10),
           ( 0.260,  1.94e+10),
           ( 0.263,  1.78e+10),
           ( 0.267,  1.76e+10),
           ( 0.270,  1.68e+10),
           ( 0.273,  1.57e+10),
           ( 0.277,  1.53e+10),
           ( 0.280,  1.52e+10),
           ( 0.287,  1.29e+10),
           ( 0.290,  1.48e+10),
           ( 0.294,  1.63e+10),
           ( 0.297,  1.30e+10),
           ( 0.300,  1.43e+10),
           ( 0.304,  1.08e+10),
           ( 0.307,  1.35e+10),
           ( 0.311,  1.34e+10),
           ( 0.314,  1.01e+10),
           ( 0.317,  1.17e+10),
           ( 0.321,  1.10e+10),
           ( 0.324,  1.08e+10),
           ( 0.327,  1.37e+10),
           ( 0.331,  1.24e+10),
           ( 0.334,  1.00e+10),
           ( 0.337,  1.08e+10),
           ( 0.341,  1.35e+10),
           ( 0.344,  1.04e+10),
           ( 0.348,  1.08e+10),
           ( 0.351,  1.12e+10),
           ( 0.354,  1.07e+10),
           ( 0.358,  7.80e+09),
           ( 0.361,  1.15e+10),
           ( 0.364,  1.02e+10),
           ( 0.368,  1.08e+10),
           ( 0.371,  1.11e+10),
           ( 0.375,  1.01e+10),
           ( 0.378,  1.16e+10),
           ( 0.381,  9.52e+09),
           ( 0.385,  9.37e+09),
           ( 0.388,  9.60e+09),
           ( 0.391,  1.13e+10),
           ( 0.395,  1.10e+10),
           ( 0.398,  9.40e+09),
           ( 0.402,  1.19e+10),
           ( 0.405,  1.08e+10),
           ( 0.408,  1.01e+10),
           ( 0.412,  1.16e+10),
           ( 0.415,  1.14e+10),
           ( 0.418,  8.96e+09),
           ( 0.422,  1.20e+10),
