Bolide Detection Notification: 2021-033

At 10:03:20 UT on 02 Feb 2021, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 48.7 °N, Lon 80.1 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 8.26e+09 watts/steradian, and total radiated flash
energy 3.50e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.499, -8.04e+08),
           (-0.496,  2.23e+08),
           (-0.493, -1.90e+09),
           (-0.489, -3.37e+08),
           (-0.486, -1.08e+09),
           (-0.483,  3.73e+08),
           (-0.479,  7.50e+08),
           (-0.476, -9.50e+08),
           (-0.472,  2.12e+08),
           (-0.469, -1.46e+09),
           (-0.466,  1.06e+09),
           (-0.462,  9.60e+07),
           (-0.459,  6.42e+08),
           (-0.456,  1.42e+08),
           (-0.452,  1.04e+09),
           (-0.449,  4.18e+08),
           (-0.446, -3.59e+09),
           (-0.442,  1.85e+09),
           (-0.435, -1.76e+09),
           (-0.432,  4.20e+08),
           (-0.429, -5.74e+08),
           (-0.425, -5.13e+08),
           (-0.422,  4.45e+08),
           (-0.418, -1.26e+08),
           (-0.415, -1.16e+09),
           (-0.412, -3.21e+08),
           (-0.408, -1.95e+09),
           (-0.402, -3.94e+08),
           (-0.398, -1.81e+09),
           (-0.395, -2.03e+09),
           (-0.391, -1.40e+08),
           (-0.388,  9.81e+08),
           (-0.385,  6.38e+08),
           (-0.381, -2.95e+09),
           (-0.375, -5.55e+08),
           (-0.371,  3.78e+08),
           (-0.368,  7.13e+08),
           (-0.364, -3.53e+08),
           (-0.361,  2.88e+08),
           (-0.358,  6.56e+08),
           (-0.354, -9.40e+08),
           (-0.351,  3.52e+08),
           (-0.348, -3.19e+08),
           (-0.344,  8.14e+08),
           (-0.341,  2.00e+07),
           (-0.337, -2.54e+09),
           (-0.334, -1.37e+09),
           (-0.331,  1.47e+09),
           (-0.327, -7.23e+08),
           (-0.324, -1.26e+09),
           (-0.321, -2.65e+09),
           (-0.314,  1.05e+09),
           (-0.310, -1.63e+09),
           (-0.307, -1.19e+09),
           (-0.304,  1.04e+09),
           (-0.300, -1.45e+09),
           (-0.297, -9.53e+08),
           (-0.294, -1.20e+09),
           (-0.290,  1.11e+09),
           (-0.287,  2.20e+08),
           (-0.284, -9.17e+08),
           (-0.280, -1.04e+09),
           (-0.277,  1.42e+09),
           (-0.270, -4.36e+08),
           (-0.267,  5.20e+08),
           (-0.263, -3.80e+08),
           (-0.260,  7.14e+08),
           (-0.256,  3.01e+09),
           (-0.253,  1.93e+09),
           (-0.250,  1.63e+09),
           (-0.246,  1.70e+09),
           (-0.243,  1.34e+09),
           (-0.240,  2.23e+09),
           (-0.236,  7.76e+08),
           (-0.233,  1.37e+09),
           (-0.229,  8.15e+08),
           (-0.226,  2.52e+09),
           (-0.223,  2.72e+09),
           (-0.219,  6.74e+08),
           (-0.216,  2.38e+09),
           (-0.213,  2.35e+09),
           (-0.209,  1.14e+09),
           (-0.206,  1.22e+09),
           (-0.203,  1.68e+09),
           (-0.199,  1.41e+09),
           (-0.196,  2.75e+09),
           (-0.192,  4.40e+08),
           (-0.189,  9.20e+08),
           (-0.186, -2.15e+09),
           (-0.182,  2.17e+09),
           (-0.179,  6.63e+08),
           (-0.175, -1.28e+08),
           (-0.172,  5.08e+08),
           (-0.169,  1.91e+09),
           (-0.165, -2.14e+08),
           (-0.162, -1.42e+08),
           (-0.159, -2.95e+08),
           (-0.155, -6.10e+08),
           (-0.152,  6.68e+08),
           (-0.148,  4.05e+08),
           (-0.145, -4.26e+08),
           (-0.142,  4.62e+07),
           (-0.138, -7.66e+08),
           (-0.135,  3.43e+08),
           (-0.132,  1.78e+09),
           (-0.128,  5.82e+08),
           (-0.125,  2.46e+09),
           (-0.121,  1.76e+09),
           (-0.118,  7.86e+08),
           (-0.115,  8.01e+08),
           (-0.111,  2.65e+09),
           (-0.108, -1.10e+08),
           (-0.105,  1.12e+09),
           (-0.101,  1.83e+09),
           (-0.095,  6.77e+08),
           (-0.091, -5.13e+07),
           (-0.088,  5.08e+08),
           (-0.084,  5.77e+08),
           (-0.081,  1.38e+09),
           (-0.078, -3.78e+08),
           (-0.074,  2.06e+09),
           (-0.071,  2.02e+09),
           (-0.068,  2.73e+09),
           (-0.064,  3.28e+09),
           (-0.061,  2.85e+09),
           (-0.057,  3.21e+09),
           (-0.054,  2.77e+08),
           (-0.051,  3.25e+09),
           (-0.047,  3.15e+09),
           (-0.044,  4.40e+09),
           (-0.040,  6.40e+09),
           (-0.037,  4.72e+09),
           (-0.030,  5.78e+09),
           (-0.027,  6.92e+09),
           (-0.024,  6.78e+09),
           (-0.020,  5.69e+09),
           (-0.017,  4.25e+09),
           (-0.013,  5.75e+09),
           (-0.010,  5.71e+09),
           (-0.007,  4.52e+09),
           (-0.003,  5.27e+09),
           ( 0.000,  6.23e+09),
           ( 0.003,  5.08e+09),
           ( 0.007,  3.26e+09),
           ( 0.010,  4.06e+09),
           ( 0.014,  3.23e+09),
           ( 0.017,  3.37e+09),
           ( 0.020,  5.45e+09),
           ( 0.027,  1.75e+09),
           ( 0.030,  2.81e+09),
           ( 0.034,  3.10e+09),
           ( 0.037,  2.03e+09),
           ( 0.040,  3.88e+09),
           ( 0.044,  4.47e+09),
           ( 0.047,  2.34e+09),
           ( 0.051,  4.10e+09),
           ( 0.054,  2.95e+09),
           ( 0.057,  2.87e+09),
           ( 0.061,  4.22e+09),
           ( 0.064,  1.76e+09),
           ( 0.068,  2.83e+09),
           ( 0.071,  2.51e+09),
           ( 0.074,  1.71e+09),
           ( 0.078,  2.46e+09),
           ( 0.081,  2.63e+09),
           ( 0.084,  9.81e+08),
           ( 0.088,  1.48e+09),
           ( 0.091,  2.35e+09),
           ( 0.095,  2.40e+09),
           ( 0.098,  3.09e+09),
           ( 0.101,  9.82e+08),
           ( 0.105,  4.53e+09),
           ( 0.108,  2.96e+09),
           ( 0.111,  2.97e+09),
           ( 0.115,  1.79e+09),
           ( 0.118,  1.72e+09),
           ( 0.122,  1.37e+09),
           ( 0.125,  2.25e+09),
           ( 0.128,  2.16e+09),
           ( 0.132,  1.78e+09),
           ( 0.138, -2.82e+08),
           ( 0.142,  1.22e+08),
           ( 0.145,  6.55e+08),
           ( 0.149,  2.14e+09),
           ( 0.152,  2.78e+09),
           ( 0.155,  7.61e+08),
           ( 0.159, -5.23e+07),
           ( 0.162,  1.85e+09),
           ( 0.165,  2.11e+09),
           ( 0.172, -6.42e+08),
           ( 0.176,  7.00e+08),
           ( 0.179,  5.93e+08),
           ( 0.182,  5.11e+08),
           ( 0.186,  2.97e+09),
           ( 0.189,  6.73e+08),
           ( 0.192,  1.22e+09),
           ( 0.196,  6.94e+07),
           ( 0.199, -1.21e+08),
           ( 0.203, -1.19e+09),
           ( 0.206,  1.86e+09),
           ( 0.209,  7.92e+08),
           ( 0.213,  9.06e+07),
           ( 0.216,  3.22e+09),
           ( 0.219,  1.35e+09),
           ( 0.226,  4.85e+08),
           ( 0.230,  1.86e+09),
           ( 0.233,  1.04e+09),
           ( 0.240,  1.78e+09),
           ( 0.243, -1.09e+09),
           ( 0.246,  1.18e+09),
           ( 0.250,  2.51e+09),
           ( 0.253,  3.17e+09),
           ( 0.256,  1.34e+08),
           ( 0.260,  5.89e+08),
           ( 0.263,  2.00e+09),
           ( 0.267,  1.10e+09),
           ( 0.270,  5.11e+08),
           ( 0.273,  2.06e+09),
           ( 0.277,  1.89e+09),
           ( 0.280,  1.18e+09),
           ( 0.284,  8.51e+08),
           ( 0.287,  1.92e+09),
           ( 0.290,  2.46e+09),
           ( 0.294,  3.53e+08),
           ( 0.297,  9.49e+08),
           ( 0.300,  2.05e+09),
           ( 0.304,  1.89e+09),
           ( 0.307,  1.24e+09),
           ( 0.311,  2.28e+09),
           ( 0.314,  1.41e+09),
           ( 0.317, -5.06e+08),
           ( 0.321,  2.70e+09),
           ( 0.324,  2.10e+09),
           ( 0.327,  2.24e+09),
           ( 0.331, -1.35e+08),
           ( 0.334,  1.82e+09),
           ( 0.338,  2.01e+09),
           ( 0.341,  8.07e+07),
           ( 0.344, -8.51e+08),
           ( 0.348,  5.62e+08),
           ( 0.351, -1.95e+09),
           ( 0.354,  1.96e+09),
           ( 0.358,  2.43e+08),
           ( 0.361,  9.63e+07),
           ( 0.365,  1.50e+09),
           ( 0.368,  1.82e+09),
           ( 0.371,  9.36e+08),
           ( 0.375,  1.92e+09),
           ( 0.378,  1.27e+09),
           ( 0.381,  1.85e+09),
           ( 0.385,  3.30e+09),
           ( 0.388,  3.86e+09),
           ( 0.391,  2.42e+09),
           ( 0.395,  3.35e+09),
           ( 0.398,  5.57e+09),
           ( 0.402,  3.68e+09),
           ( 0.405,  8.26e+09),
           ( 0.408,  6.83e+09),
           ( 0.412,  7.51e+09),
           ( 0.415,  5.71e+09),
           ( 0.418,  5.00e+09),
           ( 0.422,  5.50e+09),
           ( 0.429,  3.96e+09),
           ( 0.432,  5.69e+09),
           ( 0.435,  6.65e+09),
           ( 0.439,  6.82e+09),
           ( 0.442,  4.70e+09),
           ( 0.446,  6.53e+09),
           ( 0.449,  5.78e+09),
           ( 0.452,  4.45e+09),
           ( 0.456,  2.74e+09),
           ( 0.459,  6.70e+09),
           ( 0.462,  4.68e+09),
           ( 0.466,  6.03e+09),
           ( 0.469,  5.44e+09),
           ( 0.473,  4.67e+09),
