Bolide Detection Notification: 2021-122

At 14:12:49 UT on 02 May 2021, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 12.3N, Lon 43.4W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 3.74e+10 watts/steradian, and total radiated flash
energy 3.01e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.047, -6.11e+08),
           (-0.044, -3.74e+08),
           (-0.040,  1.20e+09),
           (-0.037, -9.02e+08),
           (-0.034, -3.83e+08),
           (-0.030,  6.25e+07),
           (-0.027, -1.11e+08),
           (-0.024, -1.09e+09),
           (-0.020,  9.02e+08),
           (-0.017, -6.04e+08),
           (-0.013,  6.94e+08),
           (-0.010,  8.55e+08),
           (-0.007, -1.03e+09),
           (-0.003,  2.15e+08),
           ( 0.000, -1.39e+09),
           ( 0.003,  4.54e+08),
           ( 0.007, -1.32e+09),
           ( 0.010,  2.75e+08),
           ( 0.013, -1.83e+08),
           ( 0.017,  4.98e+08),
           ( 0.020,  1.50e+09),
           ( 0.024,  1.65e+09),
           ( 0.027,  2.11e+09),
           ( 0.030, -1.65e+09),
           ( 0.034, -7.68e+07),
           ( 0.037,  1.74e+09),
           ( 0.040, -3.72e+08),
           ( 0.044,  8.51e+08),
           ( 0.047, -9.79e+08),
           ( 0.051, -1.16e+09),
           ( 0.054, -8.14e+06),
           ( 0.057,  6.11e+08),
           ( 0.061, -1.67e+09),
           ( 0.064, -6.53e+08),
           ( 0.067,  6.76e+08),
           ( 0.071, -1.57e+09),
           ( 0.074, -1.58e+08),
           ( 0.078,  9.61e+08),
           ( 0.081, -6.46e+08),
           ( 0.084, -1.10e+09),
           ( 0.088,  1.23e+09),
           ( 0.091, -7.86e+08),
           ( 0.094, -5.28e+08),
           ( 0.098,  1.21e+08),
           ( 0.101, -1.11e+09),
           ( 0.105,  4.41e+08),
           ( 0.108,  1.07e+09),
           ( 0.111, -1.17e+09),
