Bolide Detection Notification: 2021-293

At 00:43:53 UT on 20 Oct 2021, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 59.0N, Lon 154.3E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.86e+10 watts/steradian, and total radiated flash
energy 3.82e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.499,  6.90e+08),
           (-0.496, -1.09e+09),
           (-0.493,  5.75e+08),
           (-0.489, -3.52e+09),
           (-0.486,  1.82e+09),
           (-0.483, -1.31e+09),
           (-0.479,  2.53e+09),
           (-0.476,  4.56e+09),
           (-0.473,  3.90e+09),
           (-0.469,  1.35e+09),
           (-0.466, -4.50e+07),
           (-0.462,  1.01e+09),
           (-0.459,  8.41e+08),
           (-0.456,  4.82e+09),
           (-0.452,  2.26e+08),
           (-0.449, -2.89e+08),
           (-0.446, -7.04e+08),
           (-0.442, -9.14e+08),
           (-0.439,  1.67e+08),
           (-0.435,  8.76e+08),
           (-0.432,  7.02e+08),
           (-0.429,  9.36e+08),
           (-0.425, -1.28e+09),
           (-0.422,  4.90e+08),
           (-0.419,  1.60e+09),
           (-0.415,  4.13e+08),
           (-0.412,  1.84e+09),
           (-0.408, -1.59e+08),
           (-0.405,  3.72e+06),
           (-0.402,  2.40e+09),
           (-0.398,  3.09e+09),
           (-0.395,  2.47e+09),
           (-0.392,  7.90e+08),
           (-0.388, -7.18e+08),
           (-0.385, -2.01e+09),
           (-0.381,  7.52e+08),
           (-0.378,  2.10e+09),
           (-0.375,  5.21e+07),
           (-0.371,  1.29e+08),
           (-0.368,  1.88e+09),
           (-0.365, -1.31e+09),
           (-0.361,  9.91e+08),
           (-0.358,  1.52e+09),
           (-0.354, -1.28e+09),
           (-0.351,  1.80e+09),
           (-0.348,  2.22e+09),
           (-0.344,  1.17e+09),
           (-0.341,  2.73e+08),
           (-0.338,  3.28e+09),
           (-0.334,  5.60e+09),
           (-0.331,  2.91e+09),
           (-0.327,  6.51e+09),
           (-0.324,  8.58e+09),
           (-0.321,  6.31e+09),
           (-0.317,  7.57e+09),
           (-0.314,  5.28e+09),
           (-0.310,  5.66e+09),
           (-0.307,  3.22e+09),
           (-0.304,  6.14e+09),
           (-0.300,  6.02e+09),
           (-0.297,  2.42e+09),
           (-0.294,  4.55e+09),
           (-0.290,  2.75e+09),
           (-0.287,  4.46e+09),
           (-0.284,  1.66e+09),
           (-0.280, -1.40e+09),
           (-0.277,  8.99e+08),
           (-0.273,  8.61e+08),
           (-0.270,  1.21e+09),
           (-0.267,  2.33e+09),
           (-0.263,  2.99e+09),
           (-0.260,  7.36e+08),
           (-0.256,  2.08e+09),
           (-0.253,  2.16e+09),
           (-0.250,  1.33e+08),
           (-0.246, -1.41e+09),
           (-0.243,  2.75e+09),
           (-0.240,  2.66e+09),
           (-0.236,  2.20e+09),
           (-0.233, -1.34e+08),
           (-0.230,  2.37e+09),
           (-0.226,  2.60e+09),
           (-0.223, -2.92e+08),
           (-0.219,  8.17e+08),
           (-0.216,  2.88e+09),
           (-0.213,  1.54e+09),
           (-0.209,  2.93e+09),
           (-0.206,  2.19e+09),
           (-0.203,  1.30e+09),
           (-0.199,  8.37e+07),
           (-0.196,  2.29e+09),
           (-0.192,  3.23e+09),
           (-0.189,  3.96e+09),
           (-0.186,  1.94e+09),
           (-0.182,  2.99e+09),
           (-0.179,  2.81e+09),
           (-0.175,  2.45e+09),
           (-0.172,  5.72e+09),
           (-0.169,  3.90e+09),
           (-0.165,  4.54e+08),
           (-0.162,  1.33e+09),
           (-0.159,  2.85e+09),
           (-0.155,  4.56e+09),
           (-0.152,  2.94e+09),
           (-0.149,  1.51e+09),
           (-0.145, -1.49e+08),
           (-0.142,  1.46e+09),
           (-0.138, -4.75e+08),
           (-0.135, -2.59e+08),
           (-0.132,  1.44e+09),
           (-0.128,  9.11e+09),
           (-0.125,  1.57e+10),
           (-0.122,  2.52e+10),
           (-0.118,  2.35e+10),
           (-0.115,  2.28e+10),
           (-0.111,  2.52e+10),
           (-0.108,  2.44e+10),
           (-0.105,  2.17e+10),
           (-0.101,  2.58e+10),
           (-0.098,  2.81e+10),
           (-0.095,  2.86e+10),
           (-0.091,  2.42e+10),
           (-0.088,  2.82e+10),
           (-0.084,  2.39e+10),
           (-0.081,  1.54e+10),
           (-0.078,  1.12e+10),
           (-0.074,  7.65e+09),
           (-0.071,  8.01e+09),
           (-0.068,  8.77e+09),
           (-0.064,  6.06e+09),
           (-0.061,  6.87e+09),
           (-0.057,  6.40e+09),
           (-0.054,  5.66e+09),
           (-0.051,  5.97e+09),
           (-0.047,  6.46e+09),
           (-0.044,  6.25e+09),
           (-0.040,  8.75e+09),
           (-0.037,  5.09e+09),
           (-0.034,  5.45e+09),
           (-0.030,  5.28e+09),
           (-0.027,  6.08e+09),
           (-0.024,  2.93e+09),
           (-0.020,  3.57e+09),
           (-0.017,  7.26e+09),
           (-0.013,  4.68e+09),
           (-0.010,  5.31e+09),
           (-0.007,  4.94e+09),
           (-0.003,  2.34e+09),
           ( 0.000,  4.15e+09),
           ( 0.003,  2.24e+09),
           ( 0.007,  1.28e+09),
           ( 0.010,  3.60e+09),
           ( 0.013,  2.16e+09),
           ( 0.017,  3.34e+09),
           ( 0.020,  3.26e+09),
           ( 0.024,  2.90e+09),
           ( 0.027,  4.15e+09),
           ( 0.030,  4.68e+09),
           ( 0.034,  4.30e+09),
           ( 0.037,  4.67e+09),
           ( 0.040,  3.93e+09),
           ( 0.044,  2.01e+09),
           ( 0.047,  5.85e+09),
           ( 0.051,  5.68e+09),
           ( 0.054,  1.85e+09),
           ( 0.057,  5.28e+09),
           ( 0.061,  3.78e+09),
           ( 0.064,  5.60e+09),
           ( 0.068,  6.42e+09),
           ( 0.071,  4.81e+09),
           ( 0.074,  5.57e+09),
           ( 0.078,  5.68e+09),
           ( 0.081,  4.98e+09),
           ( 0.084,  2.19e+09),
           ( 0.088,  3.21e+09),
           ( 0.091,  2.29e+09),
           ( 0.095,  1.82e+09),
           ( 0.098,  1.98e+09),
           ( 0.101,  1.23e+09),
           ( 0.105, -5.39e+07),
           ( 0.108,  2.74e+09),
           ( 0.111,  2.53e+09),
           ( 0.115,  6.06e+09),
           ( 0.118,  5.38e+09),
           ( 0.122,  2.90e+09),
           ( 0.125,  8.23e+08),
           ( 0.128,  5.25e+09),
           ( 0.132,  2.95e+09),
           ( 0.135,  4.15e+09),
           ( 0.138,  2.02e+09),
           ( 0.142, -1.37e+09),
           ( 0.145, -1.18e+09),
           ( 0.148, -8.78e+08),
           ( 0.152,  1.45e+09),
           ( 0.155, -1.25e+09),
           ( 0.159,  2.82e+09),
           ( 0.162, -9.85e+07),
           ( 0.165,  1.06e+09),
           ( 0.169,  4.98e+09),
           ( 0.172,  5.21e+09),
           ( 0.175,  3.38e+09),
           ( 0.179,  3.51e+09),
           ( 0.182,  3.96e+09),
           ( 0.186, -3.14e+07),
           ( 0.189,  2.31e+09),
           ( 0.196, -2.23e+09),
           ( 0.199,  6.83e+08),
           ( 0.203, -8.88e+08),
           ( 0.209,  2.19e+09),
           ( 0.213,  5.77e+08),
           ( 0.216,  1.95e+09),
           ( 0.219,  1.85e+09),
           ( 0.223, -8.80e+07),
           ( 0.226,  1.58e+09),
           ( 0.229,  3.45e+09),
           ( 0.233,  1.12e+09),
           ( 0.236,  4.47e+09),
           ( 0.243, -7.43e+08),
           ( 0.246,  4.06e+09),
           ( 0.250,  4.34e+09),
           ( 0.253,  2.50e+09),
           ( 0.257,  3.13e+09),
           ( 0.260,  1.96e+09),
           ( 0.263,  1.23e+09),
           ( 0.267,  1.32e+09),
           ( 0.270, -9.69e+08),
           ( 0.273, -2.70e+09),
           ( 0.280,  1.13e+08),
           ( 0.283,  1.96e+09),
           ( 0.287,  2.66e+09),
           ( 0.290,  2.20e+09),
           ( 0.294,  8.26e+08),
           ( 0.297,  1.52e+09),
           ( 0.300,  1.74e+09),
           ( 0.304, -8.63e+08),
           ( 0.307, -1.60e+09),
           ( 0.310, -3.45e+09),
           ( 0.314,  1.93e+07),
           ( 0.317, -7.99e+08),
           ( 0.321, -1.23e+09),
           ( 0.324, -5.29e+08),
           ( 0.327, -4.46e+08),
           ( 0.331, -5.49e+08),
           ( 0.334,  2.77e+09),
           ( 0.338,  5.35e+08),
           ( 0.341,  1.34e+09),
           ( 0.344, -2.55e+09),
           ( 0.348, -9.03e+08),
           ( 0.351, -9.53e+08),
           ( 0.354,  9.47e+08),
           ( 0.358,  3.28e+09),
           ( 0.361,  7.61e+08),
           ( 0.364, -1.38e+08),
           ( 0.368,  6.00e+08),
           ( 0.371,  3.55e+09),
           ( 0.375,  1.14e+09),
           ( 0.378, -6.78e+08),
           ( 0.381,  3.94e+08),
           ( 0.385,  2.39e+08),
           ( 0.388, -3.09e+09),
           ( 0.392, -1.16e+09),
           ( 0.395,  5.15e+08),
           ( 0.398, -2.28e+09),
           ( 0.402,  5.13e+08),
           ( 0.405, -1.08e+09),
           ( 0.412,  7.87e+08),
           ( 0.415, -6.58e+08),
           ( 0.418,  1.07e+09),
           ( 0.422, -1.04e+09),
           ( 0.425, -1.34e+09),
           ( 0.429,  6.05e+08),
           ( 0.432, -2.75e+08),
           ( 0.435, -4.89e+08),
           ( 0.439,  4.15e+09),
           ( 0.442,  1.77e+09),
           ( 0.445, -8.72e+08),
           ( 0.449,  5.29e+08),
           ( 0.452, -1.82e+09),
           ( 0.456, -1.12e+09),
           ( 0.459, -6.31e+08),
           ( 0.462, -2.13e+09),
           ( 0.466, -2.37e+09),
           ( 0.469, -4.63e+09),
           ( 0.473, -4.16e+09),
           ( 0.476, -6.35e+08),
           ( 0.479, -3.24e+09),
           ( 0.483, -2.45e+09),
           ( 0.486,  5.49e+08),
           ( 0.489,  2.19e+09),
           ( 0.493,  1.02e+09),
           ( 0.496, -6.80e+08),
           ( 0.499,  1.58e+09),
           ( 0.499,  1.58e+09)]
