Bolide Detection Notification: 2021-312

At 05:28:28 UT on 08 Nov 2021, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 33.8 °S, Lon 7.7 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.42e+10 watts/steradian, and total radiated flash
energy 2.95e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.398,  1.15e+09),
           (-0.395,  1.18e+09),
           (-0.392, -8.77e+08),
           (-0.388, -1.24e+08),
           (-0.385,  1.69e+08),
           (-0.381,  1.67e+08),
           (-0.378, -2.12e+08),
           (-0.375, -8.20e+08),
           (-0.371, -9.34e+08),
           (-0.368,  1.84e+08),
           (-0.365, -2.32e+07),
           (-0.361,  2.99e+08),
           (-0.358, -6.09e+08),
           (-0.354, -7.25e+08),
           (-0.351, -2.19e+08),
           (-0.348,  5.18e+08),
           (-0.344, -1.05e+08),
           (-0.341, -2.40e+08),
           (-0.337, -1.24e+09),
           (-0.334, -1.08e+08),
           (-0.331, -1.12e+08),
           (-0.327,  6.77e+08),
           (-0.324, -3.71e+08),
           (-0.321, -4.60e+08),
           (-0.317,  3.75e+08),
           (-0.314, -2.50e+08),
           (-0.310, -3.79e+08),
           (-0.307, -8.36e+07),
           (-0.304,  5.85e+08),
           (-0.300, -5.36e+08),
           (-0.297, -2.61e+08),
           (-0.290,  8.23e+08),
           (-0.287,  1.17e+08),
           (-0.284,  8.65e+07),
           (-0.280,  1.01e+09),
           (-0.277, -8.01e+07),
           (-0.273, -6.28e+08),
           (-0.270,  8.18e+08),
           (-0.267,  3.28e+08),
           (-0.263,  7.44e+08),
           (-0.260,  7.12e+08),
           (-0.257,  1.18e+09),
           (-0.253, -7.15e+07),
           (-0.250,  1.18e+09),
           (-0.246,  9.78e+08),
           (-0.243,  1.02e+09),
           (-0.240,  1.17e+09),
           (-0.236,  1.08e+09),
           (-0.233,  1.22e+09),
           (-0.229,  3.93e+08),
           (-0.226,  1.70e+08),
           (-0.223,  7.71e+08),
           (-0.219,  5.04e+08),
           (-0.216, -5.88e+07),
           (-0.213,  8.54e+08),
           (-0.209,  5.04e+08),
           (-0.206,  2.26e+09),
           (-0.203, -5.01e+08),
           (-0.199,  1.36e+08),
           (-0.196,  9.55e+08),
           (-0.192,  7.90e+08),
           (-0.189,  2.76e+08),
           (-0.186,  7.65e+07),
           (-0.182,  1.01e+09),
           (-0.179,  4.89e+08),
           (-0.176,  4.78e+08),
           (-0.169,  6.64e+08),
           (-0.165,  7.15e+08),
           (-0.162,  7.04e+08),
           (-0.159,  6.49e+08),
           (-0.155,  1.20e+09),
           (-0.152,  6.98e+08),
           (-0.148,  6.65e+08),
           (-0.145, -6.55e+08),
           (-0.142,  1.41e+09),
           (-0.138, -9.63e+08),
           (-0.135,  5.55e+08),
           (-0.132, -3.47e+08),
           (-0.128, -8.73e+07),
           (-0.125,  3.33e+08),
           (-0.121, -1.03e+09),
           (-0.118,  6.15e+08),
           (-0.115, -6.16e+08),
           (-0.111,  1.41e+08),
           (-0.108,  1.08e+08),
           (-0.105,  5.96e+08),
           (-0.101, -1.18e+09),
           (-0.098, -3.27e+08),
           (-0.095, -5.64e+08),
           (-0.091,  4.93e+07),
           (-0.088,  1.07e+08),
           (-0.084,  4.92e+08),
           (-0.081,  7.32e+08),
           (-0.078, -4.44e+08),
           (-0.074, -5.14e+08),
           (-0.071, -3.78e+08),
           (-0.068, -1.03e+09),
           (-0.064, -4.41e+08),
           (-0.061, -2.53e+08),
           (-0.057,  2.99e+07),
           (-0.054,  7.18e+07),
           (-0.051, -4.33e+08),
           (-0.044,  1.13e+09),
           (-0.040,  2.17e+09),
           (-0.034,  2.19e+09),
           (-0.030,  4.40e+09),
           (-0.027,  1.38e+09),
           (-0.024,  2.53e+09),
           (-0.020,  3.18e+09),
           (-0.017,  4.68e+09),
           (-0.014,  6.49e+09),
           (-0.007,  1.33e+10),
           (-0.003,  1.54e+10),
           (-0.000,  1.89e+10),
           ( 0.003,  1.99e+10),
           ( 0.007,  2.15e+10),
           ( 0.010,  2.42e+10),
           ( 0.013,  2.33e+10),
           ( 0.017,  2.06e+10),
           ( 0.020,  1.70e+10),
           ( 0.024,  1.52e+10),
           ( 0.027,  1.59e+10),
           ( 0.030,  1.28e+10),
           ( 0.034,  1.12e+10),
           ( 0.037,  1.12e+10),
           ( 0.041,  9.51e+09),
           ( 0.044,  8.89e+09),
           ( 0.047,  7.35e+09),
           ( 0.051,  8.54e+09),
           ( 0.057,  6.08e+09),
           ( 0.061,  6.11e+09),
           ( 0.068,  7.96e+09),
           ( 0.071,  8.53e+09),
           ( 0.074,  6.48e+09),
           ( 0.078,  6.99e+09),
           ( 0.081,  7.63e+09),
           ( 0.084,  6.16e+09),
           ( 0.088,  6.86e+09),
           ( 0.091,  5.55e+09),
           ( 0.094,  6.33e+09),
           ( 0.098,  5.15e+09),
           ( 0.101,  4.34e+09),
           ( 0.105,  5.70e+09),
           ( 0.108,  4.41e+09),
           ( 0.111,  4.49e+09),
           ( 0.115,  4.47e+09),
           ( 0.118,  5.29e+09),
           ( 0.121,  4.59e+09),
           ( 0.125,  4.41e+09),
           ( 0.128,  3.82e+09),
           ( 0.132,  4.33e+09),
           ( 0.135,  3.72e+09),
           ( 0.138,  4.56e+09),
           ( 0.142,  3.66e+09),
           ( 0.145,  2.96e+09),
           ( 0.149,  3.99e+09),
           ( 0.152,  3.25e+09),
           ( 0.155,  2.86e+09),
           ( 0.159,  3.08e+09),
           ( 0.162,  1.78e+09),
           ( 0.165,  2.73e+09),
           ( 0.169,  3.25e+09),
           ( 0.172,  4.21e+09),
           ( 0.175,  3.43e+09),
           ( 0.179,  3.77e+09),
           ( 0.182,  3.90e+09),
           ( 0.186,  4.38e+09),
           ( 0.189,  4.72e+09),
           ( 0.192,  3.59e+09),
           ( 0.196,  4.09e+09),
           ( 0.199,  5.02e+09),
           ( 0.202,  5.23e+09),
           ( 0.206,  4.31e+09),
           ( 0.209,  5.15e+09),
           ( 0.213,  4.45e+09),
           ( 0.216,  3.18e+09),
           ( 0.223,  3.89e+09),
           ( 0.226,  2.03e+09),
           ( 0.230,  2.83e+09),
           ( 0.233,  4.08e+09),
           ( 0.236,  2.05e+09),
