Bolide Detection Notification: 2021-363

At 03:15:35 UT on 29 Dec 2021, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 69.7 °S, Lon 115.0 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 6.94e+09 watts/steradian, and total radiated flash
energy 2.05e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.499, -7.12e+08),
           (-0.493,  2.84e+09),
           (-0.489, -7.03e+07),
           (-0.486, -1.26e+09),
           (-0.483, -8.64e+07),
           (-0.479, -5.08e+08),
           (-0.476,  8.25e+08),
           (-0.473,  2.96e+08),
           (-0.469,  3.24e+07),
           (-0.466,  1.20e+09),
           (-0.462, -4.59e+08),
           (-0.459, -9.44e+07),
           (-0.456, -3.62e+08),
           (-0.452,  1.07e+09),
           (-0.449, -1.29e+09),
           (-0.445,  2.49e+09),
           (-0.442,  1.62e+09),
           (-0.439, -1.17e+09),
           (-0.435, -1.36e+09),
           (-0.432, -9.66e+07),
           (-0.429,  1.59e+09),
           (-0.425,  1.67e+09),
           (-0.422, -3.99e+08),
           (-0.419, -2.96e+09),
           (-0.415, -1.29e+09),
           (-0.412, -3.25e+08),
           (-0.408,  2.25e+09),
           (-0.405,  1.30e+09),
           (-0.402, -2.66e+08),
           (-0.398, -1.58e+09),
           (-0.391, -7.38e+08),
           (-0.388, -4.17e+08),
           (-0.385, -5.16e+08),
           (-0.381,  5.92e+08),
           (-0.378,  7.33e+08),
           (-0.375,  1.86e+07),
           (-0.371,  6.28e+08),
           (-0.368, -1.64e+09),
           (-0.364, -5.80e+08),
           (-0.361,  1.98e+09),
           (-0.358,  9.84e+08),
           (-0.354, -4.03e+08),
           (-0.351,  2.37e+09),
           (-0.348, -9.44e+08),
           (-0.344, -1.08e+09),
           (-0.341, -5.11e+08),
           (-0.338, -2.70e+08),
           (-0.334, -2.52e+08),
           (-0.331, -1.42e+09),
           (-0.327,  9.11e+08),
           (-0.324,  3.88e+08),
           (-0.321, -1.39e+09),
           (-0.317,  7.21e+08),
           (-0.314,  7.17e+08),
           (-0.310, -1.93e+09),
           (-0.307,  3.03e+08),
           (-0.304,  3.73e+08),
           (-0.300, -1.68e+09),
           (-0.297, -1.59e+09),
           (-0.294,  1.66e+09),
           (-0.290, -5.76e+08),
           (-0.287, -1.43e+09),
           (-0.284,  1.86e+08),
           (-0.280,  2.53e+09),
           (-0.277,  3.53e+08),
           (-0.273, -4.11e+08),
           (-0.270, -8.72e+08),
           (-0.267, -2.04e+09),
           (-0.263, -7.06e+08),
           (-0.260,  1.20e+09),
           (-0.256,  7.63e+08),
           (-0.253,  2.21e+09),
           (-0.250,  3.32e+08),
           (-0.246, -2.07e+09),
           (-0.243,  9.91e+08),
           (-0.236, -7.81e+08),
           (-0.233,  1.14e+09),
           (-0.230,  5.87e+08),
           (-0.226, -2.69e+09),
           (-0.223,  1.22e+09),
           (-0.219, -3.03e+08),
           (-0.216,  6.97e+08),
           (-0.213, -8.31e+08),
           (-0.209, -8.57e+08),
           (-0.206,  1.62e+09),
           (-0.202,  1.09e+09),
           (-0.199, -7.67e+08),
           (-0.196, -4.32e+08),
           (-0.192, -3.02e+07),
           (-0.189, -1.01e+09),
           (-0.186, -1.39e+09),
           (-0.182,  8.00e+08),
           (-0.175,  1.53e+08),
           (-0.172,  6.53e+08),
           (-0.169,  2.06e+09),
           (-0.165, -1.37e+09),
           (-0.162,  4.69e+07),
           (-0.159, -1.26e+09),
           (-0.155, -5.19e+08),
           (-0.152,  2.15e+09),
           (-0.149,  1.63e+09),
           (-0.145, -6.12e+08),
           (-0.142,  3.83e+08),
           (-0.138,  3.94e+08),
           (-0.135, -1.90e+09),
           (-0.132,  9.97e+08),
           (-0.128,  1.76e+08),
           (-0.125,  2.10e+08),
           (-0.121,  7.89e+07),
           (-0.118, -4.76e+08),
           (-0.115,  5.30e+08),
           (-0.111, -1.02e+09),
           (-0.108,  2.73e+09),
           (-0.105, -1.26e+08),
           (-0.101,  1.12e+09),
           (-0.098,  1.52e+09),
           (-0.095,  2.28e+09),
           (-0.091, -1.99e+08),
           (-0.088, -1.94e+09),
           (-0.084, -2.60e+09),
           (-0.081, -7.75e+08),
           (-0.078, -2.60e+08),
           (-0.074, -3.16e+09),
           (-0.071,  8.72e+07),
           (-0.067, -7.89e+08),
           (-0.064, -1.31e+09),
           (-0.061,  4.96e+08),
           (-0.057,  1.06e+08),
           (-0.054, -3.42e+08),
           (-0.051, -1.43e+08),
           (-0.047, -8.00e+08),
           (-0.044,  3.85e+08),
           (-0.041,  1.01e+09),
           (-0.037,  3.36e+07),
           (-0.034, -1.16e+09),
           (-0.030,  2.09e+08),
           (-0.027,  3.35e+09),
           (-0.024,  2.65e+09),
           (-0.020,  2.80e+09),
           (-0.017,  2.31e+09),
           (-0.013,  3.53e+09),
           (-0.010,  1.46e+09),
           (-0.007,  3.76e+09),
           (-0.003,  1.99e+09),
           (-0.000,  4.49e+09),
           ( 0.003,  5.19e+09),
           ( 0.007,  5.59e+09),
           ( 0.010,  3.03e+09),
           ( 0.014,  5.10e+09),
           ( 0.017,  5.26e+09),
           ( 0.020,  4.20e+09),
           ( 0.024,  6.05e+09),
           ( 0.027,  2.56e+09),
           ( 0.030,  4.93e+09),
           ( 0.034,  3.48e+09),
           ( 0.037,  3.33e+09),
           ( 0.040,  3.94e+09),
           ( 0.044,  6.05e+08),
           ( 0.047,  2.54e+09),
           ( 0.057,  5.31e+09),
           ( 0.061,  3.60e+09),
           ( 0.064,  6.09e+09),
           ( 0.068,  6.31e+09),
           ( 0.071,  6.26e+09),
           ( 0.074,  6.94e+09),
           ( 0.078,  6.47e+09),
           ( 0.081,  3.81e+09),
           ( 0.084,  4.03e+09),
