Bolide Detection Notification: 2022-011

At 03:33:13 UT on 11 Jan 2022, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 58.4S, Lon 160.2W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.87e+11 watts/steradian, and total radiated flash
energy 1.26e+12 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.998, -6.80e+08),
           (-1.995, -3.19e+08),
           (-1.991,  9.48e+08),
           (-1.988, -6.07e+08),
           (-1.985, -8.57e+08),
           (-1.978,  1.71e+09),
           (-1.974,  2.23e+09),
           (-1.971,  3.18e+09),
           (-1.968,  2.54e+06),
           (-1.964, -2.51e+08),
           (-1.961,  3.05e+08),
           (-1.958,  1.20e+09),
           (-1.954,  5.36e+08),
           (-1.951,  1.59e+09),
           (-1.947,  7.60e+08),
           (-1.944,  2.26e+09),
           (-1.941,  2.26e+09),
           (-1.937,  7.93e+08),
           (-1.934,  7.79e+08),
           (-1.931,  1.26e+09),
           (-1.927,  1.30e+09),
           (-1.924, -1.48e+08),
           (-1.920,  2.18e+09),
           (-1.917,  2.64e+09),
           (-1.914, -3.28e+08),
           (-1.910,  2.10e+09),
           (-1.903, -7.14e+08),
           (-1.900,  8.04e+08),
           (-1.897, -1.51e+08),
           (-1.893,  2.12e+09),
           (-1.890,  1.40e+08),
           (-1.887,  4.93e+08),
           (-1.880,  6.12e+08),
           (-1.877, -2.12e+08),
           (-1.873, -1.35e+08),
           (-1.870,  1.91e+08),
           (-1.866, -4.00e+08),
           (-1.860, -1.28e+08),
           (-1.856,  2.37e+09),
           (-1.853, -4.68e+08),
           (-1.850, -3.45e+07),
           (-1.846,  1.24e+09),
           (-1.843,  9.31e+08),
           (-1.839,  1.41e+09),
           (-1.836, -8.72e+08),
           (-1.833,  1.83e+09),
           (-1.829, -6.42e+08),
           (-1.826,  2.56e+09),
           (-1.823,  1.94e+09),
           (-1.819, -5.53e+08),
           (-1.816,  2.09e+09),
           (-1.812,  1.99e+09),
           (-1.809, -4.77e+08),
           (-1.806,  1.96e+06),
           (-1.802,  7.13e+08),
           (-1.799,  1.10e+09),
           (-1.796, -7.24e+08),
           (-1.792,  9.96e+08),
           (-1.789,  1.55e+09),
           (-1.785,  2.53e+08),
           (-1.782, -4.64e+08),
           (-1.779,  1.54e+09),
           (-1.775,  6.33e+08),
           (-1.772, -9.39e+08),
           (-1.768,  1.04e+09),
           (-1.765,  4.92e+08),
           (-1.762,  1.37e+09),
           (-1.755, -2.25e+08),
           (-1.752, -4.40e+08),
           (-1.748,  2.78e+09),
           (-1.745,  1.13e+09),
           (-1.742,  1.63e+09),
           (-1.735, -6.88e+08),
           (-1.731,  2.46e+09),
           (-1.728, -3.07e+08),
           (-1.721,  6.52e+08),
           (-1.718,  6.47e+08),
           (-1.714,  1.81e+09),
           (-1.711,  1.91e+09),
           (-1.708, -7.95e+08),
           (-1.704, -3.93e+08),
           (-1.701,  1.05e+09),
           (-1.698, -1.95e+09),
           (-1.694, -1.24e+09),
           (-1.691,  1.58e+09),
           (-1.684,  5.06e+08),
           (-1.681,  6.61e+08),
           (-1.677,  1.86e+09),
           (-1.674,  2.10e+09),
           (-1.671, -5.48e+08),
           (-1.667, -9.08e+08),
           (-1.664,  8.41e+08),
           (-1.661,  1.09e+09),
           (-1.657,  4.70e+08),
           (-1.654,  1.80e+09),
           (-1.650,  1.38e+09),
           (-1.647,  3.21e+07),
           (-1.644,  3.45e+09),
           (-1.640,  1.03e+08),
           (-1.633,  5.74e+08),
           (-1.630, -3.05e+07),
           (-1.623, -1.91e+08),
           (-1.620,  2.48e+09),
           (-1.617,  1.42e+09),
           (-1.613, -6.68e+08),
           (-1.610,  9.17e+08),
           (-1.607, -5.73e+08),
           (-1.600,  2.50e+09),
           (-1.596,  1.42e+09),
           (-1.593,  9.89e+08),
           (-1.590,  1.92e+08),
           (-1.586,  1.83e+08),
           (-1.583,  2.21e+09),
           (-1.579, -6.35e+08),
           (-1.573,  8.65e+08),
           (-1.569,  6.72e+08),
           (-1.566, -1.00e+09),
           (-1.563,  3.76e+08),
           (-1.559, -2.75e+08),
           (-1.556,  1.58e+09),
           (-1.552,  1.47e+09),
           (-1.549,  1.96e+09),
           (-1.546,  6.41e+08),
           (-1.539,  3.47e+09),
           (-1.536,  2.22e+09),
           (-1.532,  4.09e+09),
           (-1.526,  1.86e+09),
           (-1.522,  1.88e+09),
           (-1.519,  1.19e+09),
           (-1.515,  1.53e+09),
           (-1.509,  2.39e+08),
           (-1.505,  3.04e+09),
           (-1.502,  1.18e+09),
           (-1.498,  1.04e+09),
           (-1.495,  5.77e+08),
           (-1.492, -3.89e+08),
           (-1.488,  1.01e+09),
           (-1.485,  5.71e+08),
           (-1.482, -4.95e+08),
           (-1.478,  3.17e+08),
           (-1.475, -5.58e+08),
           (-1.472,  2.21e+09),
           (-1.468, -2.36e+08),
           (-1.461,  1.93e+09),
           (-1.458, -1.19e+09),
           (-1.451,  2.80e+09),
           (-1.444,  6.25e+08),
           (-1.441,  1.13e+09),
           (-1.438,  3.52e+08),
           (-1.434,  1.98e+09),
           (-1.431,  4.17e+07),
           (-1.428,  1.07e+09),
           (-1.424,  9.14e+08),
           (-1.417,  2.03e+09),
           (-1.414,  1.24e+09),
           (-1.411, -1.99e+08),
           (-1.407,  2.44e+09),
           (-1.401, -1.61e+09),
           (-1.397,  1.33e+09),
           (-1.391,  3.50e+08),
           (-1.387,  1.29e+09),
           (-1.384,  1.28e+09),
           (-1.380,  3.09e+08),
           (-1.377,  2.63e+09),
           (-1.374,  2.70e+09),
           (-1.370,  3.66e+09),
           (-1.367,  2.96e+09),
           (-1.363,  3.51e+09),
