Bolide Detection Notification: 2022-028

At 05:04:45 UT on 28 Jan 2022, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 4.5 °S, Lon 73.9 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 3.64e+10 watts/steradian, and total radiated flash
energy 3.48e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -2.63e+08),
           (-0.996,  1.18e+07),
           (-0.992,  3.89e+07),
           (-0.989, -6.31e+08),
           (-0.986, -5.01e+08),
           (-0.982, -6.63e+08),
           (-0.979, -4.88e+08),
           (-0.975, -4.68e+07),
           (-0.972, -2.39e+08),
           (-0.969, -5.91e+08),
           (-0.965, -1.17e+08),
           (-0.962, -2.22e+08),
           (-0.959, -9.79e+08),
           (-0.955,  1.43e+08),
           (-0.952,  7.71e+07),
           (-0.948,  1.32e+08),
           (-0.945, -9.79e+07),
           (-0.942,  3.51e+08),
           (-0.938,  1.02e+09),
           (-0.935,  2.38e+08),
           (-0.932,  1.04e+09),
           (-0.928, -3.02e+08),
           (-0.925,  7.49e+07),
           (-0.918,  4.69e+08),
           (-0.915,  1.63e+08),
           (-0.911, -2.63e+08),
           (-0.908, -1.02e+09),
           (-0.905,  7.17e+08),
           (-0.901,  7.76e+08),
           (-0.898,  1.44e+08),
           (-0.894, -9.50e+07),
           (-0.891,  8.88e+08),
           (-0.888, -1.02e+08),
           (-0.884,  6.31e+08),
           (-0.881,  3.53e+08),
           (-0.878, -1.92e+08),
           (-0.874,  9.10e+08),
           (-0.871,  3.92e+08),
           (-0.867, -4.26e+08),
           (-0.864,  2.02e+07),
           (-0.861,  9.85e+08),
           (-0.857,  1.40e+08),
           (-0.854,  1.71e+07),
           (-0.851,  1.14e+09),
           (-0.847,  1.32e+09),
           (-0.844,  1.41e+09),
           (-0.840,  1.28e+09),
           (-0.837,  4.99e+08),
           (-0.834,  8.24e+08),
           (-0.827, -1.10e+08),
           (-0.824,  2.87e+07),
           (-0.820,  4.33e+08),
           (-0.817,  6.57e+08),
           (-0.813, -3.74e+08),
           (-0.810,  7.81e+08),
           (-0.807,  6.67e+08),
           (-0.803,  1.13e+09),
           (-0.800,  6.55e+08),
           (-0.797, -2.35e+07),
           (-0.793, -1.00e+09),
           (-0.790,  1.23e+08),
           (-0.786, -5.03e+08),
           (-0.783,  2.95e+08),
           (-0.776, -6.00e+07),
           (-0.773, -4.07e+08),
           (-0.770, -4.27e+08),
           (-0.766, -1.17e+09),
           (-0.763,  3.44e+08),
           (-0.759,  8.08e+08),
           (-0.756,  7.45e+07),
           (-0.753,  3.79e+08),
           (-0.749,  2.18e+08),
           (-0.746,  5.41e+08),
           (-0.743,  3.73e+08),
           (-0.739,  1.34e+08),
           (-0.732, -9.94e+08),
           (-0.726,  1.10e+09),
           (-0.722,  3.24e+08),
           (-0.719,  3.52e+08),
           (-0.716,  4.53e+08),
           (-0.712,  4.89e+08),
           (-0.709,  1.33e+09),
           (-0.705, -1.18e+09),
           (-0.702,  2.52e+08),
           (-0.699,  3.67e+08),
           (-0.692,  4.52e+07),
           (-0.689,  6.47e+08),
           (-0.685, -4.87e+08),
           (-0.682,  8.37e+08),
           (-0.678, -4.90e+07),
           (-0.675, -1.66e+08),
           (-0.672,  1.07e+09),
           (-0.668, -2.59e+08),
           (-0.662,  5.12e+08),
           (-0.658, -3.37e+08),
           (-0.655,  1.25e+09),
           (-0.648, -3.44e+08),
           (-0.641,  1.08e+09),
           (-0.638,  4.99e+08),
           (-0.635,  1.47e+08),
           (-0.631,  3.99e+08),
           (-0.628,  5.98e+07),
           (-0.624, -4.64e+07),
           (-0.621,  5.70e+08),
           (-0.618,  4.99e+08),
           (-0.614,  3.07e+08),
           (-0.611,  7.53e+08),
           (-0.608,  7.25e+08),
           (-0.604,  8.31e+08),
           (-0.601,  4.01e+07),
           (-0.597,  1.09e+09),
           (-0.594,  8.11e+08),
           (-0.591,  1.44e+09),
           (-0.587,  1.21e+09),
           (-0.584,  1.14e+09),
           (-0.581,  8.99e+08),
           (-0.577,  1.22e+09),
           (-0.574,  2.96e+08),
           (-0.570, -3.74e+08),
           (-0.567,  4.57e+08),
           (-0.564,  7.15e+08),
           (-0.560,  1.64e+08),
           (-0.557,  4.24e+08),
           (-0.554,  4.33e+08),
           (-0.550,  1.30e+08),
           (-0.547,  3.06e+08),
           (-0.543,  1.30e+09),
           (-0.540,  6.13e+08),
           (-0.537,  4.58e+08),
           (-0.533,  1.00e+09),
           (-0.530,  4.53e+08),
           (-0.527, -5.11e+08),
           (-0.523,  6.59e+08),
           (-0.520,  8.27e+08),
           (-0.516,  1.42e+09),
           (-0.513,  3.97e+08),
           (-0.510,  2.77e+08),
           (-0.506,  1.24e+09),
           (-0.503,  2.21e+08),
           (-0.500,  1.40e+09),
           (-0.496,  1.38e+09),
           (-0.493,  1.04e+09),
           (-0.489,  8.43e+08),
           (-0.486,  1.48e+09),
           (-0.483,  8.01e+08),
           (-0.479,  1.61e+09),
           (-0.476,  1.57e+09),
           (-0.473,  8.32e+08),
           (-0.469,  1.06e+09),
           (-0.466,  8.70e+08),
           (-0.462,  8.22e+08),
           (-0.459,  1.01e+09),
           (-0.456, -3.58e+07),
           (-0.452,  8.38e+08),
           (-0.449, -2.85e+08),
           (-0.446,  5.62e+08),
           (-0.442,  1.10e+09),
           (-0.439,  1.05e+08),
           (-0.435,  2.10e+09),
           (-0.432,  1.68e+09),
           (-0.429,  6.23e+08),
           (-0.425,  1.09e+09),
           (-0.422,  1.19e+09),
           (-0.419,  6.21e+08),
           (-0.415,  8.17e+08),
           (-0.408,  7.49e+08),
           (-0.405,  1.35e+09),
           (-0.402,  1.36e+09),
           (-0.398,  8.66e+08),
           (-0.395,  9.64e+08),
           (-0.392,  1.98e+09),
