Bolide Detection Notification: 2022-034

At 19:50:40 UT on 03 Feb 2022, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 13.3S, Lon 142.2E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.31e+10 watts/steradian, and total radiated flash
energy 1.54e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -2.58e+08),
           (-0.996, -7.73e+07),
           (-0.992,  3.41e+08),
           (-0.989,  3.28e+08),
           (-0.986,  1.67e+09),
           (-0.982,  7.41e+08),
           (-0.979,  1.53e+09),
           (-0.975,  6.32e+06),
           (-0.972,  4.93e+08),
           (-0.969, -1.12e+09),
           (-0.962,  1.45e+08),
           (-0.958, -1.51e+09),
           (-0.952,  3.72e+08),
           (-0.948,  5.87e+08),
           (-0.945, -6.36e+08),
           (-0.942, -6.53e+06),
           (-0.938, -5.04e+08),
           (-0.931,  1.06e+09),
           (-0.928,  7.52e+08),
           (-0.925,  7.28e+08),
           (-0.921, -7.46e+08),
           (-0.918, -4.99e+08),
           (-0.915, -1.42e+09),
           (-0.911, -1.14e+09),
           (-0.904, -2.61e+09),
           (-0.898,  1.06e+09),
           (-0.894, -1.98e+09),
           (-0.891,  4.35e+08),
           (-0.888,  6.32e+07),
           (-0.884,  7.18e+08),
           (-0.881,  1.07e+09),
           (-0.877, -1.65e+09),
           (-0.871,  3.07e+08),
           (-0.867, -1.51e+09),
           (-0.864,  2.04e+09),
           (-0.861,  4.53e+08),
           (-0.857, -5.25e+07),
           (-0.854,  4.68e+08),
           (-0.851,  2.16e+08),
           (-0.847,  3.55e+08),
           (-0.844, -1.87e+08),
           (-0.840,  1.46e+09),
           (-0.837,  2.46e+08),
           (-0.834,  1.79e+08),
           (-0.830,  7.88e+08),
           (-0.827, -5.38e+08),
           (-0.823,  6.27e+08),
           (-0.820,  3.91e+08),
           (-0.813,  9.41e+08),
           (-0.810, -7.47e+08),
           (-0.807, -9.47e+08),
           (-0.803,  3.67e+08),
           (-0.800,  8.77e+08),
           (-0.796,  6.44e+08),
           (-0.793,  1.02e+09),
           (-0.790, -6.09e+08),
           (-0.786,  1.09e+08),
           (-0.783,  4.50e+08),
           (-0.780,  4.64e+08),
           (-0.776, -8.08e+08),
           (-0.773,  2.97e+08),
           (-0.769,  7.05e+08),
           (-0.766, -4.45e+08),
           (-0.763,  1.45e+07),
           (-0.759, -7.76e+08),
           (-0.756, -8.99e+08),
           (-0.749,  8.87e+08),
           (-0.746,  4.67e+08),
           (-0.742, -5.30e+08),
           (-0.739,  1.67e+09),
           (-0.736, -6.47e+07),
           (-0.732,  6.58e+07),
           (-0.729, -6.22e+07),
           (-0.726, -1.94e+09),
           (-0.722,  9.19e+08),
           (-0.719, -2.09e+09),
           (-0.716, -1.76e+08),
           (-0.712,  2.35e+08),
           (-0.709, -1.27e+08),
           (-0.705,  1.21e+09),
           (-0.702,  3.59e+08),
           (-0.699, -9.79e+06),
           (-0.695,  4.94e+07),
           (-0.692,  6.24e+08),
           (-0.689,  7.89e+08),
           (-0.685,  3.01e+08),
           (-0.682, -7.98e+08),
           (-0.678, -8.34e+08),
           (-0.675, -1.29e+09),
           (-0.672,  1.55e+09),
           (-0.668, -3.78e+08),
           (-0.665, -7.19e+08),
           (-0.661, -7.49e+08),
           (-0.658, -1.21e+09),
           (-0.655,  3.40e+06),
           (-0.651, -2.70e+08),
           (-0.648, -1.87e+09),
           (-0.645, -1.45e+09),
           (-0.641, -7.91e+08),
           (-0.638,  2.43e+09),
           (-0.634, -1.07e+09),
           (-0.631, -7.69e+08),
           (-0.628, -1.12e+08),
           (-0.624, -2.27e+09),
           (-0.621, -1.13e+09),
           (-0.618,  9.67e+08),
           (-0.614, -1.49e+09),
           (-0.611,  1.50e+09),
           (-0.607, -2.38e+08),
           (-0.604, -3.37e+08),
           (-0.601, -8.33e+07),
           (-0.597, -2.02e+09),
           (-0.594,  1.06e+08),
           (-0.591, -9.46e+08),
           (-0.587,  1.59e+09),
           (-0.584, -7.03e+08),
           (-0.580, -2.13e+08),
           (-0.577,  6.66e+08),
           (-0.574,  6.52e+08),
           (-0.570, -3.52e+08),
           (-0.567, -6.94e+08),
           (-0.564, -1.34e+09),
           (-0.560,  1.25e+09),
           (-0.557, -4.96e+08),
           (-0.553,  3.09e+08),
           (-0.550, -1.81e+09),
           (-0.547,  2.14e+08),
           (-0.543, -8.22e+07),
           (-0.540,  3.44e+08),
           (-0.537, -1.30e+08),
           (-0.533,  1.38e+09),
           (-0.530, -9.98e+08),
           (-0.526,  4.66e+07),
           (-0.523, -1.79e+08),
           (-0.520,  5.69e+08),
           (-0.516,  2.09e+09),
           (-0.513,  2.79e+08),
           (-0.510,  3.73e+08),
           (-0.503,  1.86e+09),
           (-0.496, -3.43e+08),
           (-0.493,  5.80e+08),
           (-0.489, -8.56e+07),
           (-0.486, -1.69e+08),
           (-0.483, -5.26e+08),
           (-0.479,  1.15e+09),
           (-0.476, -8.35e+08),
           (-0.473,  7.01e+08),
           (-0.469,  5.03e+08),
           (-0.466,  1.41e+09),
           (-0.462, -1.17e+09),
           (-0.456,  2.21e+09),
           (-0.449, -2.58e+08),
           (-0.445,  7.48e+08),
           (-0.442,  6.07e+08),
           (-0.439,  7.12e+08),
           (-0.435,  5.18e+08),
           (-0.432,  9.59e+08),
           (-0.429, -3.39e+08),
           (-0.425,  3.30e+08),
           (-0.422,  3.20e+08),
           (-0.418,  1.95e+09),
           (-0.415,  2.37e+09),
           (-0.412, -1.68e+09),
           (-0.402,  2.25e+09),
           (-0.398,  5.64e+08),
           (-0.395,  9.86e+08),
           (-0.391,  3.05e+08),
           (-0.388,  7.60e+08),
           (-0.385,  9.54e+08),
           (-0.378, -5.05e+08),
           (-0.375,  1.99e+09),
           (-0.371,  9.80e+07),
           (-0.365,  2.40e+09),
           (-0.361,  1.01e+09),
           (-0.358,  2.46e+09),
           (-0.354,  2.80e+09),
           (-0.351,  3.51e+09),
           (-0.348,  2.21e+09),
           (-0.344,  3.26e+09),
           (-0.341,  3.35e+09),
           (-0.337,  2.29e+09),
           (-0.334,  2.59e+09),
           (-0.331,  2.49e+09),
           (-0.327,  2.03e+09),
           (-0.324,  7.21e+08),
           (-0.321,  2.34e+09),
           (-0.317, -1.64e+08),
           (-0.314,  8.26e+08),
           (-0.307,  1.77e+09),
           (-0.304,  4.10e+08),
